k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[200.0, 400.0, 250.0]                                                           |4515242499193466.0000000000000000|      1.00000000|[0, 0, 0, 0]                                                               | k=1
       1|[200.27372765541077, 399.9987513124943, 250.96180641651154]                     |4007668343635968.0000000000000000|      3.33333333|[7, 2, 0, 2]                                                               | 
       2|[200.1987739801407, 398.6776500046253, 254.02124798297882]                      |2464675841179648.0000000000000000|     11.11111111|[13, 4, 0, 4]                                                              | 
       3|[204.16058123111725, 391.1694016754627, 261.1897255182266]                      |612926729748480.0000000000000000|     37.03703704|[19, 6, 0, 6]                                                              | 
       4|[187.35700571537018, 361.4659161865711, 275.5801740884781]                      |12421710217216.0000000000000000|    123.45679012|[25, 8, 0, 8]                                                              | 
       5|[69.86806833744049, 346.7335286438465, 310.5213133096695]                       |21404723200.0000000000000000|    411.52263374|[31, 10, 0, 10]                                                            | 
       6|[392.1797443628311, 304.40044835209846, 562.8582884073257]                      |3556940032.0000000000000000|   1371.74211248|[37, 12, 0, 12]                                                            | 
       7|[392.1797443628311, 304.40044835209846, 562.8582884073257]                      |3556940032.0000000000000000|    411.52263374|[43, 14, 0, 14]                                                            | 
       8|[301.6637989282608, 625.2124295532703, 804.1825987100601]                       |1865466624.0000000000000000|   1371.74211248|[49, 16, 0, 16]                                                            | 
       9|[301.6637989282608, 625.2124295532703, 804.1825987100601]                       |1865466624.0000000000000000|    411.52263374|[55, 18, 0, 18]                                                            | 
      10|[301.6637989282608, 625.2124295532703, 804.1825987100601]                       |1865466624.0000000000000000|    123.45679012|[61, 20, 0, 20]                                                            | 
      11|[414.4666477441788, 627.995839625597, 754.0892149209976]                        |1737344896.0000000000000000|    411.52263374|[67, 22, 0, 22]                                                            | 
      12|[414.4666477441788, 627.995839625597, 754.0892149209976]                        |1737344896.0000000000000000|    123.45679012|[73, 24, 0, 24]                                                            | 
      13|[414.4666477441788, 627.995839625597, 754.0892149209976]                        |1737344896.0000000000000000|     37.03703704|[79, 26, 0, 26]                                                            | 
      14|[441.1549106836319, 605.8351569473743, 767.0654493570328]                       |1417057408.0000000000000000|    123.45679012|[85, 28, 0, 28]                                                            | 
      15|[553.9577594995499, 568.1433310806751, 733.9532018899918]                       |1409882240.0000000000000000|    411.52263374|[91, 30, 0, 30]                                                            | 
