k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[200.0, 400.0, 250.0]                                                           |4515242499193466.0000000000000000|      1.00000000|[0, 0, 0, 0]                                                               | k=1
       1|[200.27372765541077, 399.9987513124943, 250.96180641651154]                     |4007668343635968.0000000000000000|      3.33333333|[7, 2, 0, 2]                                                               | 
       2|[198.50133967399597, 402.7784463465214, 256.7563191652298]                      |2389882206945280.0000000000000000|     11.11111111|[10, 3, 0, 3]                                                              | 
       3|[202.47360467910767, 385.8041879236698, 270.5375691652298]                      |144574722867200.0000000000000000|     37.03703704|[16, 5, 0, 5]                                                              | 
       4|[212.61166620254517, 350.6928826868534, 276.5507241487503]                      |6646186115072.0000000000000000|    123.45679012|[19, 6, 0, 6]                                                              | 
       5|[255.62370920181274, 301.7632066309452, 381.4193536043167]                      |1907238272.0000000000000000|    411.52263374|[22, 7, 0, 7]                                                              | 
       6|[255.62370920181274, 301.7632066309452, 381.4193536043167]                      |1907238272.0000000000000000|    123.45679012|[28, 9, 0, 9]                                                              | 
       7|[255.62370920181274, 301.7632066309452, 381.4193536043167]                      |1907238272.0000000000000000|     37.03703704|[34, 11, 0, 11]                                                            | 
       8|[257.69312047958374, 305.4769574701786, 344.6271325349808]                      |1853208448.0000000000000000|    123.45679012|[37, 12, 0, 12]                                                            | 
       9|[165.15083837509155, 252.59432044625282, 282.3300133943558]                     |1392919808.0000000000000000|    411.52263374|[40, 13, 0, 13]                                                            | 
      10|[165.15083837509155, 252.59432044625282, 282.3300133943558]                     |1392919808.0000000000000000|    123.45679012|[46, 15, 0, 15]                                                            | 
      11|[165.15083837509155, 252.59432044625282, 282.3300133943558]                     |1392919808.0000000000000000|     37.03703704|[52, 17, 0, 17]                                                            | 
      12|[165.15083837509155, 252.59432044625282, 282.3300133943558]                     |1392919808.0000000000000000|     11.11111111|[58, 19, 0, 19]                                                            | 
      13|[165.15083837509155, 252.59432044625282, 282.3300133943558]                     |1392919808.0000000000000000|      3.33333333|[64, 21, 0, 21]                                                            | 
      14|[165.15083837509155, 252.59432044625282, 282.3300133943558]                     |1392919808.0000000000000000|      1.00000000|[70, 23, 0, 23]                                                            | 
      15|[165.3895537108183, 253.3762108385563, 282.9059147834778]                       |1392578816.0000000000000000|      3.33333333|[76, 25, 0, 25]                                                            | 
      16|[164.26159839332104, 251.3817494213581, 280.484974861145]                       |1392353152.0000000000000000|     11.11111111|[82, 27, 0, 27]                                                            | 
      17|[164.26159839332104, 251.3817494213581, 280.484974861145]                       |1392353152.0000000000000000|      3.33333333|[88, 29, 0, 29]                                                            | 
      18|[164.26159839332104, 251.3817494213581, 280.484974861145]                       |1392353152.0000000000000000|      1.00000000|[94, 31, 0, 31]                                                            | 
