k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[500.0, 0.0001]                                                                 |11603.0164118767152104|      1.00000000|[0, 0, 0, 0]                                                               | k=0
       1|[500.9832313656807, -0.1822626458644867]                                        |-100000002004087734272.0000000000000000|      3.33333333|[9, 0, 0, 2]                                                               | 
       2|[500.9832313656807, -0.1822626458644867]                                        |-100000002004087734272.0000000000000000|      1.00000000|[17, 0, 0, 4]                                                              | 
       3|[500.9832313656807, -0.1822626458644867]                                        |-100000002004087734272.0000000000000000|      0.30000000|[25, 0, 0, 6]                                                              | 
       4|[500.9832313656807, -0.1822626458644867]                                        |-100000002004087734272.0000000000000000|      0.09000000|[33, 0, 0, 8]                                                              | 
       5|[500.9832313656807, -0.1822626458644867]                                        |-100000002004087734272.0000000000000000|      0.02700000|[41, 0, 0, 10]                                                             | 
       6|[500.9832313656807, -0.1822626458644867]                                        |-100000002004087734272.0000000000000000|      0.00810000|[49, 0, 0, 12]                                                             | 
       7|[500.9832313656807, -0.1822626458644867]                                        |-100000002004087734272.0000000000000000|      0.00243000|[57, 0, 0, 14]                                                             | 
       8|[500.9832313656807, -0.1822626458644867]                                        |-100000002004087734272.0000000000000000|      0.00072900|[65, 0, 0, 16]                                                             | 
       9|[500.9832313656807, -0.1822626458644867]                                        |-100000002004087734272.0000000000000000|      0.00021870|[73, 0, 0, 18]                                                             | 
      10|[500.9832313656807, -0.1822626458644867]                                        |-100000002004087734272.0000000000000000|      0.00006561|[81, 0, 0, 20]                                                             | 
