k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]     |2150.1261246091939938|      1.00000000|[0, 0, 0, 0]                                                               | k=4
       1|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]     |2150.1261246091939938|      0.30000000|[13, 4, 0, 1]                                                              | 
       2|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]     |2150.1261246091939938|      0.09000000|[25, 8, 0, 2]                                                              | 
       3|[-0.0005914046196267, -0.0008871069876477, -0.0011828092392534, 0.0892830640077591, -0.0017742139752954, -0.0020699161104858, -0.0035376930609345, -0.0026613208465278, 0.0013508758274838, -0.0032527253497392, -0.0035484279505908, -0.0038441300857812, -0.0041398322209716, -0.0044355341233313, 0.9952687630429864]|2136.3684082031250000|      0.30000000|[37, 12, 0, 3]                                                             | 
       4|[-0.0005914046196267, -0.0008871069876477, -0.0011828092392534, 0.0892830640077591, -0.0017742139752954, -0.0020699161104858, -0.0035376930609345, -0.0026613208465278, 0.0013508758274838, -0.0032527253497392, -0.0035484279505908, -0.0038441300857812, -0.0041398322209716, -0.0044355341233313, 0.9952687630429864]|2136.3684082031250000|      0.09000000|[49, 16, 0, 4]                                                             | 
       5|[-0.0005914046196267, -0.0008871069876477, -0.0011828092392534, 0.0892830640077591, -0.0017742139752954, -0.0020699161104858, -0.0035376930609345, -0.0026613208465278, 0.0013508758274838, -0.0032527253497392, -0.0035484279505908, -0.0038441300857812, -0.0041398322209716, -0.0044355341233313, 0.9952687630429864]|2136.3684082031250000|      0.02700000|[61, 20, 0, 5]                                                             | 
       6|[-0.0006972831833991, -0.0168668421683833, -0.0013945663667982, 0.0890183675801381, -0.0020918496884406, -0.0024404910800513, -0.0039612073160242, -0.0031377743580379, 0.0008214829722419, -0.0038350574322976, -0.0041836993768811, -0.0255226243752986, -0.0048809821601026, -0.0052296233479865, 0.994421734532807]|2125.0722656250000000|      0.09000000|[73, 24, 0, 6]                                                             | 
       7|[-0.0006972831833991, -0.0168668421683833, -0.0013945663667982, 0.0890183675801381, -0.0020918496884406, -0.0024404910800513, -0.0039612073160242, -0.0031377743580379, 0.0008214829722419, -0.0038350574322976, -0.0041836993768811, -0.0255226243752986, -0.0048809821601026, -0.0052296233479865, 0.994421734532807]|2125.0722656250000000|      0.02700000|[85, 28, 0, 7]                                                             | 
       8|[-0.0008747045576456, -0.0171329742588568, -0.0017494091152912, 0.1114955752855167, -0.0026241138693877, -0.003061465889914, 0.0106233964033891, -0.003936170542147, -6.56240154058e-05, -0.0048108750488609, -0.0052482277387753, -0.026675863424316, -0.0061229317798279, -0.0065602836548351, 0.9930023635388352]|2123.2712402343750000|      0.09000000|[97, 32, 0, 8]                                                             | 
       9|[-0.0008747045576456, -0.0171329742588568, -0.0017494091152912, 0.1114955752855167, -0.0026241138693877, -0.003061465889914, 0.0106233964033891, -0.003936170542147, -6.56240154058e-05, -0.0048108750488609, -0.0052482277387753, -0.026675863424316, -0.0061229317798279, -0.0065602836548351, 0.9930023635388352]|2123.2712402343750000|      0.02700000|[109, 36, 0, 9]                                                            | 
