k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[3.0, 1.0]                                                                      |217.3621226801203932|      1.00000000|[0, 0, 0, 0]                                                               | k=0
       1|[1.1757891178131104, 0.1800885200500488]                                        | 88.0488662719726562|      3.33333333|[5, 0, 0, 1]                                                               | 
       2|[1.1757891178131104, 0.1800885200500488]                                        | 88.0488662719726562|      1.00000000|[13, 0, 0, 3]                                                              | 
       3|[0.2491195797920227, -0.195788562297821]                                        | 52.0213851928710938|      3.33333333|[17, 0, 0, 4]                                                              | 
       4|[0.2491195797920227, -0.195788562297821]                                        | 52.0213851928710938|      1.00000000|[25, 0, 0, 6]                                                              | 
       5|[-0.0077068507671356, 0.2332105040550232]                                       |  0.5274624824523926|      3.33333333|[29, 0, 0, 7]                                                              | 
       6|[-0.0077068507671356, 0.2332105040550232]                                       |  0.5274624824523926|      1.00000000|[37, 0, 0, 9]                                                              | 
       7|[-0.0077068507671356, 0.2332105040550232]                                       |  0.5274624824523926|      0.30000000|[45, 0, 0, 11]                                                             | 
       8|[-0.0077068507671356, 0.2332105040550232]                                       |  0.5274624824523926|      0.09000000|[53, 0, 0, 13]                                                             | 
       9|[0.0016000065952539, 0.2772375755012035]                                        |  0.0968468710780144|      0.30000000|[57, 0, 0, 14]                                                             | 
      10|[0.0016000065952539, 0.2772375755012035]                                        |  0.0968468710780144|      0.09000000|[65, 0, 0, 16]                                                             | 
      11|[0.0016000065952539, 0.2772375755012035]                                        |  0.0968468710780144|      0.02700000|[73, 0, 0, 18]                                                             | 
      12|[0.0016000065952539, 0.2772375755012035]                                        |  0.0968468710780144|      0.00810000|[81, 0, 0, 20]                                                             | 
