k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.01, 0.02, 0.03, 0.04, 0.05, 0.06, 0.07, 0.08, 0.09, 0.1, 0.11, 0.12, 0.13, 0.14, 0.15, 0.16, 0.17, 0.18, 0.19, 0.2, 0.21, 0.22, 0.23, 0.24, 0.25, 0.26, 0.27, 0.28, 0.29, 0.3, 0.31, 0.32, 0.33, 0.34, 0.35, 0.36, 0.37, 0.38, 0.39, 0.4, 0.41, 0.42, 0.43, 0.44, 0.45, 0.46, 0.47, 0.48, 0.49, 0.5, 0.51, 0.52, 0.53, 0.54, 0.55, 0.56, 0.57, 0.58, 0.59, 0.6, 0.61, 0.62, 0.63, 0.64, 0.65, 0.66, 0.67, 0.68, 0.69, 0.7, 0.71, 0.72, 0.73, 0.74, 0.75, 0.76, 0.77, 0.78, 0.79, 0.8, 0.81, 0.82, 0.83, 0.84, 0.85, 0.86, 0.87, 0.88, 0.89, 0.9, 0.91, 0.92, 0.93, 0.94, 0.95, 0.96, 0.97, 0.98, 0.99, 1.0]|-56.4814000545650217|      1.00000000|[0, 0, 0, 0]                                                               | k=2
       1|[0.3626976108551025, 0.1518166851997375, -0.128454105257988, 0.2879427307844162, -0.0268935903906822, 0.1270523047447205, 0.1327955496311188, -0.0214701649546623, -0.1067335641384125, -0.0068154275417328, 0.5402297532558441, 0.1548262190818787, 0.0710626664757729, 0.4358617806434631, 0.1484139625448734, 0.339723009467125, 0.1116956529021263, -0.1311516833305359, -0.2222960567474365, -0.11678506731987, 0.3893264150619506, 0.3007877108454704, 0.5889421808719635, 0.3214680457115173, -0.1265126168727875, 0.2889461594074965, 0.0043636155128479, 0.5701955246925354, 0.1650148713588714, 0.3962605774402618, 0.5313511765003205, 0.020971245765686, 0.691399382352829, 0.3371145039889962, 0.2494980603456497, 0.2107855832576752, 0.6463737440109253, 0.4266992557048798, 0.2037926161289215, 0.5760708391666413, 0.3106057605147362, 0.5347999167442321, 0.4407409572228789, 0.253446968793869, 0.4917073257267475, 0.6999851232767105, 0.1838432562351227, 0.4254318955540657, 0.5335580760240555, 0.6266846805810928, 0.7037051862478256, 0.6641591382026673, 0.5157793347910047, 0.5982437030971051, 0.5687410414218903, 0.656683219075203, 0.4103830975294113, 0.6574385184049606, 0.7827105039358139, 0.6329317338764667, 1.103840843439102, 0.67609080940485, 0.4605783718824387, 0.5884319873154163, 0.4720624327659607, 0.6996405942738056, 0.6470964216440916, 0.8263025957345963, 0.7261163318157196, 0.7442922711372375, 0.633109695315361, 1.0354676258563995, 0.5640588957071304, 1.0089004242420196, 0.8535897359251976, 0.4297279214859009, 1.0186788779497147, 0.6114773738384247, 0.78886141018942, 0.6687457144260407, 0.6873072585463524, 0.7173765969276428, 1.1696444022655488, 1.16756170630455, 0.7821852698922157, 0.9084117604792118, 1.135213429927826, 1.073044900894165, 0.9681083926558495, 1.125223958492279, 0.8676246440410614, 0.7763088774681092, 1.091455109715462, 0.8268964314460754, 1.1075726270675659, 0.78025708258152, 0.6783091139793396, 0.6350029218196869, 1.1012900227308273, 1.435107260942459]|-125.4245681762695312|      3.33333333|[99, 14, 0, 7]                                                             | 
       2|[0.9741478657722473, 0.3101390641927719, 0.231149508357048, -0.0776460534334183, -0.1049871116876602, -0.0763079696893692, -0.1987015831470489, 0.4156027379631996, 0.6404719316959381, -0.64155792593956, 0.4791064454615116, -0.3551445055007935, 0.1884350377321243, 0.7571100735664368, -0.1010347242932767, -0.1301841551065445, 0.409700697362423, -0.9453891587257386, -0.2178835840336978, 0.6710796773433685, 0.9581365799903869, 0.3828850325942039, -0.1173317921161652, 0.9626892709732056, -0.2404268980026245, 0.1448461788147688, -1.197210590839386, 0.4536383959650994, 0.293624215722084, 1.459479171037674, 0.9984523034095765, -0.4537708985805511, 0.0335478055477143, 0.777053436646238, 0.7473509520292282, -0.8693538153171539, 1.6026014041900636, -0.0205255699157715, 0.6655169570446015, 0.3687053561210633, 1.4126704892516135, 0.5431735199689864, 0.4808015817031264, 0.1547785574197769, 1.2567971356213092, 2.2533759838342666, -0.9452232110500336, 0.2251980039477348, 0.2691569977998733, 1.714048758149147, 0.3193977123498917, 1.2653274726867676, 0.3328278546407819, 0.490361680239439, -0.7350068509578704, 1.118998540043831, -0.0827079790830613, -0.1773165446519852, 0.0061900132894516, 1.223152244836092, -0.3489962661266328, 1.2090651121735574, -0.9166657429933548, 0.6711061404645443, 0.5230854094028473, 0.6042443139851094, 0.3388456367701292, 2.189798422455788, -0.834262696504593, 1.2976335406303405, 0.9801476961374282, 1.3863254499435425, 0.7982229101657867, 1.1684621477127075, 0.0916756018996239, -0.4628184342384338, 1.8543534618616104, 0.9559653091430664, 0.8568027405627072, 0.7642069935798645, 0.9959224364161492, 0.6338131350278854, 2.217173503637314, 1.7767105662822722, 2.2697476878762246, 0.2611350013315678, 1.124672815091908, 1.498038773536682, 1.6000271806120874, 1.9714061260223388, 1.3646753764152528, 1.451186282634735, 2.2530781108140947, 1.6034042859077453, 0.6418706595897674, 1.2417881554365158, 0.8185750257968902, 1.4193636882305145, 1.99083826482296, 1.3555928692221642]|-780.3378295898437500|     11.11111111|[197, 28, 0, 14]                                                           | 
       3|[0.0979913568496704, -0.6702360469102859, -0.8427254420518875, -1.2347355252504348, -1.7864679962396621, -1.3706479841470718, -1.54788871884346, -0.979769295156002, -0.7928018605709076, -2.1048201262950896, -1.0065901087224485, -1.8560714769363402, -1.3208593529462815, -0.7540203785896301, -1.6077931757550687, -1.6266768985986708, -1.0709387603402138, -2.404886491298676, -1.6512399883382023, -0.7314205944538117, -0.4090679669380188, -0.9448530140519142, -1.4016947042942047, -0.2746455764770508, -1.4273303747177124, -0.9884656888991594, -2.2740089106559753, -0.5639565375447273, -0.6623045271635055, 0.5674570381641388, 0.1723598814010621, -1.2121238338947296, -0.6554644834995269, 0.1587778538558633, 0.2010069102048874, -1.3427693986892701, 1.2029165279865266, -0.3458692681789398, 0.414935781955719, 0.1931212931871414, 1.3121336138248443, 0.5175511837750673, 0.5297801078483462, 0.2778646150231361, 1.4533188946545124, 2.522483951449394, -0.604555516242981, 0.6362222763895988, 0.7491581791639328, 2.2614705115556717, 0.932506645321846, 1.9422124814987183, 1.0713992600515485, 1.2883500353991986, 0.1199478089809418, 2.028285992741585, 0.8780941587686538, 0.831995250582695, 1.06081683576107, 2.31970771625638, 0.7859064495563506, 2.3785355415940286, 0.2833911675214768, 1.897563140243292, 1.7715468943119048, 1.8701011760532857, 1.6172709726542234, 3.4757426458597185, 0.4539232575893402, 2.5825514912605287, 2.256049252152443, 2.6472185564041135, 2.0378652918338775, 2.380355706214905, 1.269059143960476, 0.6730247235298157, 2.9413493019342423, 1.9865231800079346, 1.823040822017938, 1.6579446077346802, 1.8086717030405999, 1.356771163344383, 2.8412135112285615, 2.2923732364177702, 2.6672320798039437, 0.5302893413603306, 1.2549849747493864, 1.4786263453960418, 1.4196275392174722, 1.6183660864830016, 0.8269406890869142, 0.7162906956672668, 1.3081324177980425, 1.8305090987682342, -0.763591605424881, -0.4150443011522293, -1.10432422041893, -0.7847815048694611, -0.5102265125513077, -1.4585731998085976]|-1184.2864990234375000|     37.03703704|[295, 42, 0, 21]                                                           | 
       4|[0.0979913568496704, -0.6702360469102859, -0.8427254420518875, -1.2347355252504348, -1.7864679962396621, -1.3706479841470718, -1.54788871884346, -0.979769295156002, -0.7928018605709076, -2.1048201262950896, -1.0065901087224485, -1.8560714769363402, -1.3208593529462815, -0.7540203785896301, -1.6077931757550687, -1.6266768985986708, -1.0709387603402138, -2.404886491298676, -1.6512399883382023, -0.7314205944538117, -0.4090679669380188, -0.9448530140519142, -1.4016947042942047, -0.2746455764770508, -1.4273303747177124, -0.9884656888991594, -2.2740089106559753, -0.5639565375447273, -0.6623045271635055, 0.5674570381641388, 0.1723598814010621, -1.2121238338947296, -0.6554644834995269, 0.1587778538558633, 0.2010069102048874, -1.3427693986892701, 1.2029165279865266, -0.3458692681789398, 0.414935781955719, 0.1931212931871414, 1.3121336138248443, 0.5175511837750673, 0.5297801078483462, 0.2778646150231361, 1.4533188946545124, 2.522483951449394, -0.604555516242981, 0.6362222763895988, 0.7491581791639328, 2.2614705115556717, 0.932506645321846, 1.9422124814987183, 1.0713992600515485, 1.2883500353991986, 0.1199478089809418, 2.028285992741585, 0.8780941587686538, 0.831995250582695, 1.06081683576107, 2.31970771625638, 0.7859064495563506, 2.3785355415940286, 0.2833911675214768, 1.897563140243292, 1.7715468943119048, 1.8701011760532857, 1.6172709726542234, 3.4757426458597185, 0.4539232575893402, 2.5825514912605287, 2.256049252152443, 2.6472185564041135, 2.0378652918338775, 2.380355706214905, 1.269059143960476, 0.6730247235298157, 2.9413493019342423, 1.9865231800079346, 1.823040822017938, 1.6579446077346802, 1.8086717030405999, 1.356771163344383, 2.8412135112285615, 2.2923732364177702, 2.6672320798039437, 0.5302893413603306, 1.2549849747493864, 1.4786263453960418, 1.4196275392174722, 1.6183660864830016, 0.8269406890869142, 0.7162906956672668, 1.3081324177980425, 1.8305090987682342, -0.763591605424881, -0.4150443011522293, -1.10432422041893, -0.7847815048694611, -0.5102265125513077, -1.4585731998085976]|-1184.2864990234375000|     11.11111111|[393, 56, 0, 28]                                                           | 
       5|[11.078665146827698, -1.0728377658128738, -1.2627844077348709, -1.6648415094614029, -2.2199758857488634, -1.801638382077217, -1.9711296188831329, -1.3906784412264823, -1.1874101793766023, -2.4797358453273772, -1.3589638279378415, -2.183561955690384, -1.6216005486249925, -1.0265889024734496, -1.8511768366675825, -1.8402441406249999, -1.2544089052081109, -2.558300815224648, -1.7749337376467884, -0.8259958282113076, -0.4753672936558724, -0.9839341516792774, -1.4148059501126409, -0.2632021161168814, -1.3928914740681648, -0.932712752148509, -2.1987243923544884, -0.4710037273168564, -0.5536082154512405, 0.6899290338158608, 0.3066143667697907, -1.0680887031555175, -0.5036433768272399, 0.3164125293586404, 0.3625191360712051, -1.1792660051584245, 1.366586784720421, -0.1837828558683395, 0.5737719529867172, 0.3471348971128464, 1.4598553961515426, 0.6576229781657457, 0.6609621078893542, 0.3990416774153709, 1.5635060004889965, 2.6208308628201484, -0.5187605383992195, 0.7088949340581894, 0.8082815387845039, 2.3067621029913425, 0.9638288004696369, 1.9595717419683933, 1.109760649241507, 1.278371797837317, 0.096872615814209, 1.9926739571988583, 0.8306336325407028, 0.7734970282018184, 0.9922075235843657, 2.2420221589505673, 0.7002793705463408, 2.286192263364792, 0.1856375086307526, 1.7957743884623052, 1.6671559676527976, 1.7645858897268774, 1.5121404268592595, 3.372522794008255, 0.3541415581107139, 2.4877207025885584, 2.167650400698185, 2.5666829806566236, 1.9665558370947838, 2.319547103494406, 1.2199174351990223, 0.6365858896076679, 2.918496987298131, 1.9779655707255006, 1.8292866404727102, 1.6792782500386239, 1.8451275093853474, 1.4081068147718905, 2.9068825709819794, 2.3714968079328536, 2.758569611608982, 0.6322085826098919, 1.3654310031607748, 1.5950898054242133, 1.5391119340062143, 1.7373542726039886, 0.9347964486479761, 0.8214795795083045, 1.3988014239072801, 1.9007058241963386, -0.720520905405283, -0.4064934281259776, -1.1384666326642037, -0.8706107926368714, -0.6575977152585983, -1.678245060145855]|-1259.3208007812500000|     37.03703704|[491, 70, 0, 35]                                                           | 
       6|[11.078665146827698, -1.0728377658128738, -1.2627844077348709, -1.6648415094614029, -2.2199758857488634, -1.801638382077217, -1.9711296188831329, -1.3906784412264823, -1.1874101793766023, -2.4797358453273772, -1.3589638279378415, -2.183561955690384, -1.6216005486249925, -1.0265889024734496, -1.8511768366675825, -1.8402441406249999, -1.2544089052081109, -2.558300815224648, -1.7749337376467884, -0.8259958282113076, -0.4753672936558724, -0.9839341516792774, -1.4148059501126409, -0.2632021161168814, -1.3928914740681648, -0.932712752148509, -2.1987243923544884, -0.4710037273168564, -0.5536082154512405, 0.6899290338158608, 0.3066143667697907, -1.0680887031555175, -0.5036433768272399, 0.3164125293586404, 0.3625191360712051, -1.1792660051584245, 1.366586784720421, -0.1837828558683395, 0.5737719529867172, 0.3471348971128464, 1.4598553961515426, 0.6576229781657457, 0.6609621078893542, 0.3990416774153709, 1.5635060004889965, 2.6208308628201484, -0.5187605383992195, 0.7088949340581894, 0.8082815387845039, 2.3067621029913425, 0.9638288004696369, 1.9595717419683933, 1.109760649241507, 1.278371797837317, 0.096872615814209, 1.9926739571988583, 0.8306336325407028, 0.7734970282018184, 0.9922075235843657, 2.2420221589505673, 0.7002793705463408, 2.286192263364792, 0.1856375086307526, 1.7957743884623052, 1.6671559676527976, 1.7645858897268774, 1.5121404268592595, 3.372522794008255, 0.3541415581107139, 2.4877207025885584, 2.167650400698185, 2.5666829806566236, 1.9665558370947838, 2.319547103494406, 1.2199174351990223, 0.6365858896076679, 2.918496987298131, 1.9779655707255006, 1.8292866404727102, 1.6792782500386239, 1.8451275093853474, 1.4081068147718905, 2.9068825709819794, 2.3714968079328536, 2.758569611608982, 0.6322085826098919, 1.3654310031607748, 1.5950898054242133, 1.5391119340062143, 1.7373542726039886, 0.9347964486479761, 0.8214795795083045, 1.3988014239072801, 1.9007058241963386, -0.720520905405283, -0.4064934281259776, -1.1384666326642037, -0.8706107926368714, -0.6575977152585983, -1.678245060145855]|-1259.3208007812500000|     11.11111111|[589, 84, 0, 42]                                                           | 
       7|[11.174452463388443, -1.16275485932827, -1.1689442855119705, -1.5761523386836052, -2.138669838011265, -1.7295656377077102, -1.9097836616635322, -1.3412206713855266, -1.1506938895583154, -2.4563295781612395, -1.349174057468772, -2.1874551355093717, -1.6390245136618615, -1.0571936300396918, -1.8944345537107439, -1.8954687939584254, -1.3207749742269517, -2.6348614913225177, -1.6825014398805798, -0.9197071671485901, -0.5758771830797196, -1.0899794946610928, -1.5250835506990552, -0.3763829918950796, -1.5076345428824425, -1.047677773758769, -2.312584410905838, -0.5824567613005638, -0.6613883292675018, 0.5870412766933442, 0.2097821509838105, -1.1577676239609718, -0.5851451438665389, 0.2440300121996553, 0.3001089937984943, -1.2309461677074434, 1.3262927633523942, -0.2121412780880928, 0.5577872575819492, 0.3438467377331108, 1.4694679424539208, 0.6802190673351287, 0.6965011985227465, 0.4473584616184235, 1.6243096448481082, 2.693704887330532, -0.4343576791882515, 0.8041611570119858, 0.9136235693097114, 2.4212727807462215, 1.0864844827353954, 2.0892360885441303, 1.245188973583281, 1.4182161856070161, 0.239687579870224, 2.1369228003919125, 0.9746954661607742, 0.9156743715703487, 1.130734604001045, 2.3750738225877286, 0.8259806936979293, 2.4026287001371385, 0.290865843296051, 1.8878341795504094, 1.7440817221999168, 1.8244198745489122, 1.5529460944980382, 3.392398882955313, 0.3512368212081491, 2.4602492924779655, 2.113907898813486, 2.4850630623102186, 1.8555675926804542, 2.17783300742507, 1.046271938830614, 0.4299746586382389, 2.6780768395215273, 1.7031050396338105, 1.51958701569587, 1.3345956459641457, 1.465595112591982, 0.9941582490503786, 2.459275381565094, 1.8913370782136916, 2.2473369970917703, 0.0917819707095623, 0.7981149478629233, 1.0036413791775702, 0.9267684438824655, 1.1078616321086883, 0.2924380263686182, 11.614817401468754, 0.7458597797155382, 1.2512721517682075, -1.3597112216055394, -1.0280131725221873, -1.7341639760136605, -1.4315758538246155, -1.1741284674406052, -2.139812581241131]|-1325.3215332031250000|     37.03703704|[687, 98, 0, 49]                                                           | 
       8|[11.174452463388443, -1.16275485932827, -1.1689442855119705, -1.5761523386836052, -2.138669838011265, -1.7295656377077102, -1.9097836616635322, -1.3412206713855266, -1.1506938895583154, -2.4563295781612395, -1.349174057468772, -2.1874551355093717, -1.6390245136618615, -1.0571936300396918, -1.8944345537107439, -1.8954687939584254, -1.3207749742269517, -2.6348614913225177, -1.6825014398805798, -0.9197071671485901, -0.5758771830797196, -1.0899794946610928, -1.5250835506990552, -0.3763829918950796, -1.5076345428824425, -1.047677773758769, -2.312584410905838, -0.5824567613005638, -0.6613883292675018, 0.5870412766933442, 0.2097821509838105, -1.1577676239609718, -0.5851451438665389, 0.2440300121996553, 0.3001089937984943, -1.2309461677074434, 1.3262927633523942, -0.2121412780880928, 0.5577872575819492, 0.3438467377331108, 1.4694679424539208, 0.6802190673351287, 0.6965011985227465, 0.4473584616184235, 1.6243096448481082, 2.693704887330532, -0.4343576791882515, 0.8041611570119858, 0.9136235693097114, 2.4212727807462215, 1.0864844827353954, 2.0892360885441303, 1.245188973583281, 1.4182161856070161, 0.239687579870224, 2.1369228003919125, 0.9746954661607742, 0.9156743715703487, 1.130734604001045, 2.3750738225877286, 0.8259806936979293, 2.4026287001371385, 0.290865843296051, 1.8878341795504094, 1.7440817221999168, 1.8244198745489122, 1.5529460944980382, 3.392398882955313, 0.3512368212081491, 2.4602492924779655, 2.113907898813486, 2.4850630623102186, 1.8555675926804542, 2.17783300742507, 1.046271938830614, 0.4299746586382389, 2.6780768395215273, 1.7031050396338105, 1.51958701569587, 1.3345956459641457, 1.465595112591982, 0.9941582490503786, 2.459275381565094, 1.8913370782136916, 2.2473369970917703, 0.0917819707095623, 0.7981149478629233, 1.0036413791775702, 0.9267684438824655, 1.1078616321086883, 0.2924380263686182, 11.614817401468754, 0.7458597797155382, 1.2512721517682075, -1.3597112216055394, -1.0280131725221873, -1.7341639760136605, -1.4315758538246155, -1.1741284674406052, -2.139812581241131]|-1325.3215332031250000|     11.11111111|[785, 112, 0, 56]                                                          | 
       9|[11.174452463388443, -1.16275485932827, -1.1689442855119705, -1.5761523386836052, -2.138669838011265, -1.7295656377077102, -1.9097836616635322, -1.3412206713855266, -1.1506938895583154, -2.4563295781612395, -1.349174057468772, -2.1874551355093717, -1.6390245136618615, -1.0571936300396918, -1.8944345537107439, -1.8954687939584254, -1.3207749742269517, -2.6348614913225177, -1.6825014398805798, -0.9197071671485901, -0.5758771830797196, -1.0899794946610928, -1.5250835506990552, -0.3763829918950796, -1.5076345428824425, -1.047677773758769, -2.312584410905838, -0.5824567613005638, -0.6613883292675018, 0.5870412766933442, 0.2097821509838105, -1.1577676239609718, -0.5851451438665389, 0.2440300121996553, 0.3001089937984943, -1.2309461677074434, 1.3262927633523942, -0.2121412780880928, 0.5577872575819492, 0.3438467377331108, 1.4694679424539208, 0.6802190673351287, 0.6965011985227465, 0.4473584616184235, 1.6243096448481082, 2.693704887330532, -0.4343576791882515, 0.8041611570119858, 0.9136235693097114, 2.4212727807462215, 1.0864844827353954, 2.0892360885441303, 1.245188973583281, 1.4182161856070161, 0.239687579870224, 2.1369228003919125, 0.9746954661607742, 0.9156743715703487, 1.130734604001045, 2.3750738225877286, 0.8259806936979293, 2.4026287001371385, 0.290865843296051, 1.8878341795504094, 1.7440817221999168, 1.8244198745489122, 1.5529460944980382, 3.392398882955313, 0.3512368212081491, 2.4602492924779655, 2.113907898813486, 2.4850630623102186, 1.8555675926804542, 2.17783300742507, 1.046271938830614, 0.4299746586382389, 2.6780768395215273, 1.7031050396338105, 1.51958701569587, 1.3345956459641457, 1.465595112591982, 0.9941582490503786, 2.459275381565094, 1.8913370782136916, 2.2473369970917703, 0.0917819707095623, 0.7981149478629233, 1.0036413791775702, 0.9267684438824655, 1.1078616321086883, 0.2924380263686182, 11.614817401468754, 0.7458597797155382, 1.2512721517682075, -1.3597112216055394, -1.0280131725221873, -1.7341639760136605, -1.4315758538246155, -1.1741284674406052, -2.139812581241131]|-1325.3215332031250000|      3.33333333|[883, 126, 0, 63]                                                          | 
