k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]                              |2818.4376450957302040|      1.00000000|[0, 0, 0, 0]                                                               | k=1
       1|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]                              |2818.4376450957302040|      0.30000000|[16, 1, 0, 1]                                                              | 
       2|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]                              |2818.4376450957302040|      0.09000000|[31, 2, 0, 2]                                                              | 
       3|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]                              |2818.4376450957302040|      0.02700000|[46, 3, 0, 3]                                                              | 
       4|[-0.0077507980167866, -0.0077536976896226, 0.0025075019802898, 0.0020579972770065, 0.004080964718014, -0.0007118458743207, 0.002405657665804, 0.0035311931278557, -0.0036117280833423, 0.9982477745506912]|2743.9106445312500000|      0.09000000|[61, 4, 0, 4]                                                              | 
       5|[0.0064860684797168, -0.0438490486703813, -0.0037337376270443, 0.0081100522074848, -0.0019998783245683, 0.0039245265652426, 0.0086391519289464, 0.0202041340526193, 0.0019618081860244, 1.004369604634121]|2726.4316406250000000|      0.30000000|[76, 5, 0, 5]                                                              | 
       6|[0.0064860684797168, -0.0438490486703813, -0.0037337376270443, 0.0081100522074848, -0.0019998783245683, 0.0039245265652426, 0.0086391519289464, 0.0202041340526193, 0.0019618081860244, 1.004369604634121]|2726.4316406250000000|      0.09000000|[91, 6, 0, 6]                                                              | 
       7|[0.0961600420996547, -0.0465875607915223, -0.0051015152130276, 0.0064003301085904, -0.0040515447035432, 0.0015309155569412, 0.0059035967569798, 0.0171266342513263, 0.0042521101422608, 1.000608216272667]|2715.6406250000000000|      0.30000000|[106, 7, 0, 7]                                                             | 
       8|[0.0961600420996547, -0.0465875607915223, -0.0051015152130276, 0.0064003301085904, -0.0040515447035432, 0.0015309155569412, 0.0059035967569798, 0.0171266342513263, 0.0042521101422608, 1.000608216272667]|2715.6406250000000000|      0.09000000|[121, 8, 0, 8]                                                             | 
       9|[0.0961600420996547, -0.0465875607915223, -0.0051015152130276, 0.0064003301085904, -0.0040515447035432, 0.0015309155569412, 0.0059035967569798, 0.0171266342513263, 0.0042521101422608, 1.000608216272667]|2715.6406250000000000|      0.02700000|[136, 9, 0, 9]                                                             | 
