k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]                     |  7.1860500120595514|      1.00000000|[0, 0, 0, 0]                                                               | k=1
       1|[0.9885446624830365, -0.0081692934036255, -1.0356725491583347, -1.0085160499438643, -1.0343660116195679, -1.040093682706356, -1.045821350067854, -1.051549021154642, -1.05727668851614, -1.0630043596029282]|  3.2810542583465576|      3.33333333|[16, 1, 0, 1]                                                              | 
       2|[0.9885446624830365, -0.0081692934036255, -1.0356725491583347, -1.0085160499438643, -1.0343660116195679, -1.040093682706356, -1.045821350067854, -1.051549021154642, -1.05727668851614, -1.0630043596029282]|  3.2810542583465576|      1.00000000|[31, 2, 0, 2]                                                              | 
       3|[0.9731621677055955, -0.031243035569787, -0.0502421893179417, -1.046972288750112, -1.080513495951891, -0.9807384014129639, -1.107351329177618, -1.1207702495157719, -0.984536811709404, -1.1476080790162086]|  2.6514353752136230|      3.33333333|[46, 3, 0, 3]                                                              | 
       4|[0.9731621677055955, -0.031243035569787, -0.0502421893179417, -1.046972288750112, -1.080513495951891, -0.9807384014129639, -1.107351329177618, -1.1207702495157719, -0.984536811709404, -1.1476080790162086]|  2.6514353752136230|      1.00000000|[61, 4, 0, 4]                                                              | 
       5|[0.9577796729281545, -0.0543167777359486, 0.9351881705224514, -1.0854285275563598, -1.126660980284214, -1.0345771349966526, -1.1959922350943089, -1.1899914778769016, -1.0614492893218994, -1.0920516476035118]|  0.8264898061752319|      3.33333333|[76, 5, 0, 5]                                                              | 
       6|[0.9577796729281545, -0.0543167777359486, 0.9351881705224514, -1.0854285275563598, -1.126660980284214, -1.0345771349966526, -1.1959922350943089, -1.1899914778769016, -1.0614492893218994, -1.0920516476035118]|  0.8264898061752319|      1.00000000|[91, 6, 0, 6]                                                              | 
       7|[0.9577796729281545, -0.0543167777359486, 0.9351881705224514, -1.0854285275563598, -1.126660980284214, -1.0345771349966526, -1.1959922350943089, -1.1899914778769016, -1.0614492893218994, -1.0920516476035118]|  0.8264898061752319|      0.30000000|[106, 7, 0, 7]                                                             | 
       8|[0.9577796729281545, -0.0543167777359486, 0.9351881705224514, -1.0854285275563598, -1.126660980284214, -1.0345771349966526, -1.1959922350943089, -1.1899914778769016, -1.0614492893218994, -1.0920516476035118]|  0.8264898061752319|      0.09000000|[121, 8, 0, 8]                                                             | 
       9|[0.8913936289027333, -0.0715033896267414, 0.9797008968889713, -1.142920489422977, -1.1780063435435295, -1.0370995316188782, -1.1545520424842834, -1.3015725500881672, -1.0795747376978397, -1.1646597981452942]|  0.6092586517333984|      0.30000000|[136, 9, 0, 9]                                                             | 
      10|[0.8802446750923991, -0.0882268212735653, 0.9574029892683029, -1.170792874880135, -1.2114532068371773, -1.0008204120676965, -1.1991478577256203, -1.0244006104767323, -1.135319508612156, -1.1016793102025986]|  0.2580779194831848|      1.00000000|[151, 10, 0, 10]                                                           | 
