k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1000.0, 1000.0, 400.0, 40.0, 0.7, 0.3, 0.03]                                   |4528124.6035751951858401|      1.00000000|[0, 0, 0, 0]                                                               | k=2
       1|[999.8016355782747, 999.661284416914, 399.1693614125252, 39.76569011807442, 0.6982951660640537, 0.4683634519577026, -0.239652783870697]|3931344.2500000000000000|      3.33333333|[15, 2, 0, 1]                                                              | 
       2|[1000.7321103364229, 999.9128231704235, 398.5985127687454, 38.55624940991402, 0.8974462349899113, 0.3736197084188461, -0.1325547856092453]|1293700.6250000000000000|     11.11111111|[29, 4, 0, 2]                                                              | 
       3|[1000.7321103364229, 999.9128231704235, 398.5985127687454, 38.55624940991402, 0.8974462349899113, 0.3736197084188461, -0.1325547856092453]|1293700.6250000000000000|      3.33333333|[43, 6, 0, 3]                                                              | 
       4|[1000.7321103364229, 999.9128231704235, 398.5985127687454, 38.55624940991402, 0.8974462349899113, 0.3736197084188461, -0.1325547856092453]|1293700.6250000000000000|      1.00000000|[57, 8, 0, 4]                                                              | 
       5|[1001.106329664588, 999.794171154499, 398.60147981136106, 38.82101684808731, 1.0479408104903996, 0.3264473371207714, -0.1625071459263563]|1078248.1250000000000000|      3.33333333|[71, 10, 0, 5]                                                             | 
       6|[1001.106329664588, 999.794171154499, 398.60147981136106, 38.82101684808731, 1.0479408104903996, 0.3264473371207714, -0.1625071459263563]|1078248.1250000000000000|      1.00000000|[85, 12, 0, 6]                                                             | 
       7|[1001.106329664588, 999.794171154499, 398.60147981136106, 38.82101684808731, 1.0479408104903996, 0.3264473371207714, -0.1625071459263563]|1078248.1250000000000000|      0.30000000|[99, 14, 0, 7]                                                             | 
       8|[1001.106329664588, 999.794171154499, 398.60147981136106, 38.82101684808731, 1.0479408104903996, 0.3264473371207714, -0.1625071459263563]|1078248.1250000000000000|      0.09000000|[113, 16, 0, 8]                                                            | 
       9|[1001.1008402286097, 999.7782254163176, 398.5769265142735, 38.90163291990757, 1.0242152803577482, 0.3151655916124582, -0.1576484989188612]|1073517.0000000000000000|      0.30000000|[127, 18, 0, 9]                                                            | 
      10|[1001.1008402286097, 999.7782254163176, 398.5769265142735, 38.90163291990757, 1.0242152803577482, 0.3151655916124582, -0.1576484989188612]|1073517.0000000000000000|      0.09000000|[141, 20, 0, 10]                                                           | 
      11|[1001.0690432591364, 999.7611984927207, 398.56861581630073, 38.90630653081462, 1.0224649915937334, 0.3388378500938415, -0.1493006150983274]|1054639.0000000000000000|      0.30000000|[155, 22, 0, 11]                                                           | 
      12|[1001.0690432591364, 999.7611984927207, 398.56861581630073, 38.90630653081462, 1.0224649915937334, 0.3388378500938415, -0.1493006150983274]|1054639.0000000000000000|      0.09000000|[169, 24, 0, 12]                                                           | 
      13|[1001.1078016748652, 999.7592477909056, 398.5686346684088, 38.88581112539396, 0.9710748615209013, 0.2837600328028202, -0.1269532039575279]|1027904.8750000000000000|      0.30000000|[183, 26, 0, 13]                                                           | 
      14|[1001.1078016748652, 999.7592477909056, 398.5686346684088, 38.88581112539396, 0.9710748615209013, 0.2837600328028202, -0.1269532039575279]|1027904.8750000000000000|      0.09000000|[197, 28, 0, 14]                                                           | 
      15|[1001.1138289575465, 999.7830775304465, 398.53981854770973, 38.86825227504596, 0.9780742638278752, 0.2970672195777297, -0.119465839844197]|1012317.6875000000000000|      0.30000000|[211, 30, 0, 15]                                                           | 
      16|[1001.1138289575465, 999.7830775304465, 398.53981854770973, 38.86825227504596, 0.9780742638278752, 0.2970672195777297, -0.119465839844197]|1012317.6875000000000000|      0.09000000|[225, 32, 0, 16]                                                           | 
      17|[1001.0959761594422, 999.7525931260316, 398.6182997897704, 38.84716438455507, 0.9762651526136323, 0.312219930998981, -0.123351373039186]|1008222.4375000000000000|      0.30000000|[239, 34, 0, 17]                                                           | 
      18|[1001.0959761594422, 999.7525931260316, 398.6182997897704, 38.84716438455507, 0.9762651526136323, 0.312219930998981, -0.123351373039186]|1008222.4375000000000000|      0.09000000|[253, 36, 0, 18]                                                           | 
      19|[1001.0959761594422, 999.7525931260316, 398.6182997897704, 38.84716438455507, 0.9762651526136323, 0.312219930998981, -0.123351373039186]|1008222.4375000000000000|      0.02700000|[267, 38, 0, 19]                                                           | 
