k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1000.0, 1000.0, 400.0, 40.0, 0.7, 0.3, 0.03]                                   |4528124.6035751951858401|      1.00000000|[0, 0, 0, 0]                                                               | k=1
       1|[999.9738951139152, 999.926639854908, 399.9021864756942, 40.94528388977051, 0.553279709815979, 0.4760989129543304, -0.1656270486116409]|2999449.7500000000000000|      3.33333333|[7, 2, 0, 2]                                                               | 
       2|[999.9738951139152, 999.926639854908, 399.9021864756942, 40.94528388977051, 0.553279709815979, 0.4760989129543304, -0.1656270486116409]|2999449.7500000000000000|      1.00000000|[13, 4, 0, 4]                                                              | 
       3|[999.9738951139152, 999.926639854908, 399.9021864756942, 40.94528388977051, 0.553279709815979, 0.4760989129543304, -0.1656270486116409]|2999449.7500000000000000|      0.30000000|[19, 6, 0, 6]                                                              | 
       4|[999.9738951139152, 999.926639854908, 399.9021864756942, 40.94528388977051, 0.553279709815979, 0.4760989129543304, -0.1656270486116409]|2999449.7500000000000000|      0.09000000|[25, 8, 0, 8]                                                              | 
       5|[999.9672729461454, 999.9167066030204, 399.88894214015454, 40.928728472441435, 0.5334132060408592, 0.5413371801376343, -0.1121735808253288]|2625962.0000000000000000|      0.30000000|[28, 9, 0, 9]                                                              | 
       6|[999.9490992478095, 999.8894460555166, 399.85259474348277, 40.883294224739075, 0.8093976721167564, 0.477390106022358, -0.1848683741688728]|2109492.5000000000000000|      1.00000000|[31, 10, 0, 10]                                                            | 
       7|[999.9490992478095, 999.8894460555166, 399.85259474348277, 40.883294224739075, 0.8093976721167564, 0.477390106022358, -0.1848683741688728]|2109492.5000000000000000|      0.30000000|[37, 12, 0, 12]                                                            | 
       8|[999.9344272189774, 999.8674380108714, 399.8232506858185, 41.14988338947296, 0.7653815828263759, 0.4260380037128926, -0.0717530634999275]|1728115.3750000000000000|      1.00000000|[40, 13, 0, 13]                                                            | 
       9|[999.9344272189774, 999.8674380108714, 399.8232506858185, 41.14988338947296, 0.7653815828263759, 0.4260380037128926, -0.0717530634999275]|1728115.3750000000000000|      0.30000000|[46, 15, 0, 15]                                                            | 
      10|[999.9162535206415, 999.8401774633676, 399.88420399371535, 41.1044491417706, 1.0414443992078304, 0.3853956863284111, -0.1444478568434715]|1165205.2500000000000000|      1.00000000|[49, 16, 0, 16]                                                            | 
      11|[999.9162535206415, 999.8401774633676, 399.88420399371535, 41.1044491417706, 1.0414443992078304, 0.3853956863284111, -0.1444478568434715]|1165205.2500000000000000|      0.30000000|[55, 18, 0, 18]                                                            | 
      12|[999.9162535206415, 999.8401774633676, 399.88420399371535, 41.1044491417706, 1.0414443992078304, 0.3853956863284111, -0.1444478568434715]|1165205.2500000000000000|      0.09000000|[61, 20, 0, 20]                                                            | 
