k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]| 15.0000174966258228|      1.00000000|[0, 0, 0, 0]                                                               | k=8
       1|[0.6347029209136963, -0.021151952445507, 0.5189787149429321, 0.223233625292778, 0.1194821819663048, -0.1940485686063766, -0.6287961006164551, 0.178408607840538, 0.1431143283843994, -0.0019103090744466, -0.6426910161972046, 3.71665155399e-05, -0.5601469278335571, -0.6352365016937256, 0.8060784935951233, -0.5639885663986206, -0.09119813144207, 0.02353735268116, 0.592667818069458, -0.157375231385231, -0.50699383020401, 0.1943682730197906]| 13.7255678176879883|      3.33333333|[57, 8, 0, 1]                                                              | 
       2|[1.5364884734153748, 0.2964068129658699, 2.15773868560791, 1.6221743077039719, -0.931982971727848, -1.6126469820737839, -1.8622033596038818, -0.386426106095314, -1.4293713569641113, 1.4870406587142497, -1.2709416151046753, -2.601670053561975, 0.5054198503494263, -1.4007940292358398, 0.1450791954994202, -3.246987223625183, -0.3858250826597214, 1.8678828030824661, 0.1407778561115265, -0.0800046026706696, -0.2218818664550781, 3.1842524111270905]| 12.1454963684082031|     11.11111111|[113, 16, 0, 2]                                                            | 
       3|[0.5643932223320007, 1.4864544346928596, 4.7119364738464355, 1.8169428706169128, -0.3933122530579567, 0.5099128037691116, -1.1312968134880066, -1.7813121229410172, -1.528013564646244, 0.3607890803832561, -3.3318599462509155, -2.0155503421628964, 0.1384062469005585, -3.1761229038238525, -2.932813823223114, 5.234434247016907, -3.710998460650444, -0.2698008269071579, -0.5423892438411713, 0.3006567656993866, 0.4261842370033264, 3.3760050535202026]| 12.1427040100097656|     37.03703704|[169, 24, 0, 3]                                                            | 
       4|[-2.6759243607521057, 5.453279919922352, 13.225928783416748, 2.466171443462372, 1.402256928384304, -6.435508415102959, -5.82844752073288, -6.430932655930519, -1.8568209186196327, -3.393383006332442, -8.905527949333191, -0.0618178516233456, -1.0849724113941193, -9.093886137008667, -13.192457377910614, 33.50584042072296, -14.794910356402397, -7.395413085818291, -3.1891470849514008, 1.5695280730724335, 2.5864046216011047, 4.015180587768555]| 12.1413383483886719|    123.45679012|[225, 32, 0, 4]                                                            | 
       5|[-2.6759243607521057, 5.453279919922352, 13.225928783416748, 2.466171443462372, 1.402256928384304, -6.435508415102959, -5.82844752073288, -6.430932655930519, -1.8568209186196327, -3.393383006332442, -8.905527949333191, -0.0618178516233456, -1.0849724113941193, -9.093886137008667, -13.192457377910614, 33.50584042072296, -14.794910356402397, -7.395413085818291, -3.1891470849514008, 1.5695280730724335, 2.5864046216011047, 4.015180587768555]| 12.1413383483886719|     37.03703704|[281, 40, 0, 5]                                                            | 
       6|[-2.6759243607521057, 5.453279919922352, 13.225928783416748, 2.466171443462372, 1.402256928384304, -6.435508415102959, -5.82844752073288, -6.430932655930519, -1.8568209186196327, -3.393383006332442, -8.905527949333191, -0.0618178516233456, -1.0849724113941193, -9.093886137008667, -13.192457377910614, 33.50584042072296, -14.794910356402397, -7.395413085818291, -3.1891470849514008, 1.5695280730724335, 2.5864046216011047, 4.015180587768555]| 12.1413383483886719|     11.11111111|[337, 48, 0, 6]                                                            | 
       7|[-2.6759243607521057, 5.453279919922352, 13.225928783416748, 2.466171443462372, 1.402256928384304, -6.435508415102959, -5.82844752073288, -6.430932655930519, -1.8568209186196327, -3.393383006332442, -8.905527949333191, -0.0618178516233456, -1.0849724113941193, -9.093886137008667, -13.192457377910614, 33.50584042072296, -14.794910356402397, -7.395413085818291, -3.1891470849514008, 1.5695280730724335, 2.5864046216011047, 4.015180587768555]| 12.1413383483886719|      3.33333333|[393, 56, 0, 7]                                                            | 
       8|[-2.2694368958473206, 5.252462707459927, 13.207752984017134, 2.300253927707672, 1.1840888038277626, -7.647364541888237, -6.171800971031189, -6.946844592690468, -1.692819394171238, -3.3337894219439477, -8.584312826395035, 0.4531195491945255, -0.9632799103856087, -9.191908434033394, -13.069141179323196, 33.8221400976181, -14.976851388812065, -7.527222529053688, -3.167883213609457, 1.5109308958053589, 2.696433797478676, 4.213129863142967]| 12.1371927261352539|     11.11111111|[449, 64, 0, 8]                                                            | 
       9|[-3.2415321469306946, 6.442510329186916, 15.761950772255659, 2.495022490620613, 1.722759522497654, -5.5248047560453415, -7.580946087837219, -8.341730609536171, -1.831314168870449, -4.460041000274941, -10.256413131952286, -0.1248820095861447, -1.3302935138344765, -10.967237308621407, -16.14703419804573, 42.30356156826019, -18.302024766802788, -9.664906159043312, -3.8510503135621548, 1.891592264175415, 3.3444999009370804, 4.404882505536079]| 12.1357583999633789|     37.03703704|[505, 72, 0, 9]                                                            | 
      10|[-3.2415321469306946, 6.442510329186916, 15.761950772255659, 2.495022490620613, 1.722759522497654, -5.5248047560453415, -7.580946087837219, -8.341730609536171, -1.831314168870449, -4.460041000274941, -10.256413131952286, -0.1248820095861447, -1.3302935138344765, -10.967237308621407, -16.14703419804573, 42.30356156826019, -18.302024766802788, -9.664906159043312, -3.8510503135621548, 1.891592264175415, 3.3444999009370804, 4.404882505536079]| 12.1357583999633789|     11.11111111|[561, 80, 0, 10]                                                           | 
      11|[-4.213627398014069, 7.632557950913906, 18.316148560494184, 2.689791053533554, 2.2614302411675453, -3.402244970202446, -8.99009120464325, -9.736616626381874, -1.9299563765525818, -5.586292578605935, -8.725419908761978, 0.4612377018129337, -0.5643442049622536, -12.74256618320942, -19.224927216768265, 50.78498303890228, -21.62719814479351, -11.802589789032936, -4.5342174135148525, 2.272253632545471, 3.992566004395485, 4.596635147929192]| 12.1354236602783203|     37.03703704|[617, 88, 0, 11]                                                           | 
      12|[-15.810713350772858, 8.541580460965633, 14.159951966255903, 12.625172942876816, 8.561818100512028, 10.10797269642353, -15.740439772605896, -16.465859428048134, -1.2115493416786194, -9.40229923906736, -16.008151441812515, 2.852353844085883, -0.0747724249958992, -14.771789386868477, -22.562706738710403, 48.58119833469391, -20.696099564433098, -8.002909794449806, 2.555313054472208, 0.044603705406189, -8.122486218810081, -17.671627715229988]| 12.1101608276367188|    123.45679012|[673, 96, 0, 12]                                                           | 
      13|[-15.810713350772858, 8.541580460965633, 14.159951966255903, 12.625172942876816, 8.561818100512028, 10.10797269642353, -15.740439772605896, -16.465859428048134, -1.2115493416786194, -9.40229923906736, -16.008151441812515, 2.852353844085883, -0.0747724249958992, -14.771789386868477, -22.562706738710403, 48.58119833469391, -20.696099564433098, -8.002909794449806, 2.555313054472208, 0.044603705406189, -8.122486218810081, -17.671627715229988]| 12.1101608276367188|     37.03703704|[729, 104, 0, 13]                                                          | 
