k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.01, 0.00037, 1e-05, 0.0979798, 0.000167, 1e-05]                    |3359.7648016902749077|      1.00000000|[0, 0, 0, 0]                                                               | k=2
       1|[0.0, 0.0, 0.01, 0.00037, 1e-05, 0.0979798, 0.000167, 1e-05]                    |3359.7648016902749077|      0.30000000|[15, 2, 0, 1]                                                              | 
       2|[0.0, 0.0, 0.01, 0.00037, 1e-05, 0.0979798, 0.000167, 1e-05]                    |3359.7648016902749077|      0.09000000|[29, 4, 0, 2]                                                              | 
       3|[0.0, 0.0, 0.01, 0.00037, 1e-05, 0.0979798, 0.000167, 1e-05]                    |3359.7648016902749077|      0.02700000|[43, 6, 0, 3]                                                              | 
       4|[0.0, 0.0, 0.01, 0.00037, 1e-05, 0.0979798, 0.000167, 1e-05]                    |3359.7648016902749077|      0.00810000|[57, 8, 0, 4]                                                              | 
       5|[0.0, 0.0, 0.01, 0.00037, 1e-05, 0.0979798, 0.000167, 1e-05]                    |3359.7648016902749077|      0.00243000|[71, 10, 0, 5]                                                             | 
       6|[0.0, 0.0, 0.01, 0.00037, 1e-05, 0.0979798, 0.000167, 1e-05]                    |3359.7648016902749077|      0.00072900|[85, 12, 0, 6]                                                             | 
       7|[0.0, 0.0, 0.01, 0.00037, 1e-05, 0.0979798, 0.000167, 1e-05]                    |3359.7648016902749077|      0.00021870|[99, 14, 0, 7]                                                             | 
       8|[-9.3645412562e-06, 6.42571321805e-05, 0.010005257947123, 0.0004361920421408, 6.00622008985e-05, 0.0980039067118623, 0.0001795694159578, 1.92934888016e-05]|2629.9899902343750000|      0.00072900|[113, 16, 0, 8]                                                            | 
       9|[-9.3645412562e-06, 6.42571321805e-05, 0.010005257947123, 0.0004361920421408, 6.00622008985e-05, 0.0980039067118623, 0.0001795694159578, 1.92934888016e-05]|2629.9899902343750000|      0.00021870|[127, 18, 0, 9]                                                            | 
