k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[-3.5, 1.0, 0.0, 0.0, 1.7, 0.0, 0.0, 0.0]                                       |8231.2750672685615427|      1.00000000|[0, 0, 0, 0]                                                               | k=4
       1|[-3.5, 1.0, 0.0, 0.0, 1.7, 0.0, 0.0, 0.0]                                       |8231.2750672685615427|      0.30000000|[13, 4, 0, 1]                                                              | 
       2|[-3.5, 1.0, 0.0, 0.0, 1.7, 0.0, 0.0, 0.0]                                       |8231.2750672685615427|      0.09000000|[25, 8, 0, 2]                                                              | 
       3|[-3.4105626717209816, 0.9981985345948488, 0.003754255361855, -0.0008304258226417, 1.6963970691896975, -0.004203419201076, -0.0048039075918496, -0.0054043959826231]|4174.8403320312500000|      0.30000000|[37, 12, 0, 3]                                                             | 
       4|[-3.4105626717209816, 0.9981985345948488, 0.003754255361855, -0.0008304258226417, 1.6963970691896975, -0.004203419201076, -0.0048039075918496, -0.0054043959826231]|4174.8403320312500000|      0.09000000|[49, 16, 0, 4]                                                             | 
       5|[-3.4105626717209816, 0.9981985345948488, 0.003754255361855, -0.0008304258226417, 1.6963970691896975, -0.004203419201076, -0.0048039075918496, -0.0054043959826231]|4174.8403320312500000|      0.02700000|[61, 20, 0, 5]                                                             | 
       6|[-3.4105626717209816, 0.9981985345948488, 0.003754255361855, -0.0008304258226417, 1.6963970691896975, -0.004203419201076, -0.0048039075918496, -0.0054043959826231]|4174.8403320312500000|      0.00810000|[73, 24, 0, 6]                                                             | 
       7|[-3.409138345043175, 0.9986887305276468, 0.0008506902959198, -0.0003187393886037, 1.6955088762799277, -0.0041386769225937, -0.0029995845397934, -0.0065843659685925]|2742.4013671875000000|      0.02700000|[85, 28, 0, 7]                                                             | 
       8|[-3.3823071465594694, 0.9981482909061015, 0.0001301041920669, -0.0004924832464894, 1.694427997036837, -0.0056785853885231, -0.0044407567474991, -0.0082056847168133]|1862.1989746093750000|      0.09000000|[97, 32, 0, 8]                                                             | 
       9|[-3.3823071465594694, 0.9981482909061015, 0.0001301041920669, -0.0004924832464894, 1.694427997036837, -0.0056785853885231, -0.0044407567474991, -0.0082056847168133]|1862.1989746093750000|      0.02700000|[109, 36, 0, 9]                                                            | 
      10|[-3.3823071465594694, 0.9981482909061015, 0.0001301041920669, -0.0004924832464894, 1.694427997036837, -0.0056785853885231, -0.0044407567474991, -0.0082056847168133]|1862.1989746093750000|      0.00810000|[121, 40, 0, 10]                                                           | 
      11|[-3.3823071465594694, 0.9981482909061015, 0.0001301041920669, -0.0004924832464894, 1.694427997036837, -0.0056785853885231, -0.0044407567474991, -0.0082056847168133]|1862.1989746093750000|      0.00243000|[133, 44, 0, 11]                                                           | 
      12|[-3.3823071465594694, 0.9981482909061015, 0.0001301041920669, -0.0004924832464894, 1.694427997036837, -0.0056785853885231, -0.0044407567474991, -0.0082056847168133]|1862.1989746093750000|      0.00072900|[145, 48, 0, 12]                                                           | 
      13|[-3.381582704198081, 0.9981336990367708, 0.0001106483668991, -0.0005168030274945, 1.6943988132981758, -0.0057126330830215, -0.00438292634135, -0.008214961791964]|1500.2109375000000000|      0.00243000|[157, 52, 0, 13]                                                           | 
      14|[-3.381582704198081, 0.9981336990367708, 0.0001106483668991, -0.0005168030274945, 1.6943988132981758, -0.0057126330830215, -0.00438292634135, -0.008214961791964]|1500.2109375000000000|      0.00072900|[169, 56, 0, 14]                                                           | 
      15|[-3.381582704198081, 0.9981336990367708, 0.0001106483668991, -0.0005168030274945, 1.6943988132981758, -0.0057126330830215, -0.00438292634135, -0.008214961791964]|1500.2109375000000000|      0.00021870|[181, 60, 0, 15]                                                           | 
      16|[-3.381595867291253, 0.9981139543961035, -4.12109529861e-05, -0.0005497107613337, 1.694359324016841, -0.0057587039082136, -0.0042567050077196, -0.008274195712147]|1204.1885986328125000|      0.00072900|[193, 64, 0, 16]                                                           | 
