k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[-3.5, 1.0, 0.0, 0.0, 1.7, 0.0, 0.0, 0.0]                                       |8231.2750672685615427|      1.00000000|[0, 0, 0, 0]                                                               | k=0
       1|[-3.5, 1.0, 0.0, 0.0, 1.7, 0.0, 0.0, 0.0]                                       |8231.2750672685615427|      0.30000000|[13, 0, 0, 3]                                                              | 
       2|[-3.5, 1.0, 0.0, 0.0, 1.7, 0.0, 0.0, 0.0]                                       |8231.2750672685615427|      0.09000000|[25, 0, 0, 6]                                                              | 
       3|[-3.5, 1.0, 0.0, 0.0, 1.7, 0.0, 0.0, 0.0]                                       |8231.2750672685615427|      0.02700000|[37, 0, 0, 9]                                                              | 
       4|[-3.5, 1.0, 0.0, 0.0, 1.7, 0.0, 0.0, 0.0]                                       |8231.2750672685615427|      0.00810000|[49, 0, 0, 12]                                                             | 
       5|[-3.492707152850926, 0.9988997020991519, -0.0008617275161669, -0.0005670434911735, 1.699742284126114, 2.47855186899e-05, -0.0031566829420626, 0.0003434300015215]|2756.8864746093750000|      0.02700000|[53, 0, 0, 13]                                                             | 
       6|[-3.492707152850926, 0.9988997020991519, -0.0008617275161669, -0.0005670434911735, 1.699742284126114, 2.47855186899e-05, -0.0031566829420626, 0.0003434300015215]|2756.8864746093750000|      0.00810000|[65, 0, 0, 16]                                                             | 
       7|[-3.492707152850926, 0.9988997020991519, -0.0008617275161669, -0.0005670434911735, 1.699742284126114, 2.47855186899e-05, -0.0031566829420626, 0.0003434300015215]|2756.8864746093750000|      0.00243000|[77, 0, 0, 19]                                                             | 
       8|[-3.492707152850926, 0.9988997020991519, -0.0008617275161669, -0.0005670434911735, 1.699742284126114, 2.47855186899e-05, -0.0031566829420626, 0.0003434300015215]|2756.8864746093750000|      0.00072900|[89, 0, 0, 22]                                                             | 
       9|[-3.4927679555257782, 0.9990482524444815, -0.0006542825722136, -0.0003640389768407, 1.6996401898388285, -9.63471266004e-05, -0.0036601378815249, 0.0007214106153697]|2364.6552734375000000|      0.00243000|[93, 0, 0, 23]                                                             | 
      10|[-3.492851383954985, 0.9987181630858686, -0.0009128008387052, -0.0005341520154616, 1.6995628750766627, -8.89114712663e-05, -0.0035884406461264, 0.0031051132827997]|1979.0167236328125000|      0.00810000|[101, 0, 0, 25]                                                            | 
