k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[10.0, 10.0, 10.0, 10.0, 0.0, 0.0, 0.0, 0.0]                                    |1607.3529257951240652|      1.00000000|[0, 0, 0, 0]                                                               | k=0
       1|[10.49052232503891, 9.641960829496384, 8.790584921836853, 8.76383924484253, 0.4887529313564301, -0.5759022235870361, -0.1271359026432037, -0.2317570596933365]|1572.2537841796875000|      3.33333333|[13, 0, 0, 3]                                                              | 
       2|[10.423199743032455, 10.301141411066055, 5.568299651145935, 8.595532789826393, 0.2867851853370667, -0.8115312457084656, -0.3964262306690216, -0.5347086638212204]|1290.9809570312500000|     11.11111111|[25, 0, 0, 6]                                                              | 
       3|[-1.0822495520114899, 13.150009781122208, 1.3118523359298706, 3.92672099173069, -11.646168649196625, 12.064373791217804, -2.6844690144062042, -0.5677102617919445]|943.3673095703125000|     37.03703704|[37, 0, 0, 9]                                                              | 
       4|[4.987460225820541, 9.234663158655167, -3.908609986305237, -2.5988565534353256, -19.476861894130707, 19.374293625354767, -13.125393658876419, 31.463005680590868]|512.7258300781250000|    123.45679012|[49, 0, 0, 12]                                                             | 
       5|[4.987460225820541, 9.234663158655167, -3.908609986305237, -2.5988565534353256, -19.476861894130707, 19.374293625354767, -13.125393658876419, 31.463005680590868]|512.7258300781250000|     37.03703704|[61, 0, 0, 15]                                                             | 
       6|[4.987460225820541, 9.234663158655167, -3.908609986305237, -2.5988565534353256, -19.476861894130707, 19.374293625354767, -13.125393658876419, 31.463005680590868]|512.7258300781250000|     11.11111111|[73, 0, 0, 18]                                                             | 
       7|[4.6021095514297485, 8.656637161970139, -2.1892030239105225, 8.070807829499245, -20.632913887500763, 18.025566279888153, -13.241765886545181, 29.72892763093114]|403.6387634277343750|     37.03703704|[85, 0, 0, 21]                                                             | 
       8|[4.6021095514297485, 8.656637161970139, -2.1892030239105225, 8.070807829499245, -20.632913887500763, 18.025566279888153, -13.241765886545181, 29.72892763093114]|403.6387634277343750|     11.11111111|[97, 0, 0, 24]                                                             | 
       9|[4.6021095514297485, 8.656637161970139, -2.1892030239105225, 8.070807829499245, -20.632913887500763, 18.025566279888153, -13.241765886545181, 29.72892763093114]|403.6387634277343750|      3.33333333|[109, 0, 0, 27]                                                            | 
      10|[1.3266438245773315, 8.382101744413376, -2.3238481879234314, 7.9025013744831085, -20.834881633520126, 17.789937257766724, -13.511056214571, 29.425976026803255]|359.3063049316406250|     11.11111111|[121, 0, 0, 30]                                                            | 
      11|[0.4639042019844055, 5.668524950742722, -3.687537133693695, 8.718874722719193, -19.75358435511589, 16.96554344892502, -10.894386321306229, 32.82222007587552]|235.9533081054687500|     37.03703704|[133, 0, 0, 33]                                                            | 
      12|[0.4639042019844055, 5.668524950742722, -3.687537133693695, 8.718874722719193, -19.75358435511589, 16.96554344892502, -10.894386321306229, 32.82222007587552]|235.9533081054687500|     11.11111111|[145, 0, 0, 36]                                                            | 
