k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0]                                                            | 13.0000000000000000|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.8832238006604046, -0.1260700708268379, 0.4477112046263186, 0.0598057893581934]|  9.6922749684304943|      2.00000000|[4, 1, 1, 2]                                                               |  | used linear model with 5 points | iterate success | actual_k=1
       2|[0.8832238006604046, -0.1260700708268379, 0.4477112046263186, 0.0598057893581934]|  9.6922749684304943|      1.00000000|[8, 2, 2, 4]                                                               |  | used linear model with 5 points | iterate failure | actual_k=1
       3|[0.8832238006604046, -0.1260700708268379, 0.4477112046263186, 0.0598057893581934]|  9.6922749684304943|      0.50000000|[12, 3, 3, 6]                                                              |  | used linear model with 5 points | iterate failure | actual_k=1
       4|[1.168574039006072, -0.384974543278394, 0.4667859667081445, -0.2582820429651667]|  8.5520438224616999|      1.00000000|[16, 4, 4, 8]                                                              |  | used linear model with 5 points | iterate success | actual_k=1
       5|[1.168574039006072, -0.384974543278394, 0.4667859667081445, -0.2582820429651667]|  8.5520438224616999|      0.50000000|[20, 5, 5, 10]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
       6|[1.2222507551355413, -0.6361360569146322, 0.6026320871785544, -0.665200383380844]|  7.6840787195587286|      1.00000000|[24, 6, 6, 12]                                                             |  | used linear model with 5 points | iterate success | actual_k=1
       7|[1.2222507551355413, -0.6361360569146322, 0.6026320871785544, -0.665200383380844]|  7.6840787195587286|      0.50000000|[28, 7, 7, 14]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
       8|[1.634659290886568, -0.5090416071637307, 0.385560899849009, -0.7942209248211549]|  7.2462588816009079|      1.00000000|[32, 8, 8, 16]                                                             |  | used linear model with 5 points | iterate success | actual_k=1
       9|[1.634659290886568, -0.5090416071637307, 0.385560899849009, -0.7942209248211549]|  7.2462588816009079|      0.50000000|[36, 9, 9, 18]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
      10|[1.634659290886568, -0.5090416071637307, 0.385560899849009, -0.7942209248211549]|  7.2462588816009079|      0.25000000|[40, 10, 10, 20]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
      11|[1.479897524637043, -0.329422528863526, 0.3214477989028237, -0.7475808915345407]|  6.3688075960874517|      0.50000000|[44, 11, 11, 22]                                                           |  | used linear model with 5 points | iterate success | actual_k=1
      12|[1.479897524637043, -0.329422528863526, 0.3214477989028237, -0.7475808915345407]|  6.3688075960874517|      0.25000000|[48, 12, 12, 24]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
      13|[1.5238086395521329, -0.2117419833270302, 0.1071801747679591, -0.7760850743284202]|  5.9353521258475164|      0.50000000|[52, 13, 13, 26]                                                           |  | used linear model with 5 points | iterate success | actual_k=1
      14|[1.5238086395521329, -0.2117419833270302, 0.1071801747679591, -0.7760850743284202]|  5.9353521258475164|      0.25000000|[56, 14, 14, 28]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
      15|[1.5238086395521329, -0.2117419833270302, 0.1071801747679591, -0.7760850743284202]|  5.9353521258475164|      0.12500000|[60, 15, 15, 30]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
      16|[1.449703389966252, -0.1796140360683822, 0.1134093072759633, -0.8712817386447582]|  5.8689707549283883|      0.25000000|[64, 16, 16, 32]                                                           |  | used linear model with 5 points | iterate success | actual_k=1
      17|[1.449703389966252, -0.1796140360683822, 0.1134093072759633, -0.8712817386447582]|  5.8689707549283883|      0.12500000|[68, 17, 17, 34]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
      18|[1.4336212471159948, -0.0752529469084018, 0.065385705769024, -0.9178527752339221]|  5.8505834899108606|      0.25000000|[72, 18, 18, 36]                                                           |  | used linear model with 5 points | iterate success | actual_k=1
      19|[1.4336212471159948, -0.0752529469084018, 0.065385705769024, -0.9178527752339221]|  5.8505834899108606|      0.12500000|[76, 19, 19, 38]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
      20|[1.4283684623711848, -0.0601762655858131, 0.1017912244852452, -0.7993422687810144]|  5.7615013102190913|      0.25000000|[80, 20, 20, 40]                                                           |  | used linear model with 5 points | iterate success | actual_k=1
