k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]|127387.7641130791162141|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]|127387.7641130791162141|      0.50000000|[129, 0, 0, 2]                                                             |  | trying linear partial model with 65 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       2|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]|127387.7641130791162141|      0.25000000|[257, 0, 0, 4]                                                             |  | trying linear partial model with 65 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       3|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]|127387.7641130791162141|      0.12500000|[385, 0, 0, 6]                                                             |  | trying linear partial model with 65 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       4|[0.0142591699378966, 0.0174568977741189, 0.0081885362439296, -0.005986970455291, -0.0118026153459427, -0.0145068597896033, 0.0011703280081318, -0.0114988964547931, -0.006794052492672, 0.000255014990566, -0.0037203725170957, 0.014102180399182, -0.014216836576559, -0.0121401319481266, 0.0108530333239262, 0.0044808716794567, 0.0092205933025164, -0.0206826769322957, -0.0104791537948292, 0.0024680004892676, -0.0031088542492315, 0.0153198924312651, 0.0077917655332292, 0.0273174095740254, 0.0009021840825735, 0.0021239820523197, -0.0236723161080159, 0.0353443170426528, -0.0047180470743313, -0.0099670538044028, 0.0439555073434402, 0.0273093243900645, -0.0267789535864385, -0.0083905295572084, 0.0274443444719563, -0.0062823092640615, -0.0314923633435136, 0.0033137318961329, -0.0066661844115051, 0.0075576829089861, 0.0056876615782266, -0.022976498032763, 0.00499828862638, 0.0388699256450262, -0.0112619777624254, 0.0080007024642967, -0.0005774512043497, -0.0012306633460261, -0.0002979858935709, 0.0095260460748251, -0.0234412368954413, 0.0082172043189099, 0.0250956387987865, -0.0251107425802054, -0.0088045984816083, 0.0012386648500796, 0.0216662048934958]|86560.9843750000000000|      0.25000000|[513, 0, 0, 8]                                                             |  | trying linear partial model with 65 points | iterate success | actual_k=0
       5|[0.0142591699378966, 0.0174568977741189, 0.0081885362439296, -0.005986970455291, -0.0118026153459427, -0.0145068597896033, 0.0011703280081318, -0.0114988964547931, -0.006794052492672, 0.000255014990566, -0.0037203725170957, 0.014102180399182, -0.014216836576559, -0.0121401319481266, 0.0108530333239262, 0.0044808716794567, 0.0092205933025164, -0.0206826769322957, -0.0104791537948292, 0.0024680004892676, -0.0031088542492315, 0.0153198924312651, 0.0077917655332292, 0.0273174095740254, 0.0009021840825735, 0.0021239820523197, -0.0236723161080159, 0.0353443170426528, -0.0047180470743313, -0.0099670538044028, 0.0439555073434402, 0.0273093243900645, -0.0267789535864385, -0.0083905295572084, 0.0274443444719563, -0.0062823092640615, -0.0314923633435136, 0.0033137318961329, -0.0066661844115051, 0.0075576829089861, 0.0056876615782266, -0.022976498032763, 0.00499828862638, 0.0388699256450262, -0.0112619777624254, 0.0080007024642967, -0.0005774512043497, -0.0012306633460261, -0.0002979858935709, 0.0095260460748251, -0.0234412368954413, 0.0082172043189099, 0.0250956387987865, -0.0251107425802054, -0.0088045984816083, 0.0012386648500796, 0.0216662048934958]|86560.9843750000000000|      0.12500000|[641, 0, 0, 10]                                                            |  | trying linear partial model with 65 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       6|[0.0158736700868108, 0.0428638447762845, 0.0023347419370524, -0.0491291115244261, -0.0367230782610488, 0.0010233733512299, -0.0070426256589502, 0.0019797008917429, 0.0060799065883008, 0.0016719331637342, 0.0021680344010839, 0.0017348107877557, 0.0009883181751151, 0.0022892486234488, 0.0161421850936532, -0.0020038021968756, 0.0083244619206913, -0.0332600561932759, -0.003181742336021, -0.0111050119932124, 0.0099715276242917, 0.0026616284413226, -0.0050081187760197, 0.047479807725867, 0.0092397073361909, -0.0185163402025833, -0.014119621119196, 0.0303074377311402, -0.0063033439175924, 0.0058924348860045, 0.0894486784263137, 0.0051027756382473, -0.031585306209949, -0.0004242663271613, 0.027313583273948, 0.0042649147885169, -0.0300736398611781, 0.0070183686583719, 0.0191201990124485, 0.0437798537501041, 0.0217919068182295, -0.017526393745952, -0.0054518806406692, 0.0349038596700951, 0.0070807503642984, 0.0386245753798049, -0.0152440729590431, 0.0108581315748477, 0.0059188696386521, 0.010561632234316, -0.0424984820653792, 0.0366300320745688, 0.0443547289393084, -0.0368204620175289, -0.0042511202305849, 0.0020352363244513, 0.0416277694462567]|60492.3789062500000000|      0.25000000|[769, 0, 0, 12]                                                            |  | trying linear partial model with 65 points | iterate success | actual_k=0
       7|[0.0158736700868108, 0.0428638447762845, 0.0023347419370524, -0.0491291115244261, -0.0367230782610488, 0.0010233733512299, -0.0070426256589502, 0.0019797008917429, 0.0060799065883008, 0.0016719331637342, 0.0021680344010839, 0.0017348107877557, 0.0009883181751151, 0.0022892486234488, 0.0161421850936532, -0.0020038021968756, 0.0083244619206913, -0.0332600561932759, -0.003181742336021, -0.0111050119932124, 0.0099715276242917, 0.0026616284413226, -0.0050081187760197, 0.047479807725867, 0.0092397073361909, -0.0185163402025833, -0.014119621119196, 0.0303074377311402, -0.0063033439175924, 0.0058924348860045, 0.0894486784263137, 0.0051027756382473, -0.031585306209949, -0.0004242663271613, 0.027313583273948, 0.0042649147885169, -0.0300736398611781, 0.0070183686583719, 0.0191201990124485, 0.0437798537501041, 0.0217919068182295, -0.017526393745952, -0.0054518806406692, 0.0349038596700951, 0.0070807503642984, 0.0386245753798049, -0.0152440729590431, 0.0108581315748477, 0.0059188696386521, 0.010561632234316, -0.0424984820653792, 0.0366300320745688, 0.0443547289393084, -0.0368204620175289, -0.0042511202305849, 0.0020352363244513, 0.0416277694462567]|60492.3789062500000000|      0.12500000|[897, 0, 0, 14]                                                            |  | trying linear partial model with 65 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       8|[0.0224817617497752, 0.0572036222266479, 0.0290185572204144, -0.0264023372296017, -0.0171556750847611, -0.0059457105747211, -0.0396848853314652, 0.024394327750642, 0.0168498376822741, 0.0015422275961331, -0.0033895705400272, -0.0125565391088292, -0.022706681526247, 0.015634497034353, 0.0307706214004312, -0.0039401590519408, 0.000783501836776, -0.0300868063007085, 0.0177481855061754, -0.0095633173859486, 0.0254801182964913, -0.0419313601407735, -0.0078351858031875, 0.0374930820401643, 0.0080119188974558, -0.0293947817990737, 0.0168949474408683, 0.0314481961356297, -0.0103480501375304, 0.026939643915096, 0.0952063438666122, -0.0102365418025348, -0.0502442801470131, 0.0221268829862579, 0.0357640880910935, 0.0396917686067185, -0.0315959199953773, 0.0079736316342361, 0.0339655774307014, 0.0697495945254685, 0.0151251386600474, -0.0161630906883318, -0.0096360207092233, 0.0454904309541145, 0.0330747613845961, 0.0247842875103278, -0.0218677070390989, 0.004684520299634, 0.0251286819393851, 0.0089615753681565, -0.0221734438892535, 0.0283954009527992, 0.0462014572343662, -0.011330148578438, 0.0173955561487684, 0.0035041246512794, 0.0429032857219013]|39277.6367187500000000|      0.25000000|[1025, 0, 0, 16]                                                           |  | trying linear partial model with 65 points | iterate success | actual_k=0
       9|[0.0224817617497752, 0.0572036222266479, 0.0290185572204144, -0.0264023372296017, -0.0171556750847611, -0.0059457105747211, -0.0396848853314652, 0.024394327750642, 0.0168498376822741, 0.0015422275961331, -0.0033895705400272, -0.0125565391088292, -0.022706681526247, 0.015634497034353, 0.0307706214004312, -0.0039401590519408, 0.000783501836776, -0.0300868063007085, 0.0177481855061754, -0.0095633173859486, 0.0254801182964913, -0.0419313601407735, -0.0078351858031875, 0.0374930820401643, 0.0080119188974558, -0.0293947817990737, 0.0168949474408683, 0.0314481961356297, -0.0103480501375304, 0.026939643915096, 0.0952063438666122, -0.0102365418025348, -0.0502442801470131, 0.0221268829862579, 0.0357640880910935, 0.0396917686067185, -0.0315959199953773, 0.0079736316342361, 0.0339655774307014, 0.0697495945254685, 0.0151251386600474, -0.0161630906883318, -0.0096360207092233, 0.0454904309541145, 0.0330747613845961, 0.0247842875103278, -0.0218677070390989, 0.004684520299634, 0.0251286819393851, 0.0089615753681565, -0.0221734438892535, 0.0283954009527992, 0.0462014572343662, -0.011330148578438, 0.0173955561487684, 0.0035041246512794, 0.0429032857219013]|39277.6367187500000000|      0.12500000|[1153, 0, 0, 18]                                                           |  | trying linear partial model with 65 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      10|[0.0224817617497752, 0.0572036222266479, 0.0290185572204144, -0.0264023372296017, -0.0171556750847611, -0.0059457105747211, -0.0396848853314652, 0.024394327750642, 0.0168498376822741, 0.0015422275961331, -0.0033895705400272, -0.0125565391088292, -0.022706681526247, 0.015634497034353, 0.0307706214004312, -0.0039401590519408, 0.000783501836776, -0.0300868063007085, 0.0177481855061754, -0.0095633173859486, 0.0254801182964913, -0.0419313601407735, -0.0078351858031875, 0.0374930820401643, 0.0080119188974558, -0.0293947817990737, 0.0168949474408683, 0.0314481961356297, -0.0103480501375304, 0.026939643915096, 0.0952063438666122, -0.0102365418025348, -0.0502442801470131, 0.0221268829862579, 0.0357640880910935, 0.0396917686067185, -0.0315959199953773, 0.0079736316342361, 0.0339655774307014, 0.0697495945254685, 0.0151251386600474, -0.0161630906883318, -0.0096360207092233, 0.0454904309541145, 0.0330747613845961, 0.0247842875103278, -0.0218677070390989, 0.004684520299634, 0.0251286819393851, 0.0089615753681565, -0.0221734438892535, 0.0283954009527992, 0.0462014572343662, -0.011330148578438, 0.0173955561487684, 0.0035041246512794, 0.0429032857219013]|39277.6367187500000000|      0.06250000|[1281, 0, 0, 20]                                                           |  | trying linear partial model with 65 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
