k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]|127387.7641130791162141|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]|127387.7641130791162141|      0.50000000|[97, 32, 1, 3]                                                             |  | used linear model with 129 points | iterate failure | actual_k=16
       2|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]|127387.7641130791162141|      0.25000000|[194, 64, 2, 6]                                                            |  | used linear model with 129 points | iterate failure | actual_k=16
       3|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]|127387.7641130791162141|      0.12500000|[291, 96, 3, 9]                                                            |  | used linear model with 129 points | iterate failure | actual_k=16
       4|[0.0119846560592706, 0.0344974749109442, 0.0026010664097131, -0.005977652423641, -0.0034162115495736, 0.0054913928704497, -0.0039695365333323, -0.0036981480525283, -0.0085730221760241, -0.0071644049824999, -0.0052601948591901, -0.0089271896145586, -0.0041313222471844, 0.0068904868006937, 0.0008932485239249, -0.0202901396035969, -0.0112055351582547, -0.011328553181629, -8.67787899135e-05, -0.0063646948121484, -0.0161259682567073, -0.0156571327667913, -0.0015130794830724, 0.0013102657876281, -0.0035563720195418, -0.001002393741452, 0.0023193720438515, 0.0047274628317914, -0.0079941877555659, -0.0049421640743971, 0.0502173524327372, 0.0130227716047695, -0.0252683694857506, -0.0024554980890459, 0.0450477188070152, 0.0088131337402623, -0.0053132545436893, -0.0073749935377162, -0.0012496360832366, 0.0357721346542224, 0.0072571827937317, -0.0118396706223542, -0.00050559071012, 0.0334758769652457, 0.0012541035004595, -0.0107655587580238, -0.0074384143809679, 0.0043579139880752, 0.0385620612627114, 0.0290399051621941, -0.0172419615086135, 0.0044460825558752, 0.0364495145356581, -0.0093927777388277, -0.0018643023515488, -0.0117065907565626, 0.0042487116421159]|63246.5989814334752737|      0.25000000|[388, 128, 4, 12]                                                          |  | used linear model with 129 points | iterate success | actual_k=16
       5|[0.0119846560592706, 0.0344974749109442, 0.0026010664097131, -0.005977652423641, -0.0034162115495736, 0.0054913928704497, -0.0039695365333323, -0.0036981480525283, -0.0085730221760241, -0.0071644049824999, -0.0052601948591901, -0.0089271896145586, -0.0041313222471844, 0.0068904868006937, 0.0008932485239249, -0.0202901396035969, -0.0112055351582547, -0.011328553181629, -8.67787899135e-05, -0.0063646948121484, -0.0161259682567073, -0.0156571327667913, -0.0015130794830724, 0.0013102657876281, -0.0035563720195418, -0.001002393741452, 0.0023193720438515, 0.0047274628317914, -0.0079941877555659, -0.0049421640743971, 0.0502173524327372, 0.0130227716047695, -0.0252683694857506, -0.0024554980890459, 0.0450477188070152, 0.0088131337402623, -0.0053132545436893, -0.0073749935377162, -0.0012496360832366, 0.0357721346542224, 0.0072571827937317, -0.0118396706223542, -0.00050559071012, 0.0334758769652457, 0.0012541035004595, -0.0107655587580238, -0.0074384143809679, 0.0043579139880752, 0.0385620612627114, 0.0290399051621941, -0.0172419615086135, 0.0044460825558752, 0.0364495145356581, -0.0093927777388277, -0.0018643023515488, -0.0117065907565626, 0.0042487116421159]|63246.5989814334752737|      0.12500000|[485, 160, 5, 15]                                                          |  | used linear model with 129 points | iterate failure | actual_k=16
       6|[0.0265365488394078, 0.0443803762775793, 0.0460039706415532, -0.008114734268083, -0.0008302413001789, 0.0123030121743013, -0.0318056352162275, 0.0085999448599857, 0.016622044423598, 0.003585522170423, -0.0138809392776481, -0.0094242530384163, -0.0007957063534694, -0.0030916506845301, 0.0047559812799419, -0.0257906908935073, -0.0131906271215086, -0.0092778539657987, 0.0191587698386038, -0.0108485214810515, -0.0186306978346367, -0.0110903619288742, -0.0113170914804061, 0.0163639040677197, 0.031995193476628, 0.0093572506546616, 0.0023816868135339, 0.0132850380960132, -0.0151835283758698, -0.0044319974418734, 0.0877781635222976, 0.0306187091705668, -0.0531169173708269, -0.0344158176112845, 0.06539221582956, 0.0089622446766978, 0.0016219554926939, -0.0138120465216047, 0.0170189492945622, 0.0544050307644654, 0.0082235969550226, -0.0329750355304597, 0.0102676204704395, 0.0331813619048498, 0.0042192004607217, -0.0141299741514919, 0.0172891392867421, 0.0175870516749787, 0.0697593575071839, 0.0238868139838651, -0.0328602998219872, 0.0144409120152556, 0.0516509527152027, 0.0122053128149404, -0.013447465079905, 0.0193051987413209, 0.0006514497595249]|43709.2354190335099702|      0.25000000|[582, 192, 6, 18]                                                          |  | used linear model with 129 points | iterate success | actual_k=16
       7|[0.0265365488394078, 0.0443803762775793, 0.0460039706415532, -0.008114734268083, -0.0008302413001789, 0.0123030121743013, -0.0318056352162275, 0.0085999448599857, 0.016622044423598, 0.003585522170423, -0.0138809392776481, -0.0094242530384163, -0.0007957063534694, -0.0030916506845301, 0.0047559812799419, -0.0257906908935073, -0.0131906271215086, -0.0092778539657987, 0.0191587698386038, -0.0108485214810515, -0.0186306978346367, -0.0110903619288742, -0.0113170914804061, 0.0163639040677197, 0.031995193476628, 0.0093572506546616, 0.0023816868135339, 0.0132850380960132, -0.0151835283758698, -0.0044319974418734, 0.0877781635222976, 0.0306187091705668, -0.0531169173708269, -0.0344158176112845, 0.06539221582956, 0.0089622446766978, 0.0016219554926939, -0.0138120465216047, 0.0170189492945622, 0.0544050307644654, 0.0082235969550226, -0.0329750355304597, 0.0102676204704395, 0.0331813619048498, 0.0042192004607217, -0.0141299741514919, 0.0172891392867421, 0.0175870516749787, 0.0697593575071839, 0.0238868139838651, -0.0328602998219872, 0.0144409120152556, 0.0516509527152027, 0.0122053128149404, -0.013447465079905, 0.0193051987413209, 0.0006514497595249]|43709.2354190335099702|      0.12500000|[679, 224, 7, 21]                                                          |  | used linear model with 129 points | iterate failure | actual_k=16
       8|[0.0265365488394078, 0.0443803762775793, 0.0460039706415532, -0.008114734268083, -0.0008302413001789, 0.0123030121743013, -0.0318056352162275, 0.0085999448599857, 0.016622044423598, 0.003585522170423, -0.0138809392776481, -0.0094242530384163, -0.0007957063534694, -0.0030916506845301, 0.0047559812799419, -0.0257906908935073, -0.0131906271215086, -0.0092778539657987, 0.0191587698386038, -0.0108485214810515, -0.0186306978346367, -0.0110903619288742, -0.0113170914804061, 0.0163639040677197, 0.031995193476628, 0.0093572506546616, 0.0023816868135339, 0.0132850380960132, -0.0151835283758698, -0.0044319974418734, 0.0877781635222976, 0.0306187091705668, -0.0531169173708269, -0.0344158176112845, 0.06539221582956, 0.0089622446766978, 0.0016219554926939, -0.0138120465216047, 0.0170189492945622, 0.0544050307644654, 0.0082235969550226, -0.0329750355304597, 0.0102676204704395, 0.0331813619048498, 0.0042192004607217, -0.0141299741514919, 0.0172891392867421, 0.0175870516749787, 0.0697593575071839, 0.0238868139838651, -0.0328602998219872, 0.0144409120152556, 0.0516509527152027, 0.0122053128149404, -0.013447465079905, 0.0193051987413209, 0.0006514497595249]|43709.2354190335099702|      0.06250000|[776, 256, 8, 24]                                                          |  | used linear model with 129 points | iterate failure | actual_k=16
       9|[0.0404750259759598, 0.0386140463448968, 0.0227851006553994, -0.0305765061983903, -0.0135584840095486, 0.0095721798365923, -0.0235651794781471, 0.0067960439230258, -0.0020196274473777, -0.0074265700564859, -0.0270508757449855, -0.0072477123303431, -0.0083523720691219, -0.0074339582007897, -0.0013824633071453, -0.0281973608279316, -0.0211494446692403, -0.0145445346186307, 0.0196477353822878, -0.0172264591092007, -0.0279010608278931, -0.0172435229423126, -0.0096203646074843, 0.0211955618736642, 0.0288247741424645, 0.0030897028604781, -0.0005643424446749, 0.0105184229095696, -0.0099746591392322, -0.0135805677840738, 0.0941405233395166, 0.0217562603132619, -0.0633820244994393, -0.0234725716019351, 0.0679347677225293, 0.0118355789195842, -0.0018888517311181, -0.0144504629311037, 0.0114229039463531, 0.0680647167932395, 0.0159269687795463, -0.0370139311786744, 0.0094690242650839, 0.0453536274702329, 0.004865363146266, -0.0146149424345219, 0.0110293333723444, 0.0163238329179965, 0.0813990073498816, 0.0159719161386623, -0.040611935720598, 0.0175840253926942, 0.0560221554134799, 0.0155504021825299, -0.0122041992362536, 0.0229886830038002, 0.001446888601863]|28408.6032328059409338|      0.12500000|[873, 288, 9, 27]                                                          |  | used linear model with 129 points | iterate success | actual_k=16
      10|[0.0404750259759598, 0.0386140463448968, 0.0227851006553994, -0.0305765061983903, -0.0135584840095486, 0.0095721798365923, -0.0235651794781471, 0.0067960439230258, -0.0020196274473777, -0.0074265700564859, -0.0270508757449855, -0.0072477123303431, -0.0083523720691219, -0.0074339582007897, -0.0013824633071453, -0.0281973608279316, -0.0211494446692403, -0.0145445346186307, 0.0196477353822878, -0.0172264591092007, -0.0279010608278931, -0.0172435229423126, -0.0096203646074843, 0.0211955618736642, 0.0288247741424645, 0.0030897028604781, -0.0005643424446749, 0.0105184229095696, -0.0099746591392322, -0.0135805677840738, 0.0941405233395166, 0.0217562603132619, -0.0633820244994393, -0.0234725716019351, 0.0679347677225293, 0.0118355789195842, -0.0018888517311181, -0.0144504629311037, 0.0114229039463531, 0.0680647167932395, 0.0159269687795463, -0.0370139311786744, 0.0094690242650839, 0.0453536274702329, 0.004865363146266, -0.0146149424345219, 0.0110293333723444, 0.0163238329179965, 0.0813990073498816, 0.0159719161386623, -0.040611935720598, 0.0175840253926942, 0.0560221554134799, 0.0155504021825299, -0.0122041992362536, 0.0229886830038002, 0.001446888601863]|28408.6032328059409338|      0.06250000|[970, 320, 10, 30]                                                         |  | used linear model with 129 points | iterate failure | actual_k=16
      11|[0.0259002987928432, 0.0553934121799147, 0.0347288109802295, -0.022920953034313, 0.0046626565443559, 0.0142678438841964, -0.0285706128771767, 0.0137723378640255, 0.0078063243832628, -0.0084982830319222, -0.018720811715557, -0.0066093747066445, -0.0111397211489993, 0.0004809103953757, -0.0047360860977714, -0.0345584457421747, -0.0265212900070783, -0.0167398280216712, 0.0179814864514753, -0.0224805280703718, -0.023289857806652, -0.0193247841284243, 0.0074623710156224, 0.0237403767464578, 0.0221211552967083, -0.0020377369800137, -0.0014105511383399, 0.0127349116180943, -0.0082014036889537, -0.0151512657902373, 0.1083495625800828, 0.0187390618452383, -0.0735200599113922, -0.0204082373827986, 0.0747116872663695, 0.0130771027486545, 0.0037520857853645, -0.0167301172049276, 0.0092249466137379, 0.0819878802561373, 0.0273237269945547, -0.0475348355717314, 0.0080823344828789, 0.0623680820003029, 0.0088940546551214, -0.011979559704856, 0.0150595139365096, 0.0144395572722479, 0.099535836544515, 0.0259197740571281, -0.0426549679008163, 0.0163552170169692, 0.0730932329984239, 0.0196792340326094, -0.0049477322192743, 0.0298487761464416, 0.0018024947444882]|13929.1184513327370951|      0.12500000|[1067, 352, 11, 33]                                                        |  | used linear model with 129 points | iterate success | actual_k=16
