k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]|127387.7641130791162141|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]|127387.7641130791162141|      0.50000000|[57, 8, 1, 2]                                                              |  | used linear model with 65 points | iterate failure | actual_k=8
       2|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]|127387.7641130791162141|      0.25000000|[114, 16, 2, 4]                                                            |  | used linear model with 65 points | iterate failure | actual_k=8
       3|[0.0621729074517288, 0.0367095477977494, -0.0316122455721779, -0.0041422279742704, -0.0433333760963398, -0.0286516583885073, 0.030006924093497, -0.0628124544037337, -0.0260818882273915, -5.47469373021e-05, -0.016479682834196, -0.0266282703832057, 0.0320212786120255, -0.0212109972049165, -0.0626545683490043, 0.0033923912687398, -0.0142609676680842, -0.0242707424262633, -0.023458734461094, 0.0185949933840744, -0.0234150100158786, -0.0329224239347848, -0.0285635112679525, -0.0178713637982937, -0.0298322595700529, -0.0223038131041864, 0.0473029035980127, -0.0006225268186562, -0.0057878009087056, -0.0005954696341129, 0.0696351769333872, 0.0317557580296923, -0.03822360776348, -0.0053231682889141, 0.0456234967663377, -0.0312137262939326, 0.0143573655113742, 0.0051817222455607, 0.031470760548914, 0.0342773135640879, -0.0190051288273195, -0.019057631565737, 0.0199374233351538, 0.0789864425418212, -0.0371933332555957, 0.0220543856102913, -0.0032745342292506, -0.0132880822384482, 0.064412751421514, 0.0138307138030816, -0.0218966671883991, -0.0105110221744674, 0.0683675605791203, -1.74167972862e-05, -0.0250583644053066, -0.0176887654806365, 0.0278123013104273]|72572.1404204088757979|      0.50000000|[171, 24, 3, 6]                                                            |  | used linear model with 65 points | iterate success | actual_k=8
       4|[0.0621729074517288, 0.0367095477977494, -0.0316122455721779, -0.0041422279742704, -0.0433333760963398, -0.0286516583885073, 0.030006924093497, -0.0628124544037337, -0.0260818882273915, -5.47469373021e-05, -0.016479682834196, -0.0266282703832057, 0.0320212786120255, -0.0212109972049165, -0.0626545683490043, 0.0033923912687398, -0.0142609676680842, -0.0242707424262633, -0.023458734461094, 0.0185949933840744, -0.0234150100158786, -0.0329224239347848, -0.0285635112679525, -0.0178713637982937, -0.0298322595700529, -0.0223038131041864, 0.0473029035980127, -0.0006225268186562, -0.0057878009087056, -0.0005954696341129, 0.0696351769333872, 0.0317557580296923, -0.03822360776348, -0.0053231682889141, 0.0456234967663377, -0.0312137262939326, 0.0143573655113742, 0.0051817222455607, 0.031470760548914, 0.0342773135640879, -0.0190051288273195, -0.019057631565737, 0.0199374233351538, 0.0789864425418212, -0.0371933332555957, 0.0220543856102913, -0.0032745342292506, -0.0132880822384482, 0.064412751421514, 0.0138307138030816, -0.0218966671883991, -0.0105110221744674, 0.0683675605791203, -1.74167972862e-05, -0.0250583644053066, -0.0176887654806365, 0.0278123013104273]|72572.1404204088757979|      0.25000000|[228, 32, 4, 8]                                                            |  | used linear model with 65 points | iterate failure | actual_k=8
       5|[-0.0138564421746132, 0.0885264728814655, 0.013939039375537, 0.001693494129628, 0.0385526373250307, -0.0149515134920463, -0.0460530827218883, -0.0419912899139798, 0.0092393296150774, 0.0196423575047386, -0.0193353947614189, -0.0050434127007113, -0.0176034271492225, 0.0502210912849156, -0.0920469512611498, 0.001377469429361, -0.0688436516422276, -0.0314350436122974, -0.0459940541035205, 0.022437928660611, -0.053966641091508, -0.0152515370906935, -0.0547900635643253, 0.0204240224369069, -0.0317192019730292, -0.0195605945665021, 0.0468378388321112, 0.0020780241070946, -0.0208458235054992, 0.0329811329628741, 0.1073632917326527, 0.0381645107641132, -0.0133619563437397, 0.0243189348897159, 0.073848322022268, -0.0313128807010269, -0.0186158894957595, -0.0130276411586894, 0.0522454646295885, 0.078627812908686, 0.0128316742326936, -0.0276928903671045, -0.0016065823760872, 0.1210691368441578, -0.032260078531397, -0.0022773434075453, -0.034723042017142, -0.0485597651831151, 0.0915739074694395, 0.0368121705156603, -0.0443368918518955, -0.0285968572020956, 0.0782439203918687, -0.0380185471237194, 0.0116753079611525, -0.050356432246157, 0.0397501237409268]|39791.8567116478225216|      0.50000000|[285, 40, 5, 10]                                                           |  | used linear model with 65 points | iterate success | actual_k=8
       6|[-0.0138564421746132, 0.0885264728814655, 0.013939039375537, 0.001693494129628, 0.0385526373250307, -0.0149515134920463, -0.0460530827218883, -0.0419912899139798, 0.0092393296150774, 0.0196423575047386, -0.0193353947614189, -0.0050434127007113, -0.0176034271492225, 0.0502210912849156, -0.0920469512611498, 0.001377469429361, -0.0688436516422276, -0.0314350436122974, -0.0459940541035205, 0.022437928660611, -0.053966641091508, -0.0152515370906935, -0.0547900635643253, 0.0204240224369069, -0.0317192019730292, -0.0195605945665021, 0.0468378388321112, 0.0020780241070946, -0.0208458235054992, 0.0329811329628741, 0.1073632917326527, 0.0381645107641132, -0.0133619563437397, 0.0243189348897159, 0.073848322022268, -0.0313128807010269, -0.0186158894957595, -0.0130276411586894, 0.0522454646295885, 0.078627812908686, 0.0128316742326936, -0.0276928903671045, -0.0016065823760872, 0.1210691368441578, -0.032260078531397, -0.0022773434075453, -0.034723042017142, -0.0485597651831151, 0.0915739074694395, 0.0368121705156603, -0.0443368918518955, -0.0285968572020956, 0.0782439203918687, -0.0380185471237194, 0.0116753079611525, -0.050356432246157, 0.0397501237409268]|39791.8567116478225216|      0.25000000|[342, 48, 6, 12]                                                           |  | used linear model with 65 points | iterate failure | actual_k=8
       7|[-0.0138564421746132, 0.0885264728814655, 0.013939039375537, 0.001693494129628, 0.0385526373250307, -0.0149515134920463, -0.0460530827218883, -0.0419912899139798, 0.0092393296150774, 0.0196423575047386, -0.0193353947614189, -0.0050434127007113, -0.0176034271492225, 0.0502210912849156, -0.0920469512611498, 0.001377469429361, -0.0688436516422276, -0.0314350436122974, -0.0459940541035205, 0.022437928660611, -0.053966641091508, -0.0152515370906935, -0.0547900635643253, 0.0204240224369069, -0.0317192019730292, -0.0195605945665021, 0.0468378388321112, 0.0020780241070946, -0.0208458235054992, 0.0329811329628741, 0.1073632917326527, 0.0381645107641132, -0.0133619563437397, 0.0243189348897159, 0.073848322022268, -0.0313128807010269, -0.0186158894957595, -0.0130276411586894, 0.0522454646295885, 0.078627812908686, 0.0128316742326936, -0.0276928903671045, -0.0016065823760872, 0.1210691368441578, -0.032260078531397, -0.0022773434075453, -0.034723042017142, -0.0485597651831151, 0.0915739074694395, 0.0368121705156603, -0.0443368918518955, -0.0285968572020956, 0.0782439203918687, -0.0380185471237194, 0.0116753079611525, -0.050356432246157, 0.0397501237409268]|39791.8567116478225216|      0.12500000|[399, 56, 7, 14]                                                           |  | used linear model with 65 points | iterate failure | actual_k=8
       8|[0.029422665631076, 0.0753917801256668, -0.0272269473705774, -0.0313402816309396, 0.0084442968428853, -0.0130762734368917, -0.0264975806217312, -0.0670514060641809, 0.0020674173338754, -0.0153200095032788, -0.0472088941328482, -0.0001478731618538, -0.0275883991099852, 0.0497731268809214, -0.0804507991803151, 0.0133762808284971, -0.0706444014772457, -0.0382394383878912, -0.0696347744971352, 0.0134924227024432, -0.0521468001311019, 0.0072180810643276, -0.0257559542138285, 0.0316510364993307, -0.0531616297808507, -0.0085043764678516, 0.0439226128194248, 0.0014265249945421, -0.0173967364366087, 0.0448589216830039, 0.0933385271183882, 0.0308950384386686, -0.0223738540513473, 0.0104792127039743, 0.0732479845815262, -0.0376861172680242, -0.0373290847627701, -0.0166637260231829, 0.0249708135681262, 0.0859840800543609, 0.0005101026875185, -0.0286500741246868, 0.012883711862016, 0.1309759011654567, -0.0241863224337132, -0.0179796206030428, -0.0405942597760475, -0.0327895652047685, 0.0980518266396871, 0.0229825091685645, -0.0460913607215764, -0.019990916947034, 0.0838593910296096, -0.0459727803195273, -0.00259653513191, -0.0588395616987107, 0.0327385008113326]|24266.2942907957549323|      0.25000000|[456, 64, 8, 16]                                                           |  | used linear model with 65 points | iterate success | actual_k=8
       9|[0.029422665631076, 0.0753917801256668, -0.0272269473705774, -0.0313402816309396, 0.0084442968428853, -0.0130762734368917, -0.0264975806217312, -0.0670514060641809, 0.0020674173338754, -0.0153200095032788, -0.0472088941328482, -0.0001478731618538, -0.0275883991099852, 0.0497731268809214, -0.0804507991803151, 0.0133762808284971, -0.0706444014772457, -0.0382394383878912, -0.0696347744971352, 0.0134924227024432, -0.0521468001311019, 0.0072180810643276, -0.0257559542138285, 0.0316510364993307, -0.0531616297808507, -0.0085043764678516, 0.0439226128194248, 0.0014265249945421, -0.0173967364366087, 0.0448589216830039, 0.0933385271183882, 0.0308950384386686, -0.0223738540513473, 0.0104792127039743, 0.0732479845815262, -0.0376861172680242, -0.0373290847627701, -0.0166637260231829, 0.0249708135681262, 0.0859840800543609, 0.0005101026875185, -0.0286500741246868, 0.012883711862016, 0.1309759011654567, -0.0241863224337132, -0.0179796206030428, -0.0405942597760475, -0.0327895652047685, 0.0980518266396871, 0.0229825091685645, -0.0460913607215764, -0.019990916947034, 0.0838593910296096, -0.0459727803195273, -0.00259653513191, -0.0588395616987107, 0.0327385008113326]|24266.2942907957549323|      0.12500000|[513, 72, 9, 18]                                                           |  | used linear model with 65 points | iterate failure | actual_k=8
      10|[0.024354655714849, 0.0880730828839439, -0.0092474136947286, 0.0108071990452972, 0.0420960520287479, -0.0145316133340267, -0.0151676693123632, -0.0565913671316057, 0.001477462227579, -0.0212349383308648, -0.0448966108612729, -0.0173982434328066, -0.0181665630605172, 0.0609140136834934, -0.0847439426377938, 0.0056054946599462, -0.0625117484284343, -0.0392831144895144, -0.0603132197436666, 0.0015357972789206, -0.0588613163794708, -0.0323910476123082, -0.0223367722444897, 0.05245098173042, -0.0458946537230725, -0.029352935073452, 0.0645610708210129, 0.0015621188693105, -0.0410228283630996, 0.034006130571163, 0.1244971676963288, 0.0353628284218085, -0.0442253226263446, 0.0033376683760465, 0.1092320060112582, -0.0338347138823932, -0.0384948336782445, -0.0289173076463251, 0.0085141842596119, 0.0986883730361497, 0.0215051500941327, -0.0236439177273725, -0.0046376154946136, 0.1630327544668584, -0.0261001744417941, -0.0135422364197339, -0.0271917746400976, -0.0149747076614719, 0.1234312894469529, 0.0165570317961496, -0.0421924304674021, -0.0072862884811944, 0.0822042961537339, -0.0294056901179756, -9.10459389275e-05, -0.0696951939111714, 0.0526088157977115]|8887.9559184013160120|      0.25000000|[570, 80, 10, 20]                                                          |  | used linear model with 65 points | iterate success | actual_k=8
      11|[0.024354655714849, 0.0880730828839439, -0.0092474136947286, 0.0108071990452972, 0.0420960520287479, -0.0145316133340267, -0.0151676693123632, -0.0565913671316057, 0.001477462227579, -0.0212349383308648, -0.0448966108612729, -0.0173982434328066, -0.0181665630605172, 0.0609140136834934, -0.0847439426377938, 0.0056054946599462, -0.0625117484284343, -0.0392831144895144, -0.0603132197436666, 0.0015357972789206, -0.0588613163794708, -0.0323910476123082, -0.0223367722444897, 0.05245098173042, -0.0458946537230725, -0.029352935073452, 0.0645610708210129, 0.0015621188693105, -0.0410228283630996, 0.034006130571163, 0.1244971676963288, 0.0353628284218085, -0.0442253226263446, 0.0033376683760465, 0.1092320060112582, -0.0338347138823932, -0.0384948336782445, -0.0289173076463251, 0.0085141842596119, 0.0986883730361497, 0.0215051500941327, -0.0236439177273725, -0.0046376154946136, 0.1630327544668584, -0.0261001744417941, -0.0135422364197339, -0.0271917746400976, -0.0149747076614719, 0.1234312894469529, 0.0165570317961496, -0.0421924304674021, -0.0072862884811944, 0.0822042961537339, -0.0294056901179756, -9.10459389275e-05, -0.0696951939111714, 0.0526088157977115]|8887.9559184013160120|      0.12500000|[627, 88, 11, 22]                                                          |  | used linear model with 65 points | iterate failure | actual_k=8
