k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 10.0, 1.0]                                                                |  1.8845685008804969|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.0, 10.0, 1.0]                                                                |  1.8845685008804969|      0.50000000|[5, 0, 1, 2]                                                               |  | used linear model with 5 points | iterate failure | actual_k=0
       2|[0.3763183076199971, 9.995607555476461, 1.329188757069753]                      |  0.1401654759630584|      1.00000000|[10, 0, 2, 4]                                                              |  | used linear model with 5 points | iterate success | actual_k=0
       3|[0.3763183076199971, 9.995607555476461, 1.329188757069753]                      |  0.1401654759630584|      0.50000000|[15, 0, 3, 6]                                                              |  | used linear model with 5 points | iterate failure | actual_k=0
       4|[0.3763183076199971, 9.995607555476461, 1.329188757069753]                      |  0.1401654759630584|      0.25000000|[20, 0, 4, 8]                                                              |  | used linear model with 5 points | iterate failure | actual_k=0
       5|[0.3763183076199971, 9.995607555476461, 1.329188757069753]                      |  0.1401654759630584|      0.12500000|[25, 0, 5, 10]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
       6|[0.4474224548061892, 10.081880654733466, 1.3851007647024196]                    |  0.1121902999616631|      0.25000000|[30, 0, 6, 12]                                                             |  | used linear model with 5 points | iterate success | actual_k=0
       7|[0.4474224548061892, 10.081880654733466, 1.3851007647024196]                    |  0.1121902999616631|      0.12500000|[35, 0, 7, 14]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
       8|[0.537787112653406, 10.090347158039107, 1.299149924485869]                      |  0.0664487476178306|      0.25000000|[40, 0, 8, 16]                                                             |  | used linear model with 5 points | iterate success | actual_k=0
       9|[0.537787112653406, 10.090347158039107, 1.299149924485869]                      |  0.0664487476178306|      0.12500000|[45, 0, 9, 18]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
      10|[0.6270525689667638, 10.079380747216144, 1.2123373900059335]                    |  0.0360315610174967|      0.25000000|[50, 0, 10, 20]                                                            |  | used linear model with 5 points | iterate success | actual_k=0
      11|[0.8569936061449237, 10.077916813612818, 1.1142304263395497]                    |  0.0090766275932229|      0.50000000|[55, 0, 11, 22]                                                            |  | used linear model with 5 points | iterate success | actual_k=0
      12|[0.8569936061449237, 10.077916813612818, 1.1142304263395497]                    |  0.0090766275932229|      0.25000000|[60, 0, 12, 24]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
      13|[0.8569936061449237, 10.077916813612818, 1.1142304263395497]                    |  0.0090766275932229|      0.12500000|[65, 0, 13, 26]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
      14|[0.8569936061449237, 10.077916813612818, 1.1142304263395497]                    |  0.0090766275932229|      0.06250000|[70, 0, 14, 28]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
      15|[0.8569936061449237, 10.077916813612818, 1.1142304263395497]                    |  0.0090766275932229|      0.03125000|[75, 0, 15, 30]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
