k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 1.0, 0.05, 26061.4, 38.7105, 37027.1]                                |10321.7592400255834946|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.0, 0.0, 1.0, 0.05, 26061.4, 38.7105, 37027.1]                                |10321.7592400255834946|      0.50000000|[15, 2, 1, 2]                                                              |  | used linear model with 17 points | iterate failure | actual_k=2
       2|[0.0, 0.0, 1.0, 0.05, 26061.4, 38.7105, 37027.1]                                |10321.7592400255834946|      0.25000000|[30, 4, 2, 4]                                                              |  | used linear model with 17 points | iterate failure | actual_k=2
       3|[0.0, 0.0, 1.0, 0.05, 26061.4, 38.7105, 37027.1]                                |10321.7592400255834946|      0.12500000|[45, 6, 3, 6]                                                              |  | used linear model with 17 points | iterate failure | actual_k=2
       4|[0.0, 0.0, 1.0, 0.05, 26061.4, 38.7105, 37027.1]                                |10321.7592400255834946|      0.06250000|[60, 8, 4, 8]                                                              |  | used linear model with 17 points | iterate failure | actual_k=2
       5|[0.0, 0.0, 1.0, 0.05, 26061.4, 38.7105, 37027.1]                                |10321.7592400255834946|      0.03125000|[75, 10, 5, 10]                                                            |  | used linear model with 17 points | iterate failure | actual_k=2
       6|[0.0, 0.0, 1.0, 0.05, 26061.4, 38.7105, 37027.1]                                |10321.7592400255834946|      0.01562500|[90, 12, 6, 12]                                                            |  | used linear model with 17 points | iterate failure | actual_k=2
       7|[0.0, 0.0, 1.0, 0.05, 26061.4, 38.7105, 37027.1]                                |10321.7592400255834946|      0.00781250|[105, 14, 7, 14]                                                           |  | used linear model with 17 points | iterate failure | actual_k=2
       8|[0.0, 0.0, 1.0, 0.05, 26061.4, 38.7105, 37027.1]                                |10321.7592400255834946|      0.00390625|[120, 16, 8, 16]                                                           |  | used linear model with 17 points | iterate failure | actual_k=2
       9|[0.0, 0.0, 1.0, 0.05, 26061.4, 38.7105, 37027.1]                                |10321.7592400255834946|      0.00195312|[135, 18, 9, 18]                                                           |  | used linear model with 17 points | iterate failure | actual_k=2
      10|[0.0, 0.0, 1.0, 0.05, 26061.4, 38.7105, 37027.1]                                |10321.7592400255834946|      0.00097656|[150, 20, 10, 20]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      11|[0.0, 0.0, 1.0, 0.05, 26061.4, 38.7105, 37027.1]                                |10321.7592400255834946|      0.00048828|[165, 22, 11, 22]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      12|[0.0, 0.0, 1.0, 0.05, 26061.4, 38.7105, 37027.1]                                |10321.7592400255834946|      0.00024414|[180, 24, 12, 24]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      13|[-2.46573340312e-05, -0.0002420104256824, 1.0000099623124428, 0.0500111694038175, 26061.39999178542, 38.71050651905736, 37027.09999032354]|9328.4900207065347786|      0.00048828|[195, 26, 13, 26]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      14|[-2.46573340312e-05, -0.0002420104256824, 1.0000099623124428, 0.0500111694038175, 26061.39999178542, 38.71050651905736, 37027.09999032354]|9328.4900207065347786|      0.00024414|[210, 28, 14, 28]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      15|[-2.46573340312e-05, -0.0002420104256824, 1.0000099623124428, 0.0500111694038175, 26061.39999178542, 38.71050651905736, 37027.09999032354]|9328.4900207065347786|      0.00012207|[225, 30, 15, 30]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      16|[-2.46573340312e-05, -0.0002420104256824, 1.0000099623124428, 0.0500111694038175, 26061.39999178542, 38.71050651905736, 37027.09999032354]|9328.4900207065347786|      0.00006104|[240, 32, 16, 32]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      17|[-4.46287893634e-05, -0.0001970473940228, 0.9999960684626596, 0.0500432694818953, 26061.39999313753, 38.710512381449824, 37027.09998360736]|9292.8719090324757417|      0.00012207|[255, 34, 17, 34]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      18|[-4.46287893634e-05, -0.0001970473940228, 0.9999960684626596, 0.0500432694818953, 26061.39999313753, 38.710512381449824, 37027.09998360736]|9292.8719090324757417|      0.00006104|[270, 36, 18, 36]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      19|[-4.46287893634e-05, -0.0001970473940228, 0.9999960684626596, 0.0500432694818953, 26061.39999313753, 38.710512381449824, 37027.09998360736]|9292.8719090324757417|      0.00003052|[285, 38, 19, 38]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      20|[-5.41200748846e-05, -0.0002175640976972, 0.9999956367288466, 0.0500621848885579, 26061.399993080835, 38.71051227888307, 37027.09999150104]|9285.7684055776535388|      0.00006104|[300, 40, 20, 40]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      21|[-5.41200748846e-05, -0.0002175640976972, 0.9999956367288466, 0.0500621848885579, 26061.399993080835, 38.71051227888307, 37027.09999150104]|9285.7684055776535388|      0.00003052|[315, 42, 21, 42]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      22|[-6.5266694657e-05, -0.0001974039059018, 0.9999898290464568, 0.0500804209725296, 26061.399998786677, 38.71051126147405, 37027.09999062559]|9279.5244963118402666|      0.00006104|[330, 44, 22, 44]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      23|[-3.83555924048e-05, -0.0002237536966273, 0.9999993621922377, 0.0501269371174391, 26061.39999353926, 38.71050657360729, 37027.09998900469]|9267.1680102757745772|      0.00012207|[345, 46, 23, 46]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      24|[-3.83555924048e-05, -0.0002237536966273, 0.9999993621922377, 0.0501269371174391, 26061.39999353926, 38.71050657360729, 37027.09998900469]|9267.1680102757745772|      0.00006104|[360, 48, 24, 48]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      25|[-3.83555924048e-05, -0.0002237536966273, 0.9999993621922377, 0.0501269371174391, 26061.39999353926, 38.71050657360729, 37027.09998900469]|9267.1680102757745772|      0.00003052|[375, 50, 25, 50]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      26|[-3.64030972401e-05, -0.000203067778969, 0.999999762775259, 0.0501478020852693, 26061.399988188812, 38.710508589205546, 37027.09999460878]|9253.8873314288703114|      0.00006104|[390, 52, 26, 52]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      27|[-3.64030972401e-05, -0.000203067778969, 0.999999762775259, 0.0501478020852693, 26061.399988188812, 38.710508589205546, 37027.09999460878]|9253.8873314288703114|      0.00003052|[405, 54, 27, 54]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      28|[-3.67667893858e-05, -0.0002200984741615, 1.000007806132157, 0.0501652825494461, 26061.40000050051, 38.71050041026319, 37027.10000184829]|9251.3884557858782500|      0.00006104|[420, 56, 28, 56]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      29|[-5.64919872792e-05, -0.0001950725247703, 1.0000276144363573, 0.0501924327688058, 26061.400015174935, 38.71046993867596, 37027.09998095453]|9241.2054426638696896|      0.00012207|[435, 58, 29, 58]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      30|[-5.64919872792e-05, -0.0001950725247703, 1.0000276144363573, 0.0501924327688058, 26061.400015174935, 38.71046993867596, 37027.09998095453]|9241.2054426638696896|      0.00006104|[450, 60, 30, 60]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      31|[-5.64919872792e-05, -0.0001950725247703, 1.0000276144363573, 0.0501924327688058, 26061.400015174935, 38.71046993867596, 37027.09998095453]|9241.2054426638696896|      0.00003052|[465, 62, 31, 62]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      32|[-6.13588395738e-05, -0.0002181866420323, 1.0000271571130932, 0.0502105537201112, 26061.40001593878, 38.71046787911942, 37027.099987276764]|9234.6884254055494239|      0.00006104|[480, 64, 32, 64]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      33|[-6.13588395738e-05, -0.0002181866420323, 1.0000271571130932, 0.0502105537201112, 26061.40001593878, 38.71046787911942, 37027.099987276764]|9234.6884254055494239|      0.00003052|[495, 66, 33, 66]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      34|[-6.13588395738e-05, -0.0002181866420323, 1.0000271571130932, 0.0502105537201112, 26061.40001593878, 38.71046787911942, 37027.099987276764]|9234.6884254055494239|      0.00001526|[510, 68, 34, 68]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      35|[-5.9792879253e-05, -0.0002055284764585, 1.0000278350247593, 0.0502188245687089, 26061.4000157605, 38.7104682958876, 37027.09998623885]|9228.7594099554280547|      0.00003052|[525, 70, 35, 70]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
