k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 1.0, 0.05, 3527.31, 29.4219, 26185.9]                                |448.9786169854486388|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.0, 0.0, 1.0, 0.05, 3527.31, 29.4219, 26185.9]                                |448.9786169854486388|      0.50000000|[16, 1, 1, 2]                                                              |  | used linear model with 17 points | iterate failure | actual_k=1
       2|[0.0, 0.0, 1.0, 0.05, 3527.31, 29.4219, 26185.9]                                |448.9786169854486388|      0.25000000|[32, 2, 2, 4]                                                              |  | used linear model with 17 points | iterate failure | actual_k=1
       3|[0.0, 0.0, 1.0, 0.05, 3527.31, 29.4219, 26185.9]                                |448.9786169854486388|      0.12500000|[48, 3, 3, 6]                                                              |  | used linear model with 17 points | iterate failure | actual_k=1
       4|[0.0, 0.0, 1.0, 0.05, 3527.31, 29.4219, 26185.9]                                |448.9786169854486388|      0.06250000|[64, 4, 4, 8]                                                              |  | used linear model with 17 points | iterate failure | actual_k=1
       5|[0.0, 0.0, 1.0, 0.05, 3527.31, 29.4219, 26185.9]                                |448.9786169854486388|      0.03125000|[80, 5, 5, 10]                                                             |  | used linear model with 17 points | iterate failure | actual_k=1
       6|[0.0, 0.0, 1.0, 0.05, 3527.31, 29.4219, 26185.9]                                |448.9786169854486388|      0.01562500|[96, 6, 6, 12]                                                             |  | used linear model with 17 points | iterate failure | actual_k=1
       7|[0.0, 0.0, 1.0, 0.05, 3527.31, 29.4219, 26185.9]                                |448.9786169854486388|      0.00781250|[112, 7, 7, 14]                                                            |  | used linear model with 17 points | iterate failure | actual_k=1
       8|[0.0, 0.0, 1.0, 0.05, 3527.31, 29.4219, 26185.9]                                |448.9786169854486388|      0.00390625|[128, 8, 8, 16]                                                            |  | used linear model with 17 points | iterate failure | actual_k=1
       9|[0.0, 0.0, 1.0, 0.05, 3527.31, 29.4219, 26185.9]                                |448.9786169854486388|      0.00195312|[144, 9, 9, 18]                                                            |  | used linear model with 17 points | iterate failure | actual_k=1
      10|[0.0, 0.0, 1.0, 0.05, 3527.31, 29.4219, 26185.9]                                |448.9786169854486388|      0.00097656|[160, 10, 10, 20]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      11|[0.0, 0.0, 1.0, 0.05, 3527.31, 29.4219, 26185.9]                                |448.9786169854486388|      0.00048828|[176, 11, 11, 22]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      12|[0.0, 0.0, 1.0, 0.05, 3527.31, 29.4219, 26185.9]                                |448.9786169854486388|      0.00024414|[192, 12, 12, 24]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      13|[0.0, 0.0, 1.0, 0.05, 3527.31, 29.4219, 26185.9]                                |448.9786169854486388|      0.00012207|[208, 13, 13, 26]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      14|[0.0, 0.0, 1.0, 0.05, 3527.31, 29.4219, 26185.9]                                |448.9786169854486388|      0.00006104|[224, 14, 14, 28]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      15|[0.0, 0.0, 1.0, 0.05, 3527.31, 29.4219, 26185.9]                                |448.9786169854486388|      0.00003052|[240, 15, 15, 30]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      16|[0.0, 0.0, 1.0, 0.05, 3527.31, 29.4219, 26185.9]                                |448.9786169854486388|      0.00001526|[256, 16, 16, 32]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      17|[0.0, 0.0, 1.0, 0.05, 3527.31, 29.4219, 26185.9]                                |448.9786169854486388|      0.00000763|[272, 17, 17, 34]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      18|[0.0, 0.0, 1.0, 0.05, 3527.31, 29.4219, 26185.9]                                |448.9786169854486388|      0.00000381|[288, 18, 18, 36]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      19|[0.0, 0.0, 1.0, 0.05, 3527.31, 29.4219, 26185.9]                                |448.9786169854486388|      0.00000191|[304, 19, 19, 38]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      20|[-1.537337313e-07, -1.7587374922e-06, 1.000000110518221, 0.0500006654145549, 3527.3100001745534, 29.421900127580606, 26185.900000139467]|448.9318181236046712|      0.00000381|[320, 20, 20, 40]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      21|[-1.537337313e-07, -1.7587374922e-06, 1.000000110518221, 0.0500006654145549, 3527.3100001745534, 29.421900127580606, 26185.900000139467]|448.9318181236046712|      0.00000191|[336, 21, 21, 42]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      22|[-4.432488951e-07, -1.0424737413e-06, 1.0000001326658798, 0.0500022870831153, 3527.310000811879, 29.421900170302585, 26185.90000019255]|448.9137790997469324|      0.00000381|[352, 22, 22, 44]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      23|[-4.432488951e-07, -1.0424737413e-06, 1.0000001326658798, 0.0500022870831153, 3527.310000811879, 29.421900170302585, 26185.90000019255]|448.9137790997469324|      0.00000191|[368, 23, 23, 46]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      24|[-4.432488951e-07, -1.0424737413e-06, 1.0000001326658798, 0.0500022870831153, 3527.310000811879, 29.421900170302585, 26185.90000019255]|448.9137790997469324|      0.00000095|[384, 24, 24, 48]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      25|[-3.968108991e-07, -1.8500603261e-06, 1.0000001586062166, 0.0500027911907679, 3527.310000829044, 29.42190017702699, 26185.90000019475]|448.9049902930692610|      0.00000191|[400, 25, 25, 50]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      26|[-3.968108991e-07, -1.8500603261e-06, 1.0000001586062166, 0.0500027911907679, 3527.310000829044, 29.42190017702699, 26185.90000019475]|448.9049902930692610|      0.00000095|[416, 26, 26, 52]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      27|[-5.27434075e-07, -1.30173531e-06, 1.0000001073470388, 0.0500035012043929, 3527.3100009769405, 29.421900052932628, 26185.899999976227]|448.8948818706732027|      0.00000191|[432, 27, 27, 54]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      28|[3.81452785e-07, -1.4176085399e-06, 1.0000006534058399, 0.0500047673229818, 3527.3100017718784, 29.421900394798456, 26185.900000361507]|448.8777483231903602|      0.00000381|[448, 28, 28, 56]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      29|[3.81452785e-07, -1.4176085399e-06, 1.0000006534058399, 0.0500047673229818, 3527.3100017718784, 29.421900394798456, 26185.900000361507]|448.8777483231903602|      0.00000191|[464, 29, 29, 58]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      30|[3.81452785e-07, -1.4176085399e-06, 1.0000006534058399, 0.0500047673229818, 3527.3100017718784, 29.421900394798456, 26185.900000361507]|448.8777483231903602|      0.00000095|[480, 30, 30, 60]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      31|[6.268176467e-07, -1.4558882741e-06, 1.000000742273872, 0.0500055197415909, 3527.3100019949443, 29.42190054315012, 26185.89999991203]|448.8678539801429679|      0.00000191|[496, 31, 31, 62]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      32|[6.381028028e-07, -1.0208144179e-06, 1.000000412314145, 0.0500072986725338, 3527.310001965534, 29.421900628644778, 26185.899999503476]|448.8487739918816715|      0.00000381|[512, 32, 32, 64]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      33|[6.381028028e-07, -1.0208144179e-06, 1.000000412314145, 0.0500072986725338, 3527.310001965534, 29.421900628644778, 26185.899999503476]|448.8487739918816715|      0.00000191|[528, 33, 33, 66]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      34|[6.381028028e-07, -1.0208144179e-06, 1.000000412314145, 0.0500072986725338, 3527.310001965534, 29.421900628644778, 26185.899999503476]|448.8487739918816715|      0.00000095|[544, 34, 34, 68]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      35|[6.972027653e-07, -1.8609262042e-06, 1.0000003725659103, 0.0500077366828819, 3527.3100018907244, 29.42190059513902, 26185.899999495603]|448.8408277861768170|      0.00000191|[560, 35, 35, 70]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
