k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0]                                                                      |  1.0000000000000000|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.8841471582035256, 0.4672085215839173]                                        |  0.0834186150185212|      2.00000000|[4, 1, 1, 2]                                                               |  | used linear model with 5 points | iterate success | actual_k=1
       2|[0.8841471582035256, 0.4672085215839173]                                        |  0.0834186150185212|      1.00000000|[8, 2, 2, 4]                                                               |  | used linear model with 5 points | iterate failure | actual_k=1
       3|[0.8841471582035256, 0.4672085215839173]                                        |  0.0834186150185212|      0.50000000|[12, 3, 3, 6]                                                              |  | used linear model with 5 points | iterate failure | actual_k=1
       4|[0.6940807865928398, 0.929674492637733]                                         |  0.0005727627473379|      1.00000000|[16, 4, 4, 8]                                                              |  | used linear model with 5 points | iterate success | actual_k=1
       5|[0.6940807865928398, 0.929674492637733]                                         |  0.0005727627473379|      0.50000000|[20, 5, 5, 10]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
       6|[0.6940807865928398, 0.929674492637733]                                         |  0.0005727627473379|      0.25000000|[24, 6, 6, 12]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
       7|[0.6940807865928398, 0.929674492637733]                                         |  0.0005727627473379|      0.12500000|[28, 7, 7, 14]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
       8|[0.6940807865928398, 0.929674492637733]                                         |  0.0005727627473379|      0.06250000|[32, 8, 7, 15]                                                             |  | used linear model with 5 points | actual_k=1
       9|[0.6940807865928398, 0.929674492637733]                                         |  0.0005727627473379|      0.03125000|[35, 9, 7, 16]                                                             |  | used linear model with 5 points | actual_k=1
      10|[0.6940807865928398, 0.929674492637733]                                         |  0.0005727627473379|      0.01562500|[38, 10, 7, 17]                                                            |  | used linear model with 5 points | actual_k=1
      11|[0.6957189256011771, 0.9141356018925941]                                        |  0.0003376757814674|      0.03125000|[41, 11, 8, 19]                                                            |  | used linear model with 5 points | iterate success | actual_k=1
      12|[0.6957189256011771, 0.9141356018925941]                                        |  0.0003376757814674|      0.01562500|[45, 12, 8, 20]                                                            |  | used linear model with 5 points | actual_k=1
