k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]                                   |902930.4512200000463054|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]                                   |902930.4512200000463054|      0.50000000|[9, 1, 1, 2]                                                               |  | used linear model with 10 points | iterate failure | actual_k=1
       2|[-0.0111746434297854, 0.0554919595790549, -0.0510405275645144, 0.2086398896099362, 0.3432268075565402, 0.1806384927956695, -0.165790957163149, 0.1048123578564691, -0.1084105734434257]|432997.8633350091404282|      1.00000000|[19, 1, 2, 4]                                                              |  | used linear model with 10 points | iterate success | actual_k=1
       3|[-0.0111746434297854, 0.0554919595790549, -0.0510405275645144, 0.2086398896099362, 0.3432268075565402, 0.1806384927956695, -0.165790957163149, 0.1048123578564691, -0.1084105734434257]|432997.8633350091404282|      0.50000000|[29, 1, 3, 6]                                                              |  | used linear model with 10 points | iterate failure | actual_k=1
       4|[0.0139003785078174, 0.0794244984111387, -0.2417356557459589, -0.1261918667922612, 0.5184805696690804, 0.0705798989024156, -0.2874633372747951, 0.3105153247626389, -0.1278241241740093]|88476.4377644206979312|      1.00000000|[39, 1, 4, 8]                                                              |  | used linear model with 10 points | iterate success | actual_k=1
       5|[0.0139003785078174, 0.0794244984111387, -0.2417356557459589, -0.1261918667922612, 0.5184805696690804, 0.0705798989024156, -0.2874633372747951, 0.3105153247626389, -0.1278241241740093]|88476.4377644206979312|      0.50000000|[48, 2, 5, 10]                                                             |  | used linear model with 10 points | iterate failure | actual_k=1
       6|[0.0139003785078174, 0.0794244984111387, -0.2417356557459589, -0.1261918667922612, 0.5184805696690804, 0.0705798989024156, -0.2874633372747951, 0.3105153247626389, -0.1278241241740093]|88476.4377644206979312|      0.25000000|[58, 2, 6, 12]                                                             |  | used linear model with 10 points | iterate failure | actual_k=1
       7|[0.0139003785078174, 0.0794244984111387, -0.2417356557459589, -0.1261918667922612, 0.5184805696690804, 0.0705798989024156, -0.2874633372747951, 0.3105153247626389, -0.1278241241740093]|88476.4377644206979312|      0.12500000|[67, 3, 7, 14]                                                             |  | used linear model with 10 points | iterate failure | actual_k=1
       8|[0.0139003785078174, 0.0794244984111387, -0.2417356557459589, -0.1261918667922612, 0.5184805696690804, 0.0705798989024156, -0.2874633372747951, 0.3105153247626389, -0.1278241241740093]|88476.4377644206979312|      0.06250000|[76, 4, 8, 16]                                                             |  | used linear model with 10 points | iterate failure | actual_k=1
       9|[-0.0005725579382321, 0.0874112659466163, -0.224969186638989, -0.0969301917116975, 0.5634422205369682, 0.0531057043038604, -0.2972191300269328, 0.3108842566723979, -0.1192552029165414]|55795.1190675940451911|      0.12500000|[86, 4, 9, 18]                                                             |  | used linear model with 10 points | iterate success | actual_k=1
      10|[0.0107702252709421, 0.0988808530757335, -0.2918840842391619, -0.0644966338095284, 0.6440964097725328, 0.0280394683566952, -0.3388715095208478, 0.2798483256189829, -0.1173351817032147]|22027.1500284459471004|      0.25000000|[96, 4, 10, 20]                                                            |  | used linear model with 10 points | iterate success | actual_k=1
      11|[0.0107702252709421, 0.0988808530757335, -0.2918840842391619, -0.0644966338095284, 0.6440964097725328, 0.0280394683566952, -0.3388715095208478, 0.2798483256189829, -0.1173351817032147]|22027.1500284459471004|      0.12500000|[106, 4, 11, 22]                                                           |  | used linear model with 10 points | iterate failure | actual_k=1
      12|[0.0107702252709421, 0.0988808530757335, -0.2918840842391619, -0.0644966338095284, 0.6440964097725328, 0.0280394683566952, -0.3388715095208478, 0.2798483256189829, -0.1173351817032147]|22027.1500284459471004|      0.06250000|[115, 5, 12, 24]                                                           |  | used linear model with 10 points | iterate failure | actual_k=1
      13|[0.0107702252709421, 0.0988808530757335, -0.2918840842391619, -0.0644966338095284, 0.6440964097725328, 0.0280394683566952, -0.3388715095208478, 0.2798483256189829, -0.1173351817032147]|22027.1500284459471004|      0.03125000|[124, 6, 13, 26]                                                           |  | used linear model with 10 points | iterate failure | actual_k=1
      14|[0.0107702252709421, 0.0988808530757335, -0.2918840842391619, -0.0644966338095284, 0.6440964097725328, 0.0280394683566952, -0.3388715095208478, 0.2798483256189829, -0.1173351817032147]|22027.1500284459471004|      0.01562500|[134, 6, 14, 28]                                                           |  | used linear model with 10 points | iterate failure | actual_k=1
      15|[0.006942944233936, 0.1000021660716217, -0.2938664788776225, -0.0609299771624881, 0.6528000766637375, 0.0195815908459053, -0.3372840931300843, 0.2724633141195786, -0.1200252521305412]|19119.7744160108777578|      0.03125000|[143, 7, 15, 30]                                                           |  | used linear model with 10 points | iterate success | actual_k=1
      16|[-0.0066934898415841, 0.1070900814496745, -0.2946521463021575, -0.0510171079612922, 0.672546342906301, 0.0226674689677889, -0.3226806844231224, 0.2676088551450751, -0.1223113798812437]|15346.9205721550715680|      0.06250000|[152, 8, 16, 32]                                                           |  | used linear model with 10 points | iterate success | actual_k=1
      17|[-0.0066934898415841, 0.1070900814496745, -0.2946521463021575, -0.0510171079612922, 0.672546342906301, 0.0226674689677889, -0.3226806844231224, 0.2676088551450751, -0.1223113798812437]|15346.9205721550715680|      0.03125000|[162, 8, 17, 34]                                                           |  | used linear model with 10 points | iterate failure | actual_k=1
      18|[0.0006633728058698, 0.1057054278195503, -0.2936643810804735, -0.0419471838110963, 0.6881539037492875, 0.0034456602201468, -0.3201639830042965, 0.275156822607752, -0.1096266206702851]|11254.8942931000801764|      0.06250000|[172, 8, 18, 36]                                                           |  | used linear model with 10 points | iterate success | actual_k=1
      19|[-0.0016577423135396, 0.1140009325123286, -0.3163856609200805, -0.0482232274323063, 0.727110050994781, -0.0365290474990921, -0.3104562409743791, 0.2691478023394726, -0.1151488032147436]|10254.2644252596146544|      0.12500000|[181, 9, 19, 38]                                                           |  | used linear model with 10 points | iterate success | actual_k=1
      20|[-0.0016577423135396, 0.1140009325123286, -0.3163856609200805, -0.0482232274323063, 0.727110050994781, -0.0365290474990921, -0.3104562409743791, 0.2691478023394726, -0.1151488032147436]|10254.2644252596146544|      0.06250000|[191, 9, 20, 40]                                                           |  | used linear model with 10 points | iterate failure | actual_k=1
      21|[-0.0121848160736785, 0.1322533711302847, -0.3159461579564573, -0.0236434525490765, 0.7611868790600733, -0.0239060272105377, -0.2743272103086736, 0.2754308521979926, -0.129025628565528]|4279.2795854581627282|      0.12500000|[200, 10, 21, 42]                                                          |  | used linear model with 10 points | iterate success | actual_k=1
