k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]                                   |902930.4512200000463054|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]                                   |902930.4512200000463054|      0.50000000|[29, 2, 0, 2]                                                              |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       2|[-0.0211447900443018, 0.1139887384585275, -0.0148168012762061, -0.1224566787540001, 0.4248994666720824, 0.0020343420907108, 0.174926638282876, 0.0979027953925574, 0.0248255540624909]|131372.8906250000000000|      1.00000000|[58, 4, 0, 4]                                                              |  | trying linear partial model with 16 points | iterate success | actual_k=1
       3|[-0.0211447900443018, 0.1139887384585275, -0.0148168012762061, -0.1224566787540001, 0.4248994666720824, 0.0020343420907108, 0.174926638282876, 0.0979027953925574, 0.0248255540624909]|131372.8906250000000000|      0.50000000|[87, 6, 0, 6]                                                              |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       4|[-0.0211447900443018, 0.1139887384585275, -0.0148168012762061, -0.1224566787540001, 0.4248994666720824, 0.0020343420907108, 0.174926638282876, 0.0979027953925574, 0.0248255540624909]|131372.8906250000000000|      0.25000000|[115, 8, 0, 8]                                                             |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       5|[-0.0818243057543216, 0.1261212703250056, 0.0337264883503991, 0.0640710273542836, 0.5490230538574451, -0.027413350391237, 0.2063291254055398, 0.0752916032786967, -0.0364161656663256]|50751.4531250000000000|      0.50000000|[144, 10, 0, 10]                                                           |  | trying linear partial model with 16 points | iterate success | actual_k=1
       6|[-0.0818243057543216, 0.1261212703250056, 0.0337264883503991, 0.0640710273542836, 0.5490230538574451, -0.027413350391237, 0.2063291254055398, 0.0752916032786967, -0.0364161656663256]|50751.4531250000000000|      0.25000000|[172, 12, 0, 12]                                                           |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       7|[-0.0818243057543216, 0.1261212703250056, 0.0337264883503991, 0.0640710273542836, 0.5490230538574451, -0.027413350391237, 0.2063291254055398, 0.0752916032786967, -0.0364161656663256]|50751.4531250000000000|      0.12500000|[200, 14, 0, 14]                                                           |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       8|[-0.074582094739972, 0.1156570557917767, 0.0403454165891565, -0.0039514522551152, 0.6521267655462879, -0.0246183242484024, 0.2096221582681428, 0.0650828318852379, -0.0301766114649375]|14771.8847656250000000|      0.25000000|[228, 16, 0, 16]                                                           |  | trying linear partial model with 16 points | iterate success | actual_k=1
       9|[-0.074582094739972, 0.1156570557917767, 0.0403454165891565, -0.0039514522551152, 0.6521267655462879, -0.0246183242484024, 0.2096221582681428, 0.0650828318852379, -0.0301766114649375]|14771.8847656250000000|      0.12500000|[257, 18, 0, 18]                                                           |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      10|[-0.0800881323881939, 0.1267667859581483, 0.0072430650141987, 0.0056100671610614, 0.7640617409754018, 0.0133048138662798, 0.2028934772554109, 0.0808853259520057, -0.034810402140594]|3715.9443359375000000|      0.25000000|[285, 20, 0, 20]                                                           |  | trying linear partial model with 16 points | iterate success | actual_k=1
