k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]                                   |902930.4512200000463054|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.5890167984146528, -0.1998527551431651, 0.1540620500484967, -0.0212773719880672, 0.6773851234581694, 0.2344542787270966, -0.0544079101121538, -0.1958298332157929, -0.1838512634364919]|122002.2500000000000000|      2.00000000|[25, 8, 0, 2]                                                              |  | trying linear partial model with 13 points | iterate success | actual_k=4
       2|[0.5890167984146528, -0.1998527551431651, 0.1540620500484967, -0.0212773719880672, 0.6773851234581694, 0.2344542787270966, -0.0544079101121538, -0.1958298332157929, -0.1838512634364919]|122002.2500000000000000|      1.00000000|[49, 16, 0, 4]                                                             |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
       3|[0.5890167984146528, -0.1998527551431651, 0.1540620500484967, -0.0212773719880672, 0.6773851234581694, 0.2344542787270966, -0.0544079101121538, -0.1958298332157929, -0.1838512634364919]|122002.2500000000000000|      0.50000000|[73, 24, 0, 6]                                                             |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
       4|[0.5890167984146528, -0.1998527551431651, 0.1540620500484967, -0.0212773719880672, 0.6773851234581694, 0.2344542787270966, -0.0544079101121538, -0.1958298332157929, -0.1838512634364919]|122002.2500000000000000|      0.25000000|[97, 32, 0, 8]                                                             |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
       5|[0.6069399144776078, -0.1315561482789792, 0.2140599574595775, 0.0183098662750887, 0.6963272988954062, 0.0268019832201217, -0.0979823840897218, -0.1611558667949518, -0.1079030145756147]|8315.1630859375000000|      0.50000000|[121, 40, 0, 10]                                                           |  | trying linear partial model with 13 points | iterate success | actual_k=4
       6|[0.6069399144776078, -0.1315561482789792, 0.2140599574595775, 0.0183098662750887, 0.6963272988954062, 0.0268019832201217, -0.0979823840897218, -0.1611558667949518, -0.1079030145756147]|8315.1630859375000000|      0.25000000|[145, 48, 0, 12]                                                           |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
       7|[0.6069399144776078, -0.1315561482789792, 0.2140599574595775, 0.0183098662750887, 0.6963272988954062, 0.0268019832201217, -0.0979823840897218, -0.1611558667949518, -0.1079030145756147]|8315.1630859375000000|      0.12500000|[169, 56, 0, 14]                                                           |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
       8|[0.6069399144776078, -0.1315561482789792, 0.2140599574595775, 0.0183098662750887, 0.6963272988954062, 0.0268019832201217, -0.0979823840897218, -0.1611558667949518, -0.1079030145756147]|8315.1630859375000000|      0.06250000|[193, 64, 0, 16]                                                           |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
       9|[0.6170184946587172, -0.096765635716326, 0.2328680547466312, 0.0054263891626619, 0.7352259271161304, 0.015417038020212, -0.0983458749675983, -0.1421571812737196, -0.1163150012186778]|4852.9280886238875610|      0.12500000|[217, 72, 1, 19]                                                           |  | trying linear partial model with 13 points FAILED TO GET X_HAT, using additional batch call | iterate success | actual_k=4
      10|[0.6170184946587172, -0.096765635716326, 0.2328680547466312, 0.0054263891626619, 0.7352259271161304, 0.015417038020212, -0.0983458749675983, -0.1421571812737196, -0.1163150012186778]|4852.9280886238875610|      0.06250000|[242, 80, 2, 22]                                                           |  | trying linear partial model with 13 points FAILED TO GET X_HAT, using additional batch call | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
