k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]                                   |902930.4512200000463054|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[-0.1315836473369568, -0.2182079464017398, 0.2042704996291451, -0.3134889320805231, 0.6309743440722428, 0.0099934020800801, 0.3035350878412768, 0.4029120672928525, -0.3773183189846054]|280252.7500000000000000|      2.00000000|[11, 6, 0, 6]                                                              |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 6 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 9 points | iterate success | actual_k=1
       2|[-0.1315836473369568, -0.2182079464017398, 0.2042704996291451, -0.3134889320805231, 0.6309743440722428, 0.0099934020800801, 0.3035350878412768, 0.4029120672928525, -0.3773183189846054]|280252.7500000000000000|      1.00000000|[23, 12, 0, 12]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 6 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 9 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 11 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       3|[0.0200009962581178, -0.3048109443662874, -0.5424682679249964, 0.1582562068391556, 0.8345857398517346, 0.3026117394807512, 0.3034837442350858, 0.2182569891220647, -0.2094518211291661]|239150.4218750000000000|      2.00000000|[28, 14, 0, 14]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
       4|[0.0200009962581178, -0.3048109443662874, -0.5424682679249964, 0.1582562068391556, 0.8345857398517346, 0.3026117394807512, 0.3034837442350858, 0.2182569891220647, -0.2094518211291661]|239150.4218750000000000|      1.00000000|[40, 20, 0, 20]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 6 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 8 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 10 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 11 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       5|[-0.356765568284812, -0.4505202709042486, -0.7477225906201805, 0.0309746292836842, 0.7435728280291319, -0.0004638525657774, 0.6399731683566259, 0.0937306832067993, 0.5319088960719636]|4870.7333984375000000|      2.00000000|[44, 22, 0, 22]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
       6|[-0.356765568284812, -0.4505202709042486, -0.7477225906201805, 0.0309746292836842, 0.7435728280291319, -0.0004638525657774, 0.6399731683566259, 0.0937306832067993, 0.5319088960719636]|4870.7333984375000000|      1.00000000|[56, 28, 0, 28]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 9 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 11 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       7|[-0.356765568284812, -0.4505202709042486, -0.7477225906201805, 0.0309746292836842, 0.7435728280291319, -0.0004638525657774, 0.6399731683566259, 0.0937306832067993, 0.5319088960719636]|4870.7333984375000000|      0.50000000|[68, 34, 0, 34]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 6 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 8 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 10 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 11 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       8|[-0.356765568284812, -0.4505202709042486, -0.7477225906201805, 0.0309746292836842, 0.7435728280291319, -0.0004638525657774, 0.6399731683566259, 0.0937306832067993, 0.5319088960719636]|4870.7333984375000000|      0.25000000|[80, 40, 0, 40]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 6 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 8 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 9 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 11 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       9|[-0.4071126811993658, -0.3708341445944479, -0.7306372913357516, 0.0186920658110896, 0.9269930292314865, -0.0167535337273354, 0.6932174211911701, -0.0315023734784807, 0.5592205750702594]|1046.5607910156250000|      0.50000000|[89, 44, 0, 44]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 6 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 8 points | iterate success | actual_k=1
      10|[-0.4071126811993658, -0.3708341445944479, -0.7306372913357516, 0.0186920658110896, 0.9269930292314865, -0.0167535337273354, 0.6932174211911701, -0.0315023734784807, 0.5592205750702594]|1046.5607910156250000|      0.25000000|[102, 51, 0, 51]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 6 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 8 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 9 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 11 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 12 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      11|[-0.4071126811993658, -0.3708341445944479, -0.7306372913357516, 0.0186920658110896, 0.9269930292314865, -0.0167535337273354, 0.6932174211911701, -0.0315023734784807, 0.5592205750702594]|1046.5607910156250000|      0.12500000|[115, 58, 0, 58]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 6 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 8 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 10 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 12 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      12|[-0.4072813826975403, -0.3904226202279068, -0.7407520575402579, 0.0296472675103475, 1.0188397907512114, 0.0429855952425929, 0.7447840843059617, -0.0484733724443043, 0.5674188395255761]|329.8998107910156250|      0.25000000|[122, 61, 0, 61]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 6 points | iterate success | actual_k=1
      13|[-0.4072813826975403, -0.3904226202279068, -0.7407520575402579, 0.0296472675103475, 1.0188397907512114, 0.0429855952425929, 0.7447840843059617, -0.0484733724443043, 0.5674188395255761]|329.8998107910156250|      0.12500000|[134, 67, 0, 67]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 9 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 11 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      14|[-0.4072813826975403, -0.3904226202279068, -0.7407520575402579, 0.0296472675103475, 1.0188397907512114, 0.0429855952425929, 0.7447840843059617, -0.0484733724443043, 0.5674188395255761]|329.8998107910156250|      0.06250000|[147, 74, 0, 74]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 6 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 8 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 9 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 11 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 12 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      15|[-0.3882082954195523, -0.3951460115276593, -0.7531314946377264, 0.0295584617706982, 0.9788914876536916, 0.0246400540799404, 0.7679629008618579, -0.0215216119918142, 0.5543491097018993]| 48.6820487976074219|      0.12500000|[158, 81, 0, 81]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 6 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 8 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 9 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 11 points | iterate success | actual_k=1
      16|[-0.3882082954195523, -0.3951460115276593, -0.7531314946377264, 0.0295584617706982, 0.9788914876536916, 0.0246400540799404, 0.7679629008618579, -0.0215216119918142, 0.5543491097018993]| 48.6820487976074219|      0.06250000|[170, 87, 0, 87]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 6 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 8 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 10 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 12 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
