k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.0, 1.0]                                                                      |  6.0000000000000000|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1.0, 1.0]                                                                      |  6.0000000000000000|      0.50000000|[3, 0, 0, 1]                                                               |  | used linear model with 3 points | actual_k=0
       2|[0.9956463572793094, 0.5000189545642149]                                        |  3.5109837839385158|      1.00000000|[5, 0, 1, 3]                                                               |  | used linear model with 3 points | iterate success | actual_k=0
       3|[1.8933606476036173, 0.0594408650641532]                                        |  1.1338270776133186|      2.00000000|[8, 0, 2, 5]                                                               |  | used linear model with 3 points | iterate success | actual_k=0
       4|[1.8933606476036173, 0.0594408650641532]                                        |  1.1338270776133186|      1.00000000|[11, 0, 3, 7]                                                              |  | used linear model with 3 points | iterate failure | actual_k=0
       5|[2.6519494455756734, -0.5921288054940391]                                       |  0.7404223642020250|      2.00000000|[14, 0, 4, 9]                                                              |  | used linear model with 3 points | iterate success | actual_k=0
       6|[2.6519494455756734, -0.5921288054940391]                                       |  0.7404223642020250|      1.00000000|[17, 0, 5, 11]                                                             |  | used linear model with 3 points | iterate failure | actual_k=0
       7|[2.3149982856277314, -1.5336509325891683]                                       |  0.6173903497146698|      2.00000000|[20, 0, 6, 13]                                                             |  | used linear model with 3 points | iterate success | actual_k=0
       8|[2.3149982856277314, -1.5336509325891683]                                       |  0.6173903497146698|      1.00000000|[23, 0, 6, 14]                                                             |  | used linear model with 3 points | actual_k=0
       9|[2.3149982856277314, -1.5336509325891683]                                       |  0.6173903497146698|      0.50000000|[25, 0, 7, 16]                                                             |  | used linear model with 3 points | iterate failure | actual_k=0
      10|[1.8299258802987415, -1.6549141239884886]                                       |  0.5370563571173222|      1.00000000|[28, 0, 8, 18]                                                             |  | used linear model with 3 points | iterate success | actual_k=0
      11|[1.8299258802987415, -1.6549141239884886]                                       |  0.5370563571173222|      0.50000000|[31, 0, 9, 20]                                                             |  | used linear model with 3 points | iterate failure | actual_k=0
