k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[20.0, 2.0, 2.0, 2.0, 0.2]                                                      |10940.0863686848952057|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[20.0, 2.0, 2.0, 2.0, 0.2]                                                      |10940.0863686848952057|      0.50000000|[27, 4, 0, 2]                                                              |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       2|[20.069067890787075, 2.0364481142632367, 2.01792694337085, 2.008969594093172, 0.6934565153203076]|4901.7377929687500000|      1.00000000|[55, 8, 0, 4]                                                              |  | trying linear partial model with 15 points | iterate success | actual_k=2
       3|[20.069067890787075, 2.0364481142632367, 2.01792694337085, 2.008969594093172, 0.6934565153203076]|4901.7377929687500000|      0.50000000|[82, 12, 0, 6]                                                             |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       4|[20.069067890787075, 2.0364481142632367, 2.01792694337085, 2.008969594093172, 0.6934565153203076]|4901.7377929687500000|      0.25000000|[109, 16, 0, 8]                                                            |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       5|[20.069067890787075, 2.0364481142632367, 2.01792694337085, 2.008969594093172, 0.6934565153203076]|4901.7377929687500000|      0.12500000|[136, 20, 0, 10]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       6|[20.0685700575592, 2.031960840593933, 2.0259045865209164, 2.002487054599676, 0.5689617345920399]|4013.5097656250000000|      0.25000000|[162, 24, 0, 12]                                                           |  | trying linear partial model with 15 points | iterate success | actual_k=2
       7|[20.0685700575592, 2.031960840593933, 2.0259045865209164, 2.002487054599676, 0.5689617345920399]|4013.5097656250000000|      0.12500000|[189, 28, 0, 14]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       8|[20.0685700575592, 2.031960840593933, 2.0259045865209164, 2.002487054599676, 0.5689617345920399]|4013.5097656250000000|      0.06250000|[215, 32, 0, 16]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       9|[20.08753318823783, 2.0853016411240475, 2.0473714307200854, 2.011100818867982, 0.5818608174637129]|3887.2402343750000000|      0.12500000|[242, 36, 0, 18]                                                           |  | trying linear partial model with 15 points | iterate success | actual_k=2
      10|[20.117194277389792, 2.160003473321826, 2.1055061004550955, 2.000748911235894, 0.5065079526224057]|3731.9052734375000000|      0.25000000|[269, 40, 0, 20]                                                           |  | trying linear partial model with 15 points | iterate success | actual_k=2
      11|[20.117194277389792, 2.160003473321826, 2.1055061004550955, 2.000748911235894, 0.5065079526224057]|3731.9052734375000000|      0.12500000|[296, 44, 0, 22]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      12|[20.19439548564325, 2.2342673193904004, 2.1072380853039587, 1.9981658435686573, 0.5708522033463004]|3534.3474121093750000|      0.25000000|[322, 48, 0, 24]                                                           |  | trying linear partial model with 15 points | iterate success | actual_k=2
      13|[20.19439548564325, 2.2342673193904004, 2.1072380853039587, 1.9981658435686573, 0.5708522033463004]|3534.3474121093750000|      0.12500000|[348, 52, 0, 26]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      14|[20.19439548564325, 2.2342673193904004, 2.1072380853039587, 1.9981658435686573, 0.5708522033463004]|3534.3474121093750000|      0.06250000|[374, 56, 0, 28]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      15|[20.198834635138024, 2.263422504436293, 2.112407298897967, 1.9869192605185027, 0.5171557161500389]|3402.7023925781250000|      0.12500000|[400, 60, 0, 30]                                                           |  | trying linear partial model with 15 points | iterate success | actual_k=2
      16|[20.198834635138024, 2.263422504436293, 2.112407298897967, 1.9869192605185027, 0.5171557161500389]|3402.7023925781250000|      0.06250000|[426, 64, 0, 32]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      17|[20.201877762598933, 2.3014195534949455, 2.1273353512282474, 2.02200624561633, 0.5487669541590166]|3338.0332031250000000|      0.12500000|[452, 68, 0, 34]                                                           |  | trying linear partial model with 15 points | iterate success | actual_k=2
      18|[20.201877762598933, 2.3014195534949455, 2.1273353512282474, 2.02200624561633, 0.5487669541590166]|3338.0332031250000000|      0.06250000|[478, 72, 0, 36]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      19|[20.201877762598933, 2.3014195534949455, 2.1273353512282474, 2.02200624561633, 0.5487669541590166]|3338.0332031250000000|      0.03125000|[504, 76, 0, 38]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      20|[20.202260895769918, 2.311529337720546, 2.1296058907470337, 2.0260520549077374, 0.5195661998989587]|3280.9450683593750000|      0.06250000|[530, 80, 0, 40]                                                           |  | trying linear partial model with 15 points | iterate success | actual_k=2
      21|[20.187015832387704, 2.3624809582528052, 2.151184562749783, 2.0496821311729447, 0.5268976948288675]|3187.7805175781250000|      0.12500000|[557, 84, 0, 42]                                                           |  | trying linear partial model with 15 points | iterate success | actual_k=2
      22|[20.220506732851828, 2.4665974162722524, 2.1735198859676155, 2.0983949443299266, 0.4987673210902386]|2998.2165527343750000|      0.25000000|[583, 88, 0, 44]                                                           |  | trying linear partial model with 15 points | iterate success | actual_k=2
      23|[20.220506732851828, 2.4665974162722524, 2.1735198859676155, 2.0983949443299266, 0.4987673210902386]|2998.2165527343750000|      0.12500000|[610, 92, 0, 46]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      24|[20.220506732851828, 2.4665974162722524, 2.1735198859676155, 2.0983949443299266, 0.4987673210902386]|2998.2165527343750000|      0.06250000|[636, 96, 0, 48]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      25|[20.220506732851828, 2.4665974162722524, 2.1735198859676155, 2.0983949443299266, 0.4987673210902386]|2998.2165527343750000|      0.03125000|[662, 100, 0, 50]                                                          |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
