k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[20.0, 2.0, 2.0, 2.0, 0.2]                                                      |10940.0863686848952057|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[19.48926161385926, 2.331092710332796, 2.3042873464771274, 1.4807038058591362, 0.7169763936695353]|5759.6186763040277583|      2.00000000|[9, 0, 1, 3]                                                               |  | used linear model with 9 points | iterate success | actual_k=0
       2|[19.48926161385926, 2.331092710332796, 2.3042873464771274, 1.4807038058591362, 0.7169763936695353]|5759.6186763040277583|      1.00000000|[18, 0, 2, 6]                                                              |  | used linear model with 9 points | iterate failure | actual_k=0
       3|[19.48926161385926, 2.331092710332796, 2.3042873464771274, 1.4807038058591362, 0.7169763936695353]|5759.6186763040277583|      0.50000000|[27, 0, 3, 9]                                                              |  | used linear model with 9 points | iterate failure | actual_k=0
       4|[19.48926161385926, 2.331092710332796, 2.3042873464771274, 1.4807038058591362, 0.7169763936695353]|5759.6186763040277583|      0.25000000|[36, 0, 4, 12]                                                             |  | used linear model with 9 points | iterate failure | actual_k=0
       5|[19.49247058549063, 2.338628157838268, 2.452415404832705, 1.497159453512531, 0.5164266254819971]|3523.6832450237925514|      0.50000000|[45, 0, 5, 15]                                                             |  | used linear model with 9 points | iterate success | actual_k=0
       6|[19.49247058549063, 2.338628157838268, 2.452415404832705, 1.497159453512531, 0.5164266254819971]|3523.6832450237925514|      0.25000000|[54, 0, 6, 18]                                                             |  | used linear model with 9 points | iterate failure | actual_k=0
       7|[19.49247058549063, 2.338628157838268, 2.452415404832705, 1.497159453512531, 0.5164266254819971]|3523.6832450237925514|      0.12500000|[63, 0, 7, 21]                                                             |  | used linear model with 9 points | iterate failure | actual_k=0
       8|[19.49247058549063, 2.338628157838268, 2.452415404832705, 1.497159453512531, 0.5164266254819971]|3523.6832450237925514|      0.06250000|[72, 0, 8, 24]                                                             |  | used linear model with 9 points | iterate failure | actual_k=0
       9|[19.50029943214911, 2.384815637539129, 2.4626155942859076, 1.5066090367591891, 0.5553924745098808]|3503.5217301925904394|      0.12500000|[81, 0, 9, 27]                                                             |  | used linear model with 9 points | iterate success | actual_k=0
      10|[19.50029943214911, 2.384815637539129, 2.4626155942859076, 1.5066090367591891, 0.5553924745098808]|3503.5217301925904394|      0.06250000|[90, 0, 10, 30]                                                            |  | used linear model with 9 points | iterate failure | actual_k=0
      11|[19.53327602277568, 2.379175761641472, 2.441428820501438, 1.5413462379365772, 0.5217556830238634]|3417.7723367345797669|      0.12500000|[99, 0, 11, 33]                                                            |  | used linear model with 9 points | iterate success | actual_k=0
      12|[19.517439663777296, 2.4868706464345403, 2.4943738104874837, 1.5461887339739286, 0.5525680148179327]|3388.3104646964634412|      0.25000000|[108, 0, 12, 36]                                                           |  | used linear model with 9 points | iterate success | actual_k=0
      13|[19.517439663777296, 2.4868706464345403, 2.4943738104874837, 1.5461887339739286, 0.5525680148179327]|3388.3104646964634412|      0.12500000|[117, 0, 13, 39]                                                           |  | used linear model with 9 points | iterate failure | actual_k=0
      14|[19.517439663777296, 2.4868706464345403, 2.4943738104874837, 1.5461887339739286, 0.5525680148179327]|3388.3104646964634412|      0.06250000|[126, 0, 14, 42]                                                           |  | used linear model with 9 points | iterate failure | actual_k=0
      15|[19.51630835021256, 2.495264618057694, 2.489124941583948, 1.5364671437197566, 0.49163812536972]|3251.3343066236302548|      0.12500000|[135, 0, 15, 45]                                                           |  | used linear model with 9 points | iterate success | actual_k=0
      16|[19.51630835021256, 2.495264618057694, 2.489124941583948, 1.5364671437197566, 0.49163812536972]|3251.3343066236302548|      0.06250000|[144, 0, 16, 48]                                                           |  | used linear model with 9 points | iterate failure | actual_k=0
      17|[19.51630835021256, 2.495264618057694, 2.489124941583948, 1.5364671437197566, 0.49163812536972]|3251.3343066236302548|      0.03125000|[153, 0, 17, 51]                                                           |  | used linear model with 9 points | iterate failure | actual_k=0
