k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.0215400678, 0.02, 0.0128719128, 0.02, 0.4292206739, 0.02, 0.8009548574, 0.02, 0.2202801749, 0.02, 2.6915110182, 0.02, 0.8064571417, 0.02, 2.2686398843, 0.02, 14.352901162, 0.02, 12.161699758, 0.02, 0.276676662, 0.02, 0.2434602195, 0.02, 1.1650863975, 0.02, 0.1774572413, 0.02, 0.1153950601, 0.02, 3.7470242328, 0.02, 0.833501062, 0.02, 0.1588345259, 0.02, 0.3867741611, 0.02, 0.9231772721, 0.02, 0.2596415821, 0.02, 2.0709635713, 0.02, 1.944950803, 0.02, 1.4841998492, 0.02, 0.4816362663, 0.02, 0.4934043524, 0.02, 0.3289805969, 0.02, 0.8399929759, 0.02, 0.4600450055, 0.02, 0.4909424311, 0.02, 0.9861479337, 0.02, -0.017883084, 0.02, 0.2654081509, 0.02]|3557546.8214740874245763|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1.0215400678, 0.02, 0.0128719128, 0.02, 0.4292206739, 0.02, 0.8009548574, 0.02, 0.2202801749, 0.02, 2.6915110182, 0.02, 0.8064571417, 0.02, 2.2686398843, 0.02, 14.352901162, 0.02, 12.161699758, 0.02, 0.276676662, 0.02, 0.2434602195, 0.02, 1.1650863975, 0.02, 0.1774572413, 0.02, 0.1153950601, 0.02, 3.7470242328, 0.02, 0.833501062, 0.02, 0.1588345259, 0.02, 0.3867741611, 0.02, 0.9231772721, 0.02, 0.2596415821, 0.02, 2.0709635713, 0.02, 1.944950803, 0.02, 1.4841998492, 0.02, 0.4816362663, 0.02, 0.4934043524, 0.02, 0.3289805969, 0.02, 0.8399929759, 0.02, 0.4600450055, 0.02, 0.4909424311, 0.02, 0.9861479337, 0.02, -0.017883084, 0.02, 0.2654081509, 0.02]|3557546.8214740874245763|      0.50000000|[177, 12, 0, 3]                                                            |  | trying linear partial model with 61 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 119 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
       2|[1.0215400678, 0.02, 0.0128719128, 0.02, 0.4292206739, 0.02, 0.8009548574, 0.02, 0.2202801749, 0.02, 2.6915110182, 0.02, 0.8064571417, 0.02, 2.2686398843, 0.02, 14.352901162, 0.02, 12.161699758, 0.02, 0.276676662, 0.02, 0.2434602195, 0.02, 1.1650863975, 0.02, 0.1774572413, 0.02, 0.1153950601, 0.02, 3.7470242328, 0.02, 0.833501062, 0.02, 0.1588345259, 0.02, 0.3867741611, 0.02, 0.9231772721, 0.02, 0.2596415821, 0.02, 2.0709635713, 0.02, 1.944950803, 0.02, 1.4841998492, 0.02, 0.4816362663, 0.02, 0.4934043524, 0.02, 0.3289805969, 0.02, 0.8399929759, 0.02, 0.4600450055, 0.02, 0.4909424311, 0.02, 0.9861479337, 0.02, -0.017883084, 0.02, 0.2654081509, 0.02]|3557546.8214740874245763|      0.25000000|[353, 24, 0, 6]                                                            |  | trying linear partial model with 61 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 119 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
       3|[1.0215400678, 0.02, 0.0128719128, 0.02, 0.4292206739, 0.02, 0.8009548574, 0.02, 0.2202801749, 0.02, 2.6915110182, 0.02, 0.8064571417, 0.02, 2.2686398843, 0.02, 14.352901162, 0.02, 12.161699758, 0.02, 0.276676662, 0.02, 0.2434602195, 0.02, 1.1650863975, 0.02, 0.1774572413, 0.02, 0.1153950601, 0.02, 3.7470242328, 0.02, 0.833501062, 0.02, 0.1588345259, 0.02, 0.3867741611, 0.02, 0.9231772721, 0.02, 0.2596415821, 0.02, 2.0709635713, 0.02, 1.944950803, 0.02, 1.4841998492, 0.02, 0.4816362663, 0.02, 0.4934043524, 0.02, 0.3289805969, 0.02, 0.8399929759, 0.02, 0.4600450055, 0.02, 0.4909424311, 0.02, 0.9861479337, 0.02, -0.017883084, 0.02, 0.2654081509, 0.02]|3557546.8214740874245763|      0.12500000|[530, 36, 0, 9]                                                            |  | trying linear partial model with 61 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 119 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
       4|[1.0215400678, 0.02, 0.0128719128, 0.02, 0.4292206739, 0.02, 0.8009548574, 0.02, 0.2202801749, 0.02, 2.6915110182, 0.02, 0.8064571417, 0.02, 2.2686398843, 0.02, 14.352901162, 0.02, 12.161699758, 0.02, 0.276676662, 0.02, 0.2434602195, 0.02, 1.1650863975, 0.02, 0.1774572413, 0.02, 0.1153950601, 0.02, 3.7470242328, 0.02, 0.833501062, 0.02, 0.1588345259, 0.02, 0.3867741611, 0.02, 0.9231772721, 0.02, 0.2596415821, 0.02, 2.0709635713, 0.02, 1.944950803, 0.02, 1.4841998492, 0.02, 0.4816362663, 0.02, 0.4934043524, 0.02, 0.3289805969, 0.02, 0.8399929759, 0.02, 0.4600450055, 0.02, 0.4909424311, 0.02, 0.9861479337, 0.02, -0.017883084, 0.02, 0.2654081509, 0.02]|3557546.8214740874245763|      0.06250000|[706, 48, 0, 12]                                                           |  | trying linear partial model with 61 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 119 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
       5|[1.0215400678, 0.02, 0.0128719128, 0.02, 0.4292206739, 0.02, 0.8009548574, 0.02, 0.2202801749, 0.02, 2.6915110182, 0.02, 0.8064571417, 0.02, 2.2686398843, 0.02, 14.352901162, 0.02, 12.161699758, 0.02, 0.276676662, 0.02, 0.2434602195, 0.02, 1.1650863975, 0.02, 0.1774572413, 0.02, 0.1153950601, 0.02, 3.7470242328, 0.02, 0.833501062, 0.02, 0.1588345259, 0.02, 0.3867741611, 0.02, 0.9231772721, 0.02, 0.2596415821, 0.02, 2.0709635713, 0.02, 1.944950803, 0.02, 1.4841998492, 0.02, 0.4816362663, 0.02, 0.4934043524, 0.02, 0.3289805969, 0.02, 0.8399929759, 0.02, 0.4600450055, 0.02, 0.4909424311, 0.02, 0.9861479337, 0.02, -0.017883084, 0.02, 0.2654081509, 0.02]|3557546.8214740874245763|      0.03125000|[882, 60, 0, 15]                                                           |  | trying linear partial model with 61 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 119 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
       6|[1.0165038442440941, 0.020604145893309, 0.0144820692738413, 0.0186316536917203, 0.4271285025683404, 0.0174347007766763, 0.7997107714483341, 0.0225049877451851, 0.215004430781159, 0.0210853718620452, 2.688126656374759, 0.0223470318562251, 0.8038028319301767, 0.0232853415568104, 2.272162844932256, 0.0176934750884251, 14.35765894124836, 0.0295950349301021, 12.16264177664401, 0.0282188056093067, 0.2847209891358166, 0.0208275183986729, 0.2416377609885373, 0.0192808662830315, 1.1632744862733735, 0.0241349443212684, 0.1787756687313936, 0.0157501731331028, 0.1115127277422501, 0.0242752651473977, 3.7485073999847347, 0.0210265317089626, 0.8375867027784796, 0.0221109369607025, 0.158666400570158, 0.0277138051407048, 0.3911305866444474, 0.0236678097944152, 0.9319257532199051, 0.0142637243027578, 0.2594554242351844, 0.0202220191760708, 2.068631633451425, 0.0176084957770049, 1.946814960545542, 0.0233991276729577, 1.4815057300402201, 0.0230075892012429, 0.4800998353514083, 0.021533202954431, 0.4894387076298912, 0.0238761445769343, 0.3282342119979482, 0.024596070324096, 0.8419559944022705, 0.0231577568557289, 0.4570999262385125, 0.0225942933876946, 0.4832382469979836, 0.0153311227305459, 0.9833274514600309, 0.0184283230723202, -0.021238852708737, 0.0141091109545264, 0.2691986507013268, 0.0236716378860528]|2699791.7500000000000000|      0.06250000|[1000, 68, 0, 17]                                                          |  | trying linear partial model with 61 points | iterate success | actual_k=4
       7|[1.0165038442440941, 0.020604145893309, 0.0144820692738413, 0.0186316536917203, 0.4271285025683404, 0.0174347007766763, 0.7997107714483341, 0.0225049877451851, 0.215004430781159, 0.0210853718620452, 2.688126656374759, 0.0223470318562251, 0.8038028319301767, 0.0232853415568104, 2.272162844932256, 0.0176934750884251, 14.35765894124836, 0.0295950349301021, 12.16264177664401, 0.0282188056093067, 0.2847209891358166, 0.0208275183986729, 0.2416377609885373, 0.0192808662830315, 1.1632744862733735, 0.0241349443212684, 0.1787756687313936, 0.0157501731331028, 0.1115127277422501, 0.0242752651473977, 3.7485073999847347, 0.0210265317089626, 0.8375867027784796, 0.0221109369607025, 0.158666400570158, 0.0277138051407048, 0.3911305866444474, 0.0236678097944152, 0.9319257532199051, 0.0142637243027578, 0.2594554242351844, 0.0202220191760708, 2.068631633451425, 0.0176084957770049, 1.946814960545542, 0.0233991276729577, 1.4815057300402201, 0.0230075892012429, 0.4800998353514083, 0.021533202954431, 0.4894387076298912, 0.0238761445769343, 0.3282342119979482, 0.024596070324096, 0.8419559944022705, 0.0231577568557289, 0.4570999262385125, 0.0225942933876946, 0.4832382469979836, 0.0153311227305459, 0.9833274514600309, 0.0184283230723202, -0.021238852708737, 0.0141091109545264, 0.2691986507013268, 0.0236716378860528]|2699791.7500000000000000|      0.03125000|[1178, 80, 0, 20]                                                          |  | trying linear partial model with 61 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 120 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
       8|[1.01175727662008, 0.0216998289227171, 0.0159652417735397, 0.0191701930215248, 0.4292638461564883, 0.0189135511502811, 0.8008123311107074, 0.0234942069091988, 0.2155134360526761, 0.0195968446974879, 2.6869782652384147, 0.0224517062764577, 0.8014851521537869, 0.0215858855485485, 2.2742788743476554, 0.0180701981281132, 14.357561498576382, 0.0511889736574646, 12.16312707242985, 0.0467479603002411, 0.2829728871493657, 0.0199811747757036, 0.24232617145062, 0.0213179118101741, 1.1651451206913184, 0.0240107504525279, 0.1790665470940857, 0.0140752215150664, 0.1116044496325215, 0.0234047959575852, 3.747809460306159, 0.0262573661600975, 0.8383351640681053, 0.0221541023162248, 0.1577113442222659, 0.0286965993565686, 0.3906601865090436, 0.0223057890051218, 0.9345368731616003, 0.0156819503205951, 0.2586680715819902, 0.020163664554095, 2.068282645974795, 0.0188181144597674, 1.9456992549431975, 0.0229100100164026, 1.4788270688677998, 0.0222331676986328, 0.4812690723008911, 0.0188988722445317, 0.4882154268451945, 0.0222779017751138, 0.3297884942976357, 0.0238263998416986, 0.841164944830059, 0.0262824212738417, 0.456509259468442, 0.025118021497496, 0.4809952727795047, 0.0139566861804557, 0.9842517938786934, 0.0185694776961641, -0.0194339887124404, 0.0139319735932871, 0.2698290958972694, 0.0220392350956753]|1990800.7500000000000000|      0.06250000|[1354, 92, 0, 23]                                                          |  | trying linear partial model with 61 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 119 points | iterate success | actual_k=4
       9|[1.01175727662008, 0.0216998289227171, 0.0159652417735397, 0.0191701930215248, 0.4292638461564883, 0.0189135511502811, 0.8008123311107074, 0.0234942069091988, 0.2155134360526761, 0.0195968446974879, 2.6869782652384147, 0.0224517062764577, 0.8014851521537869, 0.0215858855485485, 2.2742788743476554, 0.0180701981281132, 14.357561498576382, 0.0511889736574646, 12.16312707242985, 0.0467479603002411, 0.2829728871493657, 0.0199811747757036, 0.24232617145062, 0.0213179118101741, 1.1651451206913184, 0.0240107504525279, 0.1790665470940857, 0.0140752215150664, 0.1116044496325215, 0.0234047959575852, 3.747809460306159, 0.0262573661600975, 0.8383351640681053, 0.0221541023162248, 0.1577113442222659, 0.0286965993565686, 0.3906601865090436, 0.0223057890051218, 0.9345368731616003, 0.0156819503205951, 0.2586680715819902, 0.020163664554095, 2.068282645974795, 0.0188181144597674, 1.9456992549431975, 0.0229100100164026, 1.4788270688677998, 0.0222331676986328, 0.4812690723008911, 0.0188988722445317, 0.4882154268451945, 0.0222779017751138, 0.3297884942976357, 0.0238263998416986, 0.841164944830059, 0.0262824212738417, 0.456509259468442, 0.025118021497496, 0.4809952727795047, 0.0139566861804557, 0.9842517938786934, 0.0185694776961641, -0.0194339887124404, 0.0139319735932871, 0.2698290958972694, 0.0220392350956753]|1990800.7500000000000000|      0.03125000|[1530, 104, 0, 26]                                                         |  | trying linear partial model with 61 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 119 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
      10|[1.0136054399095185, 0.0251168330405976, 0.0205281510024761, 0.0114992638273336, 0.4320254582282037, 0.0204283201870015, 0.8024801605598768, 0.0253389968033258, 0.2062852226500707, 0.0204104233535544, 2.6845315628934046, 0.0268303307817356, 0.7962725267884612, 0.0264575598050993, 2.268998887789708, 0.0186692999036115, 14.355997778573954, 0.0619140706123472, 12.163238981775454, 0.0498024939118475, 0.2790326770445905, 0.0187057023752182, 0.2440711140983791, 0.0201560508276312, 1.1656513087689522, 0.021664835925001, 0.1801880279791987, 0.0125137439212176, 0.1080791103909774, 0.0271139642176255, 3.7421533828793474, 0.0306645060570035, 0.8346213182673692, 0.0187049997734596, 0.1521007522215785, 0.0238728081668855, 0.3850309297309165, 0.0239978063586012, 0.935534108220354, 0.0133075467281013, 0.2610797057938298, 0.023083889706359, 2.0670341761216156, 0.0246596675600453, 1.9422682190636114, 0.024193745474163, 1.479631839396791, 0.0313866203248276, 0.4807597194600998, 0.0142459433523266, 0.4866654771121615, 0.0271723492418405, 0.328554491481216, 0.025091504080307, 0.8399440462169678, 0.0272980514249378, 0.4585860044965236, 0.0230320148150038, 0.4744612685407033, 0.0131463972987294, 0.9826009540353744, 0.0184643616601588, -0.0218887984389366, 0.0180535399512461, 0.2693761368433958, 0.015811877100199]|1853015.5000000000000000|      0.06250000|[1649, 112, 0, 28]                                                         |  | trying linear partial model with 61 points | iterate success | actual_k=4
