k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.0215400678, 0.02, 0.0128719128, 0.02, 0.4292206739, 0.02, 0.8009548574, 0.02, 0.2202801749, 0.02, 2.6915110182, 0.02, 0.8064571417, 0.02, 2.2686398843, 0.02, 14.352901162, 0.02, 12.161699758, 0.02, 0.276676662, 0.02, 0.2434602195, 0.02, 1.1650863975, 0.02, 0.1774572413, 0.02, 0.1153950601, 0.02, 3.7470242328, 0.02, 0.833501062, 0.02, 0.1588345259, 0.02, 0.3867741611, 0.02, 0.9231772721, 0.02, 0.2596415821, 0.02, 2.0709635713, 0.02, 1.944950803, 0.02, 1.4841998492, 0.02, 0.4816362663, 0.02, 0.4934043524, 0.02, 0.3289805969, 0.02, 0.8399929759, 0.02, 0.4600450055, 0.02, 0.4909424311, 0.02, 0.9861479337, 0.02, -0.017883084, 0.02, 0.2654081509, 0.02]|3557546.8214740874245763|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1.0215400678, 0.02, 0.0128719128, 0.02, 0.4292206739, 0.02, 0.8009548574, 0.02, 0.2202801749, 0.02, 2.6915110182, 0.02, 0.8064571417, 0.02, 2.2686398843, 0.02, 14.352901162, 0.02, 12.161699758, 0.02, 0.276676662, 0.02, 0.2434602195, 0.02, 1.1650863975, 0.02, 0.1774572413, 0.02, 0.1153950601, 0.02, 3.7470242328, 0.02, 0.833501062, 0.02, 0.1588345259, 0.02, 0.3867741611, 0.02, 0.9231772721, 0.02, 0.2596415821, 0.02, 2.0709635713, 0.02, 1.944950803, 0.02, 1.4841998492, 0.02, 0.4816362663, 0.02, 0.4934043524, 0.02, 0.3289805969, 0.02, 0.8399929759, 0.02, 0.4600450055, 0.02, 0.4909424311, 0.02, 0.9861479337, 0.02, -0.017883084, 0.02, 0.2654081509, 0.02]|3557546.8214740874245763|      0.50000000|[164, 24, 0, 3]                                                            |  | trying linear partial model with 57 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 111 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=8
       2|[1.0215400678, 0.02, 0.0128719128, 0.02, 0.4292206739, 0.02, 0.8009548574, 0.02, 0.2202801749, 0.02, 2.6915110182, 0.02, 0.8064571417, 0.02, 2.2686398843, 0.02, 14.352901162, 0.02, 12.161699758, 0.02, 0.276676662, 0.02, 0.2434602195, 0.02, 1.1650863975, 0.02, 0.1774572413, 0.02, 0.1153950601, 0.02, 3.7470242328, 0.02, 0.833501062, 0.02, 0.1588345259, 0.02, 0.3867741611, 0.02, 0.9231772721, 0.02, 0.2596415821, 0.02, 2.0709635713, 0.02, 1.944950803, 0.02, 1.4841998492, 0.02, 0.4816362663, 0.02, 0.4934043524, 0.02, 0.3289805969, 0.02, 0.8399929759, 0.02, 0.4600450055, 0.02, 0.4909424311, 0.02, 0.9861479337, 0.02, -0.017883084, 0.02, 0.2654081509, 0.02]|3557546.8214740874245763|      0.25000000|[326, 48, 0, 6]                                                            |  | trying linear partial model with 57 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 110 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=8
       3|[1.0215400678, 0.02, 0.0128719128, 0.02, 0.4292206739, 0.02, 0.8009548574, 0.02, 0.2202801749, 0.02, 2.6915110182, 0.02, 0.8064571417, 0.02, 2.2686398843, 0.02, 14.352901162, 0.02, 12.161699758, 0.02, 0.276676662, 0.02, 0.2434602195, 0.02, 1.1650863975, 0.02, 0.1774572413, 0.02, 0.1153950601, 0.02, 3.7470242328, 0.02, 0.833501062, 0.02, 0.1588345259, 0.02, 0.3867741611, 0.02, 0.9231772721, 0.02, 0.2596415821, 0.02, 2.0709635713, 0.02, 1.944950803, 0.02, 1.4841998492, 0.02, 0.4816362663, 0.02, 0.4934043524, 0.02, 0.3289805969, 0.02, 0.8399929759, 0.02, 0.4600450055, 0.02, 0.4909424311, 0.02, 0.9861479337, 0.02, -0.017883084, 0.02, 0.2654081509, 0.02]|3557546.8214740874245763|      0.12500000|[489, 72, 0, 9]                                                            |  | trying linear partial model with 57 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 110 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=8
       4|[1.0215400678, 0.02, 0.0128719128, 0.02, 0.4292206739, 0.02, 0.8009548574, 0.02, 0.2202801749, 0.02, 2.6915110182, 0.02, 0.8064571417, 0.02, 2.2686398843, 0.02, 14.352901162, 0.02, 12.161699758, 0.02, 0.276676662, 0.02, 0.2434602195, 0.02, 1.1650863975, 0.02, 0.1774572413, 0.02, 0.1153950601, 0.02, 3.7470242328, 0.02, 0.833501062, 0.02, 0.1588345259, 0.02, 0.3867741611, 0.02, 0.9231772721, 0.02, 0.2596415821, 0.02, 2.0709635713, 0.02, 1.944950803, 0.02, 1.4841998492, 0.02, 0.4816362663, 0.02, 0.4934043524, 0.02, 0.3289805969, 0.02, 0.8399929759, 0.02, 0.4600450055, 0.02, 0.4909424311, 0.02, 0.9861479337, 0.02, -0.017883084, 0.02, 0.2654081509, 0.02]|3557546.8214740874245763|      0.06250000|[653, 96, 0, 12]                                                           |  | trying linear partial model with 57 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 111 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=8
       5|[1.0215400678, 0.02, 0.0128719128, 0.02, 0.4292206739, 0.02, 0.8009548574, 0.02, 0.2202801749, 0.02, 2.6915110182, 0.02, 0.8064571417, 0.02, 2.2686398843, 0.02, 14.352901162, 0.02, 12.161699758, 0.02, 0.276676662, 0.02, 0.2434602195, 0.02, 1.1650863975, 0.02, 0.1774572413, 0.02, 0.1153950601, 0.02, 3.7470242328, 0.02, 0.833501062, 0.02, 0.1588345259, 0.02, 0.3867741611, 0.02, 0.9231772721, 0.02, 0.2596415821, 0.02, 2.0709635713, 0.02, 1.944950803, 0.02, 1.4841998492, 0.02, 0.4816362663, 0.02, 0.4934043524, 0.02, 0.3289805969, 0.02, 0.8399929759, 0.02, 0.4600450055, 0.02, 0.4909424311, 0.02, 0.9861479337, 0.02, -0.017883084, 0.02, 0.2654081509, 0.02]|3557546.8214740874245763|      0.03125000|[815, 120, 0, 15]                                                          |  | trying linear partial model with 57 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 110 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=8
       6|[1.0180200183949457, 0.0204544210385448, 0.0129465987278702, 0.015284020317697, 0.4294188657598937, 0.0178007469511612, 0.8023739770302512, 0.024235566511637, 0.2208529330087607, 0.0224785544293137, 2.694228909661872, 0.0193461051059596, 0.8106796552579097, 0.0222200058478307, 2.263648877319421, 0.0225644522558686, 14.351867818291307, 0.0369752671910449, 12.162388638388284, 0.0318156663209305, 0.2785196675772122, 0.0194482183872336, 0.241563054051042, 0.0229389861187468, 1.1595851455501138, 0.0164127552164989, 0.1746244478521218, 0.0204188133403318, 0.1187914453625847, 0.0228936712261759, 3.7439438182288747, 0.0203395232557469, 0.8316983610699218, 0.0119611741665812, 0.1567620367397467, 0.0243927747816757, 0.3822419353547835, 0.018371099852983, 0.9230714555864579, 0.0172023787318442, 0.2605862675290523, 0.0161596557948895, 2.071549221496297, 0.0199752328156727, 1.9449181504424418, 0.0196455643276702, 1.4882874776721904, 0.0258036332499886, 0.4847387559504519, 0.0237184894385127, 0.4896625002666919, 0.0205877522060821, 0.3255961301185076, 0.0166912153430931, 0.8371557626624986, 0.0172497952126126, 0.4616179879201139, 0.0240875268560373, 0.4866832008380549, 0.0192041668406721, 0.9874328397716866, 0.0181301123901932, -0.0194511715307077, 0.023047080345349, 0.2668307472065665, 0.0207605454500485]|2426322.2500000000000000|      0.06250000|[925, 136, 0, 17]                                                          |  | trying linear partial model with 57 points | iterate success | actual_k=8
       7|[1.0180200183949457, 0.0204544210385448, 0.0129465987278702, 0.015284020317697, 0.4294188657598937, 0.0178007469511612, 0.8023739770302512, 0.024235566511637, 0.2208529330087607, 0.0224785544293137, 2.694228909661872, 0.0193461051059596, 0.8106796552579097, 0.0222200058478307, 2.263648877319421, 0.0225644522558686, 14.351867818291307, 0.0369752671910449, 12.162388638388284, 0.0318156663209305, 0.2785196675772122, 0.0194482183872336, 0.241563054051042, 0.0229389861187468, 1.1595851455501138, 0.0164127552164989, 0.1746244478521218, 0.0204188133403318, 0.1187914453625847, 0.0228936712261759, 3.7439438182288747, 0.0203395232557469, 0.8316983610699218, 0.0119611741665812, 0.1567620367397467, 0.0243927747816757, 0.3822419353547835, 0.018371099852983, 0.9230714555864579, 0.0172023787318442, 0.2605862675290523, 0.0161596557948895, 2.071549221496297, 0.0199752328156727, 1.9449181504424418, 0.0196455643276702, 1.4882874776721904, 0.0258036332499886, 0.4847387559504519, 0.0237184894385127, 0.4896625002666919, 0.0205877522060821, 0.3255961301185076, 0.0166912153430931, 0.8371557626624986, 0.0172497952126126, 0.4616179879201139, 0.0240875268560373, 0.4866832008380549, 0.0192041668406721, 0.9874328397716866, 0.0181301123901932, -0.0194511715307077, 0.023047080345349, 0.2668307472065665, 0.0207605454500485]|2426322.2500000000000000|      0.03125000|[1088, 160, 0, 20]                                                         |  | trying linear partial model with 57 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 111 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=8
       8|[1.014967490531166, 0.0217976325559828, 0.0081361443954113, 0.0124986273801372, 0.4254888834481232, 0.0177987679074847, 0.8044465880207853, 0.0248793415559447, 0.2215708275878304, 0.0195980246216151, 2.6957314736309153, 0.0219177529617436, 0.8094314935133877, 0.0153718334254242, 2.2636301476115284, 0.0217413933788431, 14.355808656433737, 0.052534985274759, 12.158407391462019, 0.0487058783763047, 0.2773471128292211, 0.0246655960847201, 0.2394006381427156, 0.0261150916941856, 1.1567377221010795, 0.0184708558030776, 0.1771126173570615, 0.0199504041192065, 0.1175698674850923, 0.0247510259155187, 3.7434750544373014, 0.0223799769637258, 0.8288560265758338, 0.0140026231306748, 0.1519474499103306, 0.0264057644439388, 0.3830140910577218, 0.0217953277027669, 0.9216881562026462, 0.0156932331839066, 0.2597257309959263, 0.0172515268883963, 2.0713717416524906, 0.0184765904501157, 1.9462718735556537, 0.0229449423052631, 1.4864589999738747, 0.0264042208487916, 0.4781735143778966, 0.0240219576737846, 0.4907043439164037, 0.0202528139438023, 0.3225365236216224, 0.0162202089922803, 0.8420074148917528, 0.0176720318463435, 0.4632627370786649, 0.0264582226875927, 0.4875920907444773, 0.0144657592998961, 0.9909784715093393, 0.0150462433121566, -0.0172565007357504, 0.0232139298448692, 0.265523982578835, 0.0224375465025648]|1976941.3750000000000000|      0.06250000|[1197, 176, 0, 22]                                                         |  | trying linear partial model with 57 points | iterate success | actual_k=8
       9|[1.014967490531166, 0.0217976325559828, 0.0081361443954113, 0.0124986273801372, 0.4254888834481232, 0.0177987679074847, 0.8044465880207853, 0.0248793415559447, 0.2215708275878304, 0.0195980246216151, 2.6957314736309153, 0.0219177529617436, 0.8094314935133877, 0.0153718334254242, 2.2636301476115284, 0.0217413933788431, 14.355808656433737, 0.052534985274759, 12.158407391462019, 0.0487058783763047, 0.2773471128292211, 0.0246655960847201, 0.2394006381427156, 0.0261150916941856, 1.1567377221010795, 0.0184708558030776, 0.1771126173570615, 0.0199504041192065, 0.1175698674850923, 0.0247510259155187, 3.7434750544373014, 0.0223799769637258, 0.8288560265758338, 0.0140026231306748, 0.1519474499103306, 0.0264057644439388, 0.3830140910577218, 0.0217953277027669, 0.9216881562026462, 0.0156932331839066, 0.2597257309959263, 0.0172515268883963, 2.0713717416524906, 0.0184765904501157, 1.9462718735556537, 0.0229449423052631, 1.4864589999738747, 0.0264042208487916, 0.4781735143778966, 0.0240219576737846, 0.4907043439164037, 0.0202528139438023, 0.3225365236216224, 0.0162202089922803, 0.8420074148917528, 0.0176720318463435, 0.4632627370786649, 0.0264582226875927, 0.4875920907444773, 0.0144657592998961, 0.9909784715093393, 0.0150462433121566, -0.0172565007357504, 0.0232139298448692, 0.265523982578835, 0.0224375465025648]|1976941.3750000000000000|      0.03125000|[1359, 200, 0, 25]                                                         |  | trying linear partial model with 57 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 110 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=8
      10|[1.0140167206232225, 0.0226848417777195, 0.0046972925557373, 0.0097862022057239, 0.424637084347187, 0.0184474905112417, 0.8071479159416776, 0.0241863443282567, 0.2234799074147218, 0.0189217515676964, 2.688964708511766, 0.0235354778131575, 0.8074579313479727, 0.015012907571054, 2.261359875228341, 0.0272245971235687, 14.3583727357408, 0.0607586301673004, 12.162136709536744, 0.061313666556075, 0.2800608764254269, 0.0225621496316871, 0.2376891224531669, 0.0221274792041144, 1.1548441957448972, 0.0208012869443476, 0.1764015237128766, 0.0189619406020006, 0.1207844473420487, 0.0197729801017184, 3.744872902114433, 0.0248467365123115, 0.8286734177434658, 0.0130232297775008, 0.1518245630014047, 0.0217668016678298, 0.3793121943828686, 0.0192954509382134, 0.9135797906171602, 0.016648210094504, 0.253476114652099, 0.0211481941927078, 2.0746987211639873, 0.0253772319225286, 1.9441936503458839, 0.0268744444591801, 1.4822567112939575, 0.0320262306717471, 0.4757331432260335, 0.0212746827805663, 0.4964111462145596, 0.0216647215609786, 0.315388216270621, 0.0157504379297084, 0.840761813172951, 0.0162766215479307, 0.4659210390126761, 0.0300291277974205, 0.4909673578736467, 0.0096449006763556, 0.995105693059784, 0.016753037347183, -0.0205259449273297, 0.0235647394573302, 0.260496042249619, 0.0268202201875328]|1807213.1250000000000000|      0.06250000|[1468, 216, 0, 27]                                                         |  | trying linear partial model with 57 points | iterate success | actual_k=8
