k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.0215400678, 0.02, 0.0128719128, 0.02, 0.4292206739, 0.02, 0.8009548574, 0.02, 0.2202801749, 0.02, 2.6915110182, 0.02, 0.8064571417, 0.02, 2.2686398843, 0.02, 14.352901162, 0.02, 12.161699758, 0.02, 0.276676662, 0.02, 0.2434602195, 0.02, 1.1650863975, 0.02, 0.1774572413, 0.02, 0.1153950601, 0.02, 3.7470242328, 0.02, 0.833501062, 0.02, 0.1588345259, 0.02, 0.3867741611, 0.02, 0.9231772721, 0.02, 0.2596415821, 0.02, 2.0709635713, 0.02, 1.944950803, 0.02, 1.4841998492, 0.02, 0.4816362663, 0.02, 0.4934043524, 0.02, 0.3289805969, 0.02, 0.8399929759, 0.02, 0.4600450055, 0.02, 0.4909424311, 0.02, 0.9861479337, 0.02, -0.017883084, 0.02, 0.2654081509, 0.02]|3557546.8214740874245763|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1.0215400678, 0.02, 0.0128719128, 0.02, 0.4292206739, 0.02, 0.8009548574, 0.02, 0.2202801749, 0.02, 2.6915110182, 0.02, 0.8064571417, 0.02, 2.2686398843, 0.02, 14.352901162, 0.02, 12.161699758, 0.02, 0.276676662, 0.02, 0.2434602195, 0.02, 1.1650863975, 0.02, 0.1774572413, 0.02, 0.1153950601, 0.02, 3.7470242328, 0.02, 0.833501062, 0.02, 0.1588345259, 0.02, 0.3867741611, 0.02, 0.9231772721, 0.02, 0.2596415821, 0.02, 2.0709635713, 0.02, 1.944950803, 0.02, 1.4841998492, 0.02, 0.4816362663, 0.02, 0.4934043524, 0.02, 0.3289805969, 0.02, 0.8399929759, 0.02, 0.4600450055, 0.02, 0.4909424311, 0.02, 0.9861479337, 0.02, -0.017883084, 0.02, 0.2654081509, 0.02]|3557546.8214740874245763|      0.50000000|[181, 12, 0, 3]                                                            |  | trying linear partial model with 61 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 121 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
       2|[1.0215400678, 0.02, 0.0128719128, 0.02, 0.4292206739, 0.02, 0.8009548574, 0.02, 0.2202801749, 0.02, 2.6915110182, 0.02, 0.8064571417, 0.02, 2.2686398843, 0.02, 14.352901162, 0.02, 12.161699758, 0.02, 0.276676662, 0.02, 0.2434602195, 0.02, 1.1650863975, 0.02, 0.1774572413, 0.02, 0.1153950601, 0.02, 3.7470242328, 0.02, 0.833501062, 0.02, 0.1588345259, 0.02, 0.3867741611, 0.02, 0.9231772721, 0.02, 0.2596415821, 0.02, 2.0709635713, 0.02, 1.944950803, 0.02, 1.4841998492, 0.02, 0.4816362663, 0.02, 0.4934043524, 0.02, 0.3289805969, 0.02, 0.8399929759, 0.02, 0.4600450055, 0.02, 0.4909424311, 0.02, 0.9861479337, 0.02, -0.017883084, 0.02, 0.2654081509, 0.02]|3557546.8214740874245763|      0.25000000|[361, 24, 0, 6]                                                            |  | trying linear partial model with 61 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 121 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
       3|[1.0215400678, 0.02, 0.0128719128, 0.02, 0.4292206739, 0.02, 0.8009548574, 0.02, 0.2202801749, 0.02, 2.6915110182, 0.02, 0.8064571417, 0.02, 2.2686398843, 0.02, 14.352901162, 0.02, 12.161699758, 0.02, 0.276676662, 0.02, 0.2434602195, 0.02, 1.1650863975, 0.02, 0.1774572413, 0.02, 0.1153950601, 0.02, 3.7470242328, 0.02, 0.833501062, 0.02, 0.1588345259, 0.02, 0.3867741611, 0.02, 0.9231772721, 0.02, 0.2596415821, 0.02, 2.0709635713, 0.02, 1.944950803, 0.02, 1.4841998492, 0.02, 0.4816362663, 0.02, 0.4934043524, 0.02, 0.3289805969, 0.02, 0.8399929759, 0.02, 0.4600450055, 0.02, 0.4909424311, 0.02, 0.9861479337, 0.02, -0.017883084, 0.02, 0.2654081509, 0.02]|3557546.8214740874245763|      0.12500000|[541, 36, 0, 9]                                                            |  | trying linear partial model with 61 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 121 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
       4|[1.0215400678, 0.02, 0.0128719128, 0.02, 0.4292206739, 0.02, 0.8009548574, 0.02, 0.2202801749, 0.02, 2.6915110182, 0.02, 0.8064571417, 0.02, 2.2686398843, 0.02, 14.352901162, 0.02, 12.161699758, 0.02, 0.276676662, 0.02, 0.2434602195, 0.02, 1.1650863975, 0.02, 0.1774572413, 0.02, 0.1153950601, 0.02, 3.7470242328, 0.02, 0.833501062, 0.02, 0.1588345259, 0.02, 0.3867741611, 0.02, 0.9231772721, 0.02, 0.2596415821, 0.02, 2.0709635713, 0.02, 1.944950803, 0.02, 1.4841998492, 0.02, 0.4816362663, 0.02, 0.4934043524, 0.02, 0.3289805969, 0.02, 0.8399929759, 0.02, 0.4600450055, 0.02, 0.4909424311, 0.02, 0.9861479337, 0.02, -0.017883084, 0.02, 0.2654081509, 0.02]|3557546.8214740874245763|      0.06250000|[721, 48, 0, 12]                                                           |  | trying linear partial model with 61 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 121 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
       5|[1.0215400678, 0.02, 0.0128719128, 0.02, 0.4292206739, 0.02, 0.8009548574, 0.02, 0.2202801749, 0.02, 2.6915110182, 0.02, 0.8064571417, 0.02, 2.2686398843, 0.02, 14.352901162, 0.02, 12.161699758, 0.02, 0.276676662, 0.02, 0.2434602195, 0.02, 1.1650863975, 0.02, 0.1774572413, 0.02, 0.1153950601, 0.02, 3.7470242328, 0.02, 0.833501062, 0.02, 0.1588345259, 0.02, 0.3867741611, 0.02, 0.9231772721, 0.02, 0.2596415821, 0.02, 2.0709635713, 0.02, 1.944950803, 0.02, 1.4841998492, 0.02, 0.4816362663, 0.02, 0.4934043524, 0.02, 0.3289805969, 0.02, 0.8399929759, 0.02, 0.4600450055, 0.02, 0.4909424311, 0.02, 0.9861479337, 0.02, -0.017883084, 0.02, 0.2654081509, 0.02]|3557546.8214740874245763|      0.03125000|[901, 60, 0, 15]                                                           |  | trying linear partial model with 61 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 121 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
       6|[1.0233129788195636, 0.0220970755271354, 0.0091660619028607, 0.0175510222339246, 0.4281997647322337, 0.0246369935412681, 0.8033849429113423, 0.0162969438640024, 0.2226434476526279, 0.0174393202749974, 2.691949022444806, 0.018010511380854, 0.8080893325203333, 0.0185220430625566, 2.2715708017998875, 0.0242859605209658, 14.351365400604628, 0.0338919484578163, 12.16421416743754, 0.0301229575919861, 0.2734418255034861, 0.0227318116887761, 0.2428735432433673, 0.0127389810880976, 1.1648863568979322, 0.0169694462156769, 0.1799139084613434, 0.0220033489964984, 0.1154235961023576, 0.0252052842600934, 3.7503725367106857, 0.0179022412981441, 0.8348992722090939, 0.019939433267608, 0.1601917762714386, 0.0222551212722663, 0.3858012916222145, 0.0194827099046451, 0.9150477961927761, 0.0191802273576338, 0.2585732049313593, 0.0186248650280594, 2.0801492652471953, 0.0244971495863756, 1.947983587597721, 0.0182052107660626, 1.4827810619194142, 0.0236238866252488, 0.4806212264857063, 0.0208878275755707, 0.4934621786073997, 0.0242615280307484, 0.3332661456177156, 0.0194785098448986, 0.8456958639033213, 0.0212083559122867, 0.454140686100882, 0.0222519091456694, 0.4922092732451154, 0.0222727345275205, 0.9855033918910704, 0.0196210863766718, -0.0124008598902994, 0.0274813438052222, 0.2640101600719301, 0.0214176722835794]|2545755.7500000000000000|      0.06250000|[1021, 68, 0, 17]                                                          |  | trying linear partial model with 61 points | iterate success | actual_k=4
       7|[1.0233129788195636, 0.0220970755271354, 0.0091660619028607, 0.0175510222339246, 0.4281997647322337, 0.0246369935412681, 0.8033849429113423, 0.0162969438640024, 0.2226434476526279, 0.0174393202749974, 2.691949022444806, 0.018010511380854, 0.8080893325203333, 0.0185220430625566, 2.2715708017998875, 0.0242859605209658, 14.351365400604628, 0.0338919484578163, 12.16421416743754, 0.0301229575919861, 0.2734418255034861, 0.0227318116887761, 0.2428735432433673, 0.0127389810880976, 1.1648863568979322, 0.0169694462156769, 0.1799139084613434, 0.0220033489964984, 0.1154235961023576, 0.0252052842600934, 3.7503725367106857, 0.0179022412981441, 0.8348992722090939, 0.019939433267608, 0.1601917762714386, 0.0222551212722663, 0.3858012916222145, 0.0194827099046451, 0.9150477961927761, 0.0191802273576338, 0.2585732049313593, 0.0186248650280594, 2.0801492652471953, 0.0244971495863756, 1.947983587597721, 0.0182052107660626, 1.4827810619194142, 0.0236238866252488, 0.4806212264857063, 0.0208878275755707, 0.4934621786073997, 0.0242615280307484, 0.3332661456177156, 0.0194785098448986, 0.8456958639033213, 0.0212083559122867, 0.454140686100882, 0.0222519091456694, 0.4922092732451154, 0.0222727345275205, 0.9855033918910704, 0.0196210863766718, -0.0124008598902994, 0.0274813438052222, 0.2640101600719301, 0.0214176722835794]|2545755.7500000000000000|      0.03125000|[1202, 80, 1, 21]                                                          |  | trying linear partial model with 61 points FAILED TO GET X_HAT, using additional batch call | (iterate failure) trying more points before decreasing delta | trying linear partial model with 122 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
       8|[1.027485496375514, 0.0199967302059156, 0.005921802196557, 0.0166876874326301, 0.4247922215924657, 0.0221953628070638, 0.8021400384109613, 0.0159014757538891, 0.2210491672193011, 0.0192734835293285, 2.6922531106398835, 0.0207988064828389, 0.8118682833823373, 0.0183688743461635, 2.271420181502039, 0.0271182223911439, 14.350362313162979, 0.0436243291846622, 12.162439475128656, 0.0509249761224711, 0.268451261717992, 0.0213419626086044, 0.245402808358368, 0.0117849183391952, 1.163502925254074, 0.0170065564088943, 0.1838260013925953, 0.0204388062495281, 0.1129311911729558, 0.0200917938753044, 3.7555645336299723, 0.0216377044738527, 0.8323908445015695, 0.0208277510592858, 0.1585900942439725, 0.0234094851258207, 0.3865818893006743, 0.021313357847826, 0.9176662275807622, 0.0209229831654786, 0.2596330360326186, 0.0175520051301888, 2.084661342694299, 0.0186118572799018, 1.9523469200565347, 0.0176434884519501, 1.4844098729815562, 0.0248464475032246, 0.4746866542660053, 0.0231824558151349, 0.4938584145379296, 0.0265485869820087, 0.3319843968627239, 0.0223458320776055, 0.8443786639603303, 0.0255981972258653, 0.4525982613658616, 0.0228973801763022, 0.4875749369902871, 0.0226015254752004, 0.9830136326408695, 0.0161353611196342, -0.0135083657471954, 0.0271531970875206, 0.2655399132018287, 0.0206195838878456]|2069318.3750000000000000|      0.06250000|[1322, 88, 1, 23]                                                          |  | trying linear partial model with 61 points | iterate success | actual_k=4
       9|[1.027485496375514, 0.0199967302059156, 0.005921802196557, 0.0166876874326301, 0.4247922215924657, 0.0221953628070638, 0.8021400384109613, 0.0159014757538891, 0.2210491672193011, 0.0192734835293285, 2.6922531106398835, 0.0207988064828389, 0.8118682833823373, 0.0183688743461635, 2.271420181502039, 0.0271182223911439, 14.350362313162979, 0.0436243291846622, 12.162439475128656, 0.0509249761224711, 0.268451261717992, 0.0213419626086044, 0.245402808358368, 0.0117849183391952, 1.163502925254074, 0.0170065564088943, 0.1838260013925953, 0.0204388062495281, 0.1129311911729558, 0.0200917938753044, 3.7555645336299723, 0.0216377044738527, 0.8323908445015695, 0.0208277510592858, 0.1585900942439725, 0.0234094851258207, 0.3865818893006743, 0.021313357847826, 0.9176662275807622, 0.0209229831654786, 0.2596330360326186, 0.0175520051301888, 2.084661342694299, 0.0186118572799018, 1.9523469200565347, 0.0176434884519501, 1.4844098729815562, 0.0248464475032246, 0.4746866542660053, 0.0231824558151349, 0.4938584145379296, 0.0265485869820087, 0.3319843968627239, 0.0223458320776055, 0.8443786639603303, 0.0255981972258653, 0.4525982613658616, 0.0228973801763022, 0.4875749369902871, 0.0226015254752004, 0.9830136326408695, 0.0161353611196342, -0.0135083657471954, 0.0271531970875206, 0.2655399132018287, 0.0206195838878456]|2069318.3750000000000000|      0.03125000|[1502, 100, 1, 26]                                                         |  | trying linear partial model with 61 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 121 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
      10|[1.029156160707767, 0.0244872179799131, 0.0059198149160426, 0.0164299838558747, 0.4219232940164053, 0.0209301001323102, 0.7978551874826433, 0.011853059483989, 0.2172993712996827, 0.0224743046467758, 2.691996932538785, 0.0115471754451913, 0.8067494521991464, 0.0207322107781141, 2.273496594677681, 0.0262205201907641, 14.350488367814446, 0.0566247612077923, 12.165815541038974, 0.0559751524853876, 0.2750089386187423, 0.0162080858364213, 0.2418470510229677, 0.0139738690532437, 1.1677962918203983, 0.0120855398326253, 0.1869989223993197, 0.0217535232993347, 0.111340131182295, 0.0183258603180863, 3.7470237209044654, 0.028178323454963, 0.830832226256856, 0.0188190234795063, 0.1620764939948671, 0.0210823060279623, 0.3892269821495764, 0.0193535167110145, 0.9152918932424793, 0.0228761640526196, 0.2615829764262778, 0.0240590181867435, 2.0851290313124693, 0.0190520571226331, 1.9518394189270358, 0.0164550994010993, 1.483532562313821, 0.0244057364537406, 0.4729758259566209, 0.0192484137485456, 0.4989926205952088, 0.0247135825817812, 0.3367332699278788, 0.0234025541231305, 0.8486947204275426, 0.0303569293642421, 0.4511752347982808, 0.0255440211807239, 0.4825803860033178, 0.0219225573347297, 0.9847917320420551, 0.012919041775881, -0.011364478753352, 0.031659765046077, 0.2619258793796289, 0.0216432932004374]|1925660.7500000000000000|      0.06250000|[1622, 108, 1, 28]                                                         |  | trying linear partial model with 61 points | iterate success | actual_k=4
