k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.59890943, 0.02, 1.8879065342, 0.65307048, 0.02, 2.0015540314, 1.2984945382, 0.02, 2.1186983747, -0.02213199, 0.02, 2.1624089505, 1.2316544088, 0.02, 2.2192326991, 0.21848396, 0.02, 2.2813017168, 1.3346291866, 0.02, 2.3905781564, 4.5048024624, 0.02, 2.4884898463, 0.66080786, 0.02, 2.5593009792, 4.3888127085, 0.02, 2.7070427256, 0.2278337, 0.02, 2.9404572006, 0.23539976, 0.02, 2.9666835461, 0.7111142, 0.02, 3.1292868883, 0.20429975, 0.02, 3.2263243667, -0.06678414, 0.02, 3.2551733467, 1.3806399196, 0.02, 3.3801855937, 0.24162012, 0.02, 3.6695496058, 0.060181642, 0.02, 3.7220022968, 0.017306467, 0.02, 3.8312787364, 0.41562397, 0.02, 3.9589136179, 0.26297919, 0.02, 4.0524542502, 0.81885392, 0.02, 4.1748438626, 0.96523949, 0.02, 4.4309878371, 0.74388389, 0.02, 4.5594969301, 0.21356658, 0.02, 4.6014590829, 0.50271586, 0.02, 4.7046160419, 0.048972449, 0.02, 4.8007793087, 0.36839918, 0.02, 4.96862792, 0.16187806, 0.02, 5.3952431403, 0.28966782, 0.02, 5.4188468512, 0.097834734, 0.02, 2.5864015362, 0.0006819709, 0.02, 3.8618761395, 0.15545187, 0.02, 5.198545549]|484133.4482526386855170|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.59890943, 0.02, 1.8879065342, 0.65307048, 0.02, 2.0015540314, 1.2984945382, 0.02, 2.1186983747, -0.02213199, 0.02, 2.1624089505, 1.2316544088, 0.02, 2.2192326991, 0.21848396, 0.02, 2.2813017168, 1.3346291866, 0.02, 2.3905781564, 4.5048024624, 0.02, 2.4884898463, 0.66080786, 0.02, 2.5593009792, 4.3888127085, 0.02, 2.7070427256, 0.2278337, 0.02, 2.9404572006, 0.23539976, 0.02, 2.9666835461, 0.7111142, 0.02, 3.1292868883, 0.20429975, 0.02, 3.2263243667, -0.06678414, 0.02, 3.2551733467, 1.3806399196, 0.02, 3.3801855937, 0.24162012, 0.02, 3.6695496058, 0.060181642, 0.02, 3.7220022968, 0.017306467, 0.02, 3.8312787364, 0.41562397, 0.02, 3.9589136179, 0.26297919, 0.02, 4.0524542502, 0.81885392, 0.02, 4.1748438626, 0.96523949, 0.02, 4.4309878371, 0.74388389, 0.02, 4.5594969301, 0.21356658, 0.02, 4.6014590829, 0.50271586, 0.02, 4.7046160419, 0.048972449, 0.02, 4.8007793087, 0.36839918, 0.02, 4.96862792, 0.16187806, 0.02, 5.3952431403, 0.28966782, 0.02, 5.4188468512, 0.097834734, 0.02, 2.5864015362, 0.0006819709, 0.02, 3.8618761395, 0.15545187, 0.02, 5.198545549]|484133.4482526386855170|      0.50000000|[113, 16, 0, 8]                                                            |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 29 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 43 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 57 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 71 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 85 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 99 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       2|[0.59890943, 0.02, 1.8879065342, 0.65307048, 0.02, 2.0015540314, 1.2984945382, 0.02, 2.1186983747, -0.02213199, 0.02, 2.1624089505, 1.2316544088, 0.02, 2.2192326991, 0.21848396, 0.02, 2.2813017168, 1.3346291866, 0.02, 2.3905781564, 4.5048024624, 0.02, 2.4884898463, 0.66080786, 0.02, 2.5593009792, 4.3888127085, 0.02, 2.7070427256, 0.2278337, 0.02, 2.9404572006, 0.23539976, 0.02, 2.9666835461, 0.7111142, 0.02, 3.1292868883, 0.20429975, 0.02, 3.2263243667, -0.06678414, 0.02, 3.2551733467, 1.3806399196, 0.02, 3.3801855937, 0.24162012, 0.02, 3.6695496058, 0.060181642, 0.02, 3.7220022968, 0.017306467, 0.02, 3.8312787364, 0.41562397, 0.02, 3.9589136179, 0.26297919, 0.02, 4.0524542502, 0.81885392, 0.02, 4.1748438626, 0.96523949, 0.02, 4.4309878371, 0.74388389, 0.02, 4.5594969301, 0.21356658, 0.02, 4.6014590829, 0.50271586, 0.02, 4.7046160419, 0.048972449, 0.02, 4.8007793087, 0.36839918, 0.02, 4.96862792, 0.16187806, 0.02, 5.3952431403, 0.28966782, 0.02, 5.4188468512, 0.097834734, 0.02, 2.5864015362, 0.0006819709, 0.02, 3.8618761395, 0.15545187, 0.02, 5.198545549]|484133.4482526386855170|      0.25000000|[225, 32, 0, 16]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 29 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 43 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 57 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 71 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 85 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 99 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       3|[0.59890943, 0.02, 1.8879065342, 0.65307048, 0.02, 2.0015540314, 1.2984945382, 0.02, 2.1186983747, -0.02213199, 0.02, 2.1624089505, 1.2316544088, 0.02, 2.2192326991, 0.21848396, 0.02, 2.2813017168, 1.3346291866, 0.02, 2.3905781564, 4.5048024624, 0.02, 2.4884898463, 0.66080786, 0.02, 2.5593009792, 4.3888127085, 0.02, 2.7070427256, 0.2278337, 0.02, 2.9404572006, 0.23539976, 0.02, 2.9666835461, 0.7111142, 0.02, 3.1292868883, 0.20429975, 0.02, 3.2263243667, -0.06678414, 0.02, 3.2551733467, 1.3806399196, 0.02, 3.3801855937, 0.24162012, 0.02, 3.6695496058, 0.060181642, 0.02, 3.7220022968, 0.017306467, 0.02, 3.8312787364, 0.41562397, 0.02, 3.9589136179, 0.26297919, 0.02, 4.0524542502, 0.81885392, 0.02, 4.1748438626, 0.96523949, 0.02, 4.4309878371, 0.74388389, 0.02, 4.5594969301, 0.21356658, 0.02, 4.6014590829, 0.50271586, 0.02, 4.7046160419, 0.048972449, 0.02, 4.8007793087, 0.36839918, 0.02, 4.96862792, 0.16187806, 0.02, 5.3952431403, 0.28966782, 0.02, 5.4188468512, 0.097834734, 0.02, 2.5864015362, 0.0006819709, 0.02, 3.8618761395, 0.15545187, 0.02, 5.198545549]|484133.4482526386855170|      0.12500000|[337, 48, 0, 24]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 29 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 43 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 57 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 71 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 85 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 99 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       4|[0.59890943, 0.02, 1.8879065342, 0.65307048, 0.02, 2.0015540314, 1.2984945382, 0.02, 2.1186983747, -0.02213199, 0.02, 2.1624089505, 1.2316544088, 0.02, 2.2192326991, 0.21848396, 0.02, 2.2813017168, 1.3346291866, 0.02, 2.3905781564, 4.5048024624, 0.02, 2.4884898463, 0.66080786, 0.02, 2.5593009792, 4.3888127085, 0.02, 2.7070427256, 0.2278337, 0.02, 2.9404572006, 0.23539976, 0.02, 2.9666835461, 0.7111142, 0.02, 3.1292868883, 0.20429975, 0.02, 3.2263243667, -0.06678414, 0.02, 3.2551733467, 1.3806399196, 0.02, 3.3801855937, 0.24162012, 0.02, 3.6695496058, 0.060181642, 0.02, 3.7220022968, 0.017306467, 0.02, 3.8312787364, 0.41562397, 0.02, 3.9589136179, 0.26297919, 0.02, 4.0524542502, 0.81885392, 0.02, 4.1748438626, 0.96523949, 0.02, 4.4309878371, 0.74388389, 0.02, 4.5594969301, 0.21356658, 0.02, 4.6014590829, 0.50271586, 0.02, 4.7046160419, 0.048972449, 0.02, 4.8007793087, 0.36839918, 0.02, 4.96862792, 0.16187806, 0.02, 5.3952431403, 0.28966782, 0.02, 5.4188468512, 0.097834734, 0.02, 2.5864015362, 0.0006819709, 0.02, 3.8618761395, 0.15545187, 0.02, 5.198545549]|484133.4482526386855170|      0.06250000|[449, 64, 0, 32]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 29 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 43 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 57 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 71 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 85 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 99 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       5|[0.5953517555355315, 0.0195816133079256, 1.8863213970644117, 0.6407131049874537, 0.0201797643433025, 2.0104713588401486, 1.2991701815653942, 0.0207612520366781, 2.1208509884823137, -0.0278425688991043, 0.0229499132239868, 2.1589458447035015, 1.233242690118838, 0.0254890837524171, 2.215768578635232, 0.2175510241925355, 0.0195774508986094, 2.2824651913213763, 1.3305006727004953, 0.0234004323331984, 2.3946080137680723, 4.500283396556325, 0.0380641000995766, 2.4931066925586567, 0.6472276084954208, 0.014952284145538, 2.5624615170912715, 4.400083697149877, 0.028233217720648, 2.7074660787628915, 0.235617720100019, 0.0265391841659622, 2.9433952660428417, 0.2384962036016639, 0.0278168441995369, 2.9735112064699227, 0.725954050319437, 0.0092596963703771, 3.132116966010739, 0.2067201918496359, 0.021671674489424, 3.230966452119854, -0.067189449668244, 0.0200661552774902, 3.2672504333523342, 1.3811942043634131, 0.0282927643215253, 3.386046887762824, 0.2386770559358794, 0.0161304982300674, 3.6585626590167246, 0.0566875076931663, 0.0250434245755226, 3.7248826701689226, 0.0206092333966268, 0.0272048552926863, 3.8346798498527805, 0.4053396227099957, 0.022620917297491, 3.953788814930842, 0.2564045269882577, 0.0139433749714888, 4.0504253237739585, 0.8201891713079141, 0.0281860973615175, 4.166803084625738, 0.9658012613464293, 0.0181535216704221, 4.419163061619769, 0.736520027972263, 0.0260189005671343, 4.567195316943418, 0.2045140014493077, 0.0211022998614329, 4.599796522697039, 0.5055341220421825, 0.0303453237182964, 4.700381112472549, 0.0529202400023234, 0.0188614373151514, 4.806620038993812, 0.3711987013063258, 0.013920843711891, 4.977149278791295, 0.1640470412229488, 0.024037039772101, 5.400028027591281, 0.2853876962097543, 0.0142265601132479, 5.41863878397986, 0.1002493562883306, 0.0116195301940851, 2.583180331327293, 0.0068678175270697, 0.0237738559292419, 3.853803772075715, 0.160220431090806, 0.0325764086437427, 5.208039500654993]|371215.8437500000000000|      0.12500000|[477, 68, 0, 34]                                                           |  | trying linear partial model with 15 points | iterate success | actual_k=2
       6|[0.5953517555355315, 0.0195816133079256, 1.8863213970644117, 0.6407131049874537, 0.0201797643433025, 2.0104713588401486, 1.2991701815653942, 0.0207612520366781, 2.1208509884823137, -0.0278425688991043, 0.0229499132239868, 2.1589458447035015, 1.233242690118838, 0.0254890837524171, 2.215768578635232, 0.2175510241925355, 0.0195774508986094, 2.2824651913213763, 1.3305006727004953, 0.0234004323331984, 2.3946080137680723, 4.500283396556325, 0.0380641000995766, 2.4931066925586567, 0.6472276084954208, 0.014952284145538, 2.5624615170912715, 4.400083697149877, 0.028233217720648, 2.7074660787628915, 0.235617720100019, 0.0265391841659622, 2.9433952660428417, 0.2384962036016639, 0.0278168441995369, 2.9735112064699227, 0.725954050319437, 0.0092596963703771, 3.132116966010739, 0.2067201918496359, 0.021671674489424, 3.230966452119854, -0.067189449668244, 0.0200661552774902, 3.2672504333523342, 1.3811942043634131, 0.0282927643215253, 3.386046887762824, 0.2386770559358794, 0.0161304982300674, 3.6585626590167246, 0.0566875076931663, 0.0250434245755226, 3.7248826701689226, 0.0206092333966268, 0.0272048552926863, 3.8346798498527805, 0.4053396227099957, 0.022620917297491, 3.953788814930842, 0.2564045269882577, 0.0139433749714888, 4.0504253237739585, 0.8201891713079141, 0.0281860973615175, 4.166803084625738, 0.9658012613464293, 0.0181535216704221, 4.419163061619769, 0.736520027972263, 0.0260189005671343, 4.567195316943418, 0.2045140014493077, 0.0211022998614329, 4.599796522697039, 0.5055341220421825, 0.0303453237182964, 4.700381112472549, 0.0529202400023234, 0.0188614373151514, 4.806620038993812, 0.3711987013063258, 0.013920843711891, 4.977149278791295, 0.1640470412229488, 0.024037039772101, 5.400028027591281, 0.2853876962097543, 0.0142265601132479, 5.41863878397986, 0.1002493562883306, 0.0116195301940851, 2.583180331327293, 0.0068678175270697, 0.0237738559292419, 3.853803772075715, 0.160220431090806, 0.0325764086437427, 5.208039500654993]|371215.8437500000000000|      0.06250000|[576, 82, 1, 42]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 29 points FAILED TO GET X_HAT, using additional batch call | (iterate failure) trying more points before decreasing delta | trying linear partial model with 44 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 58 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 72 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 86 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       7|[0.5889092070941646, 0.0219501896504282, 1.89036124315294, 0.6417259766473024, 0.0204108109291654, 1.9971510601996938, 1.2918165893100932, 0.0169975744367978, 2.1199177083943233, -0.0164307176355994, 0.0202429280738593, 2.1577210773105393, 1.2360234662754275, 0.0286979934269016, 2.219470137588026, 0.2171829766398178, 0.0218796268918731, 2.284818608850369, 1.3251545886367442, 0.0284829351838448, 2.4067368146667576, 4.4976493721359585, 0.0460802098623388, 2.4840513430350155, 0.6539858892578301, 0.0114751354316351, 2.5732903716406197, 4.409278658031707, 0.0433793715915125, 2.7009523256634362, 0.240819197283042, 0.0161911881005096, 2.9404284966041327, 0.2497137108179094, 0.0297962324514201, 2.9781831166826396, 0.7181599546388898, 0.0194428037309125, 3.135549078543361, 0.2048921107704155, 0.0129655314025639, 3.2236671302830597, -0.054822588437555, 0.0200222292315085, 3.2656684899889843, 1.3798842855877715, 0.0210895692288097, 3.387186776389936, 0.2367448837375977, 0.0156274265451999, 3.6553524686417416, 0.0575500365160039, 0.0165697345651177, 3.7164835094430226, 0.025254839322815, 0.0236335855673919, 3.8278107135116803, 0.397050702005308, 0.0301906603618898, 3.950954003320445, 0.2558309080378967, 0.0171036928632225, 4.056211850266707, 0.8276887548813384, 0.0261891865576732, 4.163706568727341, 0.9740666059683432, 0.0129102872127118, 4.421760725104685, 0.7304465074937128, 0.0218014520209347, 4.583864083678133, 0.1961700350937115, 0.0199396614616441, 4.602004471591109, 0.5092595615514628, 0.0225864040828901, 4.701673767722201, 0.045374258490779, 0.022692041090074, 4.800660405990581, 0.3656069860121974, 0.0176958747683011, 4.9827412857628355, 0.1673968562321977, 0.0198960275758316, 5.39512833569556, 0.2820458057922102, 0.0232361942750405, 5.411643291350174, 0.0999892412032985, 0.0169041215889878, 2.587137522919091, 0.0110078175464169, 0.0277096126085306, 3.8459282310809884, 0.1498097420420505, 0.0306026518273188, 5.204519457354906]|336805.9687500000000000|      0.12500000|[604, 86, 1, 44]                                                           |  | trying linear partial model with 15 points | iterate success | actual_k=2
       8|[0.5889092070941646, 0.0219501896504282, 1.89036124315294, 0.6417259766473024, 0.0204108109291654, 1.9971510601996938, 1.2918165893100932, 0.0169975744367978, 2.1199177083943233, -0.0164307176355994, 0.0202429280738593, 2.1577210773105393, 1.2360234662754275, 0.0286979934269016, 2.219470137588026, 0.2171829766398178, 0.0218796268918731, 2.284818608850369, 1.3251545886367442, 0.0284829351838448, 2.4067368146667576, 4.4976493721359585, 0.0460802098623388, 2.4840513430350155, 0.6539858892578301, 0.0114751354316351, 2.5732903716406197, 4.409278658031707, 0.0433793715915125, 2.7009523256634362, 0.240819197283042, 0.0161911881005096, 2.9404284966041327, 0.2497137108179094, 0.0297962324514201, 2.9781831166826396, 0.7181599546388898, 0.0194428037309125, 3.135549078543361, 0.2048921107704155, 0.0129655314025639, 3.2236671302830597, -0.054822588437555, 0.0200222292315085, 3.2656684899889843, 1.3798842855877715, 0.0210895692288097, 3.387186776389936, 0.2367448837375977, 0.0156274265451999, 3.6553524686417416, 0.0575500365160039, 0.0165697345651177, 3.7164835094430226, 0.025254839322815, 0.0236335855673919, 3.8278107135116803, 0.397050702005308, 0.0301906603618898, 3.950954003320445, 0.2558309080378967, 0.0171036928632225, 4.056211850266707, 0.8276887548813384, 0.0261891865576732, 4.163706568727341, 0.9740666059683432, 0.0129102872127118, 4.421760725104685, 0.7304465074937128, 0.0218014520209347, 4.583864083678133, 0.1961700350937115, 0.0199396614616441, 4.602004471591109, 0.5092595615514628, 0.0225864040828901, 4.701673767722201, 0.045374258490779, 0.022692041090074, 4.800660405990581, 0.3656069860121974, 0.0176958747683011, 4.9827412857628355, 0.1673968562321977, 0.0198960275758316, 5.39512833569556, 0.2820458057922102, 0.0232361942750405, 5.411643291350174, 0.0999892412032985, 0.0169041215889878, 2.587137522919091, 0.0110078175464169, 0.0277096126085306, 3.8459282310809884, 0.1498097420420505, 0.0306026518273188, 5.204519457354906]|336805.9687500000000000|      0.06250000|[716, 102, 1, 52]                                                          |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 29 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 43 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 57 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 71 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 85 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 99 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       9|[0.5889092070941646, 0.0219501896504282, 1.89036124315294, 0.6417259766473024, 0.0204108109291654, 1.9971510601996938, 1.2918165893100932, 0.0169975744367978, 2.1199177083943233, -0.0164307176355994, 0.0202429280738593, 2.1577210773105393, 1.2360234662754275, 0.0286979934269016, 2.219470137588026, 0.2171829766398178, 0.0218796268918731, 2.284818608850369, 1.3251545886367442, 0.0284829351838448, 2.4067368146667576, 4.4976493721359585, 0.0460802098623388, 2.4840513430350155, 0.6539858892578301, 0.0114751354316351, 2.5732903716406197, 4.409278658031707, 0.0433793715915125, 2.7009523256634362, 0.240819197283042, 0.0161911881005096, 2.9404284966041327, 0.2497137108179094, 0.0297962324514201, 2.9781831166826396, 0.7181599546388898, 0.0194428037309125, 3.135549078543361, 0.2048921107704155, 0.0129655314025639, 3.2236671302830597, -0.054822588437555, 0.0200222292315085, 3.2656684899889843, 1.3798842855877715, 0.0210895692288097, 3.387186776389936, 0.2367448837375977, 0.0156274265451999, 3.6553524686417416, 0.0575500365160039, 0.0165697345651177, 3.7164835094430226, 0.025254839322815, 0.0236335855673919, 3.8278107135116803, 0.397050702005308, 0.0301906603618898, 3.950954003320445, 0.2558309080378967, 0.0171036928632225, 4.056211850266707, 0.8276887548813384, 0.0261891865576732, 4.163706568727341, 0.9740666059683432, 0.0129102872127118, 4.421760725104685, 0.7304465074937128, 0.0218014520209347, 4.583864083678133, 0.1961700350937115, 0.0199396614616441, 4.602004471591109, 0.5092595615514628, 0.0225864040828901, 4.701673767722201, 0.045374258490779, 0.022692041090074, 4.800660405990581, 0.3656069860121974, 0.0176958747683011, 4.9827412857628355, 0.1673968562321977, 0.0198960275758316, 5.39512833569556, 0.2820458057922102, 0.0232361942750405, 5.411643291350174, 0.0999892412032985, 0.0169041215889878, 2.587137522919091, 0.0110078175464169, 0.0277096126085306, 3.8459282310809884, 0.1498097420420505, 0.0306026518273188, 5.204519457354906]|336805.9687500000000000|      0.03125000|[816, 116, 4, 62]                                                          |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 29 points FAILED TO GET X_HAT, using additional batch call | (iterate failure) trying more points before decreasing delta | trying linear partial model with 44 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 58 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 72 points FAILED TO GET X_HAT, using additional batch call | (iterate failure) trying more points before decreasing delta | trying linear partial model with 87 points FAILED TO GET X_HAT, using additional batch call | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      10|[0.5881864583141578, 0.01874858618062, 1.8937159047003356, 0.6445351405812405, 0.0191123071697356, 1.996455692054033, 1.2960549256883749, 0.0208082847083126, 2.119019951609875, -0.015619609884865, 0.0186949672829494, 2.1591316790500676, 1.2347190136562187, 0.0317745554698978, 2.219933294099188, 0.2159834315022452, 0.0194803859230166, 2.2877121455363616, 1.3262954592235725, 0.0348324691779691, 2.407964307667041, 4.494222116660541, 0.0522894055605223, 2.4837464398360125, 0.6534233954405851, 0.0094608408880851, 2.569767007057751, 4.409184543509784, 0.0497637820725964, 2.697290410646488, 0.2374908424251409, 0.0188755387054609, 2.9449555087368915, 0.2449428531115, 0.0269774755567827, 2.9823511096872615, 0.7106213179902661, 0.0200282078101175, 3.134380738565271, 0.2064771679556058, 0.0145798538676042, 3.2247880237822346, -0.0574408156948336, 0.0201071479028268, 3.2698500260040095, 1.3765765488805548, 0.0211964993789867, 3.3828986759448187, 0.2342094388430855, 0.0185595291546149, 3.6597147352756676, 0.0572600147113232, 0.0129697003042375, 3.7110138035358493, 0.0310651531622892, 0.0244413409448578, 3.826838579641654, 0.3989396312555352, 0.0260733971040054, 3.951458905153577, 0.2564989085774267, 0.0156434804991646, 4.056187769410269, 0.8331544414374972, 0.0320735272411937, 4.1607580848351615, 0.9775845818921569, 0.0167250931688002, 4.422883302064816, 0.7323076224361683, 0.0233248741930008, 4.579888563693421, 0.1974575494320397, 0.0226732472000815, 4.599454526120502, 0.5043663573863838, 0.0200412011567069, 4.696626191271285, 0.0413287695705374, 0.0252458691132902, 4.804408185968606, 0.3699253562524468, 0.0163271257892369, 4.983584620850153, 0.1684800160712228, 0.022020869780858, 5.392145489091483, 0.2813414436085067, 0.0304072078526835, 5.4119028548792985, 0.1001374434541216, 0.018449054935683, 2.5886509998353127, 0.0132540723946437, 0.0301563855493585, 3.844804643730258, 0.1544635659902408, 0.0276658377605706, 5.2071652770633765]|318794.6875000000000000|      0.06250000|[845, 120, 4, 64]                                                          |  | trying linear partial model with 15 points | iterate success | actual_k=2
