k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.59890943, 0.02, 1.8879065342, 0.65307048, 0.02, 2.0015540314, 1.2984945382, 0.02, 2.1186983747, -0.02213199, 0.02, 2.1624089505, 1.2316544088, 0.02, 2.2192326991, 0.21848396, 0.02, 2.2813017168, 1.3346291866, 0.02, 2.3905781564, 4.5048024624, 0.02, 2.4884898463, 0.66080786, 0.02, 2.5593009792, 4.3888127085, 0.02, 2.7070427256, 0.2278337, 0.02, 2.9404572006, 0.23539976, 0.02, 2.9666835461, 0.7111142, 0.02, 3.1292868883, 0.20429975, 0.02, 3.2263243667, -0.06678414, 0.02, 3.2551733467, 1.3806399196, 0.02, 3.3801855937, 0.24162012, 0.02, 3.6695496058, 0.060181642, 0.02, 3.7220022968, 0.017306467, 0.02, 3.8312787364, 0.41562397, 0.02, 3.9589136179, 0.26297919, 0.02, 4.0524542502, 0.81885392, 0.02, 4.1748438626, 0.96523949, 0.02, 4.4309878371, 0.74388389, 0.02, 4.5594969301, 0.21356658, 0.02, 4.6014590829, 0.50271586, 0.02, 4.7046160419, 0.048972449, 0.02, 4.8007793087, 0.36839918, 0.02, 4.96862792, 0.16187806, 0.02, 5.3952431403, 0.28966782, 0.02, 5.4188468512, 0.097834734, 0.02, 2.5864015362, 0.0006819709, 0.02, 3.8618761395, 0.15545187, 0.02, 5.198545549]|484133.4482526386855170|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.59890943, 0.02, 1.8879065342, 0.65307048, 0.02, 2.0015540314, 1.2984945382, 0.02, 2.1186983747, -0.02213199, 0.02, 2.1624089505, 1.2316544088, 0.02, 2.2192326991, 0.21848396, 0.02, 2.2813017168, 1.3346291866, 0.02, 2.3905781564, 4.5048024624, 0.02, 2.4884898463, 0.66080786, 0.02, 2.5593009792, 4.3888127085, 0.02, 2.7070427256, 0.2278337, 0.02, 2.9404572006, 0.23539976, 0.02, 2.9666835461, 0.7111142, 0.02, 3.1292868883, 0.20429975, 0.02, 3.2263243667, -0.06678414, 0.02, 3.2551733467, 1.3806399196, 0.02, 3.3801855937, 0.24162012, 0.02, 3.6695496058, 0.060181642, 0.02, 3.7220022968, 0.017306467, 0.02, 3.8312787364, 0.41562397, 0.02, 3.9589136179, 0.26297919, 0.02, 4.0524542502, 0.81885392, 0.02, 4.1748438626, 0.96523949, 0.02, 4.4309878371, 0.74388389, 0.02, 4.5594969301, 0.21356658, 0.02, 4.6014590829, 0.50271586, 0.02, 4.7046160419, 0.048972449, 0.02, 4.8007793087, 0.36839918, 0.02, 4.96862792, 0.16187806, 0.02, 5.3952431403, 0.28966782, 0.02, 5.4188468512, 0.097834734, 0.02, 2.5864015362, 0.0006819709, 0.02, 3.8618761395, 0.15545187, 0.02, 5.198545549]|484133.4482526386855170|      0.50000000|[5066, 0, 1, 81]                                                           |  | used quadratic model with 5066 points | iterate failure | actual_k=0
       2|[0.59890943, 0.02, 1.8879065342, 0.65307048, 0.02, 2.0015540314, 1.2984945382, 0.02, 2.1186983747, -0.02213199, 0.02, 2.1624089505, 1.2316544088, 0.02, 2.2192326991, 0.21848396, 0.02, 2.2813017168, 1.3346291866, 0.02, 2.3905781564, 4.5048024624, 0.02, 2.4884898463, 0.66080786, 0.02, 2.5593009792, 4.3888127085, 0.02, 2.7070427256, 0.2278337, 0.02, 2.9404572006, 0.23539976, 0.02, 2.9666835461, 0.7111142, 0.02, 3.1292868883, 0.20429975, 0.02, 3.2263243667, -0.06678414, 0.02, 3.2551733467, 1.3806399196, 0.02, 3.3801855937, 0.24162012, 0.02, 3.6695496058, 0.060181642, 0.02, 3.7220022968, 0.017306467, 0.02, 3.8312787364, 0.41562397, 0.02, 3.9589136179, 0.26297919, 0.02, 4.0524542502, 0.81885392, 0.02, 4.1748438626, 0.96523949, 0.02, 4.4309878371, 0.74388389, 0.02, 4.5594969301, 0.21356658, 0.02, 4.6014590829, 0.50271586, 0.02, 4.7046160419, 0.048972449, 0.02, 4.8007793087, 0.36839918, 0.02, 4.96862792, 0.16187806, 0.02, 5.3952431403, 0.28966782, 0.02, 5.4188468512, 0.097834734, 0.02, 2.5864015362, 0.0006819709, 0.02, 3.8618761395, 0.15545187, 0.02, 5.198545549]|484133.4482526386855170|      0.25000000|[10132, 0, 2, 162]                                                         |  | used quadratic model with 5066 points | iterate failure | actual_k=0
       3|[0.59890943, 0.02, 1.8879065342, 0.65307048, 0.02, 2.0015540314, 1.2984945382, 0.02, 2.1186983747, -0.02213199, 0.02, 2.1624089505, 1.2316544088, 0.02, 2.2192326991, 0.21848396, 0.02, 2.2813017168, 1.3346291866, 0.02, 2.3905781564, 4.5048024624, 0.02, 2.4884898463, 0.66080786, 0.02, 2.5593009792, 4.3888127085, 0.02, 2.7070427256, 0.2278337, 0.02, 2.9404572006, 0.23539976, 0.02, 2.9666835461, 0.7111142, 0.02, 3.1292868883, 0.20429975, 0.02, 3.2263243667, -0.06678414, 0.02, 3.2551733467, 1.3806399196, 0.02, 3.3801855937, 0.24162012, 0.02, 3.6695496058, 0.060181642, 0.02, 3.7220022968, 0.017306467, 0.02, 3.8312787364, 0.41562397, 0.02, 3.9589136179, 0.26297919, 0.02, 4.0524542502, 0.81885392, 0.02, 4.1748438626, 0.96523949, 0.02, 4.4309878371, 0.74388389, 0.02, 4.5594969301, 0.21356658, 0.02, 4.6014590829, 0.50271586, 0.02, 4.7046160419, 0.048972449, 0.02, 4.8007793087, 0.36839918, 0.02, 4.96862792, 0.16187806, 0.02, 5.3952431403, 0.28966782, 0.02, 5.4188468512, 0.097834734, 0.02, 2.5864015362, 0.0006819709, 0.02, 3.8618761395, 0.15545187, 0.02, 5.198545549]|484133.4482526386855170|      0.12500000|[15198, 0, 3, 243]                                                         |  | used quadratic model with 5066 points | iterate failure | actual_k=0
       4|[0.59890943, 0.02, 1.8879065342, 0.65307048, 0.02, 2.0015540314, 1.2984945382, 0.02, 2.1186983747, -0.02213199, 0.02, 2.1624089505, 1.2316544088, 0.02, 2.2192326991, 0.21848396, 0.02, 2.2813017168, 1.3346291866, 0.02, 2.3905781564, 4.5048024624, 0.02, 2.4884898463, 0.66080786, 0.02, 2.5593009792, 4.3888127085, 0.02, 2.7070427256, 0.2278337, 0.02, 2.9404572006, 0.23539976, 0.02, 2.9666835461, 0.7111142, 0.02, 3.1292868883, 0.20429975, 0.02, 3.2263243667, -0.06678414, 0.02, 3.2551733467, 1.3806399196, 0.02, 3.3801855937, 0.24162012, 0.02, 3.6695496058, 0.060181642, 0.02, 3.7220022968, 0.017306467, 0.02, 3.8312787364, 0.41562397, 0.02, 3.9589136179, 0.26297919, 0.02, 4.0524542502, 0.81885392, 0.02, 4.1748438626, 0.96523949, 0.02, 4.4309878371, 0.74388389, 0.02, 4.5594969301, 0.21356658, 0.02, 4.6014590829, 0.50271586, 0.02, 4.7046160419, 0.048972449, 0.02, 4.8007793087, 0.36839918, 0.02, 4.96862792, 0.16187806, 0.02, 5.3952431403, 0.28966782, 0.02, 5.4188468512, 0.097834734, 0.02, 2.5864015362, 0.0006819709, 0.02, 3.8618761395, 0.15545187, 0.02, 5.198545549]|484133.4482526386855170|      0.06250000|[20264, 0, 4, 324]                                                         |  | used quadratic model with 5066 points | iterate failure | actual_k=0
       5|[0.59890943, 0.02, 1.8879065342, 0.65307048, 0.02, 2.0015540314, 1.2984945382, 0.02, 2.1186983747, -0.02213199, 0.02, 2.1624089505, 1.2316544088, 0.02, 2.2192326991, 0.21848396, 0.02, 2.2813017168, 1.3346291866, 0.02, 2.3905781564, 4.5048024624, 0.02, 2.4884898463, 0.66080786, 0.02, 2.5593009792, 4.3888127085, 0.02, 2.7070427256, 0.2278337, 0.02, 2.9404572006, 0.23539976, 0.02, 2.9666835461, 0.7111142, 0.02, 3.1292868883, 0.20429975, 0.02, 3.2263243667, -0.06678414, 0.02, 3.2551733467, 1.3806399196, 0.02, 3.3801855937, 0.24162012, 0.02, 3.6695496058, 0.060181642, 0.02, 3.7220022968, 0.017306467, 0.02, 3.8312787364, 0.41562397, 0.02, 3.9589136179, 0.26297919, 0.02, 4.0524542502, 0.81885392, 0.02, 4.1748438626, 0.96523949, 0.02, 4.4309878371, 0.74388389, 0.02, 4.5594969301, 0.21356658, 0.02, 4.6014590829, 0.50271586, 0.02, 4.7046160419, 0.048972449, 0.02, 4.8007793087, 0.36839918, 0.02, 4.96862792, 0.16187806, 0.02, 5.3952431403, 0.28966782, 0.02, 5.4188468512, 0.097834734, 0.02, 2.5864015362, 0.0006819709, 0.02, 3.8618761395, 0.15545187, 0.02, 5.198545549]|484133.4482526386855170|      0.03125000|[25330, 0, 5, 405]                                                         |  | used quadratic model with 5066 points | iterate failure | actual_k=0
       6|[0.5987292163832565, 0.0209112080652501, 1.8884209549476636, 0.654143203390239, 0.0214973300278471, 2.0017742522008963, 1.2977444117736676, 0.0195417332977515, 2.11835273606777, -0.0219315743683112, 0.0203235745074335, 2.1615215576077005, 1.23130069772303, 0.0226284226538292, 2.218971624830544, 0.2189304139624311, 0.0204900170055531, 2.2815039762762748, 1.3345334005528213, 0.0213235692535875, 2.389823371299261, 4.5058133842328445, 0.0442861375224367, 2.4882821509210613, 0.6592865821487299, 0.0205686807106703, 2.5587410161428, 4.38787085430208, 0.037499459350315, 2.705718689926476, 0.2275088736748349, 0.0205023091922274, 2.9419791342387094, 0.2337360933448732, 0.0193353701835258, 2.967191241780639, 0.710185483474499, 0.0222475162557587, 3.1303786647535765, 0.2046881286879535, 0.0213253448223554, 3.2253350536661327, -0.067167163451764, 0.0194288697386854, 3.255818514937081, 1.3810843944233533, 0.0215879477984803, 3.380059031676682, 0.241900742167294, 0.0213889388657087, 3.6692198961014166, 0.0597082520985566, 0.0199826414970983, 3.7221905187604887, 0.0181506523383751, 0.0205093330296352, 3.831844816221872, 0.4140702235667331, 0.0206080558118778, 3.9567821973916932, 0.2641974550532475, 0.0189105276188977, 4.053034052231519, 0.8186689800105537, 0.0206877246834618, 4.173989550520087, 0.9661382097601925, 0.0193775064672726, 4.43292712842797, 0.7441651654357029, 0.0204867325183781, 4.55903037746928, 0.2141335863773115, 0.0199054116232968, 4.600965213118573, 0.503004737323996, 0.0183531472863618, 4.704483919073927, 0.0494244126403696, 0.0195240998491087, 4.801273976017019, 0.3681563705374605, 0.0207447638997555, 4.969584746474631, 0.1619772967513483, 0.0197574451941398, 5.394323821445614, 0.2904539637570409, 0.0201194510726855, 5.4195678112520955, 0.0968095128765986, 0.0194904114835796, 2.5862681473061717, 0.0006340053363241, 0.0194409018051217, 3.860534727452009, 0.1546647065678854, 0.0218076223854686, 5.199986770355329]|338102.2259974820772186|      0.06250000|[30396, 0, 6, 486]                                                         |  | used quadratic model with 5066 points | iterate success | actual_k=0
       7|[0.5987292163832565, 0.0209112080652501, 1.8884209549476636, 0.654143203390239, 0.0214973300278471, 2.0017742522008963, 1.2977444117736676, 0.0195417332977515, 2.11835273606777, -0.0219315743683112, 0.0203235745074335, 2.1615215576077005, 1.23130069772303, 0.0226284226538292, 2.218971624830544, 0.2189304139624311, 0.0204900170055531, 2.2815039762762748, 1.3345334005528213, 0.0213235692535875, 2.389823371299261, 4.5058133842328445, 0.0442861375224367, 2.4882821509210613, 0.6592865821487299, 0.0205686807106703, 2.5587410161428, 4.38787085430208, 0.037499459350315, 2.705718689926476, 0.2275088736748349, 0.0205023091922274, 2.9419791342387094, 0.2337360933448732, 0.0193353701835258, 2.967191241780639, 0.710185483474499, 0.0222475162557587, 3.1303786647535765, 0.2046881286879535, 0.0213253448223554, 3.2253350536661327, -0.067167163451764, 0.0194288697386854, 3.255818514937081, 1.3810843944233533, 0.0215879477984803, 3.380059031676682, 0.241900742167294, 0.0213889388657087, 3.6692198961014166, 0.0597082520985566, 0.0199826414970983, 3.7221905187604887, 0.0181506523383751, 0.0205093330296352, 3.831844816221872, 0.4140702235667331, 0.0206080558118778, 3.9567821973916932, 0.2641974550532475, 0.0189105276188977, 4.053034052231519, 0.8186689800105537, 0.0206877246834618, 4.173989550520087, 0.9661382097601925, 0.0193775064672726, 4.43292712842797, 0.7441651654357029, 0.0204867325183781, 4.55903037746928, 0.2141335863773115, 0.0199054116232968, 4.600965213118573, 0.503004737323996, 0.0183531472863618, 4.704483919073927, 0.0494244126403696, 0.0195240998491087, 4.801273976017019, 0.3681563705374605, 0.0207447638997555, 4.969584746474631, 0.1619772967513483, 0.0197574451941398, 5.394323821445614, 0.2904539637570409, 0.0201194510726855, 5.4195678112520955, 0.0968095128765986, 0.0194904114835796, 2.5862681473061717, 0.0006340053363241, 0.0194409018051217, 3.860534727452009, 0.1546647065678854, 0.0218076223854686, 5.199986770355329]|338102.2259974820772186|      0.03125000|[35462, 0, 7, 567]                                                         |  | used quadratic model with 5066 points | iterate failure | actual_k=0
       8|[0.5987937887067815, 0.0224843874565829, 1.889071086616342, 0.6539722475438118, 0.0235380677125431, 2.000727589676986, 1.2965013175358435, 0.0305311223995382, 2.117139112015134, -0.0230307446828577, 0.0198967438695197, 2.161841478294789, 1.2302330084342454, 0.0267794767798656, 2.217874856275648, 0.2176557136167205, 0.0200941269713014, 2.2808913573152463, 1.3347366875887594, 0.0293597251810609, 2.3860335127881385, 4.504612262832257, 0.0558608636632315, 2.4883926070895055, 0.6586191952814004, 0.0222222836676683, 2.5605330959239394, 4.387197824184712, 0.057043965004847, 2.7063512735638855, 0.2272592157795642, 0.0215901107412557, 2.940493050443897, 0.2338871109619632, 0.0181990331942572, 2.967259902851776, 0.709920100653562, 0.0234460501072693, 3.129134142522359, 0.2042493072502865, 0.0225927736026779, 3.2263754766593684, -0.0671471053472219, 0.0199373201596697, 3.255928614631383, 1.380812735528104, 0.0314282384700888, 3.379449000507174, 0.2419855755633334, 0.0216420515546822, 3.6700890789843887, 0.0589696499020413, 0.0213870065805197, 3.7215595845953606, 0.0175648174119766, 0.0206537145811035, 3.8319659253217866, 0.414950357548343, 0.0220889061783501, 3.9566050033811955, 0.2644391316587021, 0.0203001214695717, 4.052883834530681, 0.8185902631287554, 0.0253711354970116, 4.174058767231506, 0.9652046895412452, 0.0262430934533825, 4.4315811373869884, 0.7430542870061364, 0.0237636025346593, 4.559597420260672, 0.2137324060009035, 0.0197591686163409, 4.601250934065426, 0.5046671986177836, 0.0197031252350207, 4.704832375109082, 0.0496442975108808, 0.0197928862366075, 4.801640281797786, 0.3673463892704656, 0.0213493006123917, 4.9686827464969685, 0.1614206954027967, 0.0195147815391593, 5.39301399625211, 0.2895054624884838, 0.0202626519970019, 5.42018925522044, 0.0958880581643992, 0.0197084467603491, 2.586773604892133, 0.0018205086986758, 0.0203529134680275, 3.861328927747896, 0.1546611198278606, 0.0228711596408351, 5.199172625806503]|289001.7028698904905468|      0.06250000|[40528, 0, 8, 648]                                                         |  | used quadratic model with 5066 points | iterate success | actual_k=0
       9|[0.5987937887067815, 0.0224843874565829, 1.889071086616342, 0.6539722475438118, 0.0235380677125431, 2.000727589676986, 1.2965013175358435, 0.0305311223995382, 2.117139112015134, -0.0230307446828577, 0.0198967438695197, 2.161841478294789, 1.2302330084342454, 0.0267794767798656, 2.217874856275648, 0.2176557136167205, 0.0200941269713014, 2.2808913573152463, 1.3347366875887594, 0.0293597251810609, 2.3860335127881385, 4.504612262832257, 0.0558608636632315, 2.4883926070895055, 0.6586191952814004, 0.0222222836676683, 2.5605330959239394, 4.387197824184712, 0.057043965004847, 2.7063512735638855, 0.2272592157795642, 0.0215901107412557, 2.940493050443897, 0.2338871109619632, 0.0181990331942572, 2.967259902851776, 0.709920100653562, 0.0234460501072693, 3.129134142522359, 0.2042493072502865, 0.0225927736026779, 3.2263754766593684, -0.0671471053472219, 0.0199373201596697, 3.255928614631383, 1.380812735528104, 0.0314282384700888, 3.379449000507174, 0.2419855755633334, 0.0216420515546822, 3.6700890789843887, 0.0589696499020413, 0.0213870065805197, 3.7215595845953606, 0.0175648174119766, 0.0206537145811035, 3.8319659253217866, 0.414950357548343, 0.0220889061783501, 3.9566050033811955, 0.2644391316587021, 0.0203001214695717, 4.052883834530681, 0.8185902631287554, 0.0253711354970116, 4.174058767231506, 0.9652046895412452, 0.0262430934533825, 4.4315811373869884, 0.7430542870061364, 0.0237636025346593, 4.559597420260672, 0.2137324060009035, 0.0197591686163409, 4.601250934065426, 0.5046671986177836, 0.0197031252350207, 4.704832375109082, 0.0496442975108808, 0.0197928862366075, 4.801640281797786, 0.3673463892704656, 0.0213493006123917, 4.9686827464969685, 0.1614206954027967, 0.0195147815391593, 5.39301399625211, 0.2895054624884838, 0.0202626519970019, 5.42018925522044, 0.0958880581643992, 0.0197084467603491, 2.586773604892133, 0.0018205086986758, 0.0203529134680275, 3.861328927747896, 0.1546611198278606, 0.0228711596408351, 5.199172625806503]|289001.7028698904905468|      0.03125000|[45594, 0, 9, 729]                                                         |  | used quadratic model with 5066 points | iterate failure | actual_k=0
      10|[0.5987982601263471, 0.0254731867623332, 1.888422486263779, 0.6535848208248127, 0.0260955696414971, 2.000215677278224, 1.2959794694866542, 0.0356056900798637, 2.1156306399133453, -0.0235438398421901, 0.0198926277036768, 2.1624077254115, 1.2299005009370196, 0.033035681432755, 2.217862410361013, 0.2169838004343959, 0.0191935670889672, 2.281404038552107, 1.333230547228351, 0.0347449890017655, 2.381071786547936, 4.503535922338495, 0.0746913313403433, 2.485066642941522, 0.6578369130029867, 0.0263219639053921, 2.562751343826627, 4.386889060604645, 0.0721949248884457, 2.711727327123928, 0.2268223582363818, 0.022132154215207, 2.940508131845498, 0.2335033256330995, 0.0192240283270718, 2.9672308886441416, 0.7093360774186234, 0.0278966578154827, 3.1292331241100575, 0.2039483207308477, 0.0224486673734811, 3.226239667336978, -0.0674506558740309, 0.0205500860139181, 3.2554301938057186, 1.3807927687711619, 0.0387253000678527, 3.379857688806699, 0.2411557963835171, 0.0220123782345936, 3.6699158693009233, 0.0587587951676027, 0.0217394576981973, 3.7216079860805227, 0.0173958515185472, 0.0203009794927178, 3.832069453517683, 0.4153326991678188, 0.023375146270174, 3.956357996422631, 0.264755607070768, 0.0213320143709541, 4.0528522410369945, 0.8181839662504797, 0.0299597826299079, 4.174070141447838, 0.964721953672721, 0.0317821129270809, 4.431525571886712, 0.7428122703756581, 0.0283660295121155, 4.559012017426157, 0.2132774868616677, 0.0204570488465925, 4.601826571654396, 0.5037680393409324, 0.0242698765547652, 4.705257997084088, 0.0496233915212863, 0.020154710918544, 4.801350338582237, 0.3671401007717529, 0.022743959229221, 4.968855924427834, 0.1615440160990927, 0.0192627957076684, 5.392022434274134, 0.2887791656055725, 0.021925929438261, 5.420634354653669, 0.0946256829364514, 0.0192388191794447, 2.587723223367354, 0.0010833842299028, 0.0204214443926554, 3.8614573965417267, 0.1547722356149637, 0.0228077416989912, 5.199300859333825]|260308.8258317274739966|      0.06250000|[50660, 0, 10, 810]                                                        |  | used quadratic model with 5066 points | iterate success | actual_k=0
      11|[0.5987982601263471, 0.0254731867623332, 1.888422486263779, 0.6535848208248127, 0.0260955696414971, 2.000215677278224, 1.2959794694866542, 0.0356056900798637, 2.1156306399133453, -0.0235438398421901, 0.0198926277036768, 2.1624077254115, 1.2299005009370196, 0.033035681432755, 2.217862410361013, 0.2169838004343959, 0.0191935670889672, 2.281404038552107, 1.333230547228351, 0.0347449890017655, 2.381071786547936, 4.503535922338495, 0.0746913313403433, 2.485066642941522, 0.6578369130029867, 0.0263219639053921, 2.562751343826627, 4.386889060604645, 0.0721949248884457, 2.711727327123928, 0.2268223582363818, 0.022132154215207, 2.940508131845498, 0.2335033256330995, 0.0192240283270718, 2.9672308886441416, 0.7093360774186234, 0.0278966578154827, 3.1292331241100575, 0.2039483207308477, 0.0224486673734811, 3.226239667336978, -0.0674506558740309, 0.0205500860139181, 3.2554301938057186, 1.3807927687711619, 0.0387253000678527, 3.379857688806699, 0.2411557963835171, 0.0220123782345936, 3.6699158693009233, 0.0587587951676027, 0.0217394576981973, 3.7216079860805227, 0.0173958515185472, 0.0203009794927178, 3.832069453517683, 0.4153326991678188, 0.023375146270174, 3.956357996422631, 0.264755607070768, 0.0213320143709541, 4.0528522410369945, 0.8181839662504797, 0.0299597826299079, 4.174070141447838, 0.964721953672721, 0.0317821129270809, 4.431525571886712, 0.7428122703756581, 0.0283660295121155, 4.559012017426157, 0.2132774868616677, 0.0204570488465925, 4.601826571654396, 0.5037680393409324, 0.0242698765547652, 4.705257997084088, 0.0496233915212863, 0.020154710918544, 4.801350338582237, 0.3671401007717529, 0.022743959229221, 4.968855924427834, 0.1615440160990927, 0.0192627957076684, 5.392022434274134, 0.2887791656055725, 0.021925929438261, 5.420634354653669, 0.0946256829364514, 0.0192388191794447, 2.587723223367354, 0.0010833842299028, 0.0204214443926554, 3.8614573965417267, 0.1547722356149637, 0.0228077416989912, 5.199300859333825]|260308.8258317274739966|      0.03125000|[55726, 0, 11, 891]                                                        |  | used quadratic model with 5066 points | iterate failure | actual_k=0
