k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[4.1365481575, 0.02, 0.17712896, 0.02, 1.6563998369, 0.02, 1.1912670842, 0.02, 0.29540308, 0.02, 0.33044829, 0.02, 0.081689693, 0.02, 0.25366977, 0.02, 1.3979474874, 0.02, 1.1726179747, 0.02, 0.09020114, 0.02, 0.12924843, 0.02, 0.30391686, 0.02, 0.1048141, 0.02, 0.1179912, 0.02, 0.54496913, 0.02, 0.007783709, 0.02, 0.089054003, 0.02, 0.11016803, 0.02, 0.039888624, 0.02, 0.098350298, 0.02, 0.28456638, 0.02, 0.4217993, 0.02, 0.16224077, 0.02, 0.071969874, 0.02, 0.31414176, 0.02, 0.14023746, 0.02, 0.28639923, 0.02, 0.062871838, 0.02, 0.15213167, 0.02, 0.19259894, 0.02, 0.15142465, 0.02, 0.39070068, 0.02]|263050.2304652961902320|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[4.1365481575, 0.02, 0.17712896, 0.02, 1.6563998369, 0.02, 1.1912670842, 0.02, 0.29540308, 0.02, 0.33044829, 0.02, 0.081689693, 0.02, 0.25366977, 0.02, 1.3979474874, 0.02, 1.1726179747, 0.02, 0.09020114, 0.02, 0.12924843, 0.02, 0.30391686, 0.02, 0.1048141, 0.02, 0.1179912, 0.02, 0.54496913, 0.02, 0.007783709, 0.02, 0.089054003, 0.02, 0.11016803, 0.02, 0.039888624, 0.02, 0.098350298, 0.02, 0.28456638, 0.02, 0.4217993, 0.02, 0.16224077, 0.02, 0.071969874, 0.02, 0.31414176, 0.02, 0.14023746, 0.02, 0.28639923, 0.02, 0.062871838, 0.02, 0.15213167, 0.02, 0.19259894, 0.02, 0.15142465, 0.02, 0.39070068, 0.02]|263050.2304652961902320|      0.50000000|[84, 6, 0, 6]                                                              |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 29 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 43 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 57 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 70 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       2|[4.158373065493136, 0.0877209097802275, 0.1840271090009049, -0.0590247615183939, 1.6974552213473455, 0.0049455623269174, 1.1887978014777478, -0.0432891610193509, 0.2066308501190776, 0.0877573940854322, 0.3584971668191561, 0.1562690191677149, 0.0375884059810722, -0.0064063303581286, 0.1668359967332327, 0.0933908636848886, 1.3663281350070784, 0.0535354110626782, 1.1805197384491917, 0.0752160610016893, 0.0235427608877792, 0.0481769943040177, 0.0498395494686466, 0.1010053756194829, 0.2444701983227504, -0.0303052814648126, 0.0360257279334195, 0.0787428441550686, 0.0916735432450736, -0.0031602033020878, 0.5036064297824131, 0.07913085201937, -0.0129763318625685, -0.0481869962139404, 0.1279516515561297, 0.1118512613606292, 0.0881335462935802, 0.0269109913378552, -0.0839444000054461, 0.0288813346921937, 0.074622317440434, -0.0291685828629346, 0.2471983062548042, 0.034161821735622, 0.4401786105903809, 0.0323761786775059, 0.1698589325340415, -0.1165483446021901, 0.0541643067901074, 0.1127888267438533, 0.3560045293599848, -0.0398340038528011, 0.213062225083316, -0.0123719535285641, 0.3169377651873193, 0.0313214503393695, 0.1877503945663394, 0.1532293359817662, 0.1445568121722171, 0.0809413545275981, 0.258625909321393, 0.0257206450467097, 0.2601256152887547, 0.0636079193931179, 0.3243549080641635, -0.0524788332044968]|147315.2031250000000000|      1.00000000|[112, 8, 0, 8]                                                             |  | trying linear partial model with 16 points | iterate success | actual_k=1
       3|[4.158373065493136, 0.0877209097802275, 0.1840271090009049, -0.0590247615183939, 1.6974552213473455, 0.0049455623269174, 1.1887978014777478, -0.0432891610193509, 0.2066308501190776, 0.0877573940854322, 0.3584971668191561, 0.1562690191677149, 0.0375884059810722, -0.0064063303581286, 0.1668359967332327, 0.0933908636848886, 1.3663281350070784, 0.0535354110626782, 1.1805197384491917, 0.0752160610016893, 0.0235427608877792, 0.0481769943040177, 0.0498395494686466, 0.1010053756194829, 0.2444701983227504, -0.0303052814648126, 0.0360257279334195, 0.0787428441550686, 0.0916735432450736, -0.0031602033020878, 0.5036064297824131, 0.07913085201937, -0.0129763318625685, -0.0481869962139404, 0.1279516515561297, 0.1118512613606292, 0.0881335462935802, 0.0269109913378552, -0.0839444000054461, 0.0288813346921937, 0.074622317440434, -0.0291685828629346, 0.2471983062548042, 0.034161821735622, 0.4401786105903809, 0.0323761786775059, 0.1698589325340415, -0.1165483446021901, 0.0541643067901074, 0.1127888267438533, 0.3560045293599848, -0.0398340038528011, 0.213062225083316, -0.0123719535285641, 0.3169377651873193, 0.0313214503393695, 0.1877503945663394, 0.1532293359817662, 0.1445568121722171, 0.0809413545275981, 0.258625909321393, 0.0257206450467097, 0.2601256152887547, 0.0636079193931179, 0.3243549080641635, -0.0524788332044968]|147315.2031250000000000|      0.50000000|[194, 14, 0, 14]                                                           |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 30 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 44 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 57 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 70 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       4|[4.158373065493136, 0.0877209097802275, 0.1840271090009049, -0.0590247615183939, 1.6974552213473455, 0.0049455623269174, 1.1887978014777478, -0.0432891610193509, 0.2066308501190776, 0.0877573940854322, 0.3584971668191561, 0.1562690191677149, 0.0375884059810722, -0.0064063303581286, 0.1668359967332327, 0.0933908636848886, 1.3663281350070784, 0.0535354110626782, 1.1805197384491917, 0.0752160610016893, 0.0235427608877792, 0.0481769943040177, 0.0498395494686466, 0.1010053756194829, 0.2444701983227504, -0.0303052814648126, 0.0360257279334195, 0.0787428441550686, 0.0916735432450736, -0.0031602033020878, 0.5036064297824131, 0.07913085201937, -0.0129763318625685, -0.0481869962139404, 0.1279516515561297, 0.1118512613606292, 0.0881335462935802, 0.0269109913378552, -0.0839444000054461, 0.0288813346921937, 0.074622317440434, -0.0291685828629346, 0.2471983062548042, 0.034161821735622, 0.4401786105903809, 0.0323761786775059, 0.1698589325340415, -0.1165483446021901, 0.0541643067901074, 0.1127888267438533, 0.3560045293599848, -0.0398340038528011, 0.213062225083316, -0.0123719535285641, 0.3169377651873193, 0.0313214503393695, 0.1877503945663394, 0.1532293359817662, 0.1445568121722171, 0.0809413545275981, 0.258625909321393, 0.0257206450467097, 0.2601256152887547, 0.0636079193931179, 0.3243549080641635, -0.0524788332044968]|147315.2031250000000000|      0.25000000|[276, 20, 0, 20]                                                           |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 29 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 43 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 57 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 70 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       5|[4.158373065493136, 0.0877209097802275, 0.1840271090009049, -0.0590247615183939, 1.6974552213473455, 0.0049455623269174, 1.1887978014777478, -0.0432891610193509, 0.2066308501190776, 0.0877573940854322, 0.3584971668191561, 0.1562690191677149, 0.0375884059810722, -0.0064063303581286, 0.1668359967332327, 0.0933908636848886, 1.3663281350070784, 0.0535354110626782, 1.1805197384491917, 0.0752160610016893, 0.0235427608877792, 0.0481769943040177, 0.0498395494686466, 0.1010053756194829, 0.2444701983227504, -0.0303052814648126, 0.0360257279334195, 0.0787428441550686, 0.0916735432450736, -0.0031602033020878, 0.5036064297824131, 0.07913085201937, -0.0129763318625685, -0.0481869962139404, 0.1279516515561297, 0.1118512613606292, 0.0881335462935802, 0.0269109913378552, -0.0839444000054461, 0.0288813346921937, 0.074622317440434, -0.0291685828629346, 0.2471983062548042, 0.034161821735622, 0.4401786105903809, 0.0323761786775059, 0.1698589325340415, -0.1165483446021901, 0.0541643067901074, 0.1127888267438533, 0.3560045293599848, -0.0398340038528011, 0.213062225083316, -0.0123719535285641, 0.3169377651873193, 0.0313214503393695, 0.1877503945663394, 0.1532293359817662, 0.1445568121722171, 0.0809413545275981, 0.258625909321393, 0.0257206450467097, 0.2601256152887547, 0.0636079193931179, 0.3243549080641635, -0.0524788332044968]|147315.2031250000000000|      0.12500000|[357, 26, 0, 26]                                                           |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 30 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 43 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 56 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 69 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       6|[4.158373065493136, 0.0877209097802275, 0.1840271090009049, -0.0590247615183939, 1.6974552213473455, 0.0049455623269174, 1.1887978014777478, -0.0432891610193509, 0.2066308501190776, 0.0877573940854322, 0.3584971668191561, 0.1562690191677149, 0.0375884059810722, -0.0064063303581286, 0.1668359967332327, 0.0933908636848886, 1.3663281350070784, 0.0535354110626782, 1.1805197384491917, 0.0752160610016893, 0.0235427608877792, 0.0481769943040177, 0.0498395494686466, 0.1010053756194829, 0.2444701983227504, -0.0303052814648126, 0.0360257279334195, 0.0787428441550686, 0.0916735432450736, -0.0031602033020878, 0.5036064297824131, 0.07913085201937, -0.0129763318625685, -0.0481869962139404, 0.1279516515561297, 0.1118512613606292, 0.0881335462935802, 0.0269109913378552, -0.0839444000054461, 0.0288813346921937, 0.074622317440434, -0.0291685828629346, 0.2471983062548042, 0.034161821735622, 0.4401786105903809, 0.0323761786775059, 0.1698589325340415, -0.1165483446021901, 0.0541643067901074, 0.1127888267438533, 0.3560045293599848, -0.0398340038528011, 0.213062225083316, -0.0123719535285641, 0.3169377651873193, 0.0313214503393695, 0.1877503945663394, 0.1532293359817662, 0.1445568121722171, 0.0809413545275981, 0.258625909321393, 0.0257206450467097, 0.2601256152887547, 0.0636079193931179, 0.3243549080641635, -0.0524788332044968]|147315.2031250000000000|      0.06250000|[437, 32, 0, 32]                                                           |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 29 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 42 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 55 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 68 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       7|[4.158373065493136, 0.0877209097802275, 0.1840271090009049, -0.0590247615183939, 1.6974552213473455, 0.0049455623269174, 1.1887978014777478, -0.0432891610193509, 0.2066308501190776, 0.0877573940854322, 0.3584971668191561, 0.1562690191677149, 0.0375884059810722, -0.0064063303581286, 0.1668359967332327, 0.0933908636848886, 1.3663281350070784, 0.0535354110626782, 1.1805197384491917, 0.0752160610016893, 0.0235427608877792, 0.0481769943040177, 0.0498395494686466, 0.1010053756194829, 0.2444701983227504, -0.0303052814648126, 0.0360257279334195, 0.0787428441550686, 0.0916735432450736, -0.0031602033020878, 0.5036064297824131, 0.07913085201937, -0.0129763318625685, -0.0481869962139404, 0.1279516515561297, 0.1118512613606292, 0.0881335462935802, 0.0269109913378552, -0.0839444000054461, 0.0288813346921937, 0.074622317440434, -0.0291685828629346, 0.2471983062548042, 0.034161821735622, 0.4401786105903809, 0.0323761786775059, 0.1698589325340415, -0.1165483446021901, 0.0541643067901074, 0.1127888267438533, 0.3560045293599848, -0.0398340038528011, 0.213062225083316, -0.0123719535285641, 0.3169377651873193, 0.0313214503393695, 0.1877503945663394, 0.1532293359817662, 0.1445568121722171, 0.0809413545275981, 0.258625909321393, 0.0257206450467097, 0.2601256152887547, 0.0636079193931179, 0.3243549080641635, -0.0524788332044968]|147315.2031250000000000|      0.03125000|[518, 38, 0, 38]                                                           |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 29 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 42 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 55 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 69 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       8|[4.165073694682294, 0.085260126367071, 0.1941389122043357, -0.0555437613649981, 1.6936600684900072, 0.0156146905821581, 1.1889844895717074, -0.0437479537202053, 0.2090514513651992, 0.0902161120702006, 0.3572570062775307, 0.1556819964586531, 0.0366773548393581, -0.0068565283145513, 0.1759792552317036, 0.0948270103681094, 1.366419592095389, 0.0588705002740079, 1.1781647259740655, 0.0750799135331135, 0.0282372826712003, 0.0444761273841995, 0.0561974073018584, 0.1078915147423471, 0.2383104759741365, -0.030030960822488, 0.0351223070574044, 0.0784513604977515, 0.0930101406205569, -0.0042953459746856, 0.5109267403493082, 0.0825515843974536, -0.0184619818961366, -0.0500312361601535, 0.1317757470789176, 0.1130920869315028, 0.0893123272168543, 0.0280793913349454, -0.0817869262253843, 0.0301704690571899, 0.0734351366813938, -0.0317131188275594, 0.2500287796162964, 0.036282389799046, 0.4412923039123323, 0.0343559768343179, 0.168156219607874, -0.120216008125689, 0.0519035203397101, 0.1183314382347942, 0.3497056953716007, -0.045048513146609, 0.2147596604103158, -0.0107069505345985, 0.3175479646855162, 0.0317093821958339, 0.1895122977453142, 0.1525693201857296, 0.1436557258090083, 0.0795454615451254, 0.2594151878103579, 0.0296238892915056, 0.2581021396003744, 0.0662960121016923, 0.3177222841332453, -0.0469641918659996]|77513.2578125000000000|      0.06250000|[546, 40, 0, 40]                                                           |  | trying linear partial model with 16 points | iterate success | actual_k=1
       9|[4.171332274304536, 0.0786100710211398, 0.2027425069937169, -0.0469114978018407, 1.6906789655803849, 0.0333218920093967, 1.1959132979927725, -0.0369791575856576, 0.2218450580659582, 0.078489123183398, 0.3562432893172313, 0.1466743565110052, 0.0401319495202859, -0.0142184358673983, 0.1810526275565336, 0.0943148046615474, 1.376116613307019, 0.0631569979831633, 1.1708429998806709, 0.0735387078667145, 0.012655036950281, 0.0439936042478284, 0.042461446820687, 0.1162756775761304, 0.2505899632879872, -0.0337096508957766, 0.0399776621725039, 0.0827572081778459, 0.0943742599497227, -0.0085097916655636, 0.5066757635708483, 0.0808548691092152, -0.0247937393268306, -0.0489151549455378, 0.141799950835129, 0.1204319333130879, 0.0798294808166687, 0.0403618301457819, -0.0909344237130994, 0.031317217478684, 0.0730718477637372, -0.0373608116669703, 0.2553097667710876, 0.0405167311895153, 0.4366979552480086, 0.0222440203435096, 0.16177511128828, -0.108672972693857, 0.0532790299811379, 0.1171872196303197, 0.3528825098968768, -0.057680432992732, 0.2077351420761829, -0.0098222954235561, 0.3132774835853523, 0.0408393218589374, 0.1860695121358408, 0.1502560780512305, 0.1501635119161133, 0.0705407776384433, 0.257887762140472, 0.035660615854169, 0.2529490669392024, 0.0520206083065921, 0.3259149065992419, -0.0580377382604068]|65703.2578125000000000|      0.12500000|[574, 42, 0, 42]                                                           |  | trying linear partial model with 16 points | iterate success | actual_k=1
      10|[4.171332274304536, 0.0786100710211398, 0.2027425069937169, -0.0469114978018407, 1.6906789655803849, 0.0333218920093967, 1.1959132979927725, -0.0369791575856576, 0.2218450580659582, 0.078489123183398, 0.3562432893172313, 0.1466743565110052, 0.0401319495202859, -0.0142184358673983, 0.1810526275565336, 0.0943148046615474, 1.376116613307019, 0.0631569979831633, 1.1708429998806709, 0.0735387078667145, 0.012655036950281, 0.0439936042478284, 0.042461446820687, 0.1162756775761304, 0.2505899632879872, -0.0337096508957766, 0.0399776621725039, 0.0827572081778459, 0.0943742599497227, -0.0085097916655636, 0.5066757635708483, 0.0808548691092152, -0.0247937393268306, -0.0489151549455378, 0.141799950835129, 0.1204319333130879, 0.0798294808166687, 0.0403618301457819, -0.0909344237130994, 0.031317217478684, 0.0730718477637372, -0.0373608116669703, 0.2553097667710876, 0.0405167311895153, 0.4366979552480086, 0.0222440203435096, 0.16177511128828, -0.108672972693857, 0.0532790299811379, 0.1171872196303197, 0.3528825098968768, -0.057680432992732, 0.2077351420761829, -0.0098222954235561, 0.3132774835853523, 0.0408393218589374, 0.1860695121358408, 0.1502560780512305, 0.1501635119161133, 0.0705407776384433, 0.257887762140472, 0.035660615854169, 0.2529490669392024, 0.0520206083065921, 0.3259149065992419, -0.0580377382604068]|65703.2578125000000000|      0.06250000|[655, 48, 0, 48]                                                           |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 29 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 42 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 56 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 69 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
