k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[4.0641168384, 0.02, 4.0641168384, 0.16497222, 0.02, 0.16497222, 1.1602949687, 0.02, 1.1602949687, 0.26776527, 0.02, 0.26776527, 0.31204919, 0.02, 0.31204919, 0.073935213, 0.02, 0.073935213, 0.23024068, 0.02, 0.23024068, 1.3683044425, 0.02, 1.3683044425, 0.25260505, 0.02, 0.25260505, 1.1600613899, 0.02, 1.1600613899, 0.046139967, 0.02, 0.046139967, 0.12450694, 0.02, 0.12450694, 0.29665794, 0.02, 0.29665794, 0.09209888, 0.02, 0.09209888, 0.10680955, 0.02, 0.10680955, 0.53729835, 0.02, 0.53729835, 0.0032518929, 0.02, 0.0032518929, 0.087101117, 0.02, 0.087101117, 0.1011676, 0.02, 0.1011676, 0.025500784, 0.02, 0.025500784, 0.095961864, 0.02, 0.095961864, 0.27293359, 0.02, 0.27293359, 0.39239373, 0.02, 0.39239373, 0.1295583, 0.02, 0.1295583, 0.041123179, 0.02, 0.041123179, 0.29625891, 0.02, 0.29625891, 0.089238179, 0.02, 0.089238179, 0.2772403, 0.02, 0.2772403, 0.05829792, 0.02, 0.05829792, 0.14615847, 0.02, 0.14615847, 0.17082536, 0.02, 0.17082536, 0.13884257, 0.02, 0.13884257, 0.38162104, 0.02, 0.38162104]|150235.7958013504103292|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[4.006107865605604, -0.1524666653208614, 4.041270581543852, 0.1024508013655817, -0.046195632301692, 0.2441861656798765, 1.156499532750504, 0.0024008771870519, 1.2127718913002554, 0.2384255696824476, 0.0982521566486046, 0.3215445925368638, 0.2882734853035016, 0.0341764124327233, 0.3266468770451074, 0.2138478815732484, -0.098636938641495, 0.0511127557234867, 0.1947188838647165, 0.1829284539129899, 0.3026179804799933, 1.4455595456569486, 0.1401631076108608, 1.4234088979471782, 0.1676980843196456, 0.0259427059193307, 0.3541512040624469, 1.338061418410691, 0.0884637009745911, 1.1150633539874006, 0.1755214482644716, 0.0837510793352386, 0.0523249562076838, 0.1566617680941168, 0.0431035451180177, -0.0210407027529516, 0.3486723397776638, 0.0525628262976577, 0.1779191599571179, -0.0131634403797761, 0.0157738312120305, 0.0684708520679276, 0.2484115443612379, 0.1410484651276806, 0.0717518102808372, 0.6452564110400649, -0.0112787938369348, 0.5243129725301422, -0.1019483636240993, 0.0517208451100496, -0.1668515737714094, -0.1314245298355452, -0.0871974041582528, 0.1111191381216152, 0.0251223744568911, 0.0844226744128885, 0.1125536785767816, 0.1674704283022021, -0.1500715454480107, 0.0986341246761733, 0.0517533676958802, 0.0493801664650989, 0.1633267561086968, 0.260557262032027, 0.1253332294977009, 0.3280516006491606, 0.3268401739437753, -0.0204950863811336, 0.3357230220646192, 0.0404830525523773, 0.10279380641128, -0.0369142179973909, 0.0058810535110923, -0.0902706226871782, 0.1083156414593033, 0.569864083144036, 0.240101860028646, 0.1935283398499503, 0.0464059788219429, -0.1084493529693568, -0.0734536560992969, 0.1697127501698217, -0.100195437352913, 0.1376723906448, 0.229696648437487, -0.0153678718891068, 0.028600256096067, 0.1449600999236289, 0.0657069409444424, 0.2126076450942007, 0.2341553003719852, 0.0516849367171694, 0.0529151276226389, -0.0017767218325739, 0.3011881568741132, 0.2537758156205088, 0.3786412249450757, -0.0334028792181703, 0.2516918344737376]|20579.4003906250000000|      2.00000000|[31, 2, 0, 2]                                                              |  | trying linear partial model with 16 points | iterate success | actual_k=1
       2|[4.006107865605604, -0.1524666653208614, 4.041270581543852, 0.1024508013655817, -0.046195632301692, 0.2441861656798765, 1.156499532750504, 0.0024008771870519, 1.2127718913002554, 0.2384255696824476, 0.0982521566486046, 0.3215445925368638, 0.2882734853035016, 0.0341764124327233, 0.3266468770451074, 0.2138478815732484, -0.098636938641495, 0.0511127557234867, 0.1947188838647165, 0.1829284539129899, 0.3026179804799933, 1.4455595456569486, 0.1401631076108608, 1.4234088979471782, 0.1676980843196456, 0.0259427059193307, 0.3541512040624469, 1.338061418410691, 0.0884637009745911, 1.1150633539874006, 0.1755214482644716, 0.0837510793352386, 0.0523249562076838, 0.1566617680941168, 0.0431035451180177, -0.0210407027529516, 0.3486723397776638, 0.0525628262976577, 0.1779191599571179, -0.0131634403797761, 0.0157738312120305, 0.0684708520679276, 0.2484115443612379, 0.1410484651276806, 0.0717518102808372, 0.6452564110400649, -0.0112787938369348, 0.5243129725301422, -0.1019483636240993, 0.0517208451100496, -0.1668515737714094, -0.1314245298355452, -0.0871974041582528, 0.1111191381216152, 0.0251223744568911, 0.0844226744128885, 0.1125536785767816, 0.1674704283022021, -0.1500715454480107, 0.0986341246761733, 0.0517533676958802, 0.0493801664650989, 0.1633267561086968, 0.260557262032027, 0.1253332294977009, 0.3280516006491606, 0.3268401739437753, -0.0204950863811336, 0.3357230220646192, 0.0404830525523773, 0.10279380641128, -0.0369142179973909, 0.0058810535110923, -0.0902706226871782, 0.1083156414593033, 0.569864083144036, 0.240101860028646, 0.1935283398499503, 0.0464059788219429, -0.1084493529693568, -0.0734536560992969, 0.1697127501698217, -0.100195437352913, 0.1376723906448, 0.229696648437487, -0.0153678718891068, 0.028600256096067, 0.1449600999236289, 0.0657069409444424, 0.2126076450942007, 0.2341553003719852, 0.0516849367171694, 0.0529151276226389, -0.0017767218325739, 0.3011881568741132, 0.2537758156205088, 0.3786412249450757, -0.0334028792181703, 0.2516918344737376]|20579.4003906250000000|      1.00000000|[151, 10, 0, 10]                                                           |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 31 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 46 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 61 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 76 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 91 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 106 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       3|[4.006107865605604, -0.1524666653208614, 4.041270581543852, 0.1024508013655817, -0.046195632301692, 0.2441861656798765, 1.156499532750504, 0.0024008771870519, 1.2127718913002554, 0.2384255696824476, 0.0982521566486046, 0.3215445925368638, 0.2882734853035016, 0.0341764124327233, 0.3266468770451074, 0.2138478815732484, -0.098636938641495, 0.0511127557234867, 0.1947188838647165, 0.1829284539129899, 0.3026179804799933, 1.4455595456569486, 0.1401631076108608, 1.4234088979471782, 0.1676980843196456, 0.0259427059193307, 0.3541512040624469, 1.338061418410691, 0.0884637009745911, 1.1150633539874006, 0.1755214482644716, 0.0837510793352386, 0.0523249562076838, 0.1566617680941168, 0.0431035451180177, -0.0210407027529516, 0.3486723397776638, 0.0525628262976577, 0.1779191599571179, -0.0131634403797761, 0.0157738312120305, 0.0684708520679276, 0.2484115443612379, 0.1410484651276806, 0.0717518102808372, 0.6452564110400649, -0.0112787938369348, 0.5243129725301422, -0.1019483636240993, 0.0517208451100496, -0.1668515737714094, -0.1314245298355452, -0.0871974041582528, 0.1111191381216152, 0.0251223744568911, 0.0844226744128885, 0.1125536785767816, 0.1674704283022021, -0.1500715454480107, 0.0986341246761733, 0.0517533676958802, 0.0493801664650989, 0.1633267561086968, 0.260557262032027, 0.1253332294977009, 0.3280516006491606, 0.3268401739437753, -0.0204950863811336, 0.3357230220646192, 0.0404830525523773, 0.10279380641128, -0.0369142179973909, 0.0058810535110923, -0.0902706226871782, 0.1083156414593033, 0.569864083144036, 0.240101860028646, 0.1935283398499503, 0.0464059788219429, -0.1084493529693568, -0.0734536560992969, 0.1697127501698217, -0.100195437352913, 0.1376723906448, 0.229696648437487, -0.0153678718891068, 0.028600256096067, 0.1449600999236289, 0.0657069409444424, 0.2126076450942007, 0.2341553003719852, 0.0516849367171694, 0.0529151276226389, -0.0017767218325739, 0.3011881568741132, 0.2537758156205088, 0.3786412249450757, -0.0334028792181703, 0.2516918344737376]|20579.4003906250000000|      0.50000000|[271, 18, 0, 18]                                                           |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 31 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 46 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 61 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 76 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 91 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 106 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       4|[3.973629198736075, -0.285328536555884, 4.016396690118838, 0.0511453128380473, 0.1111577177554159, 0.2056248768528924, 1.2049138648526379, 0.0077251603656735, 1.1906839930773776, 0.3191965497882775, 0.1196579197678592, 0.2900180280318504, 0.3189401728600496, 0.0008168286896871, 0.3575336286244252, 0.2614530802603798, -0.0736739903614227, 0.0480416575012393, 0.1501578851148955, 0.1249515820955405, 0.2885318040386968, 1.3920383265182437, 0.2739413819301727, 1.326726257170232, 0.1674098363022414, -0.0177725640817745, 0.340360817218879, 1.295972295851281, 0.0473923383334914, 1.1852449690144429, 0.196906881653957, 0.1340676056063954, 0.0866705661502242, 0.1577203771825152, 0.067693183429219, 0.0008188933747385, 0.3155275337780727, 0.1090408669512366, 0.2369592871864704, -0.000136148399097, -0.0246498302543887, 0.0458722962500925, 0.2950164218939488, 0.2064106508060145, 0.0455401837549091, 0.7354264940006492, 0.0225654161409199, 0.5346872368360261, -0.1125880603748142, 0.0605274521199897, -0.1966941549526003, -0.1597399794068225, -0.1108789686523051, 0.0890172952843764, 0.0013909298750294, 0.1053323159174206, 0.1202899019476036, 0.1254130760454934, -0.1711983491669701, 0.0343184662845077, 0.0550708722089553, 0.0564613247757128, 0.1276937450848494, 0.3134185651820115, 0.1276787878993203, 0.3660095418657199, 0.3986188293502022, 0.0331354667994899, 0.205264805653319, 0.0143160793268799, 0.1279524240529643, -0.0574081009459987, 0.0711904123390221, -0.0928741932837337, 0.1161857687571139, 0.5445474026281825, 0.2206260892946962, 0.2158715998858925, 0.0637783160922302, -0.0791413102626302, -0.0516068320708139, 0.256158933163246, -0.0699395884500901, 0.1389006369717517, 0.3050098883052437, -0.0452651267295294, 0.0471720216235473, 0.2096861127721628, 0.1412718378155269, 0.2907287409799604, 0.2364922017538887, 0.0211846605539587, -0.002705691063089, -0.0403440332833649, 0.2274017554289958, 0.2003177535083755, 0.3724571391605513, -0.1130266834231372, 0.324933085812644]|11409.1240234375000000|      1.00000000|[301, 20, 0, 20]                                                           |  | trying linear partial model with 16 points | iterate success | actual_k=1
       5|[3.7986045875182106, -0.6540275177359465, 3.970382100916086, -0.0625381397572402, 0.166181028807225, 0.0681033820248178, 1.1324458015378651, -0.0246829369181413, 1.2253689303137367, 0.4003929264081675, 0.1467422776163378, 0.3440913365950443, 0.2207606451959423, 0.0886155686047114, 0.2794577453108811, 0.3580772522784121, -0.0720295499621661, 0.0225519633172451, 0.13238012783168, 0.1723639714342742, 0.2359617776562739, 1.3625587143566267, 0.3370285871861155, 1.356611233151198, 0.1527091737289477, 0.1520870927036946, 0.3638319166640659, 1.1935111924342106, 0.008775407229042, 1.27556746159867, 0.2127990196314237, 0.199344763220308, 0.072596732670748, 0.2249983836996403, -0.0019896767423333, -0.0038983161022208, 0.2248643418007634, 0.2459651900758763, 0.1694451978099698, 0.0177434552917807, 0.0350597254808143, 0.1114342871071781, 0.4457105986206497, 0.3190132995799007, 0.0165204658497616, 0.810666126897231, 0.0669482754111144, 0.4401751150712381, -0.1473144779381989, 0.208996338378761, -0.2286344743371276, -0.2933022950811658, -0.1541731949461326, -0.019398437974971, 0.0708935804298256, -0.0272211364547437, 0.1195481776330302, 0.0971827442710852, -0.2260010510675572, -0.0007748707868842, -0.0817291607575445, 0.0964365406315774, 0.0575134890474764, 0.3018256855484879, 0.2093178881949687, 0.452325895260977, 0.4424778408613727, 0.1648566043941784, 0.4302525952549012, -0.0039855743984889, 0.1737158329521036, -0.0855612774226046, -0.0419189188338119, -0.168070361794706, 0.1582200290883909, 0.5549268296408302, 0.2078588218431048, 0.1744304407748301, 0.241075365838246, -0.2986499527506062, -0.1851184809371096, 0.3049664367329785, -0.1409802035362815, 0.1530766833961151, 0.1392366180348277, -0.0894982459233437, 0.0042768359386197, 0.1778427847304907, 0.0680794876404149, 0.3092040114823246, 0.1130314615097817, 0.1095056022035504, 0.0775179942473246, 0.2347303665241995, 0.2626668017174404, 0.4853961211570941, 0.3180408853726492, -0.2411941032649971, 0.226355296529978]|5178.1801757812500000|      2.00000000|[331, 22, 0, 22]                                                           |  | trying linear partial model with 16 points | iterate success | actual_k=1
       6|[3.456056872653832, -1.2928267432357463, 3.9729829707859756, -0.3479971366446057, 0.1321283250627752, -0.0700698669083496, 1.1944067570848182, 0.1322675121938782, 1.3471853833558411, 0.268107086815538, -0.1278612915497259, 0.4396575595065336, 0.2470774285632151, 0.0625801762351306, 0.0477329609010504, 0.2330476522197332, -0.5087824684946404, -0.2016809994444644, 0.2705022113168536, 0.0859090386102282, 0.3127121769436041, 1.2413083788563966, 0.3641253181407592, 1.351533885839414, -0.1244671823080837, 0.2876722368327856, 0.5337919998619755, 1.350418409926574, -0.2884921244037089, 1.188806014050182, 0.1698924988087808, -0.0657139266836723, 0.2394366875955831, 0.0348589684730429, 0.186565417831159, -0.3943574086884631, -0.0324952276869304, 0.1677842276140671, 0.3923725989579446, -0.1695608653588238, 0.0160858527671081, -0.0980539921420919, 0.3936936733931187, 0.451129081154583, 0.0126383168897689, 0.7118747039822015, -0.1820101080985625, 0.3448103104720315, -0.0521837789245918, -0.1430991990834999, -0.4445428156084463, -0.4607419999710809, -0.2832916456918249, 0.068046619265229, 0.0026686210452086, 0.1852829987845717, 0.0937281164203359, 0.018261965889306, 0.2631765396694931, -0.1952300960151226, -0.0102232925979062, 0.2104675987021522, -0.1810252647493185, 0.289864674457029, 0.238072926037929, 0.8273560970656959, 0.3325692626799548, -0.0228900753556728, 0.3256574310605796, 0.0147349787197556, -0.3055202684834299, 0.1239827261933424, -0.3757883004516575, -0.1146598324131463, -0.0047403303149384, 0.7785023343701633, 0.225876841631723, 0.0653811077856151, 0.4217277307969792, -0.6341632067798628, -0.2133757076428606, 0.2851219170674358, -0.2608556844720289, 0.3941528949399754, 0.0121407149504211, -0.0269759567944299, -0.0969269545731778, 0.6069003337827915, 0.0435863824408545, 0.4143880315132566, 0.1385584711071541, 0.1712169227448753, 0.1627282280100357, 0.4715482893220668, 0.2286754639606819, 0.8598523831369527, 0.2544589400633049, -0.3816013364266069, 0.2607060255292428]|2789.1997070312500000|      4.00000000|[361, 24, 0, 24]                                                           |  | trying linear partial model with 16 points | iterate success | actual_k=1
       7|[3.205053310157882, -2.631563698373129, 4.06824635261313, -0.5481212941457067, 0.1103612773551461, 0.1314154167203485, 0.9128327024927183, 0.1892454550149426, 1.258683861810393, 0.3553636938101284, -0.4702509482167448, 0.0009075657165888, 0.4662324463190534, -0.3332085557918753, -0.520666363461392, 0.1459058068009509, -0.3620992903917196, -0.3628103635579252, -1.0182953988579029, 0.4436773539695389, 0.2627594558405728, 1.0786865749558763, 0.6942084628424828, 1.9080834281108514, 0.198833617247524, 1.0404308676156007, 0.7593947381093876, 1.2018721524238922, 0.1891081351259338, 0.7260205222423846, -0.0074875194098073, 0.2920093901557073, 0.6997882493988561, 0.5647258039687799, 0.1415511325490215, 0.060651490446412, 0.0252100369394464, 0.0683515805061898, 0.7457400444993252, 0.5685340291433019, 0.4289996803933181, 0.2595821024561442, 0.8800154204690908, -0.2349365933425248, -0.3383559535615586, 1.0865382851367922, 0.261648931752612, 0.0825782675472801, 0.0380843043362384, -0.0842068174743172, -0.4411624523752365, -0.0862593156276906, -0.1504838970062717, -0.1970858530576784, 0.4687346757719053, 0.7738240011052875, -0.2929495171526418, 0.6502946488964343, 0.2047312884126908, -0.2640581391422235, 0.5077913044868205, -0.0401562625411226, -0.4084478097680465, 0.4011675315919821, -0.114607783865442, 1.1340987961209197, 0.2864796711631363, 0.5658282893700721, 0.127214713992226, 0.3494098428083081, -0.7210525920204163, 0.0796742962511019, -0.3052315496103107, 0.2022029876993325, 0.3586405893199591, 0.4010262350230425, 0.5043934437444095, 0.2307351320086276, 0.6465774674258982, 0.2500090965768449, -0.4062444860756121, -0.1108845359196662, 0.1967623096037424, 0.5028228310574667, 0.3897299361611904, -0.0261607962235896, -0.1575552376366353, 0.6590882091582392, 0.2057269623504586, 0.1723226403176571, -0.5566880836429826, 0.3377239099722931, 0.5753642846972644, 1.3709336317867773, 0.0215468597656965, 0.7107507695970676, 0.4408492571750033, 0.0883717289727549, 0.6294139132943166]|1072.7286376953125000|      8.00000000|[391, 26, 0, 26]                                                           |  | trying linear partial model with 16 points | iterate success | actual_k=1
       8|[3.205053310157882, -2.631563698373129, 4.06824635261313, -0.5481212941457067, 0.1103612773551461, 0.1314154167203485, 0.9128327024927183, 0.1892454550149426, 1.258683861810393, 0.3553636938101284, -0.4702509482167448, 0.0009075657165888, 0.4662324463190534, -0.3332085557918753, -0.520666363461392, 0.1459058068009509, -0.3620992903917196, -0.3628103635579252, -1.0182953988579029, 0.4436773539695389, 0.2627594558405728, 1.0786865749558763, 0.6942084628424828, 1.9080834281108514, 0.198833617247524, 1.0404308676156007, 0.7593947381093876, 1.2018721524238922, 0.1891081351259338, 0.7260205222423846, -0.0074875194098073, 0.2920093901557073, 0.6997882493988561, 0.5647258039687799, 0.1415511325490215, 0.060651490446412, 0.0252100369394464, 0.0683515805061898, 0.7457400444993252, 0.5685340291433019, 0.4289996803933181, 0.2595821024561442, 0.8800154204690908, -0.2349365933425248, -0.3383559535615586, 1.0865382851367922, 0.261648931752612, 0.0825782675472801, 0.0380843043362384, -0.0842068174743172, -0.4411624523752365, -0.0862593156276906, -0.1504838970062717, -0.1970858530576784, 0.4687346757719053, 0.7738240011052875, -0.2929495171526418, 0.6502946488964343, 0.2047312884126908, -0.2640581391422235, 0.5077913044868205, -0.0401562625411226, -0.4084478097680465, 0.4011675315919821, -0.114607783865442, 1.1340987961209197, 0.2864796711631363, 0.5658282893700721, 0.127214713992226, 0.3494098428083081, -0.7210525920204163, 0.0796742962511019, -0.3052315496103107, 0.2022029876993325, 0.3586405893199591, 0.4010262350230425, 0.5043934437444095, 0.2307351320086276, 0.6465774674258982, 0.2500090965768449, -0.4062444860756121, -0.1108845359196662, 0.1967623096037424, 0.5028228310574667, 0.3897299361611904, -0.0261607962235896, -0.1575552376366353, 0.6590882091582392, 0.2057269623504586, 0.1723226403176571, -0.5566880836429826, 0.3377239099722931, 0.5753642846972644, 1.3709336317867773, 0.0215468597656965, 0.7107507695970676, 0.4408492571750033, 0.0883717289727549, 0.6294139132943166]|1072.7286376953125000|      4.00000000|[511, 34, 0, 34]                                                           |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 31 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 46 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 61 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 76 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 91 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 106 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       9|[3.205053310157882, -2.631563698373129, 4.06824635261313, -0.5481212941457067, 0.1103612773551461, 0.1314154167203485, 0.9128327024927183, 0.1892454550149426, 1.258683861810393, 0.3553636938101284, -0.4702509482167448, 0.0009075657165888, 0.4662324463190534, -0.3332085557918753, -0.520666363461392, 0.1459058068009509, -0.3620992903917196, -0.3628103635579252, -1.0182953988579029, 0.4436773539695389, 0.2627594558405728, 1.0786865749558763, 0.6942084628424828, 1.9080834281108514, 0.198833617247524, 1.0404308676156007, 0.7593947381093876, 1.2018721524238922, 0.1891081351259338, 0.7260205222423846, -0.0074875194098073, 0.2920093901557073, 0.6997882493988561, 0.5647258039687799, 0.1415511325490215, 0.060651490446412, 0.0252100369394464, 0.0683515805061898, 0.7457400444993252, 0.5685340291433019, 0.4289996803933181, 0.2595821024561442, 0.8800154204690908, -0.2349365933425248, -0.3383559535615586, 1.0865382851367922, 0.261648931752612, 0.0825782675472801, 0.0380843043362384, -0.0842068174743172, -0.4411624523752365, -0.0862593156276906, -0.1504838970062717, -0.1970858530576784, 0.4687346757719053, 0.7738240011052875, -0.2929495171526418, 0.6502946488964343, 0.2047312884126908, -0.2640581391422235, 0.5077913044868205, -0.0401562625411226, -0.4084478097680465, 0.4011675315919821, -0.114607783865442, 1.1340987961209197, 0.2864796711631363, 0.5658282893700721, 0.127214713992226, 0.3494098428083081, -0.7210525920204163, 0.0796742962511019, -0.3052315496103107, 0.2022029876993325, 0.3586405893199591, 0.4010262350230425, 0.5043934437444095, 0.2307351320086276, 0.6465774674258982, 0.2500090965768449, -0.4062444860756121, -0.1108845359196662, 0.1967623096037424, 0.5028228310574667, 0.3897299361611904, -0.0261607962235896, -0.1575552376366353, 0.6590882091582392, 0.2057269623504586, 0.1723226403176571, -0.5566880836429826, 0.3377239099722931, 0.5753642846972644, 1.3709336317867773, 0.0215468597656965, 0.7107507695970676, 0.4408492571750033, 0.0883717289727549, 0.6294139132943166]|1072.7286376953125000|      2.00000000|[632, 42, 1, 43]                                                           |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 31 points FAILED TO GET X_HAT, using additional batch call | (iterate failure) trying more points before decreasing delta | trying linear partial model with 47 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 62 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 77 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 92 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 107 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      10|[2.566895311611541, -2.64667966460598, 4.02360874650338, -0.4154644092971888, -0.1902040731505782, 0.0485686749986899, 1.0736748671082719, 0.3711298027767002, 1.065203239663672, 0.5449290490294044, -0.4786342472940383, 0.2705503874351285, 0.2917720362140456, -0.6550143217292261, -0.4886267345711654, 0.1129280122874628, -0.4623171910151704, -0.5738924406216643, -1.1237270275046587, 0.1002671426980112, 0.0469930406317414, 0.9887109415175026, 0.7528364622261863, 2.0956694796709323, 0.3394843056220513, 1.065961055585767, 0.4422756160642293, 1.0666913465552077, -0.165373643959664, 0.5407766878693676, 0.0255835877646995, 0.3463430146704413, 0.5553658058138149, 0.464060179355528, 0.2733122227599803, 0.3265067157925104, -0.2011265234862205, 0.509171848072145, 0.9714984315520344, 0.4026615323125334, 0.3843915049784016, 0.1111185619036059, 0.6561339299540097, -0.1052419429127162, -0.6470997489168543, 1.3195062377384672, 0.2241660103947556, 0.1547060679809877, 0.2019955127051306, -0.0548614829174695, -0.5305185760865939, 0.092753807746917, 0.2423509580200042, -0.0123746802176231, 0.6638706522109916, 0.7665338434588033, -0.1625446266624119, 0.8134526957820409, 0.4152672386831089, 0.0260638289108241, 0.7307759652117343, 0.3115515337526853, -0.3750733194104126, 0.7866335538130944, 0.1096817453879943, 0.9994363080178796, 0.1295566838041553, 0.7064249942154291, 0.2149137906028457, 0.2834408475662874, -0.5755982567398664, 0.0024815627265541, -0.5727409615293604, 0.1780131872523217, 0.3251520199026542, 0.4566432456469828, 0.7413926904902642, 0.0372117902496526, 0.9014028562454856, -0.0064765931266168, -0.472389989985546, 0.0497185898653939, 0.1126008168310036, 0.5571692052427216, 0.469763098084757, 0.0088842720329617, -0.2823953062798673, 0.2221494295663482, 0.0807479319676118, 0.116772554907519, -0.4800957351970309, 0.7101204832510791, 0.3699951305992036, 1.4846112616649851, 0.0762821870725829, 0.4333649537616576, 0.6106900839677805, 0.268318605339357, 0.5402348450682743]|779.7587890625000000|      4.00000000|[662, 44, 1, 45]                                                           |  | trying linear partial model with 16 points | iterate success | actual_k=1
