k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[11.0, 3.0, 0.5, 40.0, -0.7, -1.3, 25.0, -0.3, 1.4]                             |1153.9439484858455671|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[10.524482434064444, 2.999141037115983, 0.1540341192604465, 40.224309829136416, -0.4554786037292631, -1.2211941738647463, 25.437670413280834, -0.616005188817401, 0.9035533512063989]|937.3953841923356549|      2.00000000|[15, 2, 1, 2]                                                              |  | used linear model with 17 points | iterate success | actual_k=2
       2|[10.524482434064444, 2.999141037115983, 0.1540341192604465, 40.224309829136416, -0.4554786037292631, -1.2211941738647463, 25.437670413280834, -0.616005188817401, 0.9035533512063989]|937.3953841923356549|      1.00000000|[30, 4, 2, 4]                                                              |  | used linear model with 17 points | iterate failure | actual_k=2
       3|[10.524482434064444, 2.999141037115983, 0.1540341192604465, 40.224309829136416, -0.4554786037292631, -1.2211941738647463, 25.437670413280834, -0.616005188817401, 0.9035533512063989]|937.3953841923356549|      0.50000000|[45, 6, 3, 6]                                                              |  | used linear model with 17 points | iterate failure | actual_k=2
       4|[10.751319766217698, 3.0566618939663215, 0.2128482916303764, 40.18990443219484, -0.3500116372055568, -1.146171137875808, 25.816602795432544, -0.7349183103216126, 0.7766221891823532]|887.1288137422800446|      1.00000000|[60, 8, 4, 8]                                                              |  | used linear model with 17 points | iterate success | actual_k=2
       5|[10.751319766217698, 3.0566618939663215, 0.2128482916303764, 40.18990443219484, -0.3500116372055568, -1.146171137875808, 25.816602795432544, -0.7349183103216126, 0.7766221891823532]|887.1288137422800446|      0.50000000|[75, 10, 5, 10]                                                            |  | used linear model with 17 points | iterate failure | actual_k=2
       6|[10.751319766217698, 3.0566618939663215, 0.2128482916303764, 40.18990443219484, -0.3500116372055568, -1.146171137875808, 25.816602795432544, -0.7349183103216126, 0.7766221891823532]|887.1288137422800446|      0.25000000|[90, 12, 6, 12]                                                            |  | used linear model with 17 points | iterate failure | actual_k=2
       7|[10.732831002450727, 3.061813716756088, 0.291034818197288, 40.24724839086134, -0.5052518995263379, -1.2672847952250323, 25.911626463236345, -0.7958063303469376, 0.8116258509443274]|870.5414034748117729|      0.50000000|[105, 14, 7, 14]                                                           |  | used linear model with 17 points | iterate success | actual_k=2
       8|[10.732831002450727, 3.061813716756088, 0.291034818197288, 40.24724839086134, -0.5052518995263379, -1.2672847952250323, 25.911626463236345, -0.7958063303469376, 0.8116258509443274]|870.5414034748117729|      0.25000000|[120, 16, 8, 16]                                                           |  | used linear model with 17 points | iterate failure | actual_k=2
       9|[10.770398081490095, 3.1102818069093288, 0.387325566695462, 40.31748026249285, -0.579310948153101, -1.382147031974561, 26.01479410254137, -0.8806408504412158, 0.901161324674795]|862.6924340816516406|      0.50000000|[135, 18, 9, 18]                                                           |  | used linear model with 17 points | iterate success | actual_k=2
      10|[10.770398081490095, 3.1102818069093288, 0.387325566695462, 40.31748026249285, -0.579310948153101, -1.382147031974561, 26.01479410254137, -0.8806408504412158, 0.901161324674795]|862.6924340816516406|      0.25000000|[150, 20, 10, 20]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      11|[10.768702299607199, 3.1619296273452937, 0.2934213791904601, 40.494100239720844, -0.622330409710064, -1.3455036135969896, 26.09284927698095, -0.8147189713129855, 0.979807974911115]|859.6641925361445828|      0.50000000|[165, 22, 11, 22]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      12|[10.768702299607199, 3.1619296273452937, 0.2934213791904601, 40.494100239720844, -0.622330409710064, -1.3455036135969896, 26.09284927698095, -0.8147189713129855, 0.979807974911115]|859.6641925361445828|      0.25000000|[180, 24, 12, 24]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
