k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[11.0, 3.0, 0.5, 40.0, -0.7, -1.3, 25.0, -0.3, 1.4]                             |1153.9439484858455671|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[10.527341266946667, 3.0416222003544573, 0.1584608939408532, 40.23820944926393, -0.6322745592311756, -1.2748429232883736, 25.585307459204227, -0.4671599723547141, 0.9248982005653696]|924.7519162191492796|      2.00000000|[13, 0, 1, 4]                                                              |  | used linear model with 13 points | iterate success | actual_k=0
       2|[10.527341266946667, 3.0416222003544573, 0.1584608939408532, 40.23820944926393, -0.6322745592311756, -1.2748429232883736, 25.585307459204227, -0.4671599723547141, 0.9248982005653696]|924.7519162191492796|      1.00000000|[26, 0, 2, 8]                                                              |  | used linear model with 13 points | iterate failure | actual_k=0
       3|[10.861239476817394, 3.075662076179128, 0.7367860478535384, 40.4785453718948, -0.6675901189970128, -1.283508667701068, 25.88372612008237, -1.0081830070027227, 0.5901594548603715]|886.1748415099104932|      2.00000000|[39, 0, 3, 12]                                                             |  | used linear model with 13 points | iterate success | actual_k=0
       4|[10.861239476817394, 3.075662076179128, 0.7367860478535384, 40.4785453718948, -0.6675901189970128, -1.283508667701068, 25.88372612008237, -1.0081830070027227, 0.5901594548603715]|886.1748415099104932|      1.00000000|[52, 0, 4, 16]                                                             |  | used linear model with 13 points | iterate failure | actual_k=0
       5|[10.861239476817394, 3.075662076179128, 0.7367860478535384, 40.4785453718948, -0.6675901189970128, -1.283508667701068, 25.88372612008237, -1.0081830070027227, 0.5901594548603715]|886.1748415099104932|      0.50000000|[65, 0, 5, 20]                                                             |  | used linear model with 13 points | iterate failure | actual_k=0
       6|[10.56783515444617, 2.8711012034027537, 0.8498066305068606, 40.51146357694085, -0.6170067670574666, -1.3787152978971013, 25.837692046093174, -0.8550693666131508, 0.8566657246702714]|875.9754010615421294|      1.00000000|[78, 0, 6, 24]                                                             |  | used linear model with 13 points | iterate success | actual_k=0
       7|[10.56783515444617, 2.8711012034027537, 0.8498066305068606, 40.51146357694085, -0.6170067670574666, -1.3787152978971013, 25.837692046093174, -0.8550693666131508, 0.8566657246702714]|875.9754010615421294|      0.50000000|[91, 0, 7, 28]                                                             |  | used linear model with 13 points | iterate failure | actual_k=0
       8|[10.661489355786205, 3.012293083783427, 0.7335023591350892, 40.685814894539185, -0.4546869750506535, -1.3687245228601321, 26.106328643689423, -0.7641875589621102, 1.1221765963974994]|858.4219364433723740|      1.00000000|[104, 0, 8, 32]                                                            |  | used linear model with 13 points | iterate success | actual_k=0
       9|[10.661489355786205, 3.012293083783427, 0.7335023591350892, 40.685814894539185, -0.4546869750506535, -1.3687245228601321, 26.106328643689423, -0.7641875589621102, 1.1221765963974994]|858.4219364433723740|      0.50000000|[117, 0, 9, 36]                                                            |  | used linear model with 13 points | iterate failure | actual_k=0
      10|[10.661489355786205, 3.012293083783427, 0.7335023591350892, 40.685814894539185, -0.4546869750506535, -1.3687245228601321, 26.106328643689423, -0.7641875589621102, 1.1221765963974994]|858.4219364433723740|      0.25000000|[130, 0, 10, 40]                                                           |  | used linear model with 13 points | iterate failure | actual_k=0
      11|[10.61104778497748, 3.024771799202481, 0.6435832645666808, 40.64785449694123, -0.6541231666635606, -1.3949545445963305, 26.20452024116793, -0.7543777389533591, 1.1136405965899696]|847.2878622500131769|      0.50000000|[143, 0, 11, 44]                                                           |  | used linear model with 13 points | iterate success | actual_k=0
      12|[10.61104778497748, 3.024771799202481, 0.6435832645666808, 40.64785449694123, -0.6541231666635606, -1.3949545445963305, 26.20452024116793, -0.7543777389533591, 1.1136405965899696]|847.2878622500131769|      0.25000000|[156, 0, 12, 48]                                                           |  | used linear model with 13 points | iterate failure | actual_k=0
      13|[10.621584616241158, 3.038749026835993, 0.5189432769333174, 40.63932321970395, -0.7352578578367645, -1.3017097335028205, 26.126263597443092, -0.622095780991184, 1.2013084441113884]|844.1921524896362143|      0.50000000|[169, 0, 13, 52]                                                           |  | used linear model with 13 points | iterate success | actual_k=0
      14|[10.621584616241158, 3.038749026835993, 0.5189432769333174, 40.63932321970395, -0.7352578578367645, -1.3017097335028205, 26.126263597443092, -0.622095780991184, 1.2013084441113884]|844.1921524896362143|      0.25000000|[182, 0, 14, 56]                                                           |  | used linear model with 13 points | iterate failure | actual_k=0
      15|[10.6334026794982, 3.1060149069557177, 0.5720169734965915, 40.757163808915585, -0.7733809959547486, -1.2987824932852141, 26.31381610257843, -0.5661430982662021, 1.2382384554574073]|837.5902204940188085|      0.50000000|[195, 0, 15, 60]                                                           |  | used linear model with 13 points | iterate success | actual_k=0
      16|[10.512699302248237, 2.948754727996996, 0.4093112371878145, 41.05880850314851, -0.8599908375335807, -1.2939365000086231, 26.423932299046907, -0.4108323940972202, 1.4606468923125988]|835.2324458810010128|      1.00000000|[208, 0, 16, 64]                                                           |  | used linear model with 13 points | iterate success | actual_k=0
      17|[10.512699302248237, 2.948754727996996, 0.4093112371878145, 41.05880850314851, -0.8599908375335807, -1.2939365000086231, 26.423932299046907, -0.4108323940972202, 1.4606468923125988]|835.2324458810010128|      0.50000000|[221, 0, 17, 68]                                                           |  | used linear model with 13 points | iterate failure | actual_k=0
      18|[10.512699302248237, 2.948754727996996, 0.4093112371878145, 41.05880850314851, -0.8599908375335807, -1.2939365000086231, 26.423932299046907, -0.4108323940972202, 1.4606468923125988]|835.2324458810010128|      0.25000000|[234, 0, 18, 72]                                                           |  | used linear model with 13 points | iterate failure | actual_k=0
      19|[10.679774852027656, 2.9560788151778143, 0.4702779657574684, 41.06459238393598, -0.834910592887347, -1.178650797722908, 26.478361145910842, -0.4803119714787273, 1.3653998436635884]|833.7317041977913732|      0.50000000|[247, 0, 19, 76]                                                           |  | used linear model with 13 points | iterate success | actual_k=0
