k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]|110181.7759999999834690|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[-0.8698099473344578, -1.0619137701176768, -0.6472882333178676, -1.1194900238399648, -0.8812685674115575, -0.8729308191909559, -0.900526864382746, -1.0978650813702817, -0.9102169115502586, -1.1738666797497948, -0.9597255592513484, -0.9626663995338757, -1.0902165295508806, -0.9423412150862075, -0.8478190628402164, -0.9953759975715096, -1.0899300620114727, -0.9832115850939483, -1.0419426506636218, -0.9371092605340378, -0.8866738899851339, -1.0345018217211057, -0.8527206202083641, -1.1085477985439567, -0.9320111266077479, -0.8288647529225807, -0.868394823376236, -0.9444980728440985, -0.9539790712494817, -0.6831185215761386, -0.9949095664345811, -1.0404185696654547, -0.9944218330996177, -0.4935635059839547, -1.1583105320533404, -0.9025464870090963, -0.8907782883474096, -0.9511875528095447, -1.1049738697743305, -0.9253367556341774, -0.9653940937640603, -1.1567933180307304, -1.0889187197675156, -1.1463282833945028, -0.8341535493051165, -0.8410568402182549, -0.7518128018873725, -1.0272728367217523, -1.0028811255000745, -0.949175637853322]|63035.9257812500000000|      2.00000000|[118, 8, 0, 2]                                                             |  | trying linear partial model with 61 points | iterate success | actual_k=4
       2|[-0.9777671741806889, -0.9434901450534764, -0.4056775993182336, -1.084609922089546, -0.4579675105661233, -0.9147689916053067, -0.3157933222607577, -0.7314078683346779, -0.9878608722465853, -0.9535631433003652, -0.6495593902000295, -0.726070455578403, -1.0565233231760853, -0.6119067241016776, -0.9438925220106787, -0.4264353541233001, -0.9616672642488597, -1.0404324570174652, -1.1285959877089928, -0.360446674263079, -0.7842892478135027, -1.094741204350022, -0.8189853297016287, -0.8066149118413031, -0.6754759819340326, -0.7573089156270308, -1.0221155147468366, -0.9238573161147259, -1.0326773619678637, -0.2064512767379095, -0.8544465025191369, -0.9796004738753458, -1.0460364481247093, -0.1697335082925043, -0.6237416292376281, -0.3386320082290915, -0.7646304601583558, -0.874654080940763, -0.8212579239527836, -0.9974149279328248, -0.3123450658164295, -1.004886786438451, -1.543348967789039, -0.9435418889951749, -0.6693418408415033, -0.6790172812829323, -0.6935740505782573, -0.6654472147625095, -0.8448017143948994, -0.7023072033069772]|29866.4882812500000000|      4.00000000|[236, 16, 0, 4]                                                            |  | trying linear partial model with 61 points | iterate success | actual_k=4
       3|[-0.9777671741806889, -0.9434901450534764, -0.4056775993182336, -1.084609922089546, -0.4579675105661233, -0.9147689916053067, -0.3157933222607577, -0.7314078683346779, -0.9878608722465853, -0.9535631433003652, -0.6495593902000295, -0.726070455578403, -1.0565233231760853, -0.6119067241016776, -0.9438925220106787, -0.4264353541233001, -0.9616672642488597, -1.0404324570174652, -1.1285959877089928, -0.360446674263079, -0.7842892478135027, -1.094741204350022, -0.8189853297016287, -0.8066149118413031, -0.6754759819340326, -0.7573089156270308, -1.0221155147468366, -0.9238573161147259, -1.0326773619678637, -0.2064512767379095, -0.8544465025191369, -0.9796004738753458, -1.0460364481247093, -0.1697335082925043, -0.6237416292376281, -0.3386320082290915, -0.7646304601583558, -0.874654080940763, -0.8212579239527836, -0.9974149279328248, -0.3123450658164295, -1.004886786438451, -1.543348967789039, -0.9435418889951749, -0.6693418408415033, -0.6790172812829323, -0.6935740505782573, -0.6654472147625095, -0.8448017143948994, -0.7023072033069772]|29866.4882812500000000|      2.00000000|[410, 28, 0, 7]                                                            |  | trying linear partial model with 61 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 118 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
       4|[-0.6258329764792847, -0.7790553409689753, -0.0844612003202241, -0.7366003595239397, -0.0743326945671927, -0.9381038976862208, -0.1628559829298889, -0.7116502515840631, -1.0422321001094537, -0.7364607323153983, -0.730434264953019, -0.7213879571934365, -0.8430995908830042, -0.4274045620584941, -0.9876088038839631, -0.1899183180598842, -0.5982822964685699, -1.0001506434077174, -0.805031021406498, -0.1743142311295853, -0.6524086963743528, -1.4854997115243531, -0.7526023573767029, -0.8931578804977685, -0.5196756664516182, -0.2641927888961257, -1.081712804495372, -0.4740050982855414, -0.9592327920668524, 0.1517598616074508, -0.6376057134708278, -0.9486852600707152, -0.4924443504350827, 0.0107944136759622, -0.3936926184824161, 0.0112538787811626, -0.4405245138625025, -0.6619599180472171, -0.9220904628422537, -1.162253270483053, -0.3208585535901597, -0.8491345780649542, -0.5822110405502243, -0.811038582442297, -0.3286534470403484, -0.2783751729478594, -0.8262403790651147, -0.5615095066987867, -0.4623538421717436, -0.5284151009972797]|13877.8642578125000000|      4.00000000|[527, 36, 0, 9]                                                            |  | trying linear partial model with 61 points | iterate success | actual_k=4
       5|[-0.6258329764792847, -0.7790553409689753, -0.0844612003202241, -0.7366003595239397, -0.0743326945671927, -0.9381038976862208, -0.1628559829298889, -0.7116502515840631, -1.0422321001094537, -0.7364607323153983, -0.730434264953019, -0.7213879571934365, -0.8430995908830042, -0.4274045620584941, -0.9876088038839631, -0.1899183180598842, -0.5982822964685699, -1.0001506434077174, -0.805031021406498, -0.1743142311295853, -0.6524086963743528, -1.4854997115243531, -0.7526023573767029, -0.8931578804977685, -0.5196756664516182, -0.2641927888961257, -1.081712804495372, -0.4740050982855414, -0.9592327920668524, 0.1517598616074508, -0.6376057134708278, -0.9486852600707152, -0.4924443504350827, 0.0107944136759622, -0.3936926184824161, 0.0112538787811626, -0.4405245138625025, -0.6619599180472171, -0.9220904628422537, -1.162253270483053, -0.3208585535901597, -0.8491345780649542, -0.5822110405502243, -0.811038582442297, -0.3286534470403484, -0.2783751729478594, -0.8262403790651147, -0.5615095066987867, -0.4623538421717436, -0.5284151009972797]|13877.8642578125000000|      2.00000000|[701, 48, 0, 12]                                                           |  | trying linear partial model with 61 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 118 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
       6|[-0.9092063893791995, -0.8745582172258802, -0.0289287027382544, -0.5145451351798881, 0.1398050050596255, -0.9068706537014728, -0.3344832287299243, -0.7045019810107052, -1.3016417811432652, -0.7073247173954289, -0.5367899694182291, -0.7726783039775463, -1.2520062597043793, 0.0285597223541774, -0.4446013582878341, -0.2829268329641647, -0.6024984280959674, -1.2719546737402814, -0.6147005065053045, -0.2805532781090185, -0.5731409978702267, -1.2935397480630837, -0.6903328683317597, -1.0242416650172617, -0.8131927402142878, -0.262087246135201, -0.7841592927661734, -0.5748645286405304, -0.5573979626964158, -0.3413693943355455, -0.2489953382374649, -0.5968611083842645, -0.6175801187721395, -0.4079876074280598, -0.3074243642804148, 0.0047061301050082, -0.5334210289028918, -0.7707720980551573, -0.3028201273359183, -0.3673828137410627, -0.0839439683441509, -0.3511583621169778, -0.6067125425675844, -0.6801201932826116, 0.1027738061559419, -0.1431813924983969, -0.4247086167371544, -0.5199149908205837, -0.3815204181358978, -0.405965381995653]|9904.4687500000000000|      4.00000000|[818, 56, 0, 14]                                                           |  | trying linear partial model with 61 points | iterate success | actual_k=4
       7|[-0.9092063893791995, -0.8745582172258802, -0.0289287027382544, -0.5145451351798881, 0.1398050050596255, -0.9068706537014728, -0.3344832287299243, -0.7045019810107052, -1.3016417811432652, -0.7073247173954289, -0.5367899694182291, -0.7726783039775463, -1.2520062597043793, 0.0285597223541774, -0.4446013582878341, -0.2829268329641647, -0.6024984280959674, -1.2719546737402814, -0.6147005065053045, -0.2805532781090185, -0.5731409978702267, -1.2935397480630837, -0.6903328683317597, -1.0242416650172617, -0.8131927402142878, -0.262087246135201, -0.7841592927661734, -0.5748645286405304, -0.5573979626964158, -0.3413693943355455, -0.2489953382374649, -0.5968611083842645, -0.6175801187721395, -0.4079876074280598, -0.3074243642804148, 0.0047061301050082, -0.5334210289028918, -0.7707720980551573, -0.3028201273359183, -0.3673828137410627, -0.0839439683441509, -0.3511583621169778, -0.6067125425675844, -0.6801201932826116, 0.1027738061559419, -0.1431813924983969, -0.4247086167371544, -0.5199149908205837, -0.3815204181358978, -0.405965381995653]|9904.4687500000000000|      2.00000000|[992, 68, 0, 17]                                                           |  | trying linear partial model with 61 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 118 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
       8|[-0.9092063893791995, -0.8745582172258802, -0.0289287027382544, -0.5145451351798881, 0.1398050050596255, -0.9068706537014728, -0.3344832287299243, -0.7045019810107052, -1.3016417811432652, -0.7073247173954289, -0.5367899694182291, -0.7726783039775463, -1.2520062597043793, 0.0285597223541774, -0.4446013582878341, -0.2829268329641647, -0.6024984280959674, -1.2719546737402814, -0.6147005065053045, -0.2805532781090185, -0.5731409978702267, -1.2935397480630837, -0.6903328683317597, -1.0242416650172617, -0.8131927402142878, -0.262087246135201, -0.7841592927661734, -0.5748645286405304, -0.5573979626964158, -0.3413693943355455, -0.2489953382374649, -0.5968611083842645, -0.6175801187721395, -0.4079876074280598, -0.3074243642804148, 0.0047061301050082, -0.5334210289028918, -0.7707720980551573, -0.3028201273359183, -0.3673828137410627, -0.0839439683441509, -0.3511583621169778, -0.6067125425675844, -0.6801201932826116, 0.1027738061559419, -0.1431813924983969, -0.4247086167371544, -0.5199149908205837, -0.3815204181358978, -0.405965381995653]|9904.4687500000000000|      1.00000000|[1167, 80, 0, 20]                                                          |  | trying linear partial model with 61 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 119 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
       9|[-0.834323161435618, -0.6232924620412377, -0.0145744658151619, -0.4070791383187831, 0.3175679132689297, -0.917153465341305, -0.1689871540059154, -0.5443613556776455, -1.1463910782886715, -0.475593211805288, -0.6481909085712454, -0.5923228132006791, -1.0075843742998625, 0.0834226164064885, -0.4175096622796738, -0.326883933521256, -0.4386932035727782, -1.0818900107117033, -0.697633967886373, -0.3871008506378915, -0.252854386262198, -1.3009997159879965, -0.6718141991960138, -0.8548235339654469, -0.7604517268278805, -0.1747630126716021, -0.676482508989437, -0.446971396937016, -0.5036043473860439, -0.1052376300367144, -0.1894633314295686, -0.667249009933561, -0.7645941063475294, -0.0157330507385988, -0.2115527142875873, 0.060163567009606, -0.5986387959385253, -0.621091740846286, -0.294185103839363, -0.1803856399179433, -0.0444468886274503, -0.3711357682795797, -0.6463143094198434, -0.6982724254368788, 0.2501871128026183, -0.3028165148833767, -0.5043806110985716, -0.6375370634302908, -0.396452557863588, -0.320499199112753]|5607.1928710937500000|      2.00000000|[1284, 88, 0, 22]                                                          |  | trying linear partial model with 61 points | iterate success | actual_k=4
      10|[-0.834323161435618, -0.6232924620412377, -0.0145744658151619, -0.4070791383187831, 0.3175679132689297, -0.917153465341305, -0.1689871540059154, -0.5443613556776455, -1.1463910782886715, -0.475593211805288, -0.6481909085712454, -0.5923228132006791, -1.0075843742998625, 0.0834226164064885, -0.4175096622796738, -0.326883933521256, -0.4386932035727782, -1.0818900107117033, -0.697633967886373, -0.3871008506378915, -0.252854386262198, -1.3009997159879965, -0.6718141991960138, -0.8548235339654469, -0.7604517268278805, -0.1747630126716021, -0.676482508989437, -0.446971396937016, -0.5036043473860439, -0.1052376300367144, -0.1894633314295686, -0.667249009933561, -0.7645941063475294, -0.0157330507385988, -0.2115527142875873, 0.060163567009606, -0.5986387959385253, -0.621091740846286, -0.294185103839363, -0.1803856399179433, -0.0444468886274503, -0.3711357682795797, -0.6463143094198434, -0.6982724254368788, 0.2501871128026183, -0.3028165148833767, -0.5043806110985716, -0.6375370634302908, -0.396452557863588, -0.320499199112753]|5607.1928710937500000|      1.00000000|[1458, 100, 0, 25]                                                         |  | trying linear partial model with 61 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 118 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
