k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]|152873.0723805730231106|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[-0.7602682263476441, -0.9944379961891616, -0.9407790467965137, -1.042923452411544, -1.1406882484661591, -0.894354014218137, -0.9085628077227031, -0.894832360060129, -0.9525039938969618, -1.1018994452282467, -1.009781226770207, -0.9320415153670916, -1.0930249071433036, -0.9021719806138647, -0.8043123086343199, -0.835575565777408, -0.8596855929817153, -0.8795132362504139, -0.9916571564810123, -0.750025564534196, -0.9428802713804503, -0.8746296566176108, -0.8472991532967018, -1.0078724247467838, -0.9833116086767117, -0.8271045666583019, -0.8093904867935666, -1.117786230915756, -0.8303564636039866, -0.9967437519501047, -0.9272231937020581, -0.9728739245338219, -0.6161801816987076, -0.8025754122689794, -1.0605171817195052, -0.984752531478911, -0.9085108476293452, -0.8556203372068851, -0.7722771987560053, -0.9131903065979533, -1.1188785185846304, -1.027708698250748, -1.1337826388734942, -1.0429244673373796, -0.718276368723941, -0.664291984459279, -0.8956703947357965, -1.117740789939869, -0.9640602495536945, -1.000321944356741]|90559.7578125000000000|      2.00000000|[95, 32, 0, 2]                                                             |  | trying linear partial model with 49 points | iterate success | actual_k=16
       2|[-0.7602682263476441, -0.9944379961891616, -0.9407790467965137, -1.042923452411544, -1.1406882484661591, -0.894354014218137, -0.9085628077227031, -0.894832360060129, -0.9525039938969618, -1.1018994452282467, -1.009781226770207, -0.9320415153670916, -1.0930249071433036, -0.9021719806138647, -0.8043123086343199, -0.835575565777408, -0.8596855929817153, -0.8795132362504139, -0.9916571564810123, -0.750025564534196, -0.9428802713804503, -0.8746296566176108, -0.8472991532967018, -1.0078724247467838, -0.9833116086767117, -0.8271045666583019, -0.8093904867935666, -1.117786230915756, -0.8303564636039866, -0.9967437519501047, -0.9272231937020581, -0.9728739245338219, -0.6161801816987076, -0.8025754122689794, -1.0605171817195052, -0.984752531478911, -0.9085108476293452, -0.8556203372068851, -0.7722771987560053, -0.9131903065979533, -1.1188785185846304, -1.027708698250748, -1.1337826388734942, -1.0429244673373796, -0.718276368723941, -0.664291984459279, -0.8956703947357965, -1.117740789939869, -0.9640602495536945, -1.000321944356741]|90559.7578125000000000|      1.00000000|[238, 80, 0, 5]                                                            |  | trying linear partial model with 49 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 96 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=16
       3|[-0.6355285645011259, -0.7094218152930643, -0.8932615884540368, -1.0224345166296318, -1.3766743523120946, -0.8536356752336078, -0.9311253675823408, -0.5401152592415859, -1.0316767720009932, -0.8707615857426594, -1.1834412504033205, -0.9707706352227957, -1.0293840497516888, -0.8754617753502526, -0.741490276451411, -0.9433452212918094, -0.978544663186285, -0.8626168649203699, -1.0195235278256034, -0.4692231937454088, -0.8954415726698852, -0.8239806080863183, -0.8848006700228398, -0.9972842950785192, -0.9535720406795292, -0.7860021080177757, -0.6332086948227758, -1.0855389837645673, -0.9274377387367171, -1.033264863707712, -0.8957386055954135, -0.798226922351978, -0.6003059752295823, -0.71449064813486, -1.079816781412758, -1.0219485990166342, -0.9590363935520779, -0.6614991398636839, -0.7420554043186439, -0.5639392327632193, -1.065688788259368, -1.2836349545588295, -1.1738823928972708, -0.8363405845191398, -0.5340591239968753, -0.4979514355084802, -1.0103685228832069, -1.0110409362811983, -0.9612799895442317, -1.2374611789681593]|59343.4687500000000000|      2.00000000|[331, 112, 0, 7]                                                           |  | trying linear partial model with 49 points | iterate success | actual_k=16
       4|[-0.6355285645011259, -0.7094218152930643, -0.8932615884540368, -1.0224345166296318, -1.3766743523120946, -0.8536356752336078, -0.9311253675823408, -0.5401152592415859, -1.0316767720009932, -0.8707615857426594, -1.1834412504033205, -0.9707706352227957, -1.0293840497516888, -0.8754617753502526, -0.741490276451411, -0.9433452212918094, -0.978544663186285, -0.8626168649203699, -1.0195235278256034, -0.4692231937454088, -0.8954415726698852, -0.8239806080863183, -0.8848006700228398, -0.9972842950785192, -0.9535720406795292, -0.7860021080177757, -0.6332086948227758, -1.0855389837645673, -0.9274377387367171, -1.033264863707712, -0.8957386055954135, -0.798226922351978, -0.6003059752295823, -0.71449064813486, -1.079816781412758, -1.0219485990166342, -0.9590363935520779, -0.6614991398636839, -0.7420554043186439, -0.5639392327632193, -1.065688788259368, -1.2836349545588295, -1.1738823928972708, -0.8363405845191398, -0.5340591239968753, -0.4979514355084802, -1.0103685228832069, -1.0110409362811983, -0.9612799895442317, -1.2374611789681593]|59343.4687500000000000|      1.00000000|[470, 160, 0, 10]                                                          |  | trying linear partial model with 49 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 94 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=16
       5|[-0.6106321166755798, -0.6044848010470811, -0.9187894990098652, -1.0480604154949051, -1.5285570588915534, -0.803875856376403, -0.908696897039463, -0.5223104681640443, -0.7963980692463699, -0.6165518589809504, -1.0367045413952982, -0.9377633308787976, -0.6827734648032516, -0.546620256500982, -0.7026894492485867, -0.8243171788716451, -1.0243943232473622, -0.9420980497671869, -1.120104422325333, -0.5129252435392884, -0.6623290690207372, -0.8129930233750795, -0.8677369649721246, -1.0840718461997723, -0.9934498703703472, -0.6363956584863, -0.8010496736691511, -0.9988364266866581, -1.0142557745753138, -1.209107458667761, -0.8361763905532048, -0.7962332991527513, -0.5859550489303607, -0.8238857151088629, -1.0848525859768592, -0.6136578109539328, -0.8692698035186787, -0.523125951143328, -0.7442031275004924, -0.5583676212729018, -1.1181516241781035, -1.2626721817024575, -1.347581370797974, -0.7239225110643925, -0.282978334157004, -0.3381632128069168, -0.852919606315673, -1.0956739526258916, -0.9399701519044907, -1.1085300268004155]|42017.2617187500000000|      2.00000000|[563, 192, 0, 12]                                                          |  | trying linear partial model with 49 points | iterate success | actual_k=16
       6|[-0.6106321166755798, -0.6044848010470811, -0.9187894990098652, -1.0480604154949051, -1.5285570588915534, -0.803875856376403, -0.908696897039463, -0.5223104681640443, -0.7963980692463699, -0.6165518589809504, -1.0367045413952982, -0.9377633308787976, -0.6827734648032516, -0.546620256500982, -0.7026894492485867, -0.8243171788716451, -1.0243943232473622, -0.9420980497671869, -1.120104422325333, -0.5129252435392884, -0.6623290690207372, -0.8129930233750795, -0.8677369649721246, -1.0840718461997723, -0.9934498703703472, -0.6363956584863, -0.8010496736691511, -0.9988364266866581, -1.0142557745753138, -1.209107458667761, -0.8361763905532048, -0.7962332991527513, -0.5859550489303607, -0.8238857151088629, -1.0848525859768592, -0.6136578109539328, -0.8692698035186787, -0.523125951143328, -0.7442031275004924, -0.5583676212729018, -1.1181516241781035, -1.2626721817024575, -1.347581370797974, -0.7239225110643925, -0.282978334157004, -0.3381632128069168, -0.852919606315673, -1.0956739526258916, -0.9399701519044907, -1.1085300268004155]|42017.2617187500000000|      1.00000000|[704, 240, 0, 15]                                                          |  | trying linear partial model with 49 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 95 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=16
       7|[-0.5862498510988596, -0.3954628348454717, -0.76680882075129, -0.8995837876536028, -1.516772608894908, -0.8162198178500227, -0.5346337135484505, -0.2653814016305405, -0.6475668384016908, -0.4838621467146347, -0.9929902878941396, -0.8857593844695517, -0.7335401204330376, -0.5133324032618889, -0.4375295519098185, -0.8822489988171025, -1.0277113572525332, -0.9948166896926015, -1.0060410710447651, -0.3386062757431719, -0.4881793857263642, -0.6305939404534433, -0.8607508314192511, -0.8976695126125407, -0.9129789408068961, -0.7442317647169372, -0.6587050102388853, -1.0086499940165097, -0.9666774248299576, -1.2096770547285522, -0.7603449625798606, -0.7819297458640394, -0.304191198863456, -0.535274825602678, -1.0263000566741636, -0.8414573055484323, -0.7681469949730251, -0.2608117047173416, -0.5094706261576941, -0.6335606395211935, -1.0920850954070773, -1.3015293550649687, -1.3276486998704249, -0.7211941386163467, -0.3744302780447616, -0.2207668509879849, -0.8502268373017582, -1.081500840370964, -1.026555147358986, -1.1419797122333382]|24690.9082031250000000|      2.00000000|[799, 272, 0, 17]                                                          |  | trying linear partial model with 49 points | iterate success | actual_k=16
       8|[-0.5862498510988596, -0.3954628348454717, -0.76680882075129, -0.8995837876536028, -1.516772608894908, -0.8162198178500227, -0.5346337135484505, -0.2653814016305405, -0.6475668384016908, -0.4838621467146347, -0.9929902878941396, -0.8857593844695517, -0.7335401204330376, -0.5133324032618889, -0.4375295519098185, -0.8822489988171025, -1.0277113572525332, -0.9948166896926015, -1.0060410710447651, -0.3386062757431719, -0.4881793857263642, -0.6305939404534433, -0.8607508314192511, -0.8976695126125407, -0.9129789408068961, -0.7442317647169372, -0.6587050102388853, -1.0086499940165097, -0.9666774248299576, -1.2096770547285522, -0.7603449625798606, -0.7819297458640394, -0.304191198863456, -0.535274825602678, -1.0263000566741636, -0.8414573055484323, -0.7681469949730251, -0.2608117047173416, -0.5094706261576941, -0.6335606395211935, -1.0920850954070773, -1.3015293550649687, -1.3276486998704249, -0.7211941386163467, -0.3744302780447616, -0.2207668509879849, -0.8502268373017582, -1.081500840370964, -1.026555147358986, -1.1419797122333382]|24690.9082031250000000|      1.00000000|[940, 320, 0, 20]                                                          |  | trying linear partial model with 49 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 96 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=16
       9|[-0.3745656793458386, -0.4318674095806659, -0.8016099424844803, -0.8618628274906726, -1.4806106414182787, -0.8645848060133112, -0.2789601272050594, 0.0113974957914323, -0.5845122433190391, -0.6130420871629025, -1.0118825193297591, -0.8696282755459429, -0.6845017412505239, -0.4890031389199485, -0.2993016541267211, -1.0600939234864963, -0.8632174089276822, -0.7692351271191916, -0.7866317336307769, -0.4891728796042231, -0.4535172215384251, -0.676031224265442, -0.8584864526802847, -0.9830320263858623, -0.8151115213647733, -0.4304232548561283, -0.4125527863045262, -0.8274033846036587, -0.879744253703791, -0.9945473239238787, -0.8339125243265344, -0.715197228593784, -0.4097547475625554, -0.3431409752068445, -0.9261015091995787, -0.7768613936897094, -0.7956574453187703, -0.225965135042579, -0.4973905611276806, -0.4014945083129809, -0.9039780232983535, -1.549989987627003, -1.4940241193021353, -0.6703413438729523, -0.2918061898553705, -0.1349761053721167, -0.7765099202166882, -1.20774918718685, -1.1251170988792218, -1.0187661030663173]|14987.4248046875000000|      2.00000000|[1034, 352, 0, 22]                                                         |  | trying linear partial model with 49 points | iterate success | actual_k=16
      10|[-0.3745656793458386, -0.4318674095806659, -0.8016099424844803, -0.8618628274906726, -1.4806106414182787, -0.8645848060133112, -0.2789601272050594, 0.0113974957914323, -0.5845122433190391, -0.6130420871629025, -1.0118825193297591, -0.8696282755459429, -0.6845017412505239, -0.4890031389199485, -0.2993016541267211, -1.0600939234864963, -0.8632174089276822, -0.7692351271191916, -0.7866317336307769, -0.4891728796042231, -0.4535172215384251, -0.676031224265442, -0.8584864526802847, -0.9830320263858623, -0.8151115213647733, -0.4304232548561283, -0.4125527863045262, -0.8274033846036587, -0.879744253703791, -0.9945473239238787, -0.8339125243265344, -0.715197228593784, -0.4097547475625554, -0.3431409752068445, -0.9261015091995787, -0.7768613936897094, -0.7956574453187703, -0.225965135042579, -0.4973905611276806, -0.4014945083129809, -0.9039780232983535, -1.549989987627003, -1.4940241193021353, -0.6703413438729523, -0.2918061898553705, -0.1349761053721167, -0.7765099202166882, -1.20774918718685, -1.1251170988792218, -1.0187661030663173]|14987.4248046875000000|      1.00000000|[1172, 400, 0, 25]                                                         |  | trying linear partial model with 49 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 94 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=16
