k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[100.0, 0.0, 0.0]                                                               |85962.4290304600144736|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[100.0, 0.0, 0.0]                                                               |85962.4290304600144736|      0.50000000|[5, 0, 1, 2]                                                               |  | used linear model with 5 points | iterate failure | actual_k=0
       2|[100.0, 0.0, 0.0]                                                               |85962.4290304600144736|      0.25000000|[10, 0, 2, 4]                                                              |  | used linear model with 5 points | iterate failure | actual_k=0
       3|[100.17752896614098, 0.1372956069205047, -0.110151634128792]                    |35766.6085192361933878|      0.50000000|[15, 0, 3, 6]                                                              |  | used linear model with 5 points | iterate success | actual_k=0
       4|[100.17752896614098, 0.1372956069205047, -0.110151634128792]                    |35766.6085192361933878|      0.25000000|[20, 0, 4, 8]                                                              |  | used linear model with 5 points | iterate failure | actual_k=0
       5|[100.17752896614098, 0.1372956069205047, -0.110151634128792]                    |35766.6085192361933878|      0.12500000|[25, 0, 5, 10]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
       6|[100.159677665124, 0.0725618878867859, -0.2155834920848408]                     |5229.7432677142269313|      0.25000000|[30, 0, 6, 12]                                                             |  | used linear model with 5 points | iterate success | actual_k=0
       7|[100.159677665124, 0.0725618878867859, -0.2155834920848408]                     |5229.7432677142269313|      0.12500000|[35, 0, 7, 14]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
       8|[100.19987487858369, 0.0320433106408604, -0.3267924347470273]                   |2152.0264821750342890|      0.25000000|[40, 0, 8, 16]                                                             |  | used linear model with 5 points | iterate success | actual_k=0
       9|[100.19987487858369, 0.0320433106408604, -0.3267924347470273]                   |2152.0264821750342890|      0.12500000|[45, 0, 9, 18]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
      10|[100.19987487858369, 0.0320433106408604, -0.3267924347470273]                   |2152.0264821750342890|      0.06250000|[50, 0, 10, 20]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
      11|[100.19987487858369, 0.0320433106408604, -0.3267924347470273]                   |2152.0264821750342890|      0.03125000|[55, 0, 11, 22]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
      12|[100.20567638674966, 0.0118407893059681, -0.3499173809029299]                   |2130.5548353531703469|      0.06250000|[60, 0, 12, 24]                                                            |  | used linear model with 5 points | iterate success | actual_k=0
      13|[100.19104813189583, -0.0234234322357609, -0.3004330516765248]                  |2099.3914798997811886|      0.12500000|[65, 0, 13, 26]                                                            |  | used linear model with 5 points | iterate success | actual_k=0
      14|[100.19104813189583, -0.0234234322357609, -0.3004330516765248]                  |2099.3914798997811886|      0.06250000|[70, 0, 14, 28]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
      15|[100.1625701233953, -0.0723446569172632, -0.2739383954699204]                   |2059.4894877507267665|      0.12500000|[75, 0, 15, 30]                                                            |  | used linear model with 5 points | iterate success | actual_k=0
