k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[5.0, 2.5, 0.15]                                                                | 12.1107057543610033|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[5.0, 2.5, 0.15]                                                                | 12.1107057543610033|      0.50000000|[7, 2, 0, 2]                                                               |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       2|[5.0, 2.5, 0.15]                                                                | 12.1107057543610033|      0.25000000|[13, 4, 1, 5]                                                              |  | trying linear partial model with 4 points FAILED TO GET X_HAT, using additional batch call | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       3|[4.9246721249893035, 2.5556539229915805, 0.3817937706281602]                    |  6.6739606857299805|      0.50000000|[20, 6, 1, 7]                                                              |  | trying linear partial model with 4 points | iterate success | actual_k=1
       4|[4.9246721249893035, 2.5556539229915805, 0.3817937706281602]                    |  6.6739606857299805|      0.25000000|[26, 8, 1, 9]                                                              |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       5|[4.9246721249893035, 2.5556539229915805, 0.3817937706281602]                    |  6.6739606857299805|      0.12500000|[32, 10, 1, 11]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       6|[4.9246721249893035, 2.5556539229915805, 0.3817937706281602]                    |  6.6739606857299805|      0.06250000|[38, 12, 1, 13]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       7|[4.9246721249893035, 2.5556539229915805, 0.3817937706281602]                    |  6.6739606857299805|      0.03125000|[44, 14, 1, 15]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       8|[4.9246721249893035, 2.5556539229915805, 0.3817937706281602]                    |  6.6739606857299805|      0.01562500|[50, 16, 1, 17]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       9|[4.926378124925002, 2.5572315443126197, 0.3663425150097064]                     |  6.6321420669555664|      0.03125000|[56, 18, 1, 19]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      10|[4.926378124925002, 2.5572315443126197, 0.3663425150097064]                     |  6.6321420669555664|      0.01562500|[62, 20, 1, 21]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      11|[4.926378124925002, 2.5572315443126197, 0.3663425150097064]                     |  6.6321420669555664|      0.00781250|[68, 22, 1, 23]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      12|[4.926378124925002, 2.5572315443126197, 0.3663425150097064]                     |  6.6321420669555664|      0.00390625|[74, 24, 1, 25]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      13|[4.926378124925002, 2.5572315443126197, 0.3663425150097064]                     |  6.6321420669555664|      0.00195312|[80, 26, 1, 27]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      14|[4.927538151791718, 2.5577409038317476, 0.3648560467744609]                     |  6.6319890022277832|      0.00390625|[86, 28, 1, 29]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      15|[4.9284949957881174, 2.5605736623186326, 0.3673697528002391]                    |  6.6317601203918457|      0.00781250|[92, 30, 1, 31]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
