k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[10.0, -1.0, 0.05, -1e-05, -0.05, 0.001, -1e-06]                                |3097556.5274337744340301|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[10.28498624377432, -0.9679843671679685, -0.4381676751413981, 0.7510560848889352, -0.3720941385502041, -0.1060634767735865, -0.0119456658878138]|1281359.2500000000000000|      2.00000000|[29, 2, 0, 2]                                                              |  | trying quadratic partial model with 16 points | iterate success | actual_k=1
       2|[10.28498624377432, -0.9679843671679685, -0.4381676751413981, 0.7510560848889352, -0.3720941385502041, -0.1060634767735865, -0.0119456658878138]|1281359.2500000000000000|      1.00000000|[70, 5, 0, 5]                                                              |  | trying quadratic partial model with 16 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 29 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       3|[9.702706005049352, -1.0928848448073243, -0.4224972718566259, 0.6182197590611871, -0.1000157356532792, 0.3922385471973177, 0.5404373342677781]|48180.0585937500000000|      2.00000000|[98, 7, 0, 7]                                                              |  | trying quadratic partial model with 16 points | iterate success | actual_k=1
       4|[9.702706005049352, -1.0928848448073243, -0.4224972718566259, 0.6182197590611871, -0.1000157356532792, 0.3922385471973177, 0.5404373342677781]|48180.0585937500000000|      1.00000000|[140, 10, 0, 10]                                                           |  | trying quadratic partial model with 16 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 30 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       5|[9.10613761616084, -1.1068532921698186, -0.7367324510501859, 1.0009733915859473, 0.4541265566745786, 0.5187875857685236, 0.2655216935816423]|33705.2343750000000000|      2.00000000|[168, 12, 0, 12]                                                           |  | trying quadratic partial model with 16 points | iterate success | actual_k=1
       6|[9.10613761616084, -1.1068532921698186, -0.7367324510501859, 1.0009733915859473, 0.4541265566745786, 0.5187875857685236, 0.2655216935816423]|33705.2343750000000000|      1.00000000|[209, 15, 0, 15]                                                           |  | trying quadratic partial model with 16 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 29 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       7|[9.10613761616084, -1.1068532921698186, -0.7367324510501859, 1.0009733915859473, 0.4541265566745786, 0.5187875857685236, 0.2655216935816423]|33705.2343750000000000|      0.50000000|[250, 18, 0, 18]                                                           |  | trying quadratic partial model with 16 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 29 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       8|[9.10613761616084, -1.1068532921698186, -0.7367324510501859, 1.0009733915859473, 0.4541265566745786, 0.5187875857685236, 0.2655216935816423]|33705.2343750000000000|      0.25000000|[292, 21, 0, 21]                                                           |  | trying quadratic partial model with 16 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 30 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       9|[9.10613761616084, -1.1068532921698186, -0.7367324510501859, 1.0009733915859473, 0.4541265566745786, 0.5187875857685236, 0.2655216935816423]|33705.2343750000000000|      0.12500000|[333, 24, 0, 24]                                                           |  | trying quadratic partial model with 16 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 29 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      10|[9.10409735897282, -1.1071042377412204, -0.7307460293638529, 1.0403100520866249, 0.4461487608915727, 0.5254899767010272, 0.14750052173859]|20004.7500000000000000|      0.25000000|[361, 26, 0, 26]                                                           |  | trying quadratic partial model with 16 points | iterate success | actual_k=1
