k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[-5.0, -7.0]                                                                    |700.8468104237188072|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[-4.996963258526294, -6.000004610910019]                                        |601.4000532101739509|      2.00000000|[7, 2, 1, 3]                                                               |  | trying linear partial model with 4 points FAILED TO GET X_HAT, using additional batch call | iterate success | actual_k=1
       2|[-3.4561122858447892, -4.724944502528277]                                       |473.1832580566406250|      4.00000000|[14, 4, 1, 5]                                                              |  | trying linear partial model with 4 points | iterate success | actual_k=1
       3|[0.3193571333166485, -3.4036456472435255]                                       |407.1608581542968750|      8.00000000|[20, 6, 1, 7]                                                              |  | trying linear partial model with 4 points | iterate success | actual_k=1
       4|[0.3193571333166485, -3.4036456472435255]                                       |407.1608581542968750|      4.00000000|[26, 8, 2, 10]                                                             |  | trying linear partial model with 4 points FAILED TO GET X_HAT, using additional batch call | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       5|[1.6635330486469597, 0.3637395346360655]                                        |310.0657348632812500|      8.00000000|[33, 10, 2, 12]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
       6|[1.6635330486469597, 0.3637395346360655]                                        |310.0657348632812500|      4.00000000|[39, 12, 2, 14]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       7|[-1.7775824834231535, -1.6755554158176014]                                      |192.5287726996641595|      8.00000000|[45, 14, 3, 17]                                                            |  | trying linear partial model with 4 points FAILED TO GET X_HAT, using additional batch call | iterate success | actual_k=1
       8|[-1.7775824834231535, -1.6755554158176014]                                      |192.5287726996641595|      4.00000000|[52, 16, 3, 19]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       9|[-1.7775824834231535, -1.6755554158176014]                                      |192.5287726996641595|      2.00000000|[58, 18, 3, 21]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
