k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.0, -1.0, 0.0]                                                                | 25.2430323198307036|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1.3783564714447705, -0.780347451850428, -0.8992214068889055]                   |  8.2018195201852766|      2.00000000|[5, 0, 1, 2]                                                               |  | used linear model with 5 points | iterate success | actual_k=0
       2|[1.3783564714447705, -0.780347451850428, -0.8992214068889055]                   |  8.2018195201852766|      1.00000000|[10, 0, 2, 4]                                                              |  | used linear model with 5 points | iterate failure | actual_k=0
       3|[1.8366741855604278, -0.0169498431574709, -1.3543795815597264]                  |  2.5630463927688969|      2.00000000|[15, 0, 3, 6]                                                              |  | used linear model with 5 points | iterate success | actual_k=0
       4|[1.8366741855604278, -0.0169498431574709, -1.3543795815597264]                  |  2.5630463927688969|      1.00000000|[20, 0, 4, 8]                                                              |  | used linear model with 5 points | iterate failure | actual_k=0
       5|[1.8366741855604278, -0.0169498431574709, -1.3543795815597264]                  |  2.5630463927688969|      0.50000000|[25, 0, 5, 10]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
       6|[1.8366741855604278, -0.0169498431574709, -1.3543795815597264]                  |  2.5630463927688969|      0.25000000|[30, 0, 6, 12]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
       7|[1.7095355132729386, -0.2203002095920001, -1.4249797690943014]                  |  1.6362166045807383|      0.50000000|[35, 0, 7, 14]                                                             |  | used linear model with 5 points | iterate success | actual_k=0
       8|[1.7095355132729386, -0.2203002095920001, -1.4249797690943014]                  |  1.6362166045807383|      0.25000000|[40, 0, 8, 16]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
       9|[1.7095355132729386, -0.2203002095920001, -1.4249797690943014]                  |  1.6362166045807383|      0.12500000|[45, 0, 9, 18]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
      10|[1.8329463929117331, -0.2280577395202876, -1.4432711746223268]                  |  1.4962835049074723|      0.25000000|[50, 0, 10, 20]                                                            |  | used linear model with 5 points | iterate success | actual_k=0
      11|[1.892295458321545, -0.4562509170831168, -1.3601714625364176]                   |  1.2436473835131050|      0.50000000|[55, 0, 11, 22]                                                            |  | used linear model with 5 points | iterate success | actual_k=0
      12|[1.892295458321545, -0.4562509170831168, -1.3601714625364176]                   |  1.2436473835131050|      0.25000000|[60, 0, 12, 24]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
      13|[2.108349820457767, -0.576419925278211, -1.323024160194018]                     |  0.8192026645311641|      0.50000000|[65, 0, 13, 26]                                                            |  | used linear model with 5 points | iterate success | actual_k=0
      14|[2.108349820457767, -0.576419925278211, -1.323024160194018]                     |  0.8192026645311641|      0.25000000|[70, 0, 14, 28]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
      15|[2.108349820457767, -0.576419925278211, -1.323024160194018]                     |  0.8192026645311641|      0.12500000|[75, 0, 15, 30]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
