k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]| 27.0000000000000000|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.8076057152404653, 0.9395568665593008, 0.9540370128699587, 0.8875951305994424, 0.8714039327784135, 0.9341998233189379, 0.8848455752382733, 1.1022380648236978, 0.9929468010825176, 0.9116628950727883, 1.049068793764946, 0.9766266809793149, 1.911941175435627, 0.9679570385795299, 1.059289751041574, 0.9924042517079739, 0.9947658524341764, 0.983700207194909, 1.0601294775993784, 1.0577623484005738, 1.0885616524437298, 1.0066886028954105, 1.0328914946954368, 0.8726707332210866, 0.856708189813209]|  4.0052228847334819|      2.00000000|[65, 0, 1, 2]                                                              |  | used linear model with 65 points | iterate success | actual_k=0
       2|[0.8076057152404653, 0.9395568665593008, 0.9540370128699587, 0.8875951305994424, 0.8714039327784135, 0.9341998233189379, 0.8848455752382733, 1.1022380648236978, 0.9929468010825176, 0.9116628950727883, 1.049068793764946, 0.9766266809793149, 1.911941175435627, 0.9679570385795299, 1.059289751041574, 0.9924042517079739, 0.9947658524341764, 0.983700207194909, 1.0601294775993784, 1.0577623484005738, 1.0885616524437298, 1.0066886028954105, 1.0328914946954368, 0.8726707332210866, 0.856708189813209]|  4.0052228847334819|      1.00000000|[130, 0, 2, 4]                                                             |  | used linear model with 65 points | iterate failure | actual_k=0
       3|[0.8076057152404653, 0.9395568665593008, 0.9540370128699587, 0.8875951305994424, 0.8714039327784135, 0.9341998233189379, 0.8848455752382733, 1.1022380648236978, 0.9929468010825176, 0.9116628950727883, 1.049068793764946, 0.9766266809793149, 1.911941175435627, 0.9679570385795299, 1.059289751041574, 0.9924042517079739, 0.9947658524341764, 0.983700207194909, 1.0601294775993784, 1.0577623484005738, 1.0885616524437298, 1.0066886028954105, 1.0328914946954368, 0.8726707332210866, 0.856708189813209]|  4.0052228847334819|      0.50000000|[195, 0, 3, 6]                                                             |  | used linear model with 65 points | iterate failure | actual_k=0
       4|[0.8076057152404653, 0.9395568665593008, 0.9540370128699587, 0.8875951305994424, 0.8714039327784135, 0.9341998233189379, 0.8848455752382733, 1.1022380648236978, 0.9929468010825176, 0.9116628950727883, 1.049068793764946, 0.9766266809793149, 1.911941175435627, 0.9679570385795299, 1.059289751041574, 0.9924042517079739, 0.9947658524341764, 0.983700207194909, 1.0601294775993784, 1.0577623484005738, 1.0885616524437298, 1.0066886028954105, 1.0328914946954368, 0.8726707332210866, 0.856708189813209]|  4.0052228847334819|      0.25000000|[260, 0, 4, 8]                                                             |  | used linear model with 65 points | iterate failure | actual_k=0
       5|[0.8259560556230111, 0.8505260909988539, 0.9052787502568533, 0.9000079710169646, 0.9216410554665143, 0.9618490283233524, 0.8763384654746957, 1.086650273546269, 0.9275151352459651, 0.9403886595566597, 1.1172807075961608, 0.8351759432626963, 1.911783518196612, 0.9607804212952678, 1.089163841397597, 0.9836752768290214, 0.9471240366670023, 0.9423340254105458, 1.069497747465174, 0.9953441165393391, 1.0382558708695604, 0.9849316807777115, 1.03338657316313, 0.8580421505864593, 0.7784079430665635]|  3.1728909012127100|      0.50000000|[325, 0, 5, 10]                                                            |  | used linear model with 65 points | iterate success | actual_k=0
       6|[0.8259560556230111, 0.8505260909988539, 0.9052787502568533, 0.9000079710169646, 0.9216410554665143, 0.9618490283233524, 0.8763384654746957, 1.086650273546269, 0.9275151352459651, 0.9403886595566597, 1.1172807075961608, 0.8351759432626963, 1.911783518196612, 0.9607804212952678, 1.089163841397597, 0.9836752768290214, 0.9471240366670023, 0.9423340254105458, 1.069497747465174, 0.9953441165393391, 1.0382558708695604, 0.9849316807777115, 1.03338657316313, 0.8580421505864593, 0.7784079430665635]|  3.1728909012127100|      0.25000000|[390, 0, 6, 12]                                                            |  | used linear model with 65 points | iterate failure | actual_k=0
       7|[0.8726566916114853, 0.7716133220564371, 0.8517554350143751, 0.8819519636987548, 0.8998916180788036, 0.9208422593393177, 0.8937656013993286, 0.9811372591585545, 0.9619551052817295, 0.9672933282117973, 1.123451970426078, 0.7976343569741402, 1.820014310844414, 0.930258442721424, 1.0869846942850607, 0.9910215804488218, 0.9633595359495629, 0.9582134648974489, 0.9970008007112191, 0.9434073013454332, 0.9960143324040341, 0.9246392564096696, 1.013620614562456, 0.7968110397661123, 0.6977110478756013]|  2.8295372677617605|      0.50000000|[455, 0, 7, 14]                                                            |  | used linear model with 65 points | iterate success | actual_k=0
       8|[0.8726566916114853, 0.7716133220564371, 0.8517554350143751, 0.8819519636987548, 0.8998916180788036, 0.9208422593393177, 0.8937656013993286, 0.9811372591585545, 0.9619551052817295, 0.9672933282117973, 1.123451970426078, 0.7976343569741402, 1.820014310844414, 0.930258442721424, 1.0869846942850607, 0.9910215804488218, 0.9633595359495629, 0.9582134648974489, 0.9970008007112191, 0.9434073013454332, 0.9960143324040341, 0.9246392564096696, 1.013620614562456, 0.7968110397661123, 0.6977110478756013]|  2.8295372677617605|      0.25000000|[520, 0, 8, 16]                                                            |  | used linear model with 65 points | iterate failure | actual_k=0
       9|[0.8726566916114853, 0.7716133220564371, 0.8517554350143751, 0.8819519636987548, 0.8998916180788036, 0.9208422593393177, 0.8937656013993286, 0.9811372591585545, 0.9619551052817295, 0.9672933282117973, 1.123451970426078, 0.7976343569741402, 1.820014310844414, 0.930258442721424, 1.0869846942850607, 0.9910215804488218, 0.9633595359495629, 0.9582134648974489, 0.9970008007112191, 0.9434073013454332, 0.9960143324040341, 0.9246392564096696, 1.013620614562456, 0.7968110397661123, 0.6977110478756013]|  2.8295372677617605|      0.12500000|[585, 0, 9, 18]                                                            |  | used linear model with 65 points | iterate failure | actual_k=0
      10|[0.880537646034326, 0.7359177861016687, 0.874434048689069, 0.8834679666720157, 0.8882176009937706, 0.9071638274060317, 0.9022701855946345, 0.9549476974447555, 0.9708392824422366, 0.9492817533073004, 1.1231182991775275, 0.7651922332188287, 1.8998046375463415, 0.9008096683235449, 1.1226400953598659, 0.9813374515919635, 0.9546869140872891, 0.9479900620483023, 0.9905387458187758, 0.9386801404448566, 0.9860925770830904, 0.9230776029115193, 1.0080378953805733, 0.7727026598362653, 0.6567398841132444]|  2.5383434381432393|      0.25000000|[650, 0, 10, 20]                                                           |  | used linear model with 65 points | iterate success | actual_k=0
      11|[0.9086223039534166, 0.648770434433594, 0.8639963280508466, 0.7664637217395776, 0.9522949610499721, 0.89817273243144, 0.893493320656233, 1.0100255651853605, 0.9682762421528174, 0.8721857980888624, 1.1512807684615773, 0.6558722481292331, 1.9360924183537453, 0.897608521373624, 1.1055476192024787, 0.9627306431805481, 0.9245071995374075, 0.9419628358616461, 0.9716706711933181, 0.9333855532848382, 0.9444644370530927, 0.9312394679232774, 0.9718064300888948, 0.7673137330984086, 0.5679249863906188]|  2.3915227515185786|      0.50000000|[715, 0, 11, 22]                                                           |  | used linear model with 65 points | iterate success | actual_k=0
