k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 1.0, 1.0, 1.0, 1.0]                                                  |564.8131740000001173|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.2187988018779652, -0.1725638113343561, 1.5561674880949905, 0.5839379734709342, 0.8569737344790973, 0.3523408165151154]|481.8998107910156250|      2.00000000|[33, 0, 0, 2]                                                              |  | trying linear partial model with 17 points | iterate success | actual_k=0
       2|[0.2187988018779652, -0.1725638113343561, 1.5561674880949905, 0.5839379734709342, 0.8569737344790973, 0.3523408165151154]|481.8998107910156250|      1.00000000|[65, 0, 0, 4]                                                              |  | trying linear partial model with 17 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       3|[0.4803098686125853, 0.673368121874337, 1.645956774127505, 0.6613925510973377, 1.2905635751711162, 0.2342321846532534]|290.8631286621093750|      2.00000000|[97, 0, 0, 6]                                                              |  | trying linear partial model with 17 points | iterate success | actual_k=0
       4|[0.4803098686125853, 0.673368121874337, 1.645956774127505, 0.6613925510973377, 1.2905635751711162, 0.2342321846532534]|290.8631286621093750|      1.00000000|[129, 0, 0, 8]                                                             |  | trying linear partial model with 17 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       5|[0.4803098686125853, 0.673368121874337, 1.645956774127505, 0.6613925510973377, 1.2905635751711162, 0.2342321846532534]|290.8631286621093750|      0.50000000|[161, 0, 0, 10]                                                            |  | trying linear partial model with 17 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       6|[0.7295333542283939, 0.6393315333470028, 2.057357947460215, 0.6118294516178806, 1.277855410659221, 0.1123295958205076]|140.4526824951171875|      1.00000000|[193, 0, 0, 12]                                                            |  | trying linear partial model with 17 points | iterate success | actual_k=0
       7|[0.7295333542283939, 0.6393315333470028, 2.057357947460215, 0.6118294516178806, 1.277855410659221, 0.1123295958205076]|140.4526824951171875|      0.50000000|[225, 0, 0, 14]                                                            |  | trying linear partial model with 17 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       8|[0.7295333542283939, 0.6393315333470028, 2.057357947460215, 0.6118294516178806, 1.277855410659221, 0.1123295958205076]|140.4526824951171875|      0.25000000|[257, 0, 0, 16]                                                            |  | trying linear partial model with 17 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       9|[0.8757087146893798, 0.7057978474124517, 2.2127050320113018, 0.6752404929799705, 1.3464359607506902, 0.0502165988499999]|124.7782287597656250|      0.50000000|[289, 0, 0, 18]                                                            |  | trying linear partial model with 17 points | iterate success | actual_k=0
      10|[0.8757087146893798, 0.7057978474124517, 2.2127050320113018, 0.6752404929799705, 1.3464359607506902, 0.0502165988499999]|124.7782287597656250|      0.25000000|[321, 0, 0, 20]                                                            |  | trying linear partial model with 17 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      11|[0.8757087146893798, 0.7057978474124517, 2.2127050320113018, 0.6752404929799705, 1.3464359607506902, 0.0502165988499999]|124.7782287597656250|      0.12500000|[353, 0, 0, 22]                                                            |  | trying linear partial model with 17 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      12|[0.8757087146893798, 0.7057978474124517, 2.2127050320113018, 0.6752404929799705, 1.3464359607506902, 0.0502165988499999]|124.7782287597656250|      0.06250000|[385, 0, 0, 24]                                                            |  | trying linear partial model with 17 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
