k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0]                                        |181.6199359999999956|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.3419161436351216, 1.3153213231647491, 0.0180210848271607, 0.8781673994462429, 0.9703666367522481, 1.8711432840371782, 1.052537304448337, 0.9227410463174063]|138.1319580078125000|      2.00000000|[31, 0, 0, 2]                                                              |  | trying linear partial model with 17 points | iterate success | actual_k=0
       2|[0.3419161436351216, 1.3153213231647491, 0.0180210848271607, 0.8781673994462429, 0.9703666367522481, 1.8711432840371782, 1.052537304448337, 0.9227410463174063]|138.1319580078125000|      1.00000000|[61, 0, 0, 4]                                                              |  | trying linear partial model with 17 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       3|[0.3419161436351216, 1.3153213231647491, 0.0180210848271607, 0.8781673994462429, 0.9703666367522481, 1.8711432840371782, 1.052537304448337, 0.9227410463174063]|138.1319580078125000|      0.50000000|[91, 0, 0, 6]                                                              |  | trying linear partial model with 17 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       4|[0.30747295206134, 1.0695101012389074, 0.0816407923754722, 0.9258251874452985, 0.9413405704066552, 1.5129364712794717, 1.0773484922586438, 1.1514363665798661]| 71.9028854370117188|      1.00000000|[121, 0, 0, 8]                                                             |  | trying linear partial model with 17 points | iterate success | actual_k=0
       5|[0.30747295206134, 1.0695101012389074, 0.0816407923754722, 0.9258251874452985, 0.9413405704066552, 1.5129364712794717, 1.0773484922586438, 1.1514363665798661]| 71.9028854370117188|      0.50000000|[151, 0, 0, 10]                                                            |  | trying linear partial model with 17 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       6|[0.30747295206134, 1.0695101012389074, 0.0816407923754722, 0.9258251874452985, 0.9413405704066552, 1.5129364712794717, 1.0773484922586438, 1.1514363665798661]| 71.9028854370117188|      0.25000000|[181, 0, 0, 12]                                                            |  | trying linear partial model with 17 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       7|[0.3032393293254757, 1.1299129539304913, 0.0449206112427319, 0.9230366675129708, 0.9694647532876545, 1.7503174371243477, 1.075305652185403, 1.1696725524661757]| 59.5502700805664062|      0.50000000|[211, 0, 0, 14]                                                            |  | trying linear partial model with 17 points | iterate success | actual_k=0
       8|[0.3032393293254757, 1.1299129539304913, 0.0449206112427319, 0.9230366675129708, 0.9694647532876545, 1.7503174371243477, 1.075305652185403, 1.1696725524661757]| 59.5502700805664062|      0.25000000|[241, 0, 0, 16]                                                            |  | trying linear partial model with 17 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       9|[0.3032393293254757, 1.1299129539304913, 0.0449206112427319, 0.9230366675129708, 0.9694647532876545, 1.7503174371243477, 1.075305652185403, 1.1696725524661757]| 59.5502700805664062|      0.12500000|[271, 0, 0, 18]                                                            |  | trying linear partial model with 17 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      10|[0.2561481750916874, 1.0458574210335108, 0.0474824724332384, 0.9179418907070868, 0.9589218289415037, 1.680387432634752, 1.0708726763518686, 1.205569079351778]| 55.8076477050781250|      0.25000000|[301, 0, 0, 20]                                                            |  | trying linear partial model with 17 points | iterate success | actual_k=0
