k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 1.0]                                                                 |1009.3578488831893765|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.0, 0.0, 1.0]                                                                 |1009.3578488831893765|      0.50000000|[4, 1, 1, 2]                                                               |  | used linear model with 5 points | iterate failure | actual_k=1
       2|[0.0, 0.0, 1.0]                                                                 |1009.3578488831893765|      0.25000000|[8, 2, 2, 4]                                                               |  | used linear model with 5 points | iterate failure | actual_k=1
       3|[0.0, 0.0, 1.0]                                                                 |1009.3578488831893765|      0.12500000|[12, 3, 3, 6]                                                              |  | used linear model with 5 points | iterate failure | actual_k=1
       4|[0.0, 0.0, 1.0]                                                                 |1009.3578488831893765|      0.06250000|[16, 4, 4, 8]                                                              |  | used linear model with 5 points | iterate failure | actual_k=1
       5|[0.0, 0.0, 1.0]                                                                 |1009.3578488831893765|      0.03125000|[20, 5, 5, 10]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
       6|[-0.0042048759562249, -0.0298415832710993, 0.991731903116992]                   |951.8555845982526762|      0.06250000|[24, 6, 6, 12]                                                             |  | used linear model with 5 points | iterate success | actual_k=1
       7|[-0.0042048759562249, -0.0298415832710993, 0.991731903116992]                   |951.8555845982526762|      0.03125000|[28, 7, 7, 14]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
       8|[-0.0042048759562249, -0.0298415832710993, 0.991731903116992]                   |951.8555845982526762|      0.01562500|[32, 8, 8, 16]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
       9|[0.0051249812424159, -0.0228538324130585, 1.0021369849330528]                   |934.6628526898740574|      0.03125000|[36, 9, 9, 18]                                                             |  | used linear model with 5 points | iterate success | actual_k=1
      10|[0.0051249812424159, -0.0228538324130585, 1.0021369849330528]                   |934.6628526898740574|      0.01562500|[40, 10, 10, 20]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
      11|[0.0051249812424159, -0.0228538324130585, 1.0021369849330528]                   |934.6628526898740574|      0.00781250|[44, 11, 11, 22]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
      12|[0.0026333823312698, -0.0157756740855607, 0.999962872284902]                    |932.5121246090777731|      0.01562500|[48, 12, 12, 24]                                                           |  | used linear model with 5 points | iterate success | actual_k=1
      13|[0.0026333823312698, -0.0157756740855607, 0.999962872284902]                    |932.5121246090777731|      0.00781250|[52, 13, 13, 26]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
      14|[0.0026333823312698, -0.0157756740855607, 0.999962872284902]                    |932.5121246090777731|      0.00390625|[56, 14, 14, 28]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
      15|[0.003008573844038, -0.0195538798745837, 0.9990446231863236]                    |930.9479353864412587|      0.00781250|[60, 15, 15, 30]                                                           |  | used linear model with 5 points | iterate success | actual_k=1
