k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[2.7, 90.0, 1500.0, 10.0]                                                       |29053.0023566288800794|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1.8869645029524673, 90.4544037100147, 1499.7799531446112, 10.28994815105294]   |26534.4534762227849569|      2.00000000|[5, 0, 1, 2]                                                               |  | used linear model with 5 points | iterate success | actual_k=0
       2|[1.8869645029524673, 90.4544037100147, 1499.7799531446112, 10.28994815105294]   |26534.4534762227849569|      1.00000000|[10, 0, 2, 4]                                                              |  | used linear model with 5 points | iterate failure | actual_k=0
       3|[1.8665612024941323, 90.68257122161533, 1500.1709229436963, 11.181388506984703] |22303.9252953013492515|      2.00000000|[15, 0, 3, 6]                                                              |  | used linear model with 5 points | iterate success | actual_k=0
       4|[1.8665612024941323, 90.68257122161533, 1500.1709229436963, 11.181388506984703] |22303.9252953013492515|      1.00000000|[20, 0, 4, 8]                                                              |  | used linear model with 5 points | iterate failure | actual_k=0
       5|[2.0028296271788877, 91.03291266699566, 1499.7442549630055, 12.003973592149757] |18257.5987923188877176|      2.00000000|[25, 0, 5, 10]                                                             |  | used linear model with 5 points | iterate success | actual_k=0
       6|[2.531414862757476, 91.15303392577397, 1498.9897156353961, 13.775085936132655]  |10547.7258588900112954|      4.00000000|[30, 0, 6, 12]                                                             |  | used linear model with 5 points | iterate success | actual_k=0
       7|[2.531414862757476, 91.15303392577397, 1498.9897156353961, 13.775085936132655]  |10547.7258588900112954|      2.00000000|[35, 0, 7, 14]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
       8|[2.531414862757476, 91.15303392577397, 1498.9897156353961, 13.775085936132655]  |10547.7258588900112954|      1.00000000|[40, 0, 8, 16]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
       9|[2.1377274235688617, 90.68523061448428, 1498.4581272021715, 14.361246323597825] |9819.7450698460816056|      2.00000000|[45, 0, 9, 18]                                                             |  | used linear model with 5 points | iterate success | actual_k=0
      10|[2.0529776217621976, 89.9472181350034, 1498.8926361858778, 16.166615259384248]  |7081.0998452187413932|      4.00000000|[50, 0, 10, 20]                                                            |  | used linear model with 5 points | iterate success | actual_k=0
      11|[2.0529776217621976, 89.9472181350034, 1498.8926361858778, 16.166615259384248]  |7081.0998452187413932|      2.00000000|[55, 0, 11, 22]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
      12|[3.196252783843736, 90.9310315457374, 1499.9440420151475, 16.95374857643104]    |5883.2765063569486301|      4.00000000|[60, 0, 12, 24]                                                            |  | used linear model with 5 points | iterate success | actual_k=0
      13|[3.196252783843736, 90.9310315457374, 1499.9440420151475, 16.95374857643104]    |5883.2765063569486301|      2.00000000|[65, 0, 13, 26]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
      14|[3.196252783843736, 90.9310315457374, 1499.9440420151475, 16.95374857643104]    |5883.2765063569486301|      1.00000000|[70, 0, 14, 28]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
      15|[2.6494582201113444, 91.38848190598661, 1499.7643054777789, 17.631575729999906] |2708.5289235555901541|      2.00000000|[75, 0, 15, 30]                                                            |  | used linear model with 5 points | iterate success | actual_k=0
      16|[2.6494582201113444, 91.38848190598661, 1499.7643054777789, 17.631575729999906] |2708.5289235555901541|      1.00000000|[80, 0, 16, 32]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
      17|[2.6494582201113444, 91.38848190598661, 1499.7643054777789, 17.631575729999906] |2708.5289235555901541|      0.50000000|[85, 0, 17, 34]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
      18|[2.6494582201113444, 91.38848190598661, 1499.7643054777789, 17.631575729999906] |2708.5289235555901541|      0.25000000|[90, 0, 18, 36]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
      19|[2.6494582201113444, 91.38848190598661, 1499.7643054777789, 17.631575729999906] |2708.5289235555901541|      0.12500000|[95, 0, 19, 38]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
      20|[2.744235993379743, 91.43407459930943, 1499.784605438037, 17.696007023820293]   |2577.8699929135918865|      0.25000000|[100, 0, 20, 40]                                                           |  | used linear model with 5 points | iterate success | actual_k=0
