k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.25, 0.39, 0.415, 0.39]                                                       |  0.0053136153581918|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.25, 0.39, 0.415, 0.39]                                                       |  0.0053136153581918|      0.50000000|[7, 2, 1, 3]                                                               |  | used linear model with 9 points | iterate failure | actual_k=1
       2|[0.25, 0.39, 0.415, 0.39]                                                       |  0.0053136153581918|      0.25000000|[14, 4, 2, 6]                                                              |  | used linear model with 9 points | iterate failure | actual_k=1
       3|[0.25, 0.39, 0.415, 0.39]                                                       |  0.0053136153581918|      0.12500000|[21, 6, 3, 9]                                                              |  | used linear model with 9 points | iterate failure | actual_k=1
       4|[0.25, 0.39, 0.415, 0.39]                                                       |  0.0053136153581918|      0.06250000|[28, 8, 4, 12]                                                             |  | used linear model with 9 points | iterate failure | actual_k=1
       5|[0.25, 0.39, 0.415, 0.39]                                                       |  0.0053136153581918|      0.03125000|[35, 10, 5, 15]                                                            |  | used linear model with 9 points | iterate failure | actual_k=1
       6|[0.2189877855352929, 0.3924586179251669, 0.4179585874886498, 0.3900837374770511]|  0.0038544952939259|      0.06250000|[42, 12, 6, 18]                                                            |  | used linear model with 9 points | iterate success | actual_k=1
       7|[0.2189877855352929, 0.3924586179251669, 0.4179585874886498, 0.3900837374770511]|  0.0038544952939259|      0.03125000|[49, 14, 7, 21]                                                            |  | used linear model with 9 points | iterate failure | actual_k=1
       8|[0.2189877855352929, 0.3924586179251669, 0.4179585874886498, 0.3900837374770511]|  0.0038544952939259|      0.01562500|[56, 16, 8, 24]                                                            |  | used linear model with 9 points | iterate failure | actual_k=1
       9|[0.2321074545663335, 0.3987939314495627, 0.4172447447568171, 0.3844829214099255]|  0.0036038610562258|      0.03125000|[63, 18, 9, 27]                                                            |  | used linear model with 9 points | iterate success | actual_k=1
      10|[0.2321074545663335, 0.3987939314495627, 0.4172447447568171, 0.3844829214099255]|  0.0036038610562258|      0.01562500|[70, 20, 10, 30]                                                           |  | used linear model with 9 points | iterate failure | actual_k=1
      11|[0.2243066609007523, 0.3985459547745998, 0.4176794105951359, 0.3709537744905998]|  0.0031664295541201|      0.03125000|[77, 22, 11, 33]                                                           |  | used linear model with 9 points | iterate success | actual_k=1
      12|[0.2243136050475135, 0.4067205812510782, 0.3962576800011374, 0.3497206072255158]|  0.0025827288537806|      0.06250000|[84, 24, 12, 36]                                                           |  | used linear model with 9 points | iterate success | actual_k=1
      13|[0.2243136050475135, 0.4067205812510782, 0.3962576800011374, 0.3497206072255158]|  0.0025827288537806|      0.03125000|[91, 26, 13, 39]                                                           |  | used linear model with 9 points | iterate failure | actual_k=1
      14|[0.2243136050475135, 0.4067205812510782, 0.3962576800011374, 0.3497206072255158]|  0.0025827288537806|      0.01562500|[98, 28, 14, 42]                                                           |  | used linear model with 9 points | iterate failure | actual_k=1
