k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.2, 0.3, 5.6, 5.5, 6.5, 7.6]                                                  |269.7504728856305292|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1.2, 0.3, 5.6, 5.5, 6.5, 7.6]                                                  |269.7504728856305292|      0.50000000|[7, 2, 1, 3]                                                               |  | used linear model with 9 points | iterate failure | actual_k=1
       2|[0.8651106388970962, 0.4990685374989536, 5.522974446146453, 5.726054198330998, 6.306152330177386, 7.660087249670322]|219.5065200421398970|      1.00000000|[14, 4, 2, 6]                                                              |  | used linear model with 9 points | iterate success | actual_k=1
       3|[0.076106554407333, 0.7074088198732936, 5.115777415562149, 5.904526466487479, 5.985255205143446, 7.842926371102277]|137.7321811095622195|      2.00000000|[21, 6, 3, 9]                                                              |  | used linear model with 9 points | iterate success | actual_k=1
       4|[0.076106554407333, 0.7074088198732936, 5.115777415562149, 5.904526466487479, 5.985255205143446, 7.842926371102277]|137.7321811095622195|      1.00000000|[28, 8, 4, 12]                                                             |  | used linear model with 9 points | iterate failure | actual_k=1
       5|[-0.6877704675859792, 0.8518098735459598, 4.624760033569531, 5.957254382302809, 5.602695978452023, 7.91648156478023]| 83.8812746838721495|      2.00000000|[35, 10, 5, 15]                                                            |  | used linear model with 9 points | iterate success | actual_k=1
       6|[-1.0574657243737886, 1.4515716423517693, 3.4341306810347705, 6.26108270126586, 4.19095391004118, 7.942666819129573]| 27.9574831822159808|      4.00000000|[42, 12, 6, 18]                                                            |  | used linear model with 9 points | iterate success | actual_k=1
       7|[-1.0574657243737886, 1.4515716423517693, 3.4341306810347705, 6.26108270126586, 4.19095391004118, 7.942666819129573]| 27.9574831822159808|      2.00000000|[49, 14, 7, 21]                                                            |  | used linear model with 9 points | iterate failure | actual_k=1
       8|[-1.0574657243737886, 1.4515716423517693, 3.4341306810347705, 6.26108270126586, 4.19095391004118, 7.942666819129573]| 27.9574831822159808|      1.00000000|[56, 16, 8, 24]                                                            |  | used linear model with 9 points | iterate failure | actual_k=1
       9|[-1.3230224897440057, 1.9235299749061927, 2.7249793509346993, 6.708463738026877, 4.16111463517536, 7.889759793717303]| 17.6784726574720032|      2.00000000|[63, 18, 9, 27]                                                            |  | used linear model with 9 points | iterate success | actual_k=1
      10|[-1.3230224897440057, 1.9235299749061927, 2.7249793509346993, 6.708463738026877, 4.16111463517536, 7.889759793717303]| 17.6784726574720032|      1.00000000|[70, 20, 10, 30]                                                           |  | used linear model with 9 points | iterate failure | actual_k=1
      11|[-1.7002746423883566, 2.3131007966678467, 2.134760594325742, 7.035143462608197, 3.7121312204952557, 7.667833097725596]| 11.3875603176670364|      2.00000000|[77, 22, 11, 33]                                                           |  | used linear model with 9 points | iterate success | actual_k=1
      12|[-1.7002746423883566, 2.3131007966678467, 2.134760594325742, 7.035143462608197, 3.7121312204952557, 7.667833097725596]| 11.3875603176670364|      1.00000000|[84, 24, 12, 36]                                                           |  | used linear model with 9 points | iterate failure | actual_k=1
      13|[-1.7002746423883566, 2.3131007966678467, 2.134760594325742, 7.035143462608197, 3.7121312204952557, 7.667833097725596]| 11.3875603176670364|      0.50000000|[91, 26, 13, 39]                                                           |  | used linear model with 9 points | iterate failure | actual_k=1
      14|[-1.4047003635401145, 2.4027655446336036, 2.1897714794744516, 6.88572345840107, 3.3970104718969387, 7.840871987332277]|  9.2675291320004405|      1.00000000|[98, 28, 14, 42]                                                           |  | used linear model with 9 points | iterate success | actual_k=1
      15|[-1.4047003635401145, 2.4027655446336036, 2.1897714794744516, 6.88572345840107, 3.3970104718969387, 7.840871987332277]|  9.2675291320004405|      0.50000000|[105, 30, 15, 45]                                                          |  | used linear model with 9 points | iterate failure | actual_k=1
      16|[-1.4047003635401145, 2.4027655446336036, 2.1897714794744516, 6.88572345840107, 3.3970104718969387, 7.840871987332277]|  9.2675291320004405|      0.25000000|[112, 32, 16, 48]                                                          |  | used linear model with 9 points | iterate failure | actual_k=1
      17|[-1.304885573194772, 2.4844762248766656, 2.178346836475202, 6.817865541190947, 3.1945269394058786, 7.829666094386285]|  8.0952712898140309|      0.50000000|[119, 34, 17, 51]                                                          |  | used linear model with 9 points | iterate success | actual_k=1
      18|[-1.304885573194772, 2.4844762248766656, 2.178346836475202, 6.817865541190947, 3.1945269394058786, 7.829666094386285]|  8.0952712898140309|      0.25000000|[126, 36, 18, 54]                                                          |  | used linear model with 9 points | iterate failure | actual_k=1
      19|[-1.304885573194772, 2.4844762248766656, 2.178346836475202, 6.817865541190947, 3.1945269394058786, 7.829666094386285]|  8.0952712898140309|      0.12500000|[133, 38, 19, 57]                                                          |  | used linear model with 9 points | iterate failure | actual_k=1
      20|[-1.2549924992164334, 2.567663598020168, 2.153070557014662, 6.797347637178744, 3.143859866430528, 7.778788642148924]|  7.4916223900364320|      0.25000000|[140, 40, 20, 60]                                                          |  | used linear model with 9 points | iterate success | actual_k=1
