k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]|4165.1544172546082336|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.4453580371286293, 0.9750858571541914, 1.1007574215009326, 0.8454810640332028, 0.9822019916288216, 0.5434025076408744, 1.2194365170077837, 0.9662319505572077, 1.0612627464155113, 0.7373182667107151, 1.0883360154928674, 1.2171937551838843, 0.9709783212330308, 0.9100549088277327, 0.8604797519550795, 0.9150712852808387, 1.148683264106979, 1.0051671217173432, 0.9489279565182357, 0.9286095262245774, 0.9552496942716797, 1.0326891592562137, 0.8924049250382344, 1.02691804885812, 0.8335860412179653, 1.0978534246525256, 0.8853140733997449, 1.0503223201058156, 0.9083642928518335, 1.0893517222235731, 1.0760686184347357, 1.0690669823371954, 1.0059117942103086, 0.9338238632865845, 1.0028445115246563, 0.9800019096761953, 0.889370753965909, 0.8194851187108513, 1.0937737379009975, 0.9903828795420593, 0.9565612581038415, 0.9549425291967939, 0.9112639514088832, 0.9869973054020578, 1.040382477247735, 0.9532468811774971, 0.9749581152374293, 1.011853132243708, 0.9176967623375489, 0.9845042469380858, 1.0367715956907173, 0.9941306803340533, 1.166435230596306, 1.003090223116847]|2541.1034689078428528|      2.00000000|[97, 32, 1, 3]                                                             |  | trying linear partial model with 49 points FAILED TO GET X_HAT, using additional batch call | iterate success | actual_k=16
       2|[-0.9132743871414285, 0.8278781008727993, 1.1465210011048783, 0.794573037387096, 0.9671903796367801, -0.3265920500411147, 1.0498527911270423, 0.7984759047548876, 0.9036347981838332, 0.2678264391257206, 1.0968773507879814, 1.4768926911713351, 0.9729752996668929, 1.1108769915691972, 0.9177673046357337, 1.0467099954310013, 1.3269954192290534, 0.8307056861495328, 0.737153368182048, 1.049669262043007, 0.7413304312314041, 1.1588073378859176, 0.9605173962830723, 0.823025069708045, 0.9762202352468904, 1.0937701892047567, 0.6636516401494583, 1.1778107765683528, 1.0528195442974502, 1.2882292421866357, 0.8904513862057801, 1.3110691301629591, 1.1626401647826934, 0.987498334721611, 1.2666517911361659, 0.7622371030877838, 0.6673434452775365, 0.8333563535371343, 1.112354168662291, 1.0616245516771896, 1.0274385127846883, 0.8579306199010244, 1.0744947387540054, 1.172250136437405, 1.323983253872464, 1.0711466349310113, 1.0346326578966067, 0.8813159932467305, 1.0371082306593216, 1.013573402824462, 0.9459083840208571, 0.7582861624825998, 1.161627733527477, 1.0531836939662227]|944.4949340820312500|      4.00000000|[194, 64, 1, 5]                                                            |  | trying linear partial model with 49 points | iterate success | actual_k=16
       3|[-0.9132743871414285, 0.8278781008727993, 1.1465210011048783, 0.794573037387096, 0.9671903796367801, -0.3265920500411147, 1.0498527911270423, 0.7984759047548876, 0.9036347981838332, 0.2678264391257206, 1.0968773507879814, 1.4768926911713351, 0.9729752996668929, 1.1108769915691972, 0.9177673046357337, 1.0467099954310013, 1.3269954192290534, 0.8307056861495328, 0.737153368182048, 1.049669262043007, 0.7413304312314041, 1.1588073378859176, 0.9605173962830723, 0.823025069708045, 0.9762202352468904, 1.0937701892047567, 0.6636516401494583, 1.1778107765683528, 1.0528195442974502, 1.2882292421866357, 0.8904513862057801, 1.3110691301629591, 1.1626401647826934, 0.987498334721611, 1.2666517911361659, 0.7622371030877838, 0.6673434452775365, 0.8333563535371343, 1.112354168662291, 1.0616245516771896, 1.0274385127846883, 0.8579306199010244, 1.0744947387540054, 1.172250136437405, 1.323983253872464, 1.0711466349310113, 1.0346326578966067, 0.8813159932467305, 1.0371082306593216, 1.013573402824462, 0.9459083840208571, 0.7582861624825998, 1.161627733527477, 1.0531836939662227]|944.4949340820312500|      2.00000000|[290, 96, 1, 7]                                                            |  | trying linear partial model with 49 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=16
       4|[-0.9132743871414285, 0.8278781008727993, 1.1465210011048783, 0.794573037387096, 0.9671903796367801, -0.3265920500411147, 1.0498527911270423, 0.7984759047548876, 0.9036347981838332, 0.2678264391257206, 1.0968773507879814, 1.4768926911713351, 0.9729752996668929, 1.1108769915691972, 0.9177673046357337, 1.0467099954310013, 1.3269954192290534, 0.8307056861495328, 0.737153368182048, 1.049669262043007, 0.7413304312314041, 1.1588073378859176, 0.9605173962830723, 0.823025069708045, 0.9762202352468904, 1.0937701892047567, 0.6636516401494583, 1.1778107765683528, 1.0528195442974502, 1.2882292421866357, 0.8904513862057801, 1.3110691301629591, 1.1626401647826934, 0.987498334721611, 1.2666517911361659, 0.7622371030877838, 0.6673434452775365, 0.8333563535371343, 1.112354168662291, 1.0616245516771896, 1.0274385127846883, 0.8579306199010244, 1.0744947387540054, 1.172250136437405, 1.323983253872464, 1.0711466349310113, 1.0346326578966067, 0.8813159932467305, 1.0371082306593216, 1.013573402824462, 0.9459083840208571, 0.7582861624825998, 1.161627733527477, 1.0531836939662227]|944.4949340820312500|      1.00000000|[386, 128, 2, 10]                                                          |  | trying linear partial model with 49 points FAILED TO GET X_HAT, using additional batch call | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=16
       5|[-0.4392957779773699, 0.8871693831741635, 1.0053994024432125, 0.6901208916361502, 1.0038386066686513, -0.0461635234528, 1.1575136991765316, 0.9281902875604869, 0.8163872149764528, 0.5126852220623688, 0.8796305909627848, 1.5122044589937835, 0.9210952806848298, 0.9434429879566766, 0.8641882188572454, 1.0285586484230558, 1.4061170426851317, 0.9134145012903829, 0.8039560461894012, 1.2165204704085926, 0.696696493009082, 1.1677812513565549, 1.1903378897550394, 0.9220858203408486, 0.9521092519886796, 1.1398822550551626, 0.8394520646787487, 1.2134148469159483, 1.1498777276050176, 1.1811072290246116, 0.7967743102803493, 1.0569291164834227, 1.1292773126297524, 1.0427120491837487, 1.3148993633242936, 0.7598885167601179, 0.4763801634951793, 0.8956664932167925, 1.0737656715135617, 1.078145966110228, 0.9682791717999477, 1.0205774714994857, 0.9477440922067967, 1.1404138043403818, 1.3562314990988134, 1.1413123959944504, 1.1100295850493702, 0.9828696505296238, 1.259943823269174, 1.122782145693716, 1.0366923452198933, 0.5324958435201745, 1.1981326604820453, 0.9924983122793503]|273.0857849121093750|      2.00000000|[483, 160, 2, 12]                                                          |  | trying linear partial model with 49 points | iterate success | actual_k=16
       6|[-0.4392957779773699, 0.8871693831741635, 1.0053994024432125, 0.6901208916361502, 1.0038386066686513, -0.0461635234528, 1.1575136991765316, 0.9281902875604869, 0.8163872149764528, 0.5126852220623688, 0.8796305909627848, 1.5122044589937835, 0.9210952806848298, 0.9434429879566766, 0.8641882188572454, 1.0285586484230558, 1.4061170426851317, 0.9134145012903829, 0.8039560461894012, 1.2165204704085926, 0.696696493009082, 1.1677812513565549, 1.1903378897550394, 0.9220858203408486, 0.9521092519886796, 1.1398822550551626, 0.8394520646787487, 1.2134148469159483, 1.1498777276050176, 1.1811072290246116, 0.7967743102803493, 1.0569291164834227, 1.1292773126297524, 1.0427120491837487, 1.3148993633242936, 0.7598885167601179, 0.4763801634951793, 0.8956664932167925, 1.0737656715135617, 1.078145966110228, 0.9682791717999477, 1.0205774714994857, 0.9477440922067967, 1.1404138043403818, 1.3562314990988134, 1.1413123959944504, 1.1100295850493702, 0.9828696505296238, 1.259943823269174, 1.122782145693716, 1.0366923452198933, 0.5324958435201745, 1.1981326604820453, 0.9924983122793503]|273.0857849121093750|      1.00000000|[579, 192, 3, 15]                                                          |  | trying linear partial model with 49 points FAILED TO GET X_HAT, using additional batch call | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=16
       7|[-0.4392957779773699, 0.8871693831741635, 1.0053994024432125, 0.6901208916361502, 1.0038386066686513, -0.0461635234528, 1.1575136991765316, 0.9281902875604869, 0.8163872149764528, 0.5126852220623688, 0.8796305909627848, 1.5122044589937835, 0.9210952806848298, 0.9434429879566766, 0.8641882188572454, 1.0285586484230558, 1.4061170426851317, 0.9134145012903829, 0.8039560461894012, 1.2165204704085926, 0.696696493009082, 1.1677812513565549, 1.1903378897550394, 0.9220858203408486, 0.9521092519886796, 1.1398822550551626, 0.8394520646787487, 1.2134148469159483, 1.1498777276050176, 1.1811072290246116, 0.7967743102803493, 1.0569291164834227, 1.1292773126297524, 1.0427120491837487, 1.3148993633242936, 0.7598885167601179, 0.4763801634951793, 0.8956664932167925, 1.0737656715135617, 1.078145966110228, 0.9682791717999477, 1.0205774714994857, 0.9477440922067967, 1.1404138043403818, 1.3562314990988134, 1.1413123959944504, 1.1100295850493702, 0.9828696505296238, 1.259943823269174, 1.122782145693716, 1.0366923452198933, 0.5324958435201745, 1.1981326604820453, 0.9924983122793503]|273.0857849121093750|      0.50000000|[676, 224, 3, 17]                                                          |  | trying linear partial model with 49 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=16
       8|[-0.4392957779773699, 0.8871693831741635, 1.0053994024432125, 0.6901208916361502, 1.0038386066686513, -0.0461635234528, 1.1575136991765316, 0.9281902875604869, 0.8163872149764528, 0.5126852220623688, 0.8796305909627848, 1.5122044589937835, 0.9210952806848298, 0.9434429879566766, 0.8641882188572454, 1.0285586484230558, 1.4061170426851317, 0.9134145012903829, 0.8039560461894012, 1.2165204704085926, 0.696696493009082, 1.1677812513565549, 1.1903378897550394, 0.9220858203408486, 0.9521092519886796, 1.1398822550551626, 0.8394520646787487, 1.2134148469159483, 1.1498777276050176, 1.1811072290246116, 0.7967743102803493, 1.0569291164834227, 1.1292773126297524, 1.0427120491837487, 1.3148993633242936, 0.7598885167601179, 0.4763801634951793, 0.8956664932167925, 1.0737656715135617, 1.078145966110228, 0.9682791717999477, 1.0205774714994857, 0.9477440922067967, 1.1404138043403818, 1.3562314990988134, 1.1413123959944504, 1.1100295850493702, 0.9828696505296238, 1.259943823269174, 1.122782145693716, 1.0366923452198933, 0.5324958435201745, 1.1981326604820453, 0.9924983122793503]|273.0857849121093750|      0.25000000|[772, 256, 3, 19]                                                          |  | trying linear partial model with 49 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=16
       9|[-0.5657602612615277, 0.8578890708191013, 1.0146565275895798, 0.6727964377164352, 0.9715062473678227, -0.1673551776270438, 1.202914195056229, 0.9264593277065212, 0.784270406224303, 0.4258501567449927, 0.8578873833647837, 1.549433579997733, 0.8934747677015256, 0.9266335776974723, 0.8462430217584866, 1.041455974624561, 1.3999989108200448, 0.9407282709321323, 0.8207337899793635, 1.258005170507377, 0.7084776218584812, 1.1738380814742455, 1.1945883802922281, 0.9570837600176829, 1.0015354284518292, 1.1305029289428508, 0.8439453830851023, 1.2360728192681638, 1.1127805581670236, 1.1694989624553023, 0.8188555251331628, 1.0227371403774914, 1.115303109304352, 1.0290359660686297, 1.3337282634280236, 0.7264764775961227, 0.4865725995252872, 0.9184836114918654, 1.0723067389527545, 1.072074669933411, 0.9874989769519711, 1.018283589475906, 0.9512168019358895, 1.1508105622788685, 1.3677118115826223, 1.1355382992382375, 1.1069270378864136, 1.01564814005724, 1.250321192006827, 1.1410427968392536, 1.0242951522642287, 0.541401847765264, 1.1937408297003693, 1.0037516920531147]|202.0517730712890625|      0.50000000|[868, 288, 3, 21]                                                          |  | trying linear partial model with 49 points | iterate success | actual_k=16
      10|[-0.5657602612615277, 0.8578890708191013, 1.0146565275895798, 0.6727964377164352, 0.9715062473678227, -0.1673551776270438, 1.202914195056229, 0.9264593277065212, 0.784270406224303, 0.4258501567449927, 0.8578873833647837, 1.549433579997733, 0.8934747677015256, 0.9266335776974723, 0.8462430217584866, 1.041455974624561, 1.3999989108200448, 0.9407282709321323, 0.8207337899793635, 1.258005170507377, 0.7084776218584812, 1.1738380814742455, 1.1945883802922281, 0.9570837600176829, 1.0015354284518292, 1.1305029289428508, 0.8439453830851023, 1.2360728192681638, 1.1127805581670236, 1.1694989624553023, 0.8188555251331628, 1.0227371403774914, 1.115303109304352, 1.0290359660686297, 1.3337282634280236, 0.7264764775961227, 0.4865725995252872, 0.9184836114918654, 1.0723067389527545, 1.072074669933411, 0.9874989769519711, 1.018283589475906, 0.9512168019358895, 1.1508105622788685, 1.3677118115826223, 1.1355382992382375, 1.1069270378864136, 1.01564814005724, 1.250321192006827, 1.1410427968392536, 1.0242951522642287, 0.541401847765264, 1.1937408297003693, 1.0037516920531147]|202.0517730712890625|      0.25000000|[964, 320, 4, 24]                                                          |  | trying linear partial model with 49 points FAILED TO GET X_HAT, using additional batch call | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=16
