k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[-0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8]|626.0639857227841958|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[-0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8, -0.8]|626.0639857227841958|      0.50000000|[122, 40, 1, 11]                                                           |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 25 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 37 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 49 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 61 points FAILED TO GET X_HAT, using additional batch call | (iterate failure) trying more points before decreasing delta | trying linear partial model with 74 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 86 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 98 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 110 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
       2|[-0.7651409451576409, -0.7072861135419642, -0.7942254869809476, -0.8176717318988327, -0.7727186765781027, -0.8762135901220978, -0.8886942579241149, -0.803732155958964, -0.7479400517710973, -0.8220472696777079, -0.8262486661820607, -0.8529600980118206, -0.8058082310512201, -0.7496914063694813, -0.7746216791514843, -0.7290408290991238, -0.8540184756190894, -0.8332525729167232, -0.7875148888223279, -0.8305651283420363, -0.8870989478563118, -0.8217952029881752, -0.8621062359160082, -0.8552766075409254, -0.79065014680599, -0.8370848984373755, -0.9163807892273982, -0.8115972023800255, -0.8229658560458543, -0.74600489799991, -0.8062931134073572, -0.8320950284076621, -0.855951816887062, -0.7153152793504288, -0.848164104592855, -0.768890321000474, -0.7673975924146106, -0.8948118349349468, -0.7970226291086423, -0.8597553539267229, -0.700378481305935, -0.8300822639382017, -0.7642367701661719, -0.8058800243918253, -0.8506906846185772, -0.8208203237663163, -0.8377326267770822, -0.7925475806201886, -0.8405698760228331, -0.8131959203585121, -0.7797849647275774, -0.807691406637216, -0.800167453639497, -0.7350137866967819, -0.9286185918489999, -0.735459014427855, -0.9119230910248286, -0.7787331613555997, -0.784038933762117, -0.85233075499123, -0.8650951409522999, -0.8695198120687284, -0.886612531740626, -0.800255101482034, -0.766675984898326, -0.7276021063116871, -0.770051041707814, -0.8060719325472513, -0.8450553143868595, -0.8332614080825919, -0.8474168999199996, -0.862841716035991, -0.795345682081924, -0.7823300023234864, -0.7818422346354525, -0.7996035309125068, -0.8670568212866505, -0.8425496014627982, -0.8022233248831928, -0.7210238981553311, -0.8065532060491856, -0.740338365558236, -0.8334549723118817, -0.784300505127952, -0.8333532544148339, -0.8028748079391704, -0.8661146732610727, -0.8105586613923378, -0.8074753014943825, -0.8120331092358305, -0.8222042868170923, -0.8138760364851017, -0.7701573031304454, -0.8274973902439148, -0.7619658322755927, -0.7611813370509785, -0.7228368317198428, -0.8484837674262256, -0.7751767536018388, -0.9109583863048687]|619.7122925735250192|      1.00000000|[182, 60, 2, 17]                                                           |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 25 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 37 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 49 points FAILED TO GET X_HAT, using additional batch call | iterate success | actual_k=4
       3|[-0.7651409451576409, -0.7072861135419642, -0.7942254869809476, -0.8176717318988327, -0.7727186765781027, -0.8762135901220978, -0.8886942579241149, -0.803732155958964, -0.7479400517710973, -0.8220472696777079, -0.8262486661820607, -0.8529600980118206, -0.8058082310512201, -0.7496914063694813, -0.7746216791514843, -0.7290408290991238, -0.8540184756190894, -0.8332525729167232, -0.7875148888223279, -0.8305651283420363, -0.8870989478563118, -0.8217952029881752, -0.8621062359160082, -0.8552766075409254, -0.79065014680599, -0.8370848984373755, -0.9163807892273982, -0.8115972023800255, -0.8229658560458543, -0.74600489799991, -0.8062931134073572, -0.8320950284076621, -0.855951816887062, -0.7153152793504288, -0.848164104592855, -0.768890321000474, -0.7673975924146106, -0.8948118349349468, -0.7970226291086423, -0.8597553539267229, -0.700378481305935, -0.8300822639382017, -0.7642367701661719, -0.8058800243918253, -0.8506906846185772, -0.8208203237663163, -0.8377326267770822, -0.7925475806201886, -0.8405698760228331, -0.8131959203585121, -0.7797849647275774, -0.807691406637216, -0.800167453639497, -0.7350137866967819, -0.9286185918489999, -0.735459014427855, -0.9119230910248286, -0.7787331613555997, -0.784038933762117, -0.85233075499123, -0.8650951409522999, -0.8695198120687284, -0.886612531740626, -0.800255101482034, -0.766675984898326, -0.7276021063116871, -0.770051041707814, -0.8060719325472513, -0.8450553143868595, -0.8332614080825919, -0.8474168999199996, -0.862841716035991, -0.795345682081924, -0.7823300023234864, -0.7818422346354525, -0.7996035309125068, -0.8670568212866505, -0.8425496014627982, -0.8022233248831928, -0.7210238981553311, -0.8065532060491856, -0.740338365558236, -0.8334549723118817, -0.784300505127952, -0.8333532544148339, -0.8028748079391704, -0.8661146732610727, -0.8105586613923378, -0.8074753014943825, -0.8120331092358305, -0.8222042868170923, -0.8138760364851017, -0.7701573031304454, -0.8274973902439148, -0.7619658322755927, -0.7611813370509785, -0.7228368317198428, -0.8484837674262256, -0.7751767536018388, -0.9109583863048687]|619.7122925735250192|      0.50000000|[304, 100, 3, 28]                                                          |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 25 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 37 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 49 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 61 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 73 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 85 points FAILED TO GET X_HAT, using additional batch call | (iterate failure) trying more points before decreasing delta | trying linear partial model with 98 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 110 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
       4|[-0.722597191570759, -0.6838016969935609, -0.8786388098714772, -0.7611133036746498, -0.7315927347100776, -0.8419757928144216, -0.8807408610334728, -0.9423414251721852, -0.8641107600741579, -0.8447155497001629, -0.8694704468701704, -0.8935845650650902, -0.8391574765121896, -0.7067804983283875, -0.7790661888424256, -0.7825586929501798, -0.8198328645427054, -0.8340153789033542, -0.7604924747087759, -0.8368265175191069, -0.9420996858607389, -0.7700631990633962, -0.9495550860815042, -0.8437269826367313, -0.7955586955144948, -0.8510551206801955, -0.879289629180501, -0.8229407746897843, -0.8615520385081825, -0.6981464583314512, -0.8339868689715171, -0.9207878773396397, -0.9231313939080698, -0.7390684137870818, -0.8375789118616356, -0.8422416206143478, -0.7929589086747223, -0.887367049843383, -0.8202790274502603, -0.9061396325891233, -0.7160183843636544, -0.8643673928322059, -0.7751519069227755, -0.8786816196304066, -0.9300917101128365, -0.9105288817441103, -0.8662045448903142, -0.8225342979197896, -0.8465581038020934, -0.7403041962571729, -0.7949556914367955, -0.7946178517573194, -0.7649608870178582, -0.6812751715187585, -0.948609316663725, -0.7903816015475, -0.9458331844184932, -0.7678966284058764, -0.8369040564537744, -0.9649549648910828, -0.8838924977921601, -0.8924332012081421, -0.8745857401980346, -0.7665388897080246, -0.7630963150614973, -0.8047848799561339, -0.7156224642926423, -0.7692809579337465, -0.8380771717870422, -0.8438585065745531, -0.878266863555391, -0.8159433177987544, -0.8355583921429126, -0.7233471351608691, -0.7843137507503285, -0.8669277396899346, -0.8668811151676915, -0.8320000056815317, -0.7643962102377213, -0.7548180545843487, -0.7619624282136076, -0.7587076961065167, -0.7636375973779652, -0.751000051318027, -0.8916899424127591, -0.8652465462817763, -0.8710841973239145, -0.8130050277965124, -0.9024254957793862, -0.8327793528911303, -0.7821388184726276, -0.8164877252475934, -0.7858760786550236, -0.874601663191599, -0.8694985463860818, -0.8716455820937675, -0.8264147484706911, -0.794710994314087, -0.7816944429496044, -0.9369987949819101]|598.3381347656250000|      1.00000000|[328, 108, 3, 30]                                                          |  | trying linear partial model with 13 points | iterate success | actual_k=4
       5|[-0.722597191570759, -0.6838016969935609, -0.8786388098714772, -0.7611133036746498, -0.7315927347100776, -0.8419757928144216, -0.8807408610334728, -0.9423414251721852, -0.8641107600741579, -0.8447155497001629, -0.8694704468701704, -0.8935845650650902, -0.8391574765121896, -0.7067804983283875, -0.7790661888424256, -0.7825586929501798, -0.8198328645427054, -0.8340153789033542, -0.7604924747087759, -0.8368265175191069, -0.9420996858607389, -0.7700631990633962, -0.9495550860815042, -0.8437269826367313, -0.7955586955144948, -0.8510551206801955, -0.879289629180501, -0.8229407746897843, -0.8615520385081825, -0.6981464583314512, -0.8339868689715171, -0.9207878773396397, -0.9231313939080698, -0.7390684137870818, -0.8375789118616356, -0.8422416206143478, -0.7929589086747223, -0.887367049843383, -0.8202790274502603, -0.9061396325891233, -0.7160183843636544, -0.8643673928322059, -0.7751519069227755, -0.8786816196304066, -0.9300917101128365, -0.9105288817441103, -0.8662045448903142, -0.8225342979197896, -0.8465581038020934, -0.7403041962571729, -0.7949556914367955, -0.7946178517573194, -0.7649608870178582, -0.6812751715187585, -0.948609316663725, -0.7903816015475, -0.9458331844184932, -0.7678966284058764, -0.8369040564537744, -0.9649549648910828, -0.8838924977921601, -0.8924332012081421, -0.8745857401980346, -0.7665388897080246, -0.7630963150614973, -0.8047848799561339, -0.7156224642926423, -0.7692809579337465, -0.8380771717870422, -0.8438585065745531, -0.878266863555391, -0.8159433177987544, -0.8355583921429126, -0.7233471351608691, -0.7843137507503285, -0.8669277396899346, -0.8668811151676915, -0.8320000056815317, -0.7643962102377213, -0.7548180545843487, -0.7619624282136076, -0.7587076961065167, -0.7636375973779652, -0.751000051318027, -0.8916899424127591, -0.8652465462817763, -0.8710841973239145, -0.8130050277965124, -0.9024254957793862, -0.8327793528911303, -0.7821388184726276, -0.8164877252475934, -0.7858760786550236, -0.874601663191599, -0.8694985463860818, -0.8716455820937675, -0.8264147484706911, -0.794710994314087, -0.7816944429496044, -0.9369987949819101]|598.3381347656250000|      0.50000000|[451, 148, 7, 44]                                                          |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 25 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 37 points FAILED TO GET X_HAT, using additional batch call | (iterate failure) trying more points before decreasing delta | trying linear partial model with 50 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 62 points FAILED TO GET X_HAT, using additional batch call | (iterate failure) trying more points before decreasing delta | trying linear partial model with 75 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 87 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 99 points FAILED TO GET X_HAT, using additional batch call | (iterate failure) trying more points before decreasing delta | trying linear partial model with 112 points FAILED TO GET X_HAT, using additional batch call | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
       6|[-0.725205368139714, -0.7577307966915834, -0.8837459872847216, -0.7303460138729212, -0.7074667838439057, -0.7914949746619699, -0.8923878108200894, -0.9156672955121289, -0.907817665838045, -0.8025455134886414, -0.870244983703285, -0.8603320015037953, -0.8615036007018426, -0.7101357876312104, -0.823712575371849, -0.7985222285616581, -0.8383700613884584, -0.9201821233065947, -0.7420585465542024, -0.9068563719959848, -0.9602247030919527, -0.7952434567030305, -0.9924383924983498, -0.8504440077422742, -0.8053030690140592, -0.8842310978632666, -0.8834953582298377, -0.7795758643532037, -0.933579198630038, -0.7410473889254723, -0.8631568057582528, -0.9240400163874458, -0.893600188325148, -0.7355535769204126, -0.9381414974554517, -0.8501683606103201, -0.8379069303614598, -0.8388276686139602, -0.832405361434036, -0.7427185137545069, -0.7332836023279191, -0.830542326158684, -0.7324184825084892, -0.8938710458919102, -0.9573777629514824, -0.9216632075375439, -0.9521099542596638, -0.8239982101594892, -0.7898574381489012, -0.6744743554437861, -0.7788370903817883, -0.8011077956558884, -0.8350765015054733, -0.6901287271457085, -0.939793204120903, -0.793447299683663, -0.9429688986888202, -0.7329577452315915, -0.8594745304376086, -0.9881136943433284, -0.8421524683230251, -0.9657405189242684, -0.888580224831883, -0.8945797040834932, -0.6883175791188315, -0.7780941920645392, -0.7013309848174711, -0.749480845485907, -0.8303329952885817, -0.8249566487105986, -0.8545193016935906, -0.8894775103909702, -0.9265422590587474, -0.7322414584961485, -0.7436440742268717, -0.9214539816198652, -0.8604588161901686, -0.8314310841807493, -0.8360472054081319, -0.7489756094657565, -0.7233093899911925, -0.8931149497990882, -0.7956135637053782, -0.848731769366291, -0.9066411206853723, -0.8161895691254819, -0.81907606312626, -0.8569935832677026, -0.8652576595457889, -0.7920755888046676, -0.8528807135487383, -0.942522022438784, -0.8103167149470104, -0.8698524469565053, -0.8304219533761971, -0.9343350487503151, -0.9096215728370858, -0.7833721223704182, -0.8609211164610802, -0.9339757546714894]|589.0366821289062500|      1.00000000|[512, 168, 7, 49]                                                          |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 25 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 37 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 49 points | iterate success | actual_k=4
       7|[-0.725205368139714, -0.7577307966915834, -0.8837459872847216, -0.7303460138729212, -0.7074667838439057, -0.7914949746619699, -0.8923878108200894, -0.9156672955121289, -0.907817665838045, -0.8025455134886414, -0.870244983703285, -0.8603320015037953, -0.8615036007018426, -0.7101357876312104, -0.823712575371849, -0.7985222285616581, -0.8383700613884584, -0.9201821233065947, -0.7420585465542024, -0.9068563719959848, -0.9602247030919527, -0.7952434567030305, -0.9924383924983498, -0.8504440077422742, -0.8053030690140592, -0.8842310978632666, -0.8834953582298377, -0.7795758643532037, -0.933579198630038, -0.7410473889254723, -0.8631568057582528, -0.9240400163874458, -0.893600188325148, -0.7355535769204126, -0.9381414974554517, -0.8501683606103201, -0.8379069303614598, -0.8388276686139602, -0.832405361434036, -0.7427185137545069, -0.7332836023279191, -0.830542326158684, -0.7324184825084892, -0.8938710458919102, -0.9573777629514824, -0.9216632075375439, -0.9521099542596638, -0.8239982101594892, -0.7898574381489012, -0.6744743554437861, -0.7788370903817883, -0.8011077956558884, -0.8350765015054733, -0.6901287271457085, -0.939793204120903, -0.793447299683663, -0.9429688986888202, -0.7329577452315915, -0.8594745304376086, -0.9881136943433284, -0.8421524683230251, -0.9657405189242684, -0.888580224831883, -0.8945797040834932, -0.6883175791188315, -0.7780941920645392, -0.7013309848174711, -0.749480845485907, -0.8303329952885817, -0.8249566487105986, -0.8545193016935906, -0.8894775103909702, -0.9265422590587474, -0.7322414584961485, -0.7436440742268717, -0.9214539816198652, -0.8604588161901686, -0.8314310841807493, -0.8360472054081319, -0.7489756094657565, -0.7233093899911925, -0.8931149497990882, -0.7956135637053782, -0.848731769366291, -0.9066411206853723, -0.8161895691254819, -0.81907606312626, -0.8569935832677026, -0.8652576595457889, -0.7920755888046676, -0.8528807135487383, -0.942522022438784, -0.8103167149470104, -0.8698524469565053, -0.8304219533761971, -0.9343350487503151, -0.9096215728370858, -0.7833721223704182, -0.8609211164610802, -0.9339757546714894]|589.0366821289062500|      0.50000000|[634, 208, 9, 61]                                                          |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 25 points FAILED TO GET X_HAT, using additional batch call | (iterate failure) trying more points before decreasing delta | trying linear partial model with 38 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 50 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 62 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 74 points FAILED TO GET X_HAT, using additional batch call | (iterate failure) trying more points before decreasing delta | trying linear partial model with 87 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 99 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 111 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
       8|[-0.8202014428282884, -0.7406013516372896, -0.9393351489455842, -0.7761028635940778, -0.7265939588833974, -0.8370968222385782, -0.8639038900725499, -0.8670730420741538, -0.8812134270859323, -0.85426348830091, -0.75775291058846, -0.773390288697279, -0.8605032442793109, -0.7091759727176996, -0.8284664462101794, -0.8554932521124853, -0.8907264043618172, -0.848747178696559, -0.6980693666606964, -0.8746565364431449, -0.9165274977502217, -0.8056976064255416, -0.9683563453924466, -0.9084397164578746, -0.765231024583046, -0.9485338379304664, -0.9538249414888842, -0.7650912723250212, -0.9559201353749724, -0.7862339420196315, -0.8704366279515081, -0.9690693248495554, -0.9158225317550993, -0.7504322851316975, -0.9034653419559278, -0.8638518910047366, -0.8224649853548869, -0.8788303717562701, -0.8702592527855293, -0.8956113965161001, -0.7251591812912729, -0.8708127360484071, -0.8279756762872783, -0.8975861641955791, -0.9088563227465235, -0.9735844878496682, -0.9915613777870894, -0.8193166605694762, -0.7757314826735372, -0.6132535901471206, -0.7981280426618312, -0.8486402240050818, -0.848024627889048, -0.8224686482088719, -0.9288991396691065, -0.8575729044570879, -0.9499168047422233, -0.7241607971567334, -0.8472224915745674, -1.0445463014528868, -0.8687926815418088, -1.0168746245450717, -0.9101831417404777, -0.8625544082959488, -0.6985257397435418, -0.7496436667299645, -0.708392177813437, -0.772025969135139, -0.7501440781946431, -0.8962934951503954, -0.8870019744605053, -0.9073597380240299, -0.8528417515576246, -0.7093500715064007, -0.835134545137395, -0.9785230256646497, -0.8330031184793479, -0.8468368150553895, -0.7580483134546832, -0.8479297425546148, -0.6784601084001941, -0.928505020473927, -0.7983593738175885, -0.8853456423266914, -0.8905919786651918, -0.891573083407546, -0.826679121160716, -0.8033397791192526, -0.8537750603113308, -0.8477928481417427, -0.8196000302737569, -0.9902059424752715, -0.8769310601462009, -0.8911415663099701, -0.9037589115746204, -0.9137367481695456, -0.9933915413540172, -0.7879959484129494, -0.8532269740268338, -0.9659430181055924]|576.1841430664062500|      1.00000000|[658, 216, 9, 63]                                                          |  | trying linear partial model with 13 points | iterate success | actual_k=4
       9|[-0.8202014428282884, -0.7406013516372896, -0.9393351489455842, -0.7761028635940778, -0.7265939588833974, -0.8370968222385782, -0.8639038900725499, -0.8670730420741538, -0.8812134270859323, -0.85426348830091, -0.75775291058846, -0.773390288697279, -0.8605032442793109, -0.7091759727176996, -0.8284664462101794, -0.8554932521124853, -0.8907264043618172, -0.848747178696559, -0.6980693666606964, -0.8746565364431449, -0.9165274977502217, -0.8056976064255416, -0.9683563453924466, -0.9084397164578746, -0.765231024583046, -0.9485338379304664, -0.9538249414888842, -0.7650912723250212, -0.9559201353749724, -0.7862339420196315, -0.8704366279515081, -0.9690693248495554, -0.9158225317550993, -0.7504322851316975, -0.9034653419559278, -0.8638518910047366, -0.8224649853548869, -0.8788303717562701, -0.8702592527855293, -0.8956113965161001, -0.7251591812912729, -0.8708127360484071, -0.8279756762872783, -0.8975861641955791, -0.9088563227465235, -0.9735844878496682, -0.9915613777870894, -0.8193166605694762, -0.7757314826735372, -0.6132535901471206, -0.7981280426618312, -0.8486402240050818, -0.848024627889048, -0.8224686482088719, -0.9288991396691065, -0.8575729044570879, -0.9499168047422233, -0.7241607971567334, -0.8472224915745674, -1.0445463014528868, -0.8687926815418088, -1.0168746245450717, -0.9101831417404777, -0.8625544082959488, -0.6985257397435418, -0.7496436667299645, -0.708392177813437, -0.772025969135139, -0.7501440781946431, -0.8962934951503954, -0.8870019744605053, -0.9073597380240299, -0.8528417515576246, -0.7093500715064007, -0.835134545137395, -0.9785230256646497, -0.8330031184793479, -0.8468368150553895, -0.7580483134546832, -0.8479297425546148, -0.6784601084001941, -0.928505020473927, -0.7983593738175885, -0.8853456423266914, -0.8905919786651918, -0.891573083407546, -0.826679121160716, -0.8033397791192526, -0.8537750603113308, -0.8477928481417427, -0.8196000302737569, -0.9902059424752715, -0.8769310601462009, -0.8911415663099701, -0.9037589115746204, -0.9137367481695456, -0.9933915413540172, -0.7879959484129494, -0.8532269740268338, -0.9659430181055924]|576.1841430664062500|      0.50000000|[781, 256, 12, 76]                                                         |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 25 points FAILED TO GET X_HAT, using additional batch call | (iterate failure) trying more points before decreasing delta | trying linear partial model with 38 points FAILED TO GET X_HAT, using additional batch call | (iterate failure) trying more points before decreasing delta | trying linear partial model with 51 points FAILED TO GET X_HAT, using additional batch call | (iterate failure) trying more points before decreasing delta | trying linear partial model with 64 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 76 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 88 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 100 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 112 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
      10|[-0.7726677260086832, -0.806669145000751, -0.9478821926010784, -0.8267483246817342, -0.7510647970420082, -0.873469596369545, -0.8660672405031781, -0.9517011577632956, -0.8401753370181917, -0.8790098229210916, -0.7290651142659613, -0.7860701234587918, -0.8199065033963235, -0.7263476495419832, -0.9175652295735914, -0.8379544765516918, -0.9315497032608723, -0.8760179330864761, -0.663341021988177, -0.7960885135048599, -0.8833291053300777, -0.808817430043456, -0.9851344229609296, -0.9105028019494049, -0.8021324685304543, -0.9368062837437832, -0.9580858340805105, -0.8319247627507135, -0.9419866397123133, -0.7265838911217993, -0.907054536559104, -0.8633484323555426, -0.9256163438160536, -0.7096188182481193, -0.9317868277431647, -0.9128894979089565, -0.9131130227939008, -0.9142208274691382, -0.8454746284614149, -0.9811026472614619, -0.770865484194608, -0.8885712030274856, -0.9400991855027245, -0.8785778653834807, -0.9512931192109866, -0.9361814654313474, -1.0626427843032842, -0.8288253766764335, -0.8453855425706557, -0.6397121208594493, -0.8395092745414943, -0.9163942608798967, -0.8569055740998732, -0.8315753486266437, -1.0362671017800058, -0.9081112375940098, -0.9718797598680692, -0.7961333829137871, -0.8106341778449346, -0.993395888294037, -0.8429896649458443, -1.0216128894589795, -0.9171811217317855, -0.8072051058005946, -0.8155833739063052, -0.7473140328852937, -0.6647020922867092, -0.7669543342795064, -0.7951522276631824, -0.8630763464593272, -1.0135141321743448, -1.0097133168596493, -0.9063128487813524, -0.6996592327728365, -0.8570202437289676, -1.0200874282963255, -0.9033013687583421, -0.8747182942647468, -0.7914107375199492, -0.8561034008342148, -0.6804789746702592, -0.9447120457677152, -0.8840638678934206, -0.8342111153800855, -0.8399231853449249, -0.8923199631731306, -0.7979422620275668, -0.8539410302052808, -0.8522560371544322, -0.8619799463935254, -0.8334041898973585, -0.9899836281426057, -0.8123197765242531, -0.9473478420433299, -0.9375169834340581, -0.9851393095734406, -0.9835337213732747, -0.7935592561630248, -0.9606718873855601, -0.9729682149718039]|555.1137695312500000|      1.00000000|[818, 268, 13, 80]                                                         |  | trying linear partial model with 13 points FAILED TO GET X_HAT, using additional batch call | (iterate failure) trying more points before decreasing delta | trying linear partial model with 26 points | iterate success | actual_k=4
