k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]|64352.0000000000000000|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[-1.003253156651404, -0.9070327157206022, -0.9848807822439355, -0.912373365612423, -0.9062968145404391, -0.9533399619231372, -0.9623216874401163, -1.022039836420629, -0.9161717552099042, -0.9409876520602622, -0.8360752205714658, -0.8982525925659314, -0.8944907478699806, -1.0441128065478378, -0.9655454759239095, -0.9054255297406427, -0.8505665083707448, -0.8696896642678751, -0.9677466539272074, -0.9045550473447367, -0.9982031651985475, -1.0664084296064864, -0.8595608531390275, -1.0156581495806305, -0.8888793294005819, -0.9046062365494549, -1.0223398340213905, -0.8924911816451447, -0.8030158444177571, -1.0057682247874682, -0.813543501954292, -0.864098321493348, -0.9816629806986058, -0.9197854217435154, -0.9238468958195116, -1.1207279747009287, -0.9626032738276113, -0.8109861065922872, -1.0655459592176755, -0.9122769683298685, -0.9275981926300834, -1.0265546667595329, -1.062322952961024, -1.0495173507577886, -1.0282131618170685, -1.0587909602631265, -1.0549366257885346, -0.97948350974345, -0.9518713029246568, -0.9318142056959189, -0.9906195212457252, -0.9944968694283692, -0.9022045376615235, -0.9162117724808206, -1.0286789451822271, -0.9337536992841602, -1.0033055365119343, -0.9942914149569619, -0.9493757374345592, -0.861693402613453, -0.9722401910671259, -0.9325449819869298, -0.8436451849667488, -0.8688293713369044, -0.8311469914271644, -0.993827066695605, -0.8424392410521482, -0.8336141511860065, -0.8365161267102962, -0.8706341350496745, -1.0539212119535322, -0.8092364063704347, -0.9997876675016211, -0.9162635928576591, -0.9088671081825807, -0.9201024652432475, -1.0495696876021237, -0.9085128229046843, -0.780472743682793, -0.7633991658750912, -0.9541438681956056, -0.981565359048002, -0.9397039558784952, -1.079415562513561, -0.9839858503590946, -0.7273324568373889, -0.8597790805201091, -0.9467896122289542, -0.9760896594525214, -1.051850472806996, -1.0097892512029583, -0.9889440674957803, -0.9834946886291558, -0.8541401723830148, -0.8473075531552181, -0.9107091157770292, -1.1831373204534426, -1.080842482996919]|59839.0937500000000000|      2.00000000|[95, 32, 0, 2]                                                             |  | trying linear partial model with 49 points | iterate success | actual_k=16
       2|[-1.003253156651404, -0.9070327157206022, -0.9848807822439355, -0.912373365612423, -0.9062968145404391, -0.9533399619231372, -0.9623216874401163, -1.022039836420629, -0.9161717552099042, -0.9409876520602622, -0.8360752205714658, -0.8982525925659314, -0.8944907478699806, -1.0441128065478378, -0.9655454759239095, -0.9054255297406427, -0.8505665083707448, -0.8696896642678751, -0.9677466539272074, -0.9045550473447367, -0.9982031651985475, -1.0664084296064864, -0.8595608531390275, -1.0156581495806305, -0.8888793294005819, -0.9046062365494549, -1.0223398340213905, -0.8924911816451447, -0.8030158444177571, -1.0057682247874682, -0.813543501954292, -0.864098321493348, -0.9816629806986058, -0.9197854217435154, -0.9238468958195116, -1.1207279747009287, -0.9626032738276113, -0.8109861065922872, -1.0655459592176755, -0.9122769683298685, -0.9275981926300834, -1.0265546667595329, -1.062322952961024, -1.0495173507577886, -1.0282131618170685, -1.0587909602631265, -1.0549366257885346, -0.97948350974345, -0.9518713029246568, -0.9318142056959189, -0.9906195212457252, -0.9944968694283692, -0.9022045376615235, -0.9162117724808206, -1.0286789451822271, -0.9337536992841602, -1.0033055365119343, -0.9942914149569619, -0.9493757374345592, -0.861693402613453, -0.9722401910671259, -0.9325449819869298, -0.8436451849667488, -0.8688293713369044, -0.8311469914271644, -0.993827066695605, -0.8424392410521482, -0.8336141511860065, -0.8365161267102962, -0.8706341350496745, -1.0539212119535322, -0.8092364063704347, -0.9997876675016211, -0.9162635928576591, -0.9088671081825807, -0.9201024652432475, -1.0495696876021237, -0.9085128229046843, -0.780472743682793, -0.7633991658750912, -0.9541438681956056, -0.981565359048002, -0.9397039558784952, -1.079415562513561, -0.9839858503590946, -0.7273324568373889, -0.8597790805201091, -0.9467896122289542, -0.9760896594525214, -1.051850472806996, -1.0097892512029583, -0.9889440674957803, -0.9834946886291558, -0.8541401723830148, -0.8473075531552181, -0.9107091157770292, -1.1831373204534426, -1.080842482996919]|59839.0937500000000000|      1.00000000|[235, 80, 0, 5]                                                            |  | trying linear partial model with 49 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 95 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=16
       3|[-0.9180860959211062, -0.7946895576219871, -0.7884888392038736, -1.038975052767855, -0.7281185695754243, -0.7985013466298106, -0.9157029874174549, -1.0420933988762184, -0.8410645221679873, -0.8200757959662983, -0.7971687725167352, -0.8803661704944882, -0.8912614606626793, -0.986137796814259, -0.942818973549885, -0.9059878182200762, -0.8506665044128922, -0.8835267886841758, -0.9300631537377321, -0.8263218999380945, -1.0210359256695687, -1.1304160302918176, -0.6053940754226022, -0.949598332082933, -0.7927724184734543, -0.8166963189369235, -0.8691127228057667, -0.9216341664812457, -0.7553900937450695, -1.0525038047848294, -0.8569962953375924, -0.7241247990079912, -0.9054488101295282, -0.9047128176573983, -0.7698422747844486, -1.064252928098271, -0.815940390297169, -0.6920392541219014, -0.9807167850682331, -0.8607645893319454, -0.7913783262569888, -1.0522068389743362, -0.9671792635540233, -0.8966407315293939, -0.958788841710333, -0.8402629480724364, -1.0845348819598792, -1.0293613989699506, -0.9394918015517878, -0.9893906906249393, -0.9710985383788604, -0.9879826231169286, -0.8429559658045028, -0.8028814676506122, -0.9272210007414156, -0.8364783809987043, -0.9699775200766578, -1.058876900785868, -0.9386141029611724, -0.7947427019305365, -0.9278769110754652, -0.7634321383537968, -0.9026499143595815, -0.9037928738884196, -0.7044204095688403, -0.9849459532499916, -0.859339963598001, -0.7310211779605066, -0.8246510140956504, -0.64275898547475, -0.9079277496474444, -0.7607269678258362, -0.9094862188670723, -0.7688604342748528, -1.0130061439596576, -0.9600053473203143, -0.9344813700542391, -1.0021264271407146, -0.7284463930121842, -0.5800418917667889, -0.812217681326013, -0.8884006733018572, -0.9050072371212766, -1.0659580993413567, -0.8336290170474518, -0.6665352080081061, -0.7019442820234928, -0.7687011846744811, -0.8649928166466863, -1.1300445878506662, -0.9349541624824151, -0.9311026954649471, -0.8364934857468382, -1.0080559270791618, -0.6836126707143481, -0.9651271309582261, -1.206224857892893, -1.0354935217467625]|56015.7695312500000000|      2.00000000|[330, 112, 0, 7]                                                           |  | trying linear partial model with 49 points | iterate success | actual_k=16
       4|[-0.9176722479993707, -0.648006743335934, -0.8557296370464813, -0.8491653906126322, -0.2835866939351132, -1.1635077653127315, -1.1614887632225295, -1.1926110210607574, -0.8509091345165849, -0.5525078084009012, -0.5898461324745058, -0.9872831037996199, -0.7444008145010397, -0.842472507136977, -0.9945034195450856, -0.8648844216170047, -0.8764189540723109, -0.8216669386563243, -0.7940756527731594, -0.5601189864345655, -0.7608071647061251, -0.9073830342988536, -0.5836199914507322, -1.0725010817436031, -0.7939299095762893, -1.0795869880715312, -0.8618353984675817, -1.092390491748398, -1.0620222320248942, -0.7993796252088896, -1.105074568464578, -0.9735021739922195, -0.9158824771794957, -0.7004816271499762, -0.7901936594417132, -0.9963868946936904, -0.5883537646606365, -0.5830930391006247, -0.7448322246266581, -0.7884756962614357, -0.8265104760332513, -1.1944379141434838, -0.8741446254546583, -0.4516286409819225, -0.6060508577257133, -0.4917019990964281, -0.8326953650061482, -0.9067551271054825, -1.0120405465874147, -0.8244508773383281, -0.7482313975961529, -0.6824813586190696, -0.9151615082751968, -0.7850834382184781, -0.8328142620721442, -0.7425642962467301, -0.7564021835683572, -0.8978657238608874, -0.7162453120428823, -0.7987431030511271, -0.8529858527757858, -0.490288706146526, -1.0388267882398083, -1.2904212638878225, -0.7880447547251576, -1.1410101256546705, -0.9864685790811654, -0.2783161973674373, -0.4332375132806936, -0.0697308840360449, -0.8444719643326579, -0.517253802317555, -0.8406991860197566, -0.7368895117481837, -1.0570815370624478, -1.1369830751554015, -1.1860274954607937, -0.8844190388189921, -0.6794686498875289, -0.3975315264197621, -0.8325002388247418, -0.8833654020047597, -1.042442006503034, -0.8385027520473256, -0.6201634674833867, -0.3071239310252817, -0.7901271761211275, -0.8328343997032339, -0.5919187401949331, -1.163089203615145, -0.7081456730843925, -0.9628689005622512, -0.6693766752170414, -0.7743201577608397, -0.6069009320151671, -0.9517801228096925, -1.3758570316157357, -1.0429700412118303]|53778.5664062500000000|      4.00000000|[424, 144, 0, 9]                                                           |  | trying linear partial model with 49 points | iterate success | actual_k=16
       5|[-0.9176722479993707, -0.648006743335934, -0.8557296370464813, -0.8491653906126322, -0.2835866939351132, -1.1635077653127315, -1.1614887632225295, -1.1926110210607574, -0.8509091345165849, -0.5525078084009012, -0.5898461324745058, -0.9872831037996199, -0.7444008145010397, -0.842472507136977, -0.9945034195450856, -0.8648844216170047, -0.8764189540723109, -0.8216669386563243, -0.7940756527731594, -0.5601189864345655, -0.7608071647061251, -0.9073830342988536, -0.5836199914507322, -1.0725010817436031, -0.7939299095762893, -1.0795869880715312, -0.8618353984675817, -1.092390491748398, -1.0620222320248942, -0.7993796252088896, -1.105074568464578, -0.9735021739922195, -0.9158824771794957, -0.7004816271499762, -0.7901936594417132, -0.9963868946936904, -0.5883537646606365, -0.5830930391006247, -0.7448322246266581, -0.7884756962614357, -0.8265104760332513, -1.1944379141434838, -0.8741446254546583, -0.4516286409819225, -0.6060508577257133, -0.4917019990964281, -0.8326953650061482, -0.9067551271054825, -1.0120405465874147, -0.8244508773383281, -0.7482313975961529, -0.6824813586190696, -0.9151615082751968, -0.7850834382184781, -0.8328142620721442, -0.7425642962467301, -0.7564021835683572, -0.8978657238608874, -0.7162453120428823, -0.7987431030511271, -0.8529858527757858, -0.490288706146526, -1.0388267882398083, -1.2904212638878225, -0.7880447547251576, -1.1410101256546705, -0.9864685790811654, -0.2783161973674373, -0.4332375132806936, -0.0697308840360449, -0.8444719643326579, -0.517253802317555, -0.8406991860197566, -0.7368895117481837, -1.0570815370624478, -1.1369830751554015, -1.1860274954607937, -0.8844190388189921, -0.6794686498875289, -0.3975315264197621, -0.8325002388247418, -0.8833654020047597, -1.042442006503034, -0.8385027520473256, -0.6201634674833867, -0.3071239310252817, -0.7901271761211275, -0.8328343997032339, -0.5919187401949331, -1.163089203615145, -0.7081456730843925, -0.9628689005622512, -0.6693766752170414, -0.7743201577608397, -0.6069009320151671, -0.9517801228096925, -1.3758570316157357, -1.0429700412118303]|53778.5664062500000000|      2.00000000|[563, 192, 0, 12]                                                          |  | trying linear partial model with 49 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 94 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=16
       6|[-1.0013840895583812, -0.7314169305792221, -0.9531370062997901, -0.7189585316089964, -0.2334716866301133, -1.1511045997840157, -1.078958951566548, -0.6367323153593518, -0.6607269383187107, -0.3244856864242406, -0.5606865426853649, -1.0101674252399793, -0.546390887223209, -0.7094299890032888, -0.887001186627933, -0.5840666156469789, -0.7425290545326013, -0.7779545137561913, -1.1922071579472215, -0.5863246397144646, -0.860456939733402, -0.6527843247977312, -0.9970162019316617, -1.0915298758562682, -0.7554694331520556, -0.8811114029413729, -0.7161808828278295, -0.7111365762762423, -0.7874952702753651, -0.5845850529899266, -1.0842669574109849, -0.8293203380012599, -0.9841904481435696, -0.7361865075979606, -1.0103265163804012, -1.2941889229279389, -0.416790245594691, -0.4258749362465362, -0.8400322320265006, -0.7256573051950165, -1.2008472666453716, -1.3012348362590456, -1.121515767147381, -0.1836183318390079, -0.3361145746514145, -0.666230002637194, -0.7736938686150407, -0.5641108871368563, -0.7787301754212902, -0.4508178422471136, -0.9911234743344646, -0.7485435110322539, -0.8852517183547512, -0.9295518503563458, -0.8551397472617157, -0.6260640380151233, -0.6363743899755941, -0.9220643815855332, -0.6624268672029625, -0.881850837343414, -0.8526637934260561, -0.3830503357583911, -0.8197575572006601, -1.1123959603856164, -0.6931379825437676, -1.1377199728839027, -0.667481507456142, -0.0284390399183589, -0.1998263261084622, -0.0493583240363226, -0.5179031507367593, -0.6348177279270961, -0.5732466456451661, -0.2772818978328331, -1.3886884369281716, -1.221903768163656, -1.0330371548386226, -0.6841435057312297, -0.5396030088823187, -0.4890701127328869, -0.6009121480777398, -0.5454544497821938, -1.0332348325677796, -1.1924566451516239, -0.6858901842789821, -0.3519276010207302, -0.6554845073605947, -0.7259232522530935, -0.4429700346124654, -1.0669952576704764, -0.645512459349406, -0.6801056766286833, -0.8307255930234656, -0.7605625479769877, -0.8324440879581109, -0.9220073853943109, -1.0795851348263152, -0.8177577627126127]|51330.4804687500000000|      4.00000000|[658, 224, 0, 14]                                                          |  | trying linear partial model with 49 points | iterate success | actual_k=16
       7|[-1.0013840895583812, -0.7314169305792221, -0.9531370062997901, -0.7189585316089964, -0.2334716866301133, -1.1511045997840157, -1.078958951566548, -0.6367323153593518, -0.6607269383187107, -0.3244856864242406, -0.5606865426853649, -1.0101674252399793, -0.546390887223209, -0.7094299890032888, -0.887001186627933, -0.5840666156469789, -0.7425290545326013, -0.7779545137561913, -1.1922071579472215, -0.5863246397144646, -0.860456939733402, -0.6527843247977312, -0.9970162019316617, -1.0915298758562682, -0.7554694331520556, -0.8811114029413729, -0.7161808828278295, -0.7111365762762423, -0.7874952702753651, -0.5845850529899266, -1.0842669574109849, -0.8293203380012599, -0.9841904481435696, -0.7361865075979606, -1.0103265163804012, -1.2941889229279389, -0.416790245594691, -0.4258749362465362, -0.8400322320265006, -0.7256573051950165, -1.2008472666453716, -1.3012348362590456, -1.121515767147381, -0.1836183318390079, -0.3361145746514145, -0.666230002637194, -0.7736938686150407, -0.5641108871368563, -0.7787301754212902, -0.4508178422471136, -0.9911234743344646, -0.7485435110322539, -0.8852517183547512, -0.9295518503563458, -0.8551397472617157, -0.6260640380151233, -0.6363743899755941, -0.9220643815855332, -0.6624268672029625, -0.881850837343414, -0.8526637934260561, -0.3830503357583911, -0.8197575572006601, -1.1123959603856164, -0.6931379825437676, -1.1377199728839027, -0.667481507456142, -0.0284390399183589, -0.1998263261084622, -0.0493583240363226, -0.5179031507367593, -0.6348177279270961, -0.5732466456451661, -0.2772818978328331, -1.3886884369281716, -1.221903768163656, -1.0330371548386226, -0.6841435057312297, -0.5396030088823187, -0.4890701127328869, -0.6009121480777398, -0.5454544497821938, -1.0332348325677796, -1.1924566451516239, -0.6858901842789821, -0.3519276010207302, -0.6554845073605947, -0.7259232522530935, -0.4429700346124654, -1.0669952576704764, -0.645512459349406, -0.6801056766286833, -0.8307255930234656, -0.7605625479769877, -0.8324440879581109, -0.9220073853943109, -1.0795851348263152, -0.8177577627126127]|51330.4804687500000000|      2.00000000|[799, 272, 0, 17]                                                          |  | trying linear partial model with 49 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 95 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=16
       8|[-1.0013840895583812, -0.7314169305792221, -0.9531370062997901, -0.7189585316089964, -0.2334716866301133, -1.1511045997840157, -1.078958951566548, -0.6367323153593518, -0.6607269383187107, -0.3244856864242406, -0.5606865426853649, -1.0101674252399793, -0.546390887223209, -0.7094299890032888, -0.887001186627933, -0.5840666156469789, -0.7425290545326013, -0.7779545137561913, -1.1922071579472215, -0.5863246397144646, -0.860456939733402, -0.6527843247977312, -0.9970162019316617, -1.0915298758562682, -0.7554694331520556, -0.8811114029413729, -0.7161808828278295, -0.7111365762762423, -0.7874952702753651, -0.5845850529899266, -1.0842669574109849, -0.8293203380012599, -0.9841904481435696, -0.7361865075979606, -1.0103265163804012, -1.2941889229279389, -0.416790245594691, -0.4258749362465362, -0.8400322320265006, -0.7256573051950165, -1.2008472666453716, -1.3012348362590456, -1.121515767147381, -0.1836183318390079, -0.3361145746514145, -0.666230002637194, -0.7736938686150407, -0.5641108871368563, -0.7787301754212902, -0.4508178422471136, -0.9911234743344646, -0.7485435110322539, -0.8852517183547512, -0.9295518503563458, -0.8551397472617157, -0.6260640380151233, -0.6363743899755941, -0.9220643815855332, -0.6624268672029625, -0.881850837343414, -0.8526637934260561, -0.3830503357583911, -0.8197575572006601, -1.1123959603856164, -0.6931379825437676, -1.1377199728839027, -0.667481507456142, -0.0284390399183589, -0.1998263261084622, -0.0493583240363226, -0.5179031507367593, -0.6348177279270961, -0.5732466456451661, -0.2772818978328331, -1.3886884369281716, -1.221903768163656, -1.0330371548386226, -0.6841435057312297, -0.5396030088823187, -0.4890701127328869, -0.6009121480777398, -0.5454544497821938, -1.0332348325677796, -1.1924566451516239, -0.6858901842789821, -0.3519276010207302, -0.6554845073605947, -0.7259232522530935, -0.4429700346124654, -1.0669952576704764, -0.645512459349406, -0.6801056766286833, -0.8307255930234656, -0.7605625479769877, -0.8324440879581109, -0.9220073853943109, -1.0795851348263152, -0.8177577627126127]|51330.4804687500000000|      1.00000000|[939, 320, 0, 20]                                                          |  | trying linear partial model with 49 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 95 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=16
       9|[-0.8709995113427493, -0.7801598619866841, -0.9126861229097137, -0.7475780257137817, -0.363071353635434, -1.0832300936281296, -0.893649347112571, -0.7014341922760278, -0.6936512530856221, -0.3042788475059333, -0.5608836636589103, -1.034948189678441, -0.6768045126601792, -0.7724429896774988, -1.0004337004538708, -0.6272975478395878, -0.6328320594264559, -0.6883665216781456, -1.032358704180388, -0.6796553873106004, -0.8856036738550139, -0.5621483268881119, -0.8061102871447026, -1.0521691156610367, -0.7297171328492518, -0.8013288418661112, -0.5707298537876957, -0.6663197309172995, -0.6120382607934527, -0.5049288415124394, -0.9555529954610567, -0.7657703413634115, -0.9025989549789133, -0.7460883497625141, -0.913150978436724, -1.1372177812550548, -0.3773460493231243, -0.4025041159398583, -0.8048563930237369, -0.6935683599907618, -0.9849970205141911, -1.095008390003681, -1.0226754181884834, -0.0691096548294122, -0.3366301265721037, -0.5933232128560534, -0.7443547721356915, -0.557985892888425, -0.7862283649835256, -0.3448722898333889, -0.945228720052343, -0.6669605746198561, -0.9595712336953486, -0.8544702103934299, -0.8372503534137471, -0.4565555850155785, -0.5218501702425785, -0.8804318561881819, -0.6695944684093904, -0.9593268839899168, -0.7675898412979452, -0.3833828754899574, -0.8571846810257437, -0.9952850210325899, -0.5068592867688133, -1.0654539445037718, -0.5577518847860266, -0.1502570295509056, -0.2574981709962879, -0.0852767599559165, -0.6187674828532637, -0.5704735760062052, -0.5299318896817152, -0.3672305097404639, -1.3324951698670449, -0.9593862140228149, -0.9462476490535023, -0.5544644736916303, -0.5025494505468966, -0.4660637635869538, -0.6600652953143595, -0.5626856973426635, -0.7557617061416331, -1.3374585047548342, -0.6866909596905948, -0.459535141476911, -0.59657507142804, -0.7686132344473288, -0.5676350233615167, -0.98071538186439, -0.5593344230245789, -0.5314385110650879, -0.8076294386969431, -0.6302481419711778, -0.7751301227349116, -0.7820348604878504, -1.0294317041091943, -0.690248256181364]|48608.8710937500000000|      2.00000000|[1033, 352, 0, 22]                                                         |  | trying linear partial model with 49 points | iterate success | actual_k=16
      10|[-0.8709995113427493, -0.7801598619866841, -0.9126861229097137, -0.7475780257137817, -0.363071353635434, -1.0832300936281296, -0.893649347112571, -0.7014341922760278, -0.6936512530856221, -0.3042788475059333, -0.5608836636589103, -1.034948189678441, -0.6768045126601792, -0.7724429896774988, -1.0004337004538708, -0.6272975478395878, -0.6328320594264559, -0.6883665216781456, -1.032358704180388, -0.6796553873106004, -0.8856036738550139, -0.5621483268881119, -0.8061102871447026, -1.0521691156610367, -0.7297171328492518, -0.8013288418661112, -0.5707298537876957, -0.6663197309172995, -0.6120382607934527, -0.5049288415124394, -0.9555529954610567, -0.7657703413634115, -0.9025989549789133, -0.7460883497625141, -0.913150978436724, -1.1372177812550548, -0.3773460493231243, -0.4025041159398583, -0.8048563930237369, -0.6935683599907618, -0.9849970205141911, -1.095008390003681, -1.0226754181884834, -0.0691096548294122, -0.3366301265721037, -0.5933232128560534, -0.7443547721356915, -0.557985892888425, -0.7862283649835256, -0.3448722898333889, -0.945228720052343, -0.6669605746198561, -0.9595712336953486, -0.8544702103934299, -0.8372503534137471, -0.4565555850155785, -0.5218501702425785, -0.8804318561881819, -0.6695944684093904, -0.9593268839899168, -0.7675898412979452, -0.3833828754899574, -0.8571846810257437, -0.9952850210325899, -0.5068592867688133, -1.0654539445037718, -0.5577518847860266, -0.1502570295509056, -0.2574981709962879, -0.0852767599559165, -0.6187674828532637, -0.5704735760062052, -0.5299318896817152, -0.3672305097404639, -1.3324951698670449, -0.9593862140228149, -0.9462476490535023, -0.5544644736916303, -0.5025494505468966, -0.4660637635869538, -0.6600652953143595, -0.5626856973426635, -0.7557617061416331, -1.3374585047548342, -0.6866909596905948, -0.459535141476911, -0.59657507142804, -0.7686132344473288, -0.5676350233615167, -0.98071538186439, -0.5593344230245789, -0.5314385110650879, -0.8076294386969431, -0.6302481419711778, -0.7751301227349116, -0.7820348604878504, -1.0294317041091943, -0.690248256181364]|48608.8710937500000000|      1.00000000|[1172, 400, 0, 25]                                                         |  | trying linear partial model with 49 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 95 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=16
