k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[-0.8, 1.2, -1.2, 0.8, -0.8, 1.2, -1.2, 0.8, -0.8, 1.2, -1.2, 0.8, -0.8, 1.2, -1.2, 0.8, -0.8, 1.2, -1.2, 0.8, -0.8, 1.2, -1.2, 0.8, -0.8, 1.2, -1.2, 0.8, -0.8, 1.2, -1.2, 0.8, -0.8, 1.2, -1.2, 0.8, -0.8, 1.2, -1.2, 0.8, -0.8, 1.2, -1.2, 0.8, -0.8, 1.2, -1.2, 0.8, -0.8, 1.2, -1.2, 0.8, -0.8, 1.2, -1.2, 0.8, -0.8, 1.2, -1.2, 0.8, -0.8, 1.2, -1.2, 0.8, -0.8, 1.2, -1.2, 0.8, -0.8, 1.2, -1.2, 0.8, -0.8, 1.2, -1.2, 0.8, -0.8, 1.2, -1.2, 0.8, -0.8, 1.2, -1.2, 0.8, -0.8, 1.2, -1.2, 0.8, -0.8, 1.2, -1.2, 0.8, -0.8, 1.2, -1.2, 0.8, -0.8, 1.2, -1.2, 0.8]|27015.8467613624197838|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[-0.795232287576345, 1.1058131233081558, -1.2280181252742999, 0.8869598147202438, -0.844064619613623, 1.174721415687307, -1.1816187729539043, 0.8956665422244016, -0.7705921970055539, 1.1232025945802628, -1.1167249219095428, 0.8416318020521734, -0.7452143202709403, 1.3142739383270219, -1.237678018018922, 0.7624150682991467, -0.8152414467288314, 1.243835164040901, -1.3039762361352554, 0.7876799284528009, -0.8601282599615316, 1.157444611227219, -1.2240734025027913, 0.8247674056884675, -0.807416273170339, 1.3392274356022764, -1.3322757637629916, 0.6793456309411506, -0.6908660655939046, 1.3628917682766062, -1.290295320472041, 1.0245372241759094, -0.6134499959198212, 1.351639010272986, -1.255947881933795, 0.9648162231055154, -0.7649650716491433, 1.318206286394521, -1.3180443845086889, 0.7007857424161655, -0.782316077772672, 1.172085762249458, -1.0245190706876832, 0.7713334313518574, -0.7704278416301037, 1.1596083948077118, -1.0940758835824782, 0.8300711653333588, -0.6143246435067911, 1.1315031909965168, -1.2762789758715836, 0.8274738553483072, -0.8803614387686691, 1.3346790367167318, -1.0980685329698083, 0.9220158576487129, -0.8850901513415522, 1.196397206874363, -1.2842631915130813, 0.8592976588124766, -0.9173799300710739, 1.0840750435637954, -1.209469600896624, 1.0169995718624505, -0.7367153839430534, 1.4016645582078526, -1.2854297082127477, 0.9663490883470532, -0.8839058914971482, 1.3074462563775942, -1.2153247881748037, 0.9121923444812707, -0.8142221260569973, 1.2246962999791113, -1.4323287791626242, 1.0286973126655647, -0.909933983488967, 1.202943873231047, -1.2010473423045396, 0.7386948557618813, -0.7819884100931808, 1.2211146001026405, -1.1927655904252654, 0.8468066842253045, -0.9576914619412638, 1.0881389830478556, -1.3022387142844956, 0.7784587982515097, -0.9126024887234009, 1.3581299272842746, -1.1868179072307319, 0.8976621398161594, -0.920735066425862, 1.2665553253115112, -1.216654532910369, 0.7702205363273362, -0.8545137155363965, 1.2660274899641544, -1.3836504470205377, 0.6908863894284037]|22305.5546875000000000|      2.00000000|[29, 2, 0, 2]                                                              |  | trying linear partial model with 16 points | iterate success | actual_k=1
       2|[-0.7866023293418614, 0.8449450890307926, -1.1437152644059072, 0.9883895205686596, -0.9432264545693995, 1.2271952339097723, -1.6028165212088525, 0.8237042519877344, -0.8864695561361893, 1.317020660089789, -1.1598859131483013, 0.7460647180866472, -0.6453525409968118, 1.2197867384502294, -1.4788923519887365, 0.744771232874901, -0.8520810947592401, 1.592921777637232, -1.0345879295566545, 0.3012202294828325, -1.0136873411080494, 1.0403786204981338, -1.2180066996052656, 0.9009390109066765, -1.187962116580271, 1.2852051914365987, -1.6402990431513926, 0.3466441832826145, -1.061221382851821, 1.1731792146828737, -0.9070508724824486, 1.0142628657186292, -0.8276922765569429, 1.3969129264834514, -1.28283558932457, 0.9853137720816195, -0.9586784614575576, 1.5049494160532668, -1.1340671865252372, 0.7029609513359143, -0.6711551103079197, 1.4890860544110542, -1.36446570375425, 1.0111045916264612, -0.6794585410703631, 1.009039534039969, -1.1547621007851903, 1.0155178334780837, -0.6223688387226386, 1.2394958680180341, -1.2817536830995735, 0.5503626992295835, -0.6501047096589281, 1.449845369129548, -0.8309594999332857, 1.1913815659042282, -0.6620807431317376, 1.452102298088815, -1.5864576950832905, 0.9598619700342914, -0.621305842722444, 0.9281547290548474, -1.0021425437067433, 1.0985759656692662, -0.8608821264300202, 1.5438357539738132, -1.220233381750076, 1.093077400409042, -0.883595513532784, 1.429118558059886, -1.316813433837796, 1.109064195159173, -0.9808049486161936, 1.2447001855663387, -1.3583464646896997, 0.7945250903147825, -0.731619783160667, 1.3733675745356937, -1.2517014572574088, 1.1156726456885364, -0.9560095675665592, 1.0206591514835273, -1.5243767979398157, 1.257439185509128, -1.2568038439670688, 1.1623671509991242, -1.5346845758644003, 1.0400300708017745, -1.252676841317296, 1.485254950804408, -1.2701087888044822, 0.858819548860768, -1.0139611042014194, 1.2931499169934595, -1.1237542003851697, 0.7146343821092204, -1.1085915952009233, 1.2292633427857476, -1.2509762384734746, 0.8273447850057343]|18760.5976562500000000|      4.00000000|[58, 4, 0, 4]                                                              |  | trying linear partial model with 16 points | iterate success | actual_k=1
       3|[-0.7866023293418614, 0.8449450890307926, -1.1437152644059072, 0.9883895205686596, -0.9432264545693995, 1.2271952339097723, -1.6028165212088525, 0.8237042519877344, -0.8864695561361893, 1.317020660089789, -1.1598859131483013, 0.7460647180866472, -0.6453525409968118, 1.2197867384502294, -1.4788923519887365, 0.744771232874901, -0.8520810947592401, 1.592921777637232, -1.0345879295566545, 0.3012202294828325, -1.0136873411080494, 1.0403786204981338, -1.2180066996052656, 0.9009390109066765, -1.187962116580271, 1.2852051914365987, -1.6402990431513926, 0.3466441832826145, -1.061221382851821, 1.1731792146828737, -0.9070508724824486, 1.0142628657186292, -0.8276922765569429, 1.3969129264834514, -1.28283558932457, 0.9853137720816195, -0.9586784614575576, 1.5049494160532668, -1.1340671865252372, 0.7029609513359143, -0.6711551103079197, 1.4890860544110542, -1.36446570375425, 1.0111045916264612, -0.6794585410703631, 1.009039534039969, -1.1547621007851903, 1.0155178334780837, -0.6223688387226386, 1.2394958680180341, -1.2817536830995735, 0.5503626992295835, -0.6501047096589281, 1.449845369129548, -0.8309594999332857, 1.1913815659042282, -0.6620807431317376, 1.452102298088815, -1.5864576950832905, 0.9598619700342914, -0.621305842722444, 0.9281547290548474, -1.0021425437067433, 1.0985759656692662, -0.8608821264300202, 1.5438357539738132, -1.220233381750076, 1.093077400409042, -0.883595513532784, 1.429118558059886, -1.316813433837796, 1.109064195159173, -0.9808049486161936, 1.2447001855663387, -1.3583464646896997, 0.7945250903147825, -0.731619783160667, 1.3733675745356937, -1.2517014572574088, 1.1156726456885364, -0.9560095675665592, 1.0206591514835273, -1.5243767979398157, 1.257439185509128, -1.2568038439670688, 1.1623671509991242, -1.5346845758644003, 1.0400300708017745, -1.252676841317296, 1.485254950804408, -1.2701087888044822, 0.858819548860768, -1.0139611042014194, 1.2931499169934595, -1.1237542003851697, 0.7146343821092204, -1.1085915952009233, 1.2292633427857476, -1.2509762384734746, 0.8273447850057343]|18760.5976562500000000|      2.00000000|[180, 13, 0, 13]                                                           |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 30 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 43 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 56 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 69 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 83 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 97 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 110 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       4|[-0.7866023293418614, 0.8449450890307926, -1.1437152644059072, 0.9883895205686596, -0.9432264545693995, 1.2271952339097723, -1.6028165212088525, 0.8237042519877344, -0.8864695561361893, 1.317020660089789, -1.1598859131483013, 0.7460647180866472, -0.6453525409968118, 1.2197867384502294, -1.4788923519887365, 0.744771232874901, -0.8520810947592401, 1.592921777637232, -1.0345879295566545, 0.3012202294828325, -1.0136873411080494, 1.0403786204981338, -1.2180066996052656, 0.9009390109066765, -1.187962116580271, 1.2852051914365987, -1.6402990431513926, 0.3466441832826145, -1.061221382851821, 1.1731792146828737, -0.9070508724824486, 1.0142628657186292, -0.8276922765569429, 1.3969129264834514, -1.28283558932457, 0.9853137720816195, -0.9586784614575576, 1.5049494160532668, -1.1340671865252372, 0.7029609513359143, -0.6711551103079197, 1.4890860544110542, -1.36446570375425, 1.0111045916264612, -0.6794585410703631, 1.009039534039969, -1.1547621007851903, 1.0155178334780837, -0.6223688387226386, 1.2394958680180341, -1.2817536830995735, 0.5503626992295835, -0.6501047096589281, 1.449845369129548, -0.8309594999332857, 1.1913815659042282, -0.6620807431317376, 1.452102298088815, -1.5864576950832905, 0.9598619700342914, -0.621305842722444, 0.9281547290548474, -1.0021425437067433, 1.0985759656692662, -0.8608821264300202, 1.5438357539738132, -1.220233381750076, 1.093077400409042, -0.883595513532784, 1.429118558059886, -1.316813433837796, 1.109064195159173, -0.9808049486161936, 1.2447001855663387, -1.3583464646896997, 0.7945250903147825, -0.731619783160667, 1.3733675745356937, -1.2517014572574088, 1.1156726456885364, -0.9560095675665592, 1.0206591514835273, -1.5243767979398157, 1.257439185509128, -1.2568038439670688, 1.1623671509991242, -1.5346845758644003, 1.0400300708017745, -1.252676841317296, 1.485254950804408, -1.2701087888044822, 0.858819548860768, -1.0139611042014194, 1.2931499169934595, -1.1237542003851697, 0.7146343821092204, -1.1085915952009233, 1.2292633427857476, -1.2509762384734746, 0.8273447850057343]|18760.5976562500000000|      1.00000000|[302, 22, 0, 22]                                                           |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 29 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 42 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 56 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 70 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 83 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 96 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 109 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       5|[-0.8484631634949781, 0.8375810968169296, -1.0190603699774805, 0.9103805196385477, -0.9861163954067503, 1.1536604876782415, -1.6496277108622832, 1.0090903158361695, -0.9149446335374253, 1.3392376177834835, -1.2969868818534784, 0.7113047150821213, -0.552607513375204, 1.1743396143607254, -1.5860790945944667, 0.7916579709279115, -0.7986215613899463, 1.4810876428559379, -1.1456543487339657, 0.4209030334249321, -0.9809741721128133, 1.192786824841517, -1.0969313207941451, 0.9777577421002286, -1.1498307742524816, 1.3870996045211503, -1.5982558936834463, 0.4122250504192438, -1.1254122582245611, 1.1956202228692798, -0.8101797037126365, 1.101550620634899, -0.8234599524036288, 1.2829066087657812, -1.2782817952460956, 1.0481644064107738, -0.9307139360955766, 1.600325977196898, -1.2857535732276846, 0.6143140584671687, -0.6288021024283484, 1.57539431625329, -1.4266546497473236, 0.9442690825947815, -0.6353493839538471, 1.0345143113768271, -1.4201192503005027, 1.2055402078604842, -0.39648744225091, 1.400121762786736, -1.3711858806164103, 0.5211002719935265, -0.5823887741530485, 1.5576196651561003, -0.9751542845047245, 1.335268288510608, -0.5914499129046037, 1.3857034515047073, -1.4396946432991689, 1.1702747434313119, -0.8343773797449372, 0.8688834357732168, -1.0519507162815465, 1.0437100123563219, -0.6973575468955373, 1.629726618787863, -1.2202060718334788, 1.0016828144094392, -0.8393597927204951, 1.6262065611374252, -1.0436654503289124, 1.1345527038286563, -1.0269278080483966, 1.309610225536487, -1.3640380091676496, 0.8557912449277824, -0.6698366558100288, 1.4879793265436354, -1.3154091595915662, 1.0577037178690911, -0.8563555479507103, 0.9938023253467403, -1.5990571830038325, 1.2443720279526322, -1.2409909374905053, 1.0885054716285627, -1.552513193113868, 1.0614001313106853, -1.1484289077623053, 1.283816854662756, -1.3432588903546794, 0.8885819503173322, -0.9985460051641453, 1.3170970454756334, -1.106072863899403, 0.8147969539651563, -1.0895840659408877, 1.1070876455188066, -1.2850033226684674, 0.8262591694535815]|17126.8222656250000000|      2.00000000|[330, 24, 0, 24]                                                           |  | trying linear partial model with 16 points | iterate success | actual_k=1
       6|[-0.8484631634949781, 0.8375810968169296, -1.0190603699774805, 0.9103805196385477, -0.9861163954067503, 1.1536604876782415, -1.6496277108622832, 1.0090903158361695, -0.9149446335374253, 1.3392376177834835, -1.2969868818534784, 0.7113047150821213, -0.552607513375204, 1.1743396143607254, -1.5860790945944667, 0.7916579709279115, -0.7986215613899463, 1.4810876428559379, -1.1456543487339657, 0.4209030334249321, -0.9809741721128133, 1.192786824841517, -1.0969313207941451, 0.9777577421002286, -1.1498307742524816, 1.3870996045211503, -1.5982558936834463, 0.4122250504192438, -1.1254122582245611, 1.1956202228692798, -0.8101797037126365, 1.101550620634899, -0.8234599524036288, 1.2829066087657812, -1.2782817952460956, 1.0481644064107738, -0.9307139360955766, 1.600325977196898, -1.2857535732276846, 0.6143140584671687, -0.6288021024283484, 1.57539431625329, -1.4266546497473236, 0.9442690825947815, -0.6353493839538471, 1.0345143113768271, -1.4201192503005027, 1.2055402078604842, -0.39648744225091, 1.400121762786736, -1.3711858806164103, 0.5211002719935265, -0.5823887741530485, 1.5576196651561003, -0.9751542845047245, 1.335268288510608, -0.5914499129046037, 1.3857034515047073, -1.4396946432991689, 1.1702747434313119, -0.8343773797449372, 0.8688834357732168, -1.0519507162815465, 1.0437100123563219, -0.6973575468955373, 1.629726618787863, -1.2202060718334788, 1.0016828144094392, -0.8393597927204951, 1.6262065611374252, -1.0436654503289124, 1.1345527038286563, -1.0269278080483966, 1.309610225536487, -1.3640380091676496, 0.8557912449277824, -0.6698366558100288, 1.4879793265436354, -1.3154091595915662, 1.0577037178690911, -0.8563555479507103, 0.9938023253467403, -1.5990571830038325, 1.2443720279526322, -1.2409909374905053, 1.0885054716285627, -1.552513193113868, 1.0614001313106853, -1.1484289077623053, 1.283816854662756, -1.3432588903546794, 0.8885819503173322, -0.9985460051641453, 1.3170970454756334, -1.106072863899403, 0.8147969539651563, -1.0895840659408877, 1.1070876455188066, -1.2850033226684674, 0.8262591694535815]|17126.8222656250000000|      1.00000000|[450, 33, 0, 33]                                                           |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 29 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 42 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 55 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 68 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 81 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 94 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 107 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       7|[-0.8792830140863788, 0.7992348056760411, -1.0090970835387072, 1.0477396064796491, -1.0941999487744152, 1.1349456111832303, -1.6005083451200433, 0.955095198295664, -0.9835645040219506, 1.3452993253802579, -1.2248829074218637, 0.8424243621402423, -0.6015373043361013, 1.0351120498527009, -1.6075194634695014, 0.7862778973898455, -0.7392746451691511, 1.5815545635079462, -1.1858080948629792, 0.3713728976377388, -1.0016747841910354, 1.2227830380993716, -1.1907604777890086, 1.0960809842009307, -1.1823364668912641, 1.4096537939015485, -1.5689471179788208, 0.6121031061112365, -1.0947583501633462, 1.3248864882476634, -0.8940945845808126, 1.2117895718563985, -0.9625948276976567, 1.6171047718358709, -1.3838517844106422, 1.1380558978769997, -1.1052824965940902, 1.6107784990616478, -1.3391318012277618, 0.5969181392481291, -0.746939192644918, 1.4310056323600642, -1.6175232591115858, 0.8115672366951459, -0.5237967740089651, 0.9900115082861976, -1.3345812535650268, 1.3046835981086808, -0.3063665888520799, 1.4370214952511027, -1.3151611141453463, 0.550343734131651, -0.5828515783108639, 1.6610201144504215, -1.0411023548048726, 1.37756317023581, -0.6126542517595315, 1.1320464802053753, -1.320641086578061, 1.1416984399621115, -0.8156772589745778, 1.1541489294034144, -1.074737137684646, 1.111398063820452, -0.7437514678158198, 1.646290144329167, -1.3646665148473995, 1.0327529354785785, -0.8307171697028358, 1.6608088466020954, -0.9115200219297938, 1.1449610404392623, -1.1380359962729072, 1.3147662599230763, -1.309692669472051, 0.8947757896519773, -0.6820440842638372, 1.5262923634016048, -1.2591552619396256, 1.0643796841181192, -0.934032682658001, 1.137780048992272, -1.7668295249068546, 1.1399835972573613, -1.1891369487883356, 0.9523419425442736, -1.6707131543982077, 1.1338666472650916, -1.2812024590772844, 1.3688701896067603, -1.374213532249373, 0.9939092174974278, -0.9498862258623949, 1.1618363382601138, -1.1872410237074358, 0.8543611529653208, -1.0522853846806421, 1.0822909062962127, -1.0939622912346654, 0.9178933313038548]|15574.5712890625000000|      2.00000000|[491, 36, 0, 36]                                                           |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 29 points | iterate success | actual_k=1
       8|[-0.8792830140863788, 0.7992348056760411, -1.0090970835387072, 1.0477396064796491, -1.0941999487744152, 1.1349456111832303, -1.6005083451200433, 0.955095198295664, -0.9835645040219506, 1.3452993253802579, -1.2248829074218637, 0.8424243621402423, -0.6015373043361013, 1.0351120498527009, -1.6075194634695014, 0.7862778973898455, -0.7392746451691511, 1.5815545635079462, -1.1858080948629792, 0.3713728976377388, -1.0016747841910354, 1.2227830380993716, -1.1907604777890086, 1.0960809842009307, -1.1823364668912641, 1.4096537939015485, -1.5689471179788208, 0.6121031061112365, -1.0947583501633462, 1.3248864882476634, -0.8940945845808126, 1.2117895718563985, -0.9625948276976567, 1.6171047718358709, -1.3838517844106422, 1.1380558978769997, -1.1052824965940902, 1.6107784990616478, -1.3391318012277618, 0.5969181392481291, -0.746939192644918, 1.4310056323600642, -1.6175232591115858, 0.8115672366951459, -0.5237967740089651, 0.9900115082861976, -1.3345812535650268, 1.3046835981086808, -0.3063665888520799, 1.4370214952511027, -1.3151611141453463, 0.550343734131651, -0.5828515783108639, 1.6610201144504215, -1.0411023548048726, 1.37756317023581, -0.6126542517595315, 1.1320464802053753, -1.320641086578061, 1.1416984399621115, -0.8156772589745778, 1.1541489294034144, -1.074737137684646, 1.111398063820452, -0.7437514678158198, 1.646290144329167, -1.3646665148473995, 1.0327529354785785, -0.8307171697028358, 1.6608088466020954, -0.9115200219297938, 1.1449610404392623, -1.1380359962729072, 1.3147662599230763, -1.309692669472051, 0.8947757896519773, -0.6820440842638372, 1.5262923634016048, -1.2591552619396256, 1.0643796841181192, -0.934032682658001, 1.137780048992272, -1.7668295249068546, 1.1399835972573613, -1.1891369487883356, 0.9523419425442736, -1.6707131543982077, 1.1338666472650916, -1.2812024590772844, 1.3688701896067603, -1.374213532249373, 0.9939092174974278, -0.9498862258623949, 1.1618363382601138, -1.1872410237074358, 0.8543611529653208, -1.0522853846806421, 1.0822909062962127, -1.0939622912346654, 0.9178933313038548]|15574.5712890625000000|      1.00000000|[610, 45, 0, 45]                                                           |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 29 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 42 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 55 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 68 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 81 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 94 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 107 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       9|[-0.8202894578002128, 0.8470466263897238, -1.0729669642374229, 1.052690781383735, -1.0013673419088687, 1.1507198369453138, -1.499631603522775, 1.016410820034324, -1.0647220531719626, 1.3006582459794296, -1.2409081461185947, 0.8630803692712328, -0.6171591889326953, 0.9710748499844445, -1.7021376990643395, 0.9461324838485972, -0.8251817991837339, 1.5897365148797984, -1.1501535710732178, 0.416957204126961, -1.0111238069387656, 1.1575057476861703, -1.2588769618865343, 1.1868071612150126, -1.229797931159803, 1.4841222104519205, -1.7647390424094005, 0.6850457459423257, -1.174482791265516, 1.3851224705175667, -1.140258860865115, 1.1362779229426974, -0.8595226483713456, 1.6461812473994641, -1.584304924194151, 0.9198386625401296, -0.8855275514296198, 1.482530160816348, -1.3884841450426237, 0.7055435711751198, -0.6364986707616483, 1.4770075250098988, -1.4847500008452386, 0.8072857931642197, -0.6867235496178334, 1.0468790740043001, -1.1566958474043196, 1.3327922029820163, -0.2726076397462338, 1.5415589671662422, -1.4212753377372784, 0.7444698826220754, -0.4636995019674133, 1.77207029261015, -1.121974705076979, 1.5992533563136564, -0.6087813121740556, 1.188758560355781, -1.3515731795646673, 1.1223356826693929, -0.9758811128327177, 1.1617760323792201, -1.0426468780542073, 1.2052087301976702, -0.9418442212138237, 1.7878935645360632, -1.3465110760080603, 1.1498308010651264, -0.7055685756589064, 1.612337013356042, -0.9079817987172029, 1.0897775854693215, -1.1595669322231321, 1.3241179055920063, -1.2251575065417015, 0.895315789013656, -0.6218271420165017, 1.5901224490213206, -1.2234899025216053, 1.104190550635019, -0.8821236983434226, 1.148335573576975, -1.7311802091897102, 0.9707520199000785, -1.3661012022200565, 0.919516140091478, -1.5802225741412923, 1.102141549243261, -1.1199383726823116, 1.3052168653073843, -1.3510962558913333, 0.9573076880123238, -0.8565673677483431, 1.0472875597039675, -1.3110557479568326, 0.8155922841212535, -1.1814020258787783, 1.1548900989337567, -0.9290406870573154, 0.9495530546401759]|13801.5830078125000000|      2.00000000|[664, 49, 0, 49]                                                           |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 29 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 42 points | iterate success | actual_k=1
      10|[-0.8202894578002128, 0.8470466263897238, -1.0729669642374229, 1.052690781383735, -1.0013673419088687, 1.1507198369453138, -1.499631603522775, 1.016410820034324, -1.0647220531719626, 1.3006582459794296, -1.2409081461185947, 0.8630803692712328, -0.6171591889326953, 0.9710748499844445, -1.7021376990643395, 0.9461324838485972, -0.8251817991837339, 1.5897365148797984, -1.1501535710732178, 0.416957204126961, -1.0111238069387656, 1.1575057476861703, -1.2588769618865343, 1.1868071612150126, -1.229797931159803, 1.4841222104519205, -1.7647390424094005, 0.6850457459423257, -1.174482791265516, 1.3851224705175667, -1.140258860865115, 1.1362779229426974, -0.8595226483713456, 1.6461812473994641, -1.584304924194151, 0.9198386625401296, -0.8855275514296198, 1.482530160816348, -1.3884841450426237, 0.7055435711751198, -0.6364986707616483, 1.4770075250098988, -1.4847500008452386, 0.8072857931642197, -0.6867235496178334, 1.0468790740043001, -1.1566958474043196, 1.3327922029820163, -0.2726076397462338, 1.5415589671662422, -1.4212753377372784, 0.7444698826220754, -0.4636995019674133, 1.77207029261015, -1.121974705076979, 1.5992533563136564, -0.6087813121740556, 1.188758560355781, -1.3515731795646673, 1.1223356826693929, -0.9758811128327177, 1.1617760323792201, -1.0426468780542073, 1.2052087301976702, -0.9418442212138237, 1.7878935645360632, -1.3465110760080603, 1.1498308010651264, -0.7055685756589064, 1.612337013356042, -0.9079817987172029, 1.0897775854693215, -1.1595669322231321, 1.3241179055920063, -1.2251575065417015, 0.895315789013656, -0.6218271420165017, 1.5901224490213206, -1.2234899025216053, 1.104190550635019, -0.8821236983434226, 1.148335573576975, -1.7311802091897102, 0.9707520199000785, -1.3661012022200565, 0.919516140091478, -1.5802225741412923, 1.102141549243261, -1.1199383726823116, 1.3052168653073843, -1.3510962558913333, 0.9573076880123238, -0.8565673677483431, 1.0472875597039675, -1.3110557479568326, 0.8155922841212535, -1.1814020258787783, 1.1548900989337567, -0.9290406870573154, 0.9495530546401759]|13801.5830078125000000|      1.00000000|[785, 58, 0, 58]                                                           |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 29 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 42 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 55 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 69 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 82 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 95 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 109 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
