k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[-0.8, 1.2, -1.2, 0.8, -0.8, 1.2, -1.2, 0.8, -0.8, 1.2, -1.2, 0.8, -0.8, 1.2, -1.2, 0.8, -0.8, 1.2, -1.2, 0.8, -0.8, 1.2, -1.2, 0.8, -0.8, 1.2, -1.2, 0.8, -0.8, 1.2, -1.2, 0.8, -0.8, 1.2, -1.2, 0.8, -0.8, 1.2, -1.2, 0.8, -0.8, 1.2, -1.2, 0.8, -0.8, 1.2, -1.2, 0.8, -0.8, 1.2, -1.2, 0.8, -0.8, 1.2, -1.2, 0.8, -0.8, 1.2, -1.2, 0.8, -0.8, 1.2, -1.2, 0.8, -0.8, 1.2, -1.2, 0.8, -0.8, 1.2, -1.2, 0.8, -0.8, 1.2, -1.2, 0.8, -0.8, 1.2, -1.2, 0.8, -0.8, 1.2, -1.2, 0.8, -0.8, 1.2, -1.2, 0.8, -0.8, 1.2, -1.2, 0.8, -0.8, 1.2, -1.2, 0.8, -0.8, 1.2, -1.2, 0.8]|13068.4841978150143404|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[-0.8, 1.2, -1.2, 0.8, -0.8, 1.2, -1.2, 0.8, -0.8, 1.2, -1.2, 0.8, -0.8, 1.2, -1.2, 0.8, -0.8, 1.2, -1.2, 0.8, -0.8, 1.2, -1.2, 0.8, -0.8, 1.2, -1.2, 0.8, -0.8, 1.2, -1.2, 0.8, -0.8, 1.2, -1.2, 0.8, -0.8, 1.2, -1.2, 0.8, -0.8, 1.2, -1.2, 0.8, -0.8, 1.2, -1.2, 0.8, -0.8, 1.2, -1.2, 0.8, -0.8, 1.2, -1.2, 0.8, -0.8, 1.2, -1.2, 0.8, -0.8, 1.2, -1.2, 0.8, -0.8, 1.2, -1.2, 0.8, -0.8, 1.2, -1.2, 0.8, -0.8, 1.2, -1.2, 0.8, -0.8, 1.2, -1.2, 0.8, -0.8, 1.2, -1.2, 0.8, -0.8, 1.2, -1.2, 0.8, -0.8, 1.2, -1.2, 0.8, -0.8, 1.2, -1.2, 0.8, -0.8, 1.2, -1.2, 0.8]|13068.4841978150143404|      0.50000000|[181, 12, 1, 4]                                                            |  | trying linear partial model with 61 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 121 points FAILED TO GET X_HAT, using additional batch call | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
       2|[-0.8005274229372549, 1.2482847169933768, -1.1429789165769102, 0.7791849214719072, -0.8167267686187373, 1.0945764061154504, -1.2501595377165813, 0.7490076748137418, -0.7486242963275466, 1.173257480512873, -1.2213169172367553, 0.7602956768917677, -0.7610253312098654, 1.208976731827164, -1.2744710291706949, 0.6607050432697115, -0.7857388049081305, 1.1744398440391954, -1.2712299160732776, 0.822245781785651, -0.8242190056170542, 1.2146557787140986, -1.2519602798704286, 0.7598961958626063, -0.7895551459436799, 1.1367428236996064, -1.2282532338785805, 0.710927192594387, -0.7995012551477052, 1.1313017280482103, -1.1624684089563413, 0.8119211565473873, -0.7784443912008164, 1.1202608195108912, -1.1760464991377222, 0.8676873168727287, -0.8383393661038633, 1.130446599745177, -1.1762848718944368, 0.7713617751939985, -0.8541739724427411, 1.1691575755899615, -1.159731129621214, 0.8135954647595992, -0.8538423304124962, 1.1701968905256022, -1.1807878209325913, 0.7350084528699331, -0.7473898734582668, 1.0826889796913335, -1.1750075388078747, 0.8111668248339391, -0.8045488711522973, 1.159317968376271, -1.2272661765985153, 0.7841739737568806, -0.831040161544423, 1.1281888282594381, -1.1643293728232091, 0.7993297352122591, -0.8222101068395739, 1.1406427664182195, -1.283228218946274, 0.747932386861097, -0.8801568391578249, 1.134598624978623, -1.2389949751948701, 0.844597127629773, -0.8783161175987126, 1.191079360107898, -1.3152458691008566, 0.7883868602240719, -0.8140378642593823, 1.1707928445993903, -1.2058994591220615, 0.7232033128147578, -0.8318355203996262, 1.13905160758235, -1.1587505923029702, 0.8508828846569327, -0.8717053050368245, 1.1904843818643849, -1.1678882472318162, 0.7879405305213583, -0.7691031573639577, 1.1848411324578927, -1.2006413182901765, 0.8591123526697264, -0.8036146946703457, 1.161133884048029, -1.2068243739435498, 0.8145968704054527, -0.8497432226580395, 1.0847331294739684, -1.1645379597655618, 0.7295734155479423, -0.778577636898147, 1.1371100748973146, -1.190738936903726, 0.8310108050358752]|9062.1708984375000000|      1.00000000|[302, 20, 1, 6]                                                            |  | trying linear partial model with 61 points | iterate success | actual_k=4
       3|[-0.8005274229372549, 1.2482847169933768, -1.1429789165769102, 0.7791849214719072, -0.8167267686187373, 1.0945764061154504, -1.2501595377165813, 0.7490076748137418, -0.7486242963275466, 1.173257480512873, -1.2213169172367553, 0.7602956768917677, -0.7610253312098654, 1.208976731827164, -1.2744710291706949, 0.6607050432697115, -0.7857388049081305, 1.1744398440391954, -1.2712299160732776, 0.822245781785651, -0.8242190056170542, 1.2146557787140986, -1.2519602798704286, 0.7598961958626063, -0.7895551459436799, 1.1367428236996064, -1.2282532338785805, 0.710927192594387, -0.7995012551477052, 1.1313017280482103, -1.1624684089563413, 0.8119211565473873, -0.7784443912008164, 1.1202608195108912, -1.1760464991377222, 0.8676873168727287, -0.8383393661038633, 1.130446599745177, -1.1762848718944368, 0.7713617751939985, -0.8541739724427411, 1.1691575755899615, -1.159731129621214, 0.8135954647595992, -0.8538423304124962, 1.1701968905256022, -1.1807878209325913, 0.7350084528699331, -0.7473898734582668, 1.0826889796913335, -1.1750075388078747, 0.8111668248339391, -0.8045488711522973, 1.159317968376271, -1.2272661765985153, 0.7841739737568806, -0.831040161544423, 1.1281888282594381, -1.1643293728232091, 0.7993297352122591, -0.8222101068395739, 1.1406427664182195, -1.283228218946274, 0.747932386861097, -0.8801568391578249, 1.134598624978623, -1.2389949751948701, 0.844597127629773, -0.8783161175987126, 1.191079360107898, -1.3152458691008566, 0.7883868602240719, -0.8140378642593823, 1.1707928445993903, -1.2058994591220615, 0.7232033128147578, -0.8318355203996262, 1.13905160758235, -1.1587505923029702, 0.8508828846569327, -0.8717053050368245, 1.1904843818643849, -1.1678882472318162, 0.7879405305213583, -0.7691031573639577, 1.1848411324578927, -1.2006413182901765, 0.8591123526697264, -0.8036146946703457, 1.161133884048029, -1.2068243739435498, 0.8145968704054527, -0.8497432226580395, 1.0847331294739684, -1.1645379597655618, 0.7295734155479423, -0.778577636898147, 1.1371100748973146, -1.190738936903726, 0.8310108050358752]|9062.1708984375000000|      0.50000000|[482, 32, 1, 9]                                                            |  | trying linear partial model with 61 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 121 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
       4|[-0.8093172012704549, 1.2603837985176094, -1.1161024599092642, 0.7189185313445372, -0.8838880808939681, 1.1526736957041117, -1.1609052247481486, 0.7072653392739957, -0.7753365209343318, 1.0527494236095893, -1.2445983806359708, 0.6467236454592055, -0.8372603975181453, 1.1725183940098516, -1.2921075181821322, 0.6758018592994823, -0.8596029420741053, 1.2264659719785298, -1.2758246377657907, 0.8213581063120332, -0.8737597281755416, 1.2123818375021034, -1.1737129177990442, 0.7717787288687377, -0.8922363706886386, 1.0793376879403662, -1.188901218827328, 0.6885848723488918, -0.8156148723707328, 1.1021973256039237, -1.134775666583535, 0.7679257861068455, -0.8723784758918955, 1.074823603252567, -1.1150428958699232, 0.8616594247558957, -0.8213031536608759, 1.16080423692164, -1.2123642530878922, 0.876913617778271, -0.8039018879032532, 1.2064964416975967, -1.1687466531989952, 0.8178000992867096, -0.9274013182844024, 1.1522264131198925, -1.1776597542086913, 0.6169161263166827, -0.7683237059956337, 1.0453329464664824, -1.203166979168638, 0.6760216097563467, -0.9122131412418255, 1.1706339901208713, -1.1973199858057928, 0.8663574142514673, -0.813347677037529, 1.1139934525554211, -1.1334869729404065, 0.7390545398181161, -0.8477791161771846, 1.1167458154657985, -1.328601535069683, 0.6995156466173366, -0.8657222926728922, 1.0847063654052984, -1.2239680391900172, 0.8581960790970611, -0.9016213715198879, 1.1396427532398141, -1.3474222711921964, 0.7554875193231644, -0.8131910530799538, 1.1349988692507533, -1.1737361916843652, 0.6941081714725404, -0.8756947554517575, 1.1248833066739985, -1.126517322424703, 0.8500729474766399, -0.8530420280609204, 1.1404927072504685, -1.158284095661333, 0.7516337691405391, -0.8647929323023422, 1.1903562520083988, -1.237684682174956, 0.8787631440772075, -0.8530909356902061, 1.133707647128688, -1.2107117640072058, 0.8300423494593754, -0.830397144584713, 1.0690855969879305, -1.0773915509987895, 0.6492422048248687, -0.7575236875640031, 1.0933770853661546, -1.227501945569641, 0.8408034822961893]|8070.7197265625000000|      1.00000000|[602, 40, 1, 11]                                                           |  | trying linear partial model with 61 points | iterate success | actual_k=4
       5|[-0.8093172012704549, 1.2603837985176094, -1.1161024599092642, 0.7189185313445372, -0.8838880808939681, 1.1526736957041117, -1.1609052247481486, 0.7072653392739957, -0.7753365209343318, 1.0527494236095893, -1.2445983806359708, 0.6467236454592055, -0.8372603975181453, 1.1725183940098516, -1.2921075181821322, 0.6758018592994823, -0.8596029420741053, 1.2264659719785298, -1.2758246377657907, 0.8213581063120332, -0.8737597281755416, 1.2123818375021034, -1.1737129177990442, 0.7717787288687377, -0.8922363706886386, 1.0793376879403662, -1.188901218827328, 0.6885848723488918, -0.8156148723707328, 1.1021973256039237, -1.134775666583535, 0.7679257861068455, -0.8723784758918955, 1.074823603252567, -1.1150428958699232, 0.8616594247558957, -0.8213031536608759, 1.16080423692164, -1.2123642530878922, 0.876913617778271, -0.8039018879032532, 1.2064964416975967, -1.1687466531989952, 0.8178000992867096, -0.9274013182844024, 1.1522264131198925, -1.1776597542086913, 0.6169161263166827, -0.7683237059956337, 1.0453329464664824, -1.203166979168638, 0.6760216097563467, -0.9122131412418255, 1.1706339901208713, -1.1973199858057928, 0.8663574142514673, -0.813347677037529, 1.1139934525554211, -1.1334869729404065, 0.7390545398181161, -0.8477791161771846, 1.1167458154657985, -1.328601535069683, 0.6995156466173366, -0.8657222926728922, 1.0847063654052984, -1.2239680391900172, 0.8581960790970611, -0.9016213715198879, 1.1396427532398141, -1.3474222711921964, 0.7554875193231644, -0.8131910530799538, 1.1349988692507533, -1.1737361916843652, 0.6941081714725404, -0.8756947554517575, 1.1248833066739985, -1.126517322424703, 0.8500729474766399, -0.8530420280609204, 1.1404927072504685, -1.158284095661333, 0.7516337691405391, -0.8647929323023422, 1.1903562520083988, -1.237684682174956, 0.8787631440772075, -0.8530909356902061, 1.133707647128688, -1.2107117640072058, 0.8300423494593754, -0.830397144584713, 1.0690855969879305, -1.0773915509987895, 0.6492422048248687, -0.7575236875640031, 1.0933770853661546, -1.227501945569641, 0.8408034822961893]|8070.7197265625000000|      0.50000000|[782, 52, 1, 14]                                                           |  | trying linear partial model with 61 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 121 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
       6|[-0.8093172012704549, 1.2603837985176094, -1.1161024599092642, 0.7189185313445372, -0.8838880808939681, 1.1526736957041117, -1.1609052247481486, 0.7072653392739957, -0.7753365209343318, 1.0527494236095893, -1.2445983806359708, 0.6467236454592055, -0.8372603975181453, 1.1725183940098516, -1.2921075181821322, 0.6758018592994823, -0.8596029420741053, 1.2264659719785298, -1.2758246377657907, 0.8213581063120332, -0.8737597281755416, 1.2123818375021034, -1.1737129177990442, 0.7717787288687377, -0.8922363706886386, 1.0793376879403662, -1.188901218827328, 0.6885848723488918, -0.8156148723707328, 1.1021973256039237, -1.134775666583535, 0.7679257861068455, -0.8723784758918955, 1.074823603252567, -1.1150428958699232, 0.8616594247558957, -0.8213031536608759, 1.16080423692164, -1.2123642530878922, 0.876913617778271, -0.8039018879032532, 1.2064964416975967, -1.1687466531989952, 0.8178000992867096, -0.9274013182844024, 1.1522264131198925, -1.1776597542086913, 0.6169161263166827, -0.7683237059956337, 1.0453329464664824, -1.203166979168638, 0.6760216097563467, -0.9122131412418255, 1.1706339901208713, -1.1973199858057928, 0.8663574142514673, -0.813347677037529, 1.1139934525554211, -1.1334869729404065, 0.7390545398181161, -0.8477791161771846, 1.1167458154657985, -1.328601535069683, 0.6995156466173366, -0.8657222926728922, 1.0847063654052984, -1.2239680391900172, 0.8581960790970611, -0.9016213715198879, 1.1396427532398141, -1.3474222711921964, 0.7554875193231644, -0.8131910530799538, 1.1349988692507533, -1.1737361916843652, 0.6941081714725404, -0.8756947554517575, 1.1248833066739985, -1.126517322424703, 0.8500729474766399, -0.8530420280609204, 1.1404927072504685, -1.158284095661333, 0.7516337691405391, -0.8647929323023422, 1.1903562520083988, -1.237684682174956, 0.8787631440772075, -0.8530909356902061, 1.133707647128688, -1.2107117640072058, 0.8300423494593754, -0.830397144584713, 1.0690855969879305, -1.0773915509987895, 0.6492422048248687, -0.7575236875640031, 1.0933770853661546, -1.227501945569641, 0.8408034822961893]|8070.7197265625000000|      0.25000000|[962, 64, 1, 17]                                                           |  | trying linear partial model with 61 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 121 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
       7|[-0.794899027500822, 1.2695351550512823, -1.1557718608029688, 0.7259913876291207, -0.890575160400151, 1.1341762814604548, -1.149655802573664, 0.7455031498594744, -0.8076731724269958, 1.0504016711240112, -1.2424126388508256, 0.6377591677896096, -0.8280319425148212, 1.161457503705262, -1.2861157713821458, 0.6810480571241398, -0.8562313168528852, 1.2120160507403843, -1.304562231586757, 0.8104458043404001, -0.8757766209123191, 1.1868218972048468, -1.1795587751734737, 0.790055595234748, -0.8830908321946792, 1.082876852137874, -1.1454374146086599, 0.6861324417722962, -0.7909730780902438, 1.1274376732020432, -1.1300463984832778, 0.7669846398869022, -0.8664686969160906, 1.0747203208411122, -1.1430229307102806, 0.8372259986695467, -0.8718334594037621, 1.0863792458788282, -1.2363681963706155, 0.8790929827505132, -0.8674336163091713, 1.1857015071751789, -1.151079317901875, 0.810670381821982, -0.8970475220085131, 1.1671228826706164, -1.1265073033571773, 0.6315985747325037, -0.7990750004894445, 1.0303461779104999, -1.1946130789248948, 0.6826812604900798, -0.9319338041073442, 1.1937458261699394, -1.191943046117235, 0.8642677713971318, -0.8222116146881339, 1.0942989268742291, -1.1387806539205427, 0.7175945659491026, -0.854076665438302, 1.1116394458760948, -1.302601640528534, 0.7432811661541403, -0.8726428459826303, 1.094481571093684, -1.1844377081207118, 0.9032977115029119, -0.8931587437394269, 1.0948335011628278, -1.3675719795408607, 0.7570999519317924, -0.7714644100579217, 1.1732838247420885, -1.178469249830357, 0.6846735255352361, -0.8419843870682002, 1.150345236664616, -1.1335143063348452, 0.8438710874696789, -0.8674309333225488, 1.1061261113757965, -1.1786757486319184, 0.7176013719984615, -0.8780756450509295, 1.1682510768792842, -1.273641164525946, 0.9005401258343463, -0.903136879939512, 1.1215363561922658, -1.2368029886228047, 0.8164550485180705, -0.838970702232746, 1.0753116507714442, -1.0558835475651434, 0.6538618793321105, -0.7802096947066046, 1.0343432045246876, -1.1841661043375276, 0.8547999439629815]|7056.6367187500000000|      0.50000000|[1082, 72, 1, 19]                                                          |  | trying linear partial model with 61 points | iterate success | actual_k=4
       8|[-0.794899027500822, 1.2695351550512823, -1.1557718608029688, 0.7259913876291207, -0.890575160400151, 1.1341762814604548, -1.149655802573664, 0.7455031498594744, -0.8076731724269958, 1.0504016711240112, -1.2424126388508256, 0.6377591677896096, -0.8280319425148212, 1.161457503705262, -1.2861157713821458, 0.6810480571241398, -0.8562313168528852, 1.2120160507403843, -1.304562231586757, 0.8104458043404001, -0.8757766209123191, 1.1868218972048468, -1.1795587751734737, 0.790055595234748, -0.8830908321946792, 1.082876852137874, -1.1454374146086599, 0.6861324417722962, -0.7909730780902438, 1.1274376732020432, -1.1300463984832778, 0.7669846398869022, -0.8664686969160906, 1.0747203208411122, -1.1430229307102806, 0.8372259986695467, -0.8718334594037621, 1.0863792458788282, -1.2363681963706155, 0.8790929827505132, -0.8674336163091713, 1.1857015071751789, -1.151079317901875, 0.810670381821982, -0.8970475220085131, 1.1671228826706164, -1.1265073033571773, 0.6315985747325037, -0.7990750004894445, 1.0303461779104999, -1.1946130789248948, 0.6826812604900798, -0.9319338041073442, 1.1937458261699394, -1.191943046117235, 0.8642677713971318, -0.8222116146881339, 1.0942989268742291, -1.1387806539205427, 0.7175945659491026, -0.854076665438302, 1.1116394458760948, -1.302601640528534, 0.7432811661541403, -0.8726428459826303, 1.094481571093684, -1.1844377081207118, 0.9032977115029119, -0.8931587437394269, 1.0948335011628278, -1.3675719795408607, 0.7570999519317924, -0.7714644100579217, 1.1732838247420885, -1.178469249830357, 0.6846735255352361, -0.8419843870682002, 1.150345236664616, -1.1335143063348452, 0.8438710874696789, -0.8674309333225488, 1.1061261113757965, -1.1786757486319184, 0.7176013719984615, -0.8780756450509295, 1.1682510768792842, -1.273641164525946, 0.9005401258343463, -0.903136879939512, 1.1215363561922658, -1.2368029886228047, 0.8164550485180705, -0.838970702232746, 1.0753116507714442, -1.0558835475651434, 0.6538618793321105, -0.7802096947066046, 1.0343432045246876, -1.1841661043375276, 0.8547999439629815]|7056.6367187500000000|      0.25000000|[1262, 84, 1, 22]                                                          |  | trying linear partial model with 61 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 121 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
       9|[-0.7698477330064227, 1.2911717490461363, -1.1272786239663302, 0.7465016848282114, -0.8995612710111188, 1.1323764916251815, -1.1279224002708204, 0.7903080371379796, -0.7707663897997885, 1.075721231039947, -1.2648164338124013, 0.6042517369234129, -0.8356522359884995, 1.105645017022203, -1.257286949474042, 0.6756335719701894, -0.8843693379300547, 1.197782839255153, -1.3252542581254554, 0.7970346911039085, -0.9323436175855623, 1.1325111086073614, -1.1719008212494937, 0.8310604168716494, -0.8453553274526769, 1.0711068932814438, -1.1204477307786338, 0.6611204777359132, -0.8158143777232192, 1.13715887994515, -1.1229677493445112, 0.7975344379520795, -0.8934282569587104, 1.0735411067046188, -1.1324532943434416, 0.8169905068203859, -0.9037935159679368, 1.068005219787127, -1.2224872502015993, 0.8675852339385546, -0.894988807215878, 1.1617107597946612, -1.1895697288807086, 0.7965651948507063, -0.9149896591748109, 1.1505989564295809, -1.1079224928398705, 0.6470773657091754, -0.7864045358922654, 1.0220284590790611, -1.202035228939747, 0.6892429549178032, -0.9222163044078895, 1.2115592892566622, -1.1978031257571156, 0.8902047197530372, -0.8304042288990994, 1.0533452289811611, -1.1478688390150047, 0.7040348829790323, -0.9299420378398514, 1.0687336290347222, -1.2899535884468054, 0.7815412694806753, -0.8630990002823332, 1.134815057437093, -1.1762654819525469, 0.8932632938573819, -0.9126874828982988, 1.0854706698051766, -1.3999438084348135, 0.7959808447423089, -0.8083895646808512, 1.1632270911246796, -1.2234796185103, 0.6730161987090048, -0.8466923198785831, 1.1323872364552086, -1.155506098465453, 0.8365791931910136, -0.8556390854359801, 1.1245835478036919, -1.201134203777221, 0.709275376607434, -0.8743444844748883, 1.1653340017141547, -1.2532335727615513, 0.854012115476034, -0.8937833962089741, 1.1376694539770331, -1.245564162948351, 0.8546022337395863, -0.8502804509396273, 1.0783118856865759, -1.0568610354490582, 0.6424467954655972, -0.7908568665259267, 1.0462165851035816, -1.165986594914525, 0.8366703032707944]|6833.9912109375000000|      0.50000000|[1382, 92, 1, 24]                                                          |  | trying linear partial model with 61 points | iterate success | actual_k=4
      10|[-0.7501960084768716, 1.3013452230692792, -1.069249259377587, 0.7732514094167973, -0.9569192681384687, 1.0814854528985673, -1.1494492678626844, 0.8285058331362125, -0.8219127424921013, 0.9246206669440424, -1.3257665710923654, 0.6165512887014865, -0.8535689937752791, 1.1458635713287233, -1.228056039564853, 0.7331615112827236, -0.8663678494625646, 1.1734707430073064, -1.2480574110916243, 0.8315238207352265, -0.958893932184986, 1.1703330790104114, -1.1148859786262837, 0.9359446140249867, -0.8602690087270812, 1.000215104427671, -1.2330044624335592, 0.6876242189054934, -0.8472116480859363, 1.0647052630094154, -1.1070302441566398, 0.8327606599675047, -0.946499171978299, 1.0806926991855614, -1.1449993750775955, 0.8541972503875506, -0.9565950576315048, 1.0811241216231997, -1.2607862014830635, 0.9065166935544675, -0.9611774732756374, 1.098306655519721, -1.1196490803814976, 0.8247342091757087, -0.8949930700067692, 1.1795819162196084, -1.0687216185113595, 0.7171650162304246, -0.6861789016939446, 1.0341601726432514, -1.1907184400035573, 0.7353148490492102, -0.9299484097589072, 1.1893973939498292, -1.245304237708782, 0.9842671073977917, -0.8084640586361039, 1.0437878937651963, -1.1956150454512169, 0.7419190381772863, -0.8637671789091123, 0.9941774658832017, -1.3165922544746298, 0.8278961257155676, -0.8892974840482192, 1.087101611333604, -1.0886975274364088, 0.8699240175182825, -0.8919447977661517, 1.0616790065429778, -1.3826489291235582, 0.8063454046796107, -0.9617561814131858, 1.089209747035318, -1.1707815792540013, 0.7035535155651463, -0.819614523660475, 1.2009157081474489, -1.1806490789608943, 0.8197410590514539, -0.7971927162578643, 1.0804825995381262, -1.1811573863213436, 0.7270859387932364, -0.8994419800420962, 1.1633409945604156, -1.2172185785696898, 0.9119499658693581, -0.9633541807773872, 1.1512142717386151, -1.2026038053457273, 0.8657654957224535, -0.8411217499352618, 1.0979182862473242, -1.0220423382042583, 0.6649128033476278, -0.8243556382010542, 1.0889279829951413, -1.1178378786288539, 0.8623708411433002]|6215.6938476562500000|      1.00000000|[1502, 100, 1, 26]                                                         |  | trying linear partial model with 61 points | iterate success | actual_k=4
