k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[-0.0098029604941, -0.019409861778, -0.028820703853, -0.038035486717, -0.047054210372, -0.055876874816, -0.064503480051, -0.072934026076, -0.081168512891, -0.089206940496, -0.097049308891, -0.10469561808, -0.11214586805, -0.11940005882, -0.12645819037, -0.13332026272, -0.13998627586, -0.14645622978, -0.1527301245, -0.15880796, -0.1646897363, -0.17037545339, -0.17586511126, -0.18115870993, -0.18625624939, -0.19115772963, -0.19586315067, -0.2003725125, -0.20468581512, -0.20880305852, -0.21272424272, -0.21644936771, -0.21997843349, -0.22331144005, -0.22644838741, -0.22938927556, -0.2321341045, -0.23468287423, -0.23703558475, -0.23919223606, -0.24115282815, -0.24291736104, -0.24448583472, -0.24585824919, -0.24703460445, -0.2480149005, -0.24879913734, -0.24938731497, -0.24977943339, -0.2499754926, -0.2499754926, -0.24977943339, -0.24938731497, -0.24879913734, -0.2480149005, -0.24703460445, -0.24585824919, -0.24448583472, -0.24291736104, -0.24115282815, -0.23919223606, -0.23703558475, -0.23468287423, -0.2321341045, -0.22938927556, -0.22644838741, -0.22331144005, -0.21997843349, -0.21644936771, -0.21272424272, -0.20880305852, -0.20468581512, -0.2003725125, -0.19586315067, -0.19115772963, -0.18625624939, -0.18115870993, -0.17586511126, -0.17037545339, -0.1646897363, -0.15880796, -0.1527301245, -0.14645622978, -0.13998627586, -0.13332026272, -0.12645819037, -0.11940005882, -0.11214586805, -0.10469561808, -0.097049308891, -0.089206940496, -0.081168512891, -0.072934026076, -0.064503480051, -0.055876874816, -0.047054210372, -0.038035486717, -0.028820703853, -0.019409861778, -0.0098029604941]| 99.9875072002955676|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[-0.0098029604941, -0.019409861778, -0.028820703853, -0.038035486717, -0.047054210372, -0.055876874816, -0.064503480051, -0.072934026076, -0.081168512891, -0.089206940496, -0.097049308891, -0.10469561808, -0.11214586805, -0.11940005882, -0.12645819037, -0.13332026272, -0.13998627586, -0.14645622978, -0.1527301245, -0.15880796, -0.1646897363, -0.17037545339, -0.17586511126, -0.18115870993, -0.18625624939, -0.19115772963, -0.19586315067, -0.2003725125, -0.20468581512, -0.20880305852, -0.21272424272, -0.21644936771, -0.21997843349, -0.22331144005, -0.22644838741, -0.22938927556, -0.2321341045, -0.23468287423, -0.23703558475, -0.23919223606, -0.24115282815, -0.24291736104, -0.24448583472, -0.24585824919, -0.24703460445, -0.2480149005, -0.24879913734, -0.24938731497, -0.24977943339, -0.2499754926, -0.2499754926, -0.24977943339, -0.24938731497, -0.24879913734, -0.2480149005, -0.24703460445, -0.24585824919, -0.24448583472, -0.24291736104, -0.24115282815, -0.23919223606, -0.23703558475, -0.23468287423, -0.2321341045, -0.22938927556, -0.22644838741, -0.22331144005, -0.21997843349, -0.21644936771, -0.21272424272, -0.20880305852, -0.20468581512, -0.2003725125, -0.19586315067, -0.19115772963, -0.18625624939, -0.18115870993, -0.17586511126, -0.17037545339, -0.1646897363, -0.15880796, -0.1527301245, -0.14645622978, -0.13998627586, -0.13332026272, -0.12645819037, -0.11940005882, -0.11214586805, -0.10469561808, -0.097049308891, -0.089206940496, -0.081168512891, -0.072934026076, -0.064503480051, -0.055876874816, -0.047054210372, -0.038035486717, -0.028820703853, -0.019409861778, -0.0098029604941]| 99.9875072002955676|      0.50000000|[165, 24, 0, 3]                                                            |  | trying linear partial model with 57 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 111 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=8
       2|[-0.0098029604941, -0.019409861778, -0.028820703853, -0.038035486717, -0.047054210372, -0.055876874816, -0.064503480051, -0.072934026076, -0.081168512891, -0.089206940496, -0.097049308891, -0.10469561808, -0.11214586805, -0.11940005882, -0.12645819037, -0.13332026272, -0.13998627586, -0.14645622978, -0.1527301245, -0.15880796, -0.1646897363, -0.17037545339, -0.17586511126, -0.18115870993, -0.18625624939, -0.19115772963, -0.19586315067, -0.2003725125, -0.20468581512, -0.20880305852, -0.21272424272, -0.21644936771, -0.21997843349, -0.22331144005, -0.22644838741, -0.22938927556, -0.2321341045, -0.23468287423, -0.23703558475, -0.23919223606, -0.24115282815, -0.24291736104, -0.24448583472, -0.24585824919, -0.24703460445, -0.2480149005, -0.24879913734, -0.24938731497, -0.24977943339, -0.2499754926, -0.2499754926, -0.24977943339, -0.24938731497, -0.24879913734, -0.2480149005, -0.24703460445, -0.24585824919, -0.24448583472, -0.24291736104, -0.24115282815, -0.23919223606, -0.23703558475, -0.23468287423, -0.2321341045, -0.22938927556, -0.22644838741, -0.22331144005, -0.21997843349, -0.21644936771, -0.21272424272, -0.20880305852, -0.20468581512, -0.2003725125, -0.19586315067, -0.19115772963, -0.18625624939, -0.18115870993, -0.17586511126, -0.17037545339, -0.1646897363, -0.15880796, -0.1527301245, -0.14645622978, -0.13998627586, -0.13332026272, -0.12645819037, -0.11940005882, -0.11214586805, -0.10469561808, -0.097049308891, -0.089206940496, -0.081168512891, -0.072934026076, -0.064503480051, -0.055876874816, -0.047054210372, -0.038035486717, -0.028820703853, -0.019409861778, -0.0098029604941]| 99.9875072002955676|      0.25000000|[328, 48, 0, 6]                                                            |  | trying linear partial model with 57 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 111 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=8
       3|[-0.0098029604941, -0.019409861778, -0.028820703853, -0.038035486717, -0.047054210372, -0.055876874816, -0.064503480051, -0.072934026076, -0.081168512891, -0.089206940496, -0.097049308891, -0.10469561808, -0.11214586805, -0.11940005882, -0.12645819037, -0.13332026272, -0.13998627586, -0.14645622978, -0.1527301245, -0.15880796, -0.1646897363, -0.17037545339, -0.17586511126, -0.18115870993, -0.18625624939, -0.19115772963, -0.19586315067, -0.2003725125, -0.20468581512, -0.20880305852, -0.21272424272, -0.21644936771, -0.21997843349, -0.22331144005, -0.22644838741, -0.22938927556, -0.2321341045, -0.23468287423, -0.23703558475, -0.23919223606, -0.24115282815, -0.24291736104, -0.24448583472, -0.24585824919, -0.24703460445, -0.2480149005, -0.24879913734, -0.24938731497, -0.24977943339, -0.2499754926, -0.2499754926, -0.24977943339, -0.24938731497, -0.24879913734, -0.2480149005, -0.24703460445, -0.24585824919, -0.24448583472, -0.24291736104, -0.24115282815, -0.23919223606, -0.23703558475, -0.23468287423, -0.2321341045, -0.22938927556, -0.22644838741, -0.22331144005, -0.21997843349, -0.21644936771, -0.21272424272, -0.20880305852, -0.20468581512, -0.2003725125, -0.19586315067, -0.19115772963, -0.18625624939, -0.18115870993, -0.17586511126, -0.17037545339, -0.1646897363, -0.15880796, -0.1527301245, -0.14645622978, -0.13998627586, -0.13332026272, -0.12645819037, -0.11940005882, -0.11214586805, -0.10469561808, -0.097049308891, -0.089206940496, -0.081168512891, -0.072934026076, -0.064503480051, -0.055876874816, -0.047054210372, -0.038035486717, -0.028820703853, -0.019409861778, -0.0098029604941]| 99.9875072002955676|      0.12500000|[492, 72, 0, 9]                                                            |  | trying linear partial model with 57 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 111 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=8
       4|[-0.0098029604941, -0.019409861778, -0.028820703853, -0.038035486717, -0.047054210372, -0.055876874816, -0.064503480051, -0.072934026076, -0.081168512891, -0.089206940496, -0.097049308891, -0.10469561808, -0.11214586805, -0.11940005882, -0.12645819037, -0.13332026272, -0.13998627586, -0.14645622978, -0.1527301245, -0.15880796, -0.1646897363, -0.17037545339, -0.17586511126, -0.18115870993, -0.18625624939, -0.19115772963, -0.19586315067, -0.2003725125, -0.20468581512, -0.20880305852, -0.21272424272, -0.21644936771, -0.21997843349, -0.22331144005, -0.22644838741, -0.22938927556, -0.2321341045, -0.23468287423, -0.23703558475, -0.23919223606, -0.24115282815, -0.24291736104, -0.24448583472, -0.24585824919, -0.24703460445, -0.2480149005, -0.24879913734, -0.24938731497, -0.24977943339, -0.2499754926, -0.2499754926, -0.24977943339, -0.24938731497, -0.24879913734, -0.2480149005, -0.24703460445, -0.24585824919, -0.24448583472, -0.24291736104, -0.24115282815, -0.23919223606, -0.23703558475, -0.23468287423, -0.2321341045, -0.22938927556, -0.22644838741, -0.22331144005, -0.21997843349, -0.21644936771, -0.21272424272, -0.20880305852, -0.20468581512, -0.2003725125, -0.19586315067, -0.19115772963, -0.18625624939, -0.18115870993, -0.17586511126, -0.17037545339, -0.1646897363, -0.15880796, -0.1527301245, -0.14645622978, -0.13998627586, -0.13332026272, -0.12645819037, -0.11940005882, -0.11214586805, -0.10469561808, -0.097049308891, -0.089206940496, -0.081168512891, -0.072934026076, -0.064503480051, -0.055876874816, -0.047054210372, -0.038035486717, -0.028820703853, -0.019409861778, -0.0098029604941]| 99.9875072002955676|      0.06250000|[654, 96, 0, 12]                                                           |  | trying linear partial model with 57 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 110 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=8
       5|[-0.0283757172534049, -0.0240164971255596, -0.0410907523130036, -0.048822427385128, -0.0352252880806786, -0.0590269312807744, -0.0631554722058811, -0.0677676446773494, -0.0778054822676506, -0.0860905701015121, -0.0991721986908936, -0.1004134858400447, -0.1227888783512071, -0.1059160671557009, -0.1318885808916454, -0.1345289247286874, -0.1385482695679695, -0.1418606772519947, -0.1382777173550451, -0.1605728472180079, -0.176124055240233, -0.1668529824797317, -0.1713599531092196, -0.1736132681615017, -0.179327628169521, -0.1995506145941394, -0.1884594204547509, -0.1931067751678752, -0.2106025320619982, -0.2129996893241063, -0.2168067397791131, -0.2163356191406675, -0.219150020892423, -0.2208531974663902, -0.2185651518992854, -0.2251032448418653, -0.228575895198096, -0.239780694982794, -0.2362185788927797, -0.2426632993167648, -0.2422937797430821, -0.2450672573743999, -0.2379368826100087, -0.2563722456596289, -0.2417904190660807, -0.2548687563823594, -0.25391303142446, -0.2451372627646115, -0.2489732241509681, -0.2529358935786789, -0.2599100366294715, -0.2494523614095546, -0.2485037820716452, -0.2457966202188717, -0.2523623725788622, -0.2566365220875417, -0.2467276995641439, -0.2470771089685922, -0.2421194314169764, -0.2352056779483527, -0.2429940065750473, -0.2362205521070416, -0.2350548412416854, -0.2347860377603403, -0.2274264343951999, -0.2226666400550058, -0.2226338571665092, -0.2169396541202681, -0.2173169283002051, -0.2144881364928262, -0.1975866523844727, -0.2024083942714467, -0.1953006596120199, -0.1975961947469263, -0.1918149820660683, -0.1933345132392872, -0.1799445086313727, -0.181068985833946, -0.1696311787862193, -0.1641225372249501, -0.1516183542558991, -0.1483632628413626, -0.1621865863553821, -0.14555302291773, -0.1368583197037366, -0.1217354649641293, -0.121844263014976, -0.1149323790741735, -0.1023618583762925, -0.1082953484618272, -0.0777733534164406, -0.0763784200317827, -0.0743243545434509, -0.0677934220888976, -0.0541654407716758, -0.0429169075358903, -0.0454472105182264, -0.0258546417134016, -0.0270666653752197, -0.0221547291681727]| 99.9499664306640625|      0.12500000|[764, 112, 0, 14]                                                          |  | trying linear partial model with 57 points | iterate success | actual_k=8
       6|[-0.0283757172534049, -0.0240164971255596, -0.0410907523130036, -0.048822427385128, -0.0352252880806786, -0.0590269312807744, -0.0631554722058811, -0.0677676446773494, -0.0778054822676506, -0.0860905701015121, -0.0991721986908936, -0.1004134858400447, -0.1227888783512071, -0.1059160671557009, -0.1318885808916454, -0.1345289247286874, -0.1385482695679695, -0.1418606772519947, -0.1382777173550451, -0.1605728472180079, -0.176124055240233, -0.1668529824797317, -0.1713599531092196, -0.1736132681615017, -0.179327628169521, -0.1995506145941394, -0.1884594204547509, -0.1931067751678752, -0.2106025320619982, -0.2129996893241063, -0.2168067397791131, -0.2163356191406675, -0.219150020892423, -0.2208531974663902, -0.2185651518992854, -0.2251032448418653, -0.228575895198096, -0.239780694982794, -0.2362185788927797, -0.2426632993167648, -0.2422937797430821, -0.2450672573743999, -0.2379368826100087, -0.2563722456596289, -0.2417904190660807, -0.2548687563823594, -0.25391303142446, -0.2451372627646115, -0.2489732241509681, -0.2529358935786789, -0.2599100366294715, -0.2494523614095546, -0.2485037820716452, -0.2457966202188717, -0.2523623725788622, -0.2566365220875417, -0.2467276995641439, -0.2470771089685922, -0.2421194314169764, -0.2352056779483527, -0.2429940065750473, -0.2362205521070416, -0.2350548412416854, -0.2347860377603403, -0.2274264343951999, -0.2226666400550058, -0.2226338571665092, -0.2169396541202681, -0.2173169283002051, -0.2144881364928262, -0.1975866523844727, -0.2024083942714467, -0.1953006596120199, -0.1975961947469263, -0.1918149820660683, -0.1933345132392872, -0.1799445086313727, -0.181068985833946, -0.1696311787862193, -0.1641225372249501, -0.1516183542558991, -0.1483632628413626, -0.1621865863553821, -0.14555302291773, -0.1368583197037366, -0.1217354649641293, -0.121844263014976, -0.1149323790741735, -0.1023618583762925, -0.1082953484618272, -0.0777733534164406, -0.0763784200317827, -0.0743243545434509, -0.0677934220888976, -0.0541654407716758, -0.0429169075358903, -0.0454472105182264, -0.0258546417134016, -0.0270666653752197, -0.0221547291681727]| 99.9499664306640625|      0.06250000|[926, 136, 0, 17]                                                          |  | trying linear partial model with 57 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 110 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=8
       7|[-0.0447724281362638, -0.019966949661567, -0.0306666101138298, -0.0554140693084363, -0.0374434383087784, -0.0512253021512534, -0.0539526226304947, -0.0612171280350963, -0.0735306773884529, -0.0826677789220059, -0.1007205346055394, -0.1037581413236771, -0.1310582754912929, -0.1084516539822666, -0.1222206693172855, -0.126974831189732, -0.1358615567947498, -0.1387729272711459, -0.1357832623959562, -0.1595890481669184, -0.1765312740295624, -0.1814086929670683, -0.1681576743613211, -0.176772420835946, -0.1843235583519203, -0.1999348240732102, -0.1896708947571696, -0.1917937855371596, -0.2073552317738596, -0.2109255712486247, -0.2114650522410428, -0.2294156373537182, -0.220979602053838, -0.2126147482064032, -0.2242583555802918, -0.2219696889259962, -0.2310160213358774, -0.2464735637281644, -0.2420852510551187, -0.2435844890848917, -0.2447415513641095, -0.2420191437002914, -0.2351270828446146, -0.2637066857001198, -0.2355308406066171, -0.2561878923562901, -0.248303380951955, -0.2486431300055684, -0.2507919978950433, -0.2466126296547325, -0.2477626207221291, -0.2571993584030947, -0.2528531699400091, -0.2396836167031365, -0.2534729417485266, -0.2572629055084549, -0.2560816579521085, -0.2427885151131506, -0.2394391672711935, -0.2225285710605733, -0.2473543811984889, -0.2277740250602991, -0.2301551274178076, -0.2356696354299469, -0.2361520078638227, -0.2224249222262552, -0.2284643528567424, -0.2133878687874308, -0.218861511691055, -0.2089697112026659, -0.2041021291787525, -0.2072919166733438, -0.1902971268762452, -0.1998625332537236, -0.1994020178544945, -0.1977661609225008, -0.1880611480773027, -0.1884811254737307, -0.1670119636141924, -0.1637768765992197, -0.158450675995071, -0.1552136282741902, -0.1613502306635715, -0.1413110163089147, -0.1298033794554521, -0.1290310282912568, -0.1350003162159231, -0.113043839515233, -0.1042435425861938, -0.10342554980923, -0.0780527992664815, -0.0685275866074295, -0.0756941506188954, -0.0763308650693404, -0.0484643813861151, -0.0368613960041555, -0.0418097143835721, -0.0223853483016317, -0.0314032086368149, -0.0401195705206042]| 99.9021911621093750|      0.12500000|[1036, 152, 0, 19]                                                         |  | trying linear partial model with 57 points | iterate success | actual_k=8
       8|[-0.0447724281362638, -0.019966949661567, -0.0306666101138298, -0.0554140693084363, -0.0374434383087784, -0.0512253021512534, -0.0539526226304947, -0.0612171280350963, -0.0735306773884529, -0.0826677789220059, -0.1007205346055394, -0.1037581413236771, -0.1310582754912929, -0.1084516539822666, -0.1222206693172855, -0.126974831189732, -0.1358615567947498, -0.1387729272711459, -0.1357832623959562, -0.1595890481669184, -0.1765312740295624, -0.1814086929670683, -0.1681576743613211, -0.176772420835946, -0.1843235583519203, -0.1999348240732102, -0.1896708947571696, -0.1917937855371596, -0.2073552317738596, -0.2109255712486247, -0.2114650522410428, -0.2294156373537182, -0.220979602053838, -0.2126147482064032, -0.2242583555802918, -0.2219696889259962, -0.2310160213358774, -0.2464735637281644, -0.2420852510551187, -0.2435844890848917, -0.2447415513641095, -0.2420191437002914, -0.2351270828446146, -0.2637066857001198, -0.2355308406066171, -0.2561878923562901, -0.248303380951955, -0.2486431300055684, -0.2507919978950433, -0.2466126296547325, -0.2477626207221291, -0.2571993584030947, -0.2528531699400091, -0.2396836167031365, -0.2534729417485266, -0.2572629055084549, -0.2560816579521085, -0.2427885151131506, -0.2394391672711935, -0.2225285710605733, -0.2473543811984889, -0.2277740250602991, -0.2301551274178076, -0.2356696354299469, -0.2361520078638227, -0.2224249222262552, -0.2284643528567424, -0.2133878687874308, -0.218861511691055, -0.2089697112026659, -0.2041021291787525, -0.2072919166733438, -0.1902971268762452, -0.1998625332537236, -0.1994020178544945, -0.1977661609225008, -0.1880611480773027, -0.1884811254737307, -0.1670119636141924, -0.1637768765992197, -0.158450675995071, -0.1552136282741902, -0.1613502306635715, -0.1413110163089147, -0.1298033794554521, -0.1290310282912568, -0.1350003162159231, -0.113043839515233, -0.1042435425861938, -0.10342554980923, -0.0780527992664815, -0.0685275866074295, -0.0756941506188954, -0.0763308650693404, -0.0484643813861151, -0.0368613960041555, -0.0418097143835721, -0.0223853483016317, -0.0314032086368149, -0.0401195705206042]| 99.9021911621093750|      0.06250000|[1198, 176, 0, 22]                                                         |  | trying linear partial model with 57 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 110 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=8
       9|[-0.062733792042458, -0.0211233410242519, -0.0388956092354548, -0.0701034501603532, -0.0305396971506179, -0.0540853549589967, -0.0538816347256639, -0.062808631408289, -0.0605328290300102, -0.0852719275747489, -0.0992146189143574, -0.1131858491047118, -0.1289904915589395, -0.1069228527467858, -0.1250259233632793, -0.1284584476476927, -0.1346830222561788, -0.134928773116797, -0.1327009811249465, -0.1583767745998332, -0.176544044460984, -0.1873601660069146, -0.1739820282480878, -0.1861793829548123, -0.1803638399728512, -0.1971279689699285, -0.1873673139696417, -0.1910543436090701, -0.2129005218670728, -0.2018048246426419, -0.2187166030922775, -0.231007606861989, -0.2135973387355394, -0.2091287917223318, -0.2262982987768758, -0.221396923671555, -0.2262125215707682, -0.2418249169396728, -0.250695426429527, -0.2379824039185783, -0.2423691971168268, -0.2240347003487321, -0.234811401268534, -0.2641756644423904, -0.2380809693287761, -0.2644202303228403, -0.249299803851868, -0.2448230198586926, -0.2418786174372381, -0.2327346403789256, -0.2533524829342325, -0.2516001615119963, -0.250453873878732, -0.2431283994714691, -0.2536064851949386, -0.251120548802564, -0.2563270698869001, -0.2516409631751955, -0.2285787326975409, -0.2290073274524257, -0.2510900182855906, -0.232797268012461, -0.2366700280746947, -0.2456319382937384, -0.2325133485751279, -0.2144223612446047, -0.2209173978600928, -0.210288842159732, -0.2109541815689217, -0.2088864832062199, -0.1955916972838931, -0.2035661445175861, -0.192211126535728, -0.1982601361265594, -0.2034442953232799, -0.1945868474829522, -0.1829912759310601, -0.1939480926018599, -0.1647393673706269, -0.1669827421616552, -0.1619012979021383, -0.1621912437340433, -0.1687738065956195, -0.1367576343551426, -0.1274695804589971, -0.1369202076330448, -0.1361368433842234, -0.1032956716097934, -0.1021177289487203, -0.1017975565779246, -0.0814288091577652, -0.0734281421377805, -0.0734830312178589, -0.0711861864681516, -0.0563085515719165, -0.0421324989638121, -0.0389888259319972, -0.015712219064854, -0.0285979373126203, -0.0543726065063514]| 99.8649368286132812|      0.12500000|[1308, 192, 0, 24]                                                         |  | trying linear partial model with 57 points | iterate success | actual_k=8
      10|[-0.062733792042458, -0.0211233410242519, -0.0388956092354548, -0.0701034501603532, -0.0305396971506179, -0.0540853549589967, -0.0538816347256639, -0.062808631408289, -0.0605328290300102, -0.0852719275747489, -0.0992146189143574, -0.1131858491047118, -0.1289904915589395, -0.1069228527467858, -0.1250259233632793, -0.1284584476476927, -0.1346830222561788, -0.134928773116797, -0.1327009811249465, -0.1583767745998332, -0.176544044460984, -0.1873601660069146, -0.1739820282480878, -0.1861793829548123, -0.1803638399728512, -0.1971279689699285, -0.1873673139696417, -0.1910543436090701, -0.2129005218670728, -0.2018048246426419, -0.2187166030922775, -0.231007606861989, -0.2135973387355394, -0.2091287917223318, -0.2262982987768758, -0.221396923671555, -0.2262125215707682, -0.2418249169396728, -0.250695426429527, -0.2379824039185783, -0.2423691971168268, -0.2240347003487321, -0.234811401268534, -0.2641756644423904, -0.2380809693287761, -0.2644202303228403, -0.249299803851868, -0.2448230198586926, -0.2418786174372381, -0.2327346403789256, -0.2533524829342325, -0.2516001615119963, -0.250453873878732, -0.2431283994714691, -0.2536064851949386, -0.251120548802564, -0.2563270698869001, -0.2516409631751955, -0.2285787326975409, -0.2290073274524257, -0.2510900182855906, -0.232797268012461, -0.2366700280746947, -0.2456319382937384, -0.2325133485751279, -0.2144223612446047, -0.2209173978600928, -0.210288842159732, -0.2109541815689217, -0.2088864832062199, -0.1955916972838931, -0.2035661445175861, -0.192211126535728, -0.1982601361265594, -0.2034442953232799, -0.1945868474829522, -0.1829912759310601, -0.1939480926018599, -0.1647393673706269, -0.1669827421616552, -0.1619012979021383, -0.1621912437340433, -0.1687738065956195, -0.1367576343551426, -0.1274695804589971, -0.1369202076330448, -0.1361368433842234, -0.1032956716097934, -0.1021177289487203, -0.1017975565779246, -0.0814288091577652, -0.0734281421377805, -0.0734830312178589, -0.0711861864681516, -0.0563085515719165, -0.0421324989638121, -0.0389888259319972, -0.015712219064854, -0.0285979373126203, -0.0543726065063514]| 99.8649368286132812|      0.06250000|[1471, 216, 0, 27]                                                         |  | trying linear partial model with 57 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 111 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=8
