k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[120.0, 0.09203, 0.908, 110.0, 0.1819, 0.8181, 100.0, 0.284, 0.716, 88.0, 0.3051, 0.6949, 86.0, 0.3566, 0.6434, 84.0, 0.468, 0.532, 80.0, 0.6579, 0.3421, 76.0, 0.8763, 0.1237, 886.37, 910.01, 922.52, 926.46, 935.56, 952.83, 975.73]|4345.0997658534724906|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[120.0, 0.09203, 0.908, 110.0, 0.1819, 0.8181, 100.0, 0.284, 0.716, 88.0, 0.3051, 0.6949, 86.0, 0.3566, 0.6434, 84.0, 0.468, 0.532, 80.0, 0.6579, 0.3421, 76.0, 0.8763, 0.1237, 886.37, 910.01, 922.52, 926.46, 935.56, 952.83, 975.73]|4345.0997658534724906|      0.50000000|[95, 32, 0, 2]                                                             |  | trying linear partial model with 49 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=16
       2|[120.0, 0.09203, 0.908, 110.0, 0.1819, 0.8181, 100.0, 0.284, 0.716, 88.0, 0.3051, 0.6949, 86.0, 0.3566, 0.6434, 84.0, 0.468, 0.532, 80.0, 0.6579, 0.3421, 76.0, 0.8763, 0.1237, 886.37, 910.01, 922.52, 926.46, 935.56, 952.83, 975.73]|4345.0997658534724906|      0.25000000|[188, 64, 0, 4]                                                            |  | trying linear partial model with 49 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=16
       3|[120.0, 0.09203, 0.908, 110.0, 0.1819, 0.8181, 100.0, 0.284, 0.716, 88.0, 0.3051, 0.6949, 86.0, 0.3566, 0.6434, 84.0, 0.468, 0.532, 80.0, 0.6579, 0.3421, 76.0, 0.8763, 0.1237, 886.37, 910.01, 922.52, 926.46, 935.56, 952.83, 975.73]|4345.0997658534724906|      0.12500000|[283, 96, 0, 6]                                                            |  | trying linear partial model with 49 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=16
       4|[119.9868786697057, -0.0159401063183202, 0.8801945300708941, 109.99159799770023, 0.2032376298232927, 0.8249951568786361, 99.99536714193493, 0.2585118127394401, 0.707711719105211, 87.99806318509397, 0.325222282615309, 0.7168566534786982, 85.99559269990677, 0.3633382132597521, 0.6506927398354281, 84.0070165937849, 0.4686757248713984, 0.5390066707178857, 80.00535459421421, 0.6660412308878958, 0.3372399477245152, 76.00885047140615, 0.8752601011696235, 0.1166526711751976, 886.3860735368746, 910.0076773584846, 922.5188396071368, 926.468558108916, 935.5618489909325, 952.832060491723, 975.7272243543144]|2563.5061035156250000|      0.25000000|[377, 128, 0, 8]                                                           |  | trying linear partial model with 49 points | iterate success | actual_k=16
       5|[119.9868786697057, -0.0159401063183202, 0.8801945300708941, 109.99159799770023, 0.2032376298232927, 0.8249951568786361, 99.99536714193493, 0.2585118127394401, 0.707711719105211, 87.99806318509397, 0.325222282615309, 0.7168566534786982, 85.99559269990677, 0.3633382132597521, 0.6506927398354281, 84.0070165937849, 0.4686757248713984, 0.5390066707178857, 80.00535459421421, 0.6660412308878958, 0.3372399477245152, 76.00885047140615, 0.8752601011696235, 0.1166526711751976, 886.3860735368746, 910.0076773584846, 922.5188396071368, 926.468558108916, 935.5618489909325, 952.832060491723, 975.7272243543144]|2563.5061035156250000|      0.12500000|[470, 160, 0, 10]                                                          |  | trying linear partial model with 49 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=16
       6|[119.9868786697057, -0.0159401063183202, 0.8801945300708941, 109.99159799770023, 0.2032376298232927, 0.8249951568786361, 99.99536714193493, 0.2585118127394401, 0.707711719105211, 87.99806318509397, 0.325222282615309, 0.7168566534786982, 85.99559269990677, 0.3633382132597521, 0.6506927398354281, 84.0070165937849, 0.4686757248713984, 0.5390066707178857, 80.00535459421421, 0.6660412308878958, 0.3372399477245152, 76.00885047140615, 0.8752601011696235, 0.1166526711751976, 886.3860735368746, 910.0076773584846, 922.5188396071368, 926.468558108916, 935.5618489909325, 952.832060491723, 975.7272243543144]|2563.5061035156250000|      0.06250000|[565, 192, 0, 12]                                                          |  | trying linear partial model with 49 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=16
       7|[119.98917823195926, 0.0053086991722357, 0.8888345794321629, 109.98997081178358, 0.154229869114206, 0.8013527339022343, 99.99705614047221, 0.2708154551573187, 0.7155866387199088, 87.99647182020463, 0.335620487844669, 0.7190323400106517, 85.99875541897119, 0.3629393331076372, 0.648787324392795, 84.00516571944259, 0.4656949265815761, 0.5356881445132928, 80.00490868840299, 0.6649975276282778, 0.3368581203941045, 76.00780040421947, 0.8745327037968944, 0.1188853016726649, 886.387868337441, 910.0041105467434, 922.5212572548605, 926.467619903172, 935.559721714115, 952.8338789047912, 975.7292553438069]|1175.8565673828125000|      0.12500000|[659, 224, 0, 14]                                                          |  | trying linear partial model with 49 points | iterate success | actual_k=16
       8|[119.98917823195926, 0.0053086991722357, 0.8888345794321629, 109.98997081178358, 0.154229869114206, 0.8013527339022343, 99.99705614047221, 0.2708154551573187, 0.7155866387199088, 87.99647182020463, 0.335620487844669, 0.7190323400106517, 85.99875541897119, 0.3629393331076372, 0.648787324392795, 84.00516571944259, 0.4656949265815761, 0.5356881445132928, 80.00490868840299, 0.6649975276282778, 0.3368581203941045, 76.00780040421947, 0.8745327037968944, 0.1188853016726649, 886.387868337441, 910.0041105467434, 922.5212572548605, 926.467619903172, 935.559721714115, 952.8338789047912, 975.7292553438069]|1175.8565673828125000|      0.06250000|[754, 256, 0, 16]                                                          |  | trying linear partial model with 49 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=16
       9|[119.98917823195926, 0.0053086991722357, 0.8888345794321629, 109.98997081178358, 0.154229869114206, 0.8013527339022343, 99.99705614047221, 0.2708154551573187, 0.7155866387199088, 87.99647182020463, 0.335620487844669, 0.7190323400106517, 85.99875541897119, 0.3629393331076372, 0.648787324392795, 84.00516571944259, 0.4656949265815761, 0.5356881445132928, 80.00490868840299, 0.6649975276282778, 0.3368581203941045, 76.00780040421947, 0.8745327037968944, 0.1188853016726649, 886.387868337441, 910.0041105467434, 922.5212572548605, 926.467619903172, 935.559721714115, 952.8338789047912, 975.7292553438069]|1175.8565673828125000|      0.03125000|[847, 288, 0, 18]                                                          |  | trying linear partial model with 49 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=16
      10|[119.98923677438448, -0.0161559590170407, 0.8802227621666532, 109.98985828163872, 0.1414203020280852, 0.8003075677686253, 99.99719749172475, 0.2631506746627082, 0.712806588292574, 87.99729805515075, 0.3463702006370515, 0.7240405620580774, 85.99703202078089, 0.3669637038463802, 0.6476297907630729, 84.0050442467995, 0.4644913831433163, 0.5350851363199148, 80.00473127439105, 0.6605714199098303, 0.3362242281838446, 76.01197936288278, 0.8736979052465995, 0.119888306839512, 886.3884065018192, 910.0032082027192, 922.5200529882801, 926.4670045263335, 935.5599609478246, 952.832153676571, 975.7303351959656]|825.1510009765625000|      0.06250000|[940, 320, 0, 20]                                                          |  | trying linear partial model with 49 points | iterate success | actual_k=16
