k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[120.0, 0.09203, 0.908, 110.0, 0.1819, 0.8181, 100.0, 0.284, 0.716, 88.0, 0.3051, 0.6949, 86.0, 0.3566, 0.6434, 84.0, 0.468, 0.532, 80.0, 0.6579, 0.3421, 76.0, 0.8763, 0.1237, 886.37, 910.01, 922.52, 926.46, 935.56, 952.83, 975.73]|4345.0997658534724906|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[120.0, 0.09203, 0.908, 110.0, 0.1819, 0.8181, 100.0, 0.284, 0.716, 88.0, 0.3051, 0.6949, 86.0, 0.3566, 0.6434, 84.0, 0.468, 0.532, 80.0, 0.6579, 0.3421, 76.0, 0.8763, 0.1237, 886.37, 910.01, 922.52, 926.46, 935.56, 952.83, 975.73]|4345.0997658534724906|      0.50000000|[57, 8, 1, 2]                                                              |  | used linear model with 65 points | iterate failure | actual_k=8
       2|[120.0, 0.09203, 0.908, 110.0, 0.1819, 0.8181, 100.0, 0.284, 0.716, 88.0, 0.3051, 0.6949, 86.0, 0.3566, 0.6434, 84.0, 0.468, 0.532, 80.0, 0.6579, 0.3421, 76.0, 0.8763, 0.1237, 886.37, 910.01, 922.52, 926.46, 935.56, 952.83, 975.73]|4345.0997658534724906|      0.25000000|[114, 16, 2, 4]                                                            |  | used linear model with 65 points | iterate failure | actual_k=8
       3|[120.0, 0.09203, 0.908, 110.0, 0.1819, 0.8181, 100.0, 0.284, 0.716, 88.0, 0.3051, 0.6949, 86.0, 0.3566, 0.6434, 84.0, 0.468, 0.532, 80.0, 0.6579, 0.3421, 76.0, 0.8763, 0.1237, 886.37, 910.01, 922.52, 926.46, 935.56, 952.83, 975.73]|4345.0997658534724906|      0.12500000|[171, 24, 3, 6]                                                            |  | used linear model with 65 points | iterate failure | actual_k=8
       4|[119.998001091924, -0.0116992406515873, 0.8731456440920784, 110.00160812779158, 0.2022310911236036, 0.8372473564089694, 100.01086532031076, 0.2800456138553277, 0.7010949334367116, 87.99081275128053, 0.3272320970977495, 0.7073692845147944, 86.0003370704166, 0.3482825310352189, 0.6406776174406871, 83.99328849570858, 0.4762558765369386, 0.520848190192115, 80.02990643564625, 0.6516988666927561, 0.3452305722858828, 76.0011722294808, 0.8819820997796004, 0.1196738386349253, 886.3617137992137, 910.0078898105587, 922.5079537985135, 926.4540489847626, 935.5487842560894, 952.8229775309338, 975.7234615500765]|2594.2200099357442014|      0.25000000|[228, 32, 4, 8]                                                            |  | used linear model with 65 points | iterate success | actual_k=8
       5|[119.998001091924, -0.0116992406515873, 0.8731456440920784, 110.00160812779158, 0.2022310911236036, 0.8372473564089694, 100.01086532031076, 0.2800456138553277, 0.7010949334367116, 87.99081275128053, 0.3272320970977495, 0.7073692845147944, 86.0003370704166, 0.3482825310352189, 0.6406776174406871, 83.99328849570858, 0.4762558765369386, 0.520848190192115, 80.02990643564625, 0.6516988666927561, 0.3452305722858828, 76.0011722294808, 0.8819820997796004, 0.1196738386349253, 886.3617137992137, 910.0078898105587, 922.5079537985135, 926.4540489847626, 935.5487842560894, 952.8229775309338, 975.7234615500765]|2594.2200099357442014|      0.12500000|[285, 40, 5, 10]                                                           |  | used linear model with 65 points | iterate failure | actual_k=8
       6|[119.998001091924, -0.0116992406515873, 0.8731456440920784, 110.00160812779158, 0.2022310911236036, 0.8372473564089694, 100.01086532031076, 0.2800456138553277, 0.7010949334367116, 87.99081275128053, 0.3272320970977495, 0.7073692845147944, 86.0003370704166, 0.3482825310352189, 0.6406776174406871, 83.99328849570858, 0.4762558765369386, 0.520848190192115, 80.02990643564625, 0.6516988666927561, 0.3452305722858828, 76.0011722294808, 0.8819820997796004, 0.1196738386349253, 886.3617137992137, 910.0078898105587, 922.5079537985135, 926.4540489847626, 935.5487842560894, 952.8229775309338, 975.7234615500765]|2594.2200099357442014|      0.06250000|[342, 48, 6, 12]                                                           |  | used linear model with 65 points | iterate failure | actual_k=8
       7|[119.9965880301574, 0.0131658337961375, 0.883799708363851, 109.9992797880667, 0.1540709528490933, 0.8167210694528441, 100.0182231458831, 0.2880757656284049, 0.7112745847232673, 87.99351781248843, 0.3320754686316798, 0.7086524516103242, 86.00236474024726, 0.3518935694354907, 0.6417831711531373, 83.98692155167946, 0.475160665393668, 0.51984442810105, 80.0292212070057, 0.6426326261107205, 0.3454493248357016, 76.00124245810585, 0.8808409754841952, 0.1206749670347208, 886.362983741669, 910.0043089055182, 922.507435763902, 926.4536276289201, 935.5510900392468, 952.8244960531273, 975.7251963431105]|1405.0268339138340252|      0.12500000|[399, 56, 7, 14]                                                           |  | used linear model with 65 points | iterate success | actual_k=8
       8|[119.9965880301574, 0.0131658337961375, 0.883799708363851, 109.9992797880667, 0.1540709528490933, 0.8167210694528441, 100.0182231458831, 0.2880757656284049, 0.7112745847232673, 87.99351781248843, 0.3320754686316798, 0.7086524516103242, 86.00236474024726, 0.3518935694354907, 0.6417831711531373, 83.98692155167946, 0.475160665393668, 0.51984442810105, 80.0292212070057, 0.6426326261107205, 0.3454493248357016, 76.00124245810585, 0.8808409754841952, 0.1206749670347208, 886.362983741669, 910.0043089055182, 922.507435763902, 926.4536276289201, 935.5510900392468, 952.8244960531273, 975.7251963431105]|1405.0268339138340252|      0.06250000|[456, 64, 8, 16]                                                           |  | used linear model with 65 points | iterate failure | actual_k=8
       9|[119.99974135946597, -0.0267022789578341, 0.8767807900357643, 110.0008425230306, 0.137494072295255, 0.8190746227972184, 100.00810631662058, 0.2689488208374811, 0.6981278679887305, 87.99943227678847, 0.3537026695950442, 0.7125499574798968, 86.00334319850465, 0.351386420439588, 0.6468225131784622, 83.9874851550559, 0.4734390222088559, 0.5148998971199148, 80.03254518335281, 0.6362547854269989, 0.3593040757056788, 76.01265990292997, 0.890544510619243, 0.1219124269533852, 886.3588766551825, 910.0100006104442, 922.5202257132698, 926.4471875926592, 935.5462881984961, 952.8224771394172, 975.7284127520105]|919.6538276387422002|      0.12500000|[513, 72, 9, 18]                                                           |  | used linear model with 65 points | iterate success | actual_k=8
      10|[119.99974135946597, -0.0267022789578341, 0.8767807900357643, 110.0008425230306, 0.137494072295255, 0.8190746227972184, 100.00810631662058, 0.2689488208374811, 0.6981278679887305, 87.99943227678847, 0.3537026695950442, 0.7125499574798968, 86.00334319850465, 0.351386420439588, 0.6468225131784622, 83.9874851550559, 0.4734390222088559, 0.5148998971199148, 80.03254518335281, 0.6362547854269989, 0.3593040757056788, 76.01265990292997, 0.890544510619243, 0.1219124269533852, 886.3588766551825, 910.0100006104442, 922.5202257132698, 926.4471875926592, 935.5462881984961, 952.8224771394172, 975.7284127520105]|919.6538276387422002|      0.06250000|[570, 80, 10, 20]                                                          |  | used linear model with 65 points | iterate failure | actual_k=8
      11|[119.99974135946597, -0.0267022789578341, 0.8767807900357643, 110.0008425230306, 0.137494072295255, 0.8190746227972184, 100.00810631662058, 0.2689488208374811, 0.6981278679887305, 87.99943227678847, 0.3537026695950442, 0.7125499574798968, 86.00334319850465, 0.351386420439588, 0.6468225131784622, 83.9874851550559, 0.4734390222088559, 0.5148998971199148, 80.03254518335281, 0.6362547854269989, 0.3593040757056788, 76.01265990292997, 0.890544510619243, 0.1219124269533852, 886.3588766551825, 910.0100006104442, 922.5202257132698, 926.4471875926592, 935.5462881984961, 952.8224771394172, 975.7284127520105]|919.6538276387422002|      0.03125000|[627, 88, 11, 22]                                                          |  | used linear model with 65 points | iterate failure | actual_k=8
