k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[2.0, 400000.0, 25000.0]                                                        |4515242701191391.0000000000000000|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1.003075938259725, 399999.9665432724, 24999.929126432977]                      |1134178721530153.5000000000000000|      2.00000000|[5, 0, 1, 2]                                                               |  | used linear model with 5 points | iterate success | actual_k=0
       2|[-0.9289803956286935, 400000.4168472059, 25000.182867817417]                    |978573328050923.0000000000000000|      4.00000000|[10, 0, 2, 4]                                                              |  | used linear model with 5 points | iterate success | actual_k=0
       3|[-0.9289803956286935, 400000.4168472059, 25000.182867817417]                    |978573328050923.0000000000000000|      2.00000000|[15, 0, 3, 6]                                                              |  | used linear model with 5 points | iterate failure | actual_k=0
       4|[-0.9289803956286935, 400000.4168472059, 25000.182867817417]                    |978573328050923.0000000000000000|      1.00000000|[20, 0, 4, 8]                                                              |  | used linear model with 5 points | iterate failure | actual_k=0
       5|[-0.0365388715498929, 400000.66034131596, 25000.56268190939]                    |1635607136449.1955566406250000|      2.00000000|[25, 0, 5, 10]                                                             |  | used linear model with 5 points | iterate success | actual_k=0
       6|[-0.0365388715498929, 400000.66034131596, 25000.56268190939]                    |1635607136449.1955566406250000|      1.00000000|[30, 0, 6, 12]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
       7|[-0.0365388715498929, 400000.66034131596, 25000.56268190939]                    |1635607136449.1955566406250000|      0.50000000|[35, 0, 7, 14]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
       8|[-0.0365388715498929, 400000.66034131596, 25000.56268190939]                    |1635607136449.1955566406250000|      0.25000000|[40, 0, 8, 16]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
       9|[-0.0365388715498929, 400000.66034131596, 25000.56268190939]                    |1635607136449.1955566406250000|      0.12500000|[45, 0, 9, 18]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
      10|[-0.0365388715498929, 400000.66034131596, 25000.56268190939]                    |1635607136449.1955566406250000|      0.06250000|[50, 0, 10, 20]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
      11|[0.0249165015563002, 400000.67072339536, 25000.567340186335]                    |621124243358.7584228515625000|      0.12500000|[55, 0, 11, 22]                                                            |  | used linear model with 5 points | iterate success | actual_k=0
      12|[0.0249165015563002, 400000.67072339536, 25000.567340186335]                    |621124243358.7584228515625000|      0.06250000|[60, 0, 12, 24]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
      13|[0.0249165015563002, 400000.67072339536, 25000.567340186335]                    |621124243358.7584228515625000|      0.03125000|[65, 0, 13, 26]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
      14|[-0.0053755250804485, 400000.67222658475, 25000.559810508796]                   |54690783259.7506790161132812|      0.06250000|[70, 0, 14, 28]                                                            |  | used linear model with 5 points | iterate success | actual_k=0
      15|[-0.0053755250804485, 400000.67222658475, 25000.559810508796]                   |54690783259.7506790161132812|      0.03125000|[75, 0, 15, 30]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
