k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[2.0, 400000.0, 25000.0]                                                        |4515242701191391.0000000000000000|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1.000227976405863, 400000.0211635783, 24999.997170902963]                      |1127645139959808.0000000000000000|      2.00000000|[5, 2, 0, 2]                                                               |  | trying linear partial model with 4 points | iterate success | actual_k=1
       2|[0.5308144877242698, 400001.16647523263, 25001.56812990661]                     |316141536804864.0000000000000000|      4.00000000|[10, 4, 0, 4]                                                              |  | trying linear partial model with 4 points | iterate success | actual_k=1
       3|[0.5308144877242698, 400001.16647523263, 25001.56812990661]                     |316141536804864.0000000000000000|      2.00000000|[15, 6, 0, 6]                                                              |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       4|[0.5308144877242698, 400001.16647523263, 25001.56812990661]                     |316141536804864.0000000000000000|      1.00000000|[20, 8, 0, 8]                                                              |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       5|[0.5308144877242698, 400001.16647523263, 25001.56812990661]                     |316141536804864.0000000000000000|      0.50000000|[24, 10, 0, 10]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       6|[0.0312070507381704, 400001.15945654374, 25001.549605681546]                    |997467553792.0000000000000000|      1.00000000|[28, 12, 0, 12]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
       7|[0.0312070507381704, 400001.15945654374, 25001.549605681546]                    |997467553792.0000000000000000|      0.50000000|[33, 14, 0, 14]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       8|[0.0312070507381704, 400001.15945654374, 25001.549605681546]                    |997467553792.0000000000000000|      0.25000000|[38, 16, 0, 16]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       9|[0.0312070507381704, 400001.15945654374, 25001.549605681546]                    |997467553792.0000000000000000|      0.12500000|[42, 18, 0, 18]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      10|[0.0312070507381704, 400001.15945654374, 25001.549605681546]                    |997467553792.0000000000000000|      0.06250000|[47, 20, 0, 20]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      11|[0.0312070507381704, 400001.15945654374, 25001.549605681546]                    |997467553792.0000000000000000|      0.03125000|[52, 22, 0, 22]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      12|[0.0003060311677424, 400001.1608784387, 25001.545170852994]                     |2963537920.0000000000000000|      0.06250000|[57, 24, 0, 24]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      13|[0.0003060311677424, 400001.1608784387, 25001.545170852994]                     |2963537920.0000000000000000|      0.03125000|[62, 26, 0, 26]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      14|[0.0003060311677424, 400001.1608784387, 25001.545170852994]                     |2963537920.0000000000000000|      0.01562500|[67, 28, 0, 28]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      15|[0.0003060311677424, 400001.1608784387, 25001.545170852994]                     |2963537920.0000000000000000|      0.00781250|[72, 30, 0, 30]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
