k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[200.0, 400.0, 250.0]                                                           |4515242499193466.0000000000000000|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[200.10414816066728, 399.4509260374477, 250.82925927445925]                     |3894990866866249.5000000000000000|      2.00000000|[5, 0, 1, 2]                                                               |  | used linear model with 5 points | iterate success | actual_k=0
       2|[199.35246675131893, 398.5244090672187, 252.4344201270587]                      |2937703466391834.5000000000000000|      4.00000000|[10, 0, 2, 4]                                                              |  | used linear model with 5 points | iterate success | actual_k=0
       3|[198.3729462508351, 396.00608892681356, 255.38375958862662]                     |1662722370684969.5000000000000000|      8.00000000|[15, 0, 3, 6]                                                              |  | used linear model with 5 points | iterate success | actual_k=0
       4|[200.79624416202873, 392.5277434949085, 262.1682080031958]                      |588252968280903.7500000000000000|     16.00000000|[20, 0, 4, 8]                                                              |  | used linear model with 5 points | iterate success | actual_k=0
       5|[207.80020408979215, 391.92170623540784, 276.5410039792883]                     |127868308193970.0781250000000000|     32.00000000|[25, 0, 5, 10]                                                             |  | used linear model with 5 points | iterate success | actual_k=0
       6|[230.90570834298646, 380.1942920474459, 295.3187415871475]                      |11687200594577.3437500000000000|     64.00000000|[30, 0, 6, 12]                                                             |  | used linear model with 5 points | iterate success | actual_k=0
       7|[230.90570834298646, 380.1942920474459, 295.3187415871475]                      |11687200594577.3437500000000000|     32.00000000|[35, 0, 7, 14]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
       8|[230.90570834298646, 380.1942920474459, 295.3187415871475]                      |11687200594577.3437500000000000|     16.00000000|[40, 0, 8, 16]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
       9|[237.4798794888551, 366.2841055878747, 299.71043675015574]                      |3283385142884.0161132812500000|     32.00000000|[45, 0, 9, 18]                                                             |  | used linear model with 5 points | iterate success | actual_k=0
      10|[225.7940260491233, 358.1877755874078, 328.3790654217307]                       |185486415183.1732482910156250|     64.00000000|[50, 0, 10, 20]                                                            |  | used linear model with 5 points | iterate success | actual_k=0
      11|[225.7940260491233, 358.1877755874078, 328.3790654217307]                       |185486415183.1732482910156250|     32.00000000|[55, 0, 11, 22]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
      12|[211.58071545547617, 356.31617748573024, 356.9881360552608]                     |17929304584.8672752380371094|     64.00000000|[60, 0, 12, 24]                                                            |  | used linear model with 5 points | iterate success | actual_k=0
      13|[211.58071545547617, 356.31617748573024, 356.9881360552608]                     |17929304584.8672752380371094|     32.00000000|[65, 0, 13, 26]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
      14|[215.83639893763223, 325.69602909928057, 348.72401656849706]                    |3516407872.3951430320739746|     64.00000000|[70, 0, 14, 28]                                                            |  | used linear model with 5 points | iterate success | actual_k=0
      15|[215.83639893763223, 325.69602909928057, 348.72401656849706]                    |3516407872.3951430320739746|     32.00000000|[75, 0, 15, 30]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
